<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2013.06.03,1394.44,1417.04,1390.67,1413.4,194694,49463576,17
2013.06.04,1412.69,1415.07,1389.07,1399.64,183111,53042071,13
2013.06.05,1398.6,1410.52,1395.81,1402.07,213789,54749670,15
2013.06.06,1401.08,1423.89,1391.78,1412.0,235989,60468550,18
2013.06.07,1411.75,1417.97,1377.78,1381.96,250335,64156437,12
2013.06.10,1384.34,1388.95,1375.79,1385.58,185659,48376950,12
2013.06.11,1384.04,1386.82,1365.29,1377.63,220918,55798990,14
2013.06.12,1377.53,1394.63,1373.12,1388.7,167914,44701250,18
2013.06.13,1386.18,1394.88,1374.46,1386.31,213659,60991100,9
2013.06.14,1385.54,1392.34,1378.43,1390.25,171707,43883102,11
2013.06.17,1390.16,1391.93,1380.47,1384.1,121163,33784500,14
2013.06.18,1384.5,1386.06,1361.13,1368.03,167736,45865785,6
2013.06.19,1369.18,1376.66,1343.11,1343.6,179083,45037200,17
2013.06.20,1346.24,1348.12,1276.13,1280.08,459876,115116703,12
2013.06.21,1274.27,1302.47,1269.43,1295.57,303933,72795161,7
2013.06.24,1300.33,1301.24,1276.05,1283.67,273223,70090576,13
2013.06.25,1283.87,1289.56,1271.72,1277.04,230220,62433109,19
2013.06.26,1274.68,1276.78,1221.58,1228.9,411037,110969666,15
2013.06.27,1228.2,1244.63,1196.48,1202.42,327960,91404487,23
2013.06.28,1205.25,1235.14,1180.17,1234.86,377324,100910100,25
2013.07.01,1239.28,1261.74,1225.05,1253.69,257394,69402255,22
2013.07.02,1252.39,1267.47,1239.55,1243.22,204579,58156778,21
2013.07.03,1244.81,1260.02,1236.82,1255.21,198561,55362290,19
2013.07.04,1255.24,1256.85,1244.79,1249.39,109590,31986450,24
2013.07.05,1247.88,1248.87,1208.14,1222.92,241743,67457482,26
2013.07.08,1218.75,1238.76,1215.65,1236.12,186010,50553263,24
2013.07.09,1233.96,1260.57,1233.58,1249.66,220739,59855592,21
2013.07.10,1248.85,1288.83,1243.97,1288.31,231404,60424492,21
2013.07.11,1283.13,1298.83,1277.71,1285.18,248977,67169336,23
2013.07.12,1285.69,1288.57,1267.84,1285.31,157206,42910326,24
2013.07.15,1289.27,1294.5,1273.92,1283.02,142985,39008434,25
2013.07.16,1282.41,1295.62,1277.17,1290.78,176029,47267844,17
2013.07.17,1290.63,1300.55,1270.27,1275.1,244496,65796708,24
2013.07.18,1277.11,1288.7,1274.78,1283.91,164733,46815000,16
2013.07.19,1284.74,1297.89,1282.37,1295.75,149180,39749000,16
2013.07.22,1313.21,1339.58,1310.89,1336.55,179370,50303510,24
2013.07.23,1334.54,1346.68,1326.53,1343.74,159345,43074630,0
2013.07.24,1343.23,1346.6,1313.19,1318.15,170523,45042702,0
2013.07.25,1318.87,1337.72,1308.9,1334.6,175024,48258662,25
2013.07.26,1335.61,1340.72,1312.4,1333.06,176566,49076382,19
2013.07.29,1330.91,1338.29,1322.88,1325.51,154695,41374105,16
2013.07.30,1326.24,1330.13,1317.25,1327.45,131002,37295178,17
2013.07.31,1327.88,1339.07,1305.61,1325.17,238361,64786886,25
2013.08.01,1326.08,1331.09,1302.67,1303.4,192444,53433500,24
2013.08.02,1307.11,1318.46,1283.1,1312.43,194935,53204917,25
2013.08.05,1312.49,1320.72,1297.52,1303.09,128696,37311300,19
2013.08.06,1303.76,1306.98,1279.33,1282.53,166262,46703190,24
2013.08.07,1282.27,1289.43,1272.8,1285.2,157516,44047530,25
2013.08.08,1284.85,1314.32,1283.68,1314.24,173162,48071950,25
2013.08.09,1312.72,1317.25,1304.84,1314.24,142605,40858700,22
2013.08.12,1329.25,1344.1,1322.83,1336.43,165511,45967588,18
2013.08.13,1332.96,1341.34,1318.79,1322.55,186233,54233400,25
2013.08.14,1321.39,1339.66,1315.89,1338.26,175935,49117790,25
2013.08.15,1342.58,1370.1,1318.9,1364.74,271208,72860762,25
2013.08.16,1362.87,1379.57,1357.74,1376.56,252357,67344972,22
2013.08.19,1376.65,1384.4,1362.34,1365.62,199012,57343500,23
2013.08.20,1367.34,1377.61,1352.35,1369.38,205445,56866821,21
2013.08.21,1368.67,1379.17,1355.1,1356.88,237206,62822230,24
2013.08.22,1358.52,1381.74,1356.32,1378.25,203953,53203942,24
2013.08.23,1374.63,1400.01,1368.66,1397.68,198564,51023690,19
2013.08.26,1395.91,1404.74,1389.45,1400.96,161110,45149690,11
2013.08.27,1402.89,1423.76,1395.79,1416.94,214054,57375845,20
2013.08.28,1418.63,1433.73,1413.37,1417.68,241158,65566015,25
2013.08.29,1417.79,1418.0,1402.47,1404.91,230164,60678395,23
2013.08.30,1404.04,1411.2,1392.18,1394.81,181318,49938520,24
2013.09.02,1380.46,1398.3,1379.39,1391.6,118799,31377246,16
2013.09.03,1393.68,1416.35,1384.5,1411.56,192342,51200380,21
2013.09.04,1411.36,1414.98,1384.71,1391.5,182704,51448000,24
2013.09.05,1393.52,1399.88,1364.74,1367.22,182961,49388260,0
2013.09.06,1369.19,1393.33,1359.91,1391.13,175406,48077650,0
2013.09.09,1388.73,1391.95,1382.07,1387.33,104202,27581900,0
2013.09.10,1386.78,1387.17,1357.78,1365.49,143368,39297000,21
2013.09.11,1366.05,1368.58,1356.68,1364.34,128103,33950900,23
2013.09.12,1364.84,1365.81,1320.59,1322.76,198361,53301358,21
2013.09.13,1327.18,1330.88,1304.91,1326.15,209333,53975480,16
2013.09.16,1330.03,1332.89,1303.86,1313.79,192410,51419480,20
2013.09.17,1312.98,1323.95,1306.19,1306.7,163349,45392350,19
2013.09.18,1306.61,1367.38,1291.79,1362.47,266599,69670963,15
2013.09.19,1367.77,1375.08,1358.64,1367.65,205915,52811032,23
2013.09.20,1365.62,1366.51,1324.67,1325.65,195707,50100750,16
2013.09.23,1329.8,1331.87,1313.36,1321.94,202461,54883627,18
2013.09.24,1326.89,1329.32,1305.8,1323.41,212669,59102772,17
2013.09.25,1325.37,1338.09,1316.66,1332.78,194130,50498700,19
2013.09.26,1332.08,1339.23,1318.82,1321.89,181255,49935476,15
2013.09.27,1324.07,1344.09,1319.72,1336.46,293547,68482812,11
2013.09.30,1340.24,1343.28,1322.6,1329.29,142437,40611550,17
2013.10.01,1328.56,1337.67,1282.3,1289.56,230740,60785000,14
2013.10.02,1289.19,1323.88,1277.81,1315.96,222594,56645982,18
2013.10.03,1314.84,1322.03,1301.97,1315.89,229456,62661770,16
2013.10.04,1316.66,1324.39,1305.75,1310.51,166830,44453137,20
2013.10.07,1313.69,1328.97,1308.56,1322.24,190046,51268350,15
2013.10.08,1323.11,1330.09,1315.52,1319.42,235000,64827416,13
2013.10.09,1320.29,1321.45,1294.76,1305.42,274150,74722260,17
2013.10.10,1302.87,1311.78,1282.49,1287.68,251243,69814715,14
2013.10.11,1287.88,1294.58,1262.13,1272.08,300601,82353492,16
2013.10.14,1272.95,1289.3,1268.71,1273.13,97798,50501343,7
2013.10.15,1272.18,1288.11,1251.67,1279.65,114127,52453106,0
2013.10.16,1275.29,1288.3,1269.3,1280.55,105149,53977798,10
2013.10.17,1281.13,1324.41,1274.54,1318.47,115801,58786810,8
2013.10.18,1315.91,1327.19,1311.76,1316.08,76639,37883558,8
2013.10.21,1317.53,1324.15,1313.69,1314.75,60399,29133032,16
2013.10.22,1315.61,1344.73,1310.19,1341.16,63440,34857388,10
2013.10.23,1339.39,1342.27,1329.27,1332.2,68840,36132070,7
2013.10.24,1332.37,1352.07,1332.24,1346.47,70829,37385935,10
2013.10.25,1346.71,1355.8,1336.66,1350.44,66756,36233733,3
2013.10.28,1350.12,1361.77,1346.43,1353.2,59294,30763116,8
2013.10.29,1353.63,1360.61,1340.29,1343.43,70143,36655343,11
2013.10.30,1343.39,1359.59,1334.81,1338.53,75701,37912382,8
2013.10.31,1338.92,1340.0,1319.15,1323.2,75905,40807785,6
2013.11.01,1326.01,1327.45,1306.15,1315.85,71773,38710537,16
2013.11.04,1314.9,1322.54,1311.19,1315.14,53895,27747961,2
2013.11.05,1315.64,1320.14,1305.95,1312.69,63664,32446187,16
2013.11.06,1310.92,1322.05,1309.19,1317.79,56676,32428381,17
2013.11.07,1316.46,1326.34,1296.77,1309.5,71472,36193488,13
2013.11.08,1309.27,1313.74,1281.07,1287.8,67755,36967972,14
2013.11.11,1284.48,1288.11,1279.09,1282.32,53127,32893275,29
2013.11.12,1281.3,1285.27,1261.33,1267.45,74466,42278558,32
2013.11.13,1268.27,1286.69,1268.24,1284.99,68085,34599864,34
2013.11.14,1283.91,1294.25,1278.12,1286.92,76032,44008194,2
2013.11.15,1286.89,1291.13,1280.37,1287.97,59304,31326261,31
2013.11.18,1287.38,1288.21,1269.98,1274.11,59849,30853939,30
2013.11.19,1274.71,1278.79,1269.15,1275.16,67393,37773424,28
2013.11.20,1274.54,1276.35,1241.05,1246.95,80960,45875401,34
2013.11.21,1248.45,1250.37,1236.71,1244.07,73212,44467779,25
2013.11.22,1243.54,1248.9,1241.08,1243.15,54657,34423066,24
2013.11.25,1243.77,1257.87,1226.77,1252.82,67393,40909669,0
2013.11.26,1251.72,1255.15,1239.6,1243.39,55250,29305244,26
2013.11.27,1244.17,1254.63,1234.72,1238.2,57103,30200927,11
2013.11.28,1237.16,1245.65,1236.48,1244.05,29510,18483200,25
2013.11.29,1242.88,1254.75,1240.74,1252.92,43185,27476999,27
2013.12.02,1247.76,1248.32,1217.77,1223.02,70294,44536629,37
2013.12.03,1222.58,1226.12,1215.19,1224.54,62092,33919065,32
2013.12.04,1223.36,1251.49,1211.71,1237.95,78145,46320044,33
2013.12.05,1238.35,1241.47,1217.04,1226.09,81405,42503540,33
2013.12.06,1228.14,1244.53,1212.7,1228.61,72028,39296392,33
2013.12.09,1227.42,1243.03,1225.24,1238.77,61699,33359744,33
2013.12.10,1238.82,1267.76,1237.85,1261.07,72453,42279791,34
2013.12.11,1259.67,1263.28,1251.08,1253.92,74787,45237791,32
2013.12.12,1253.74,1256.92,1223.89,1227.77,77218,42487143,36
2013.12.13,1227.75,1238.65,1220.54,1238.41,71532,42013503,34
2013.12.16,1235.37,1251.86,1227.75,1240.13,73863,40066065,26
2013.12.17,1242.3,1248.0,1227.41,1233.83,72458,43684742,29
2013.12.18,1233.05,1244.45,1215.8,1219.11,78436,43889348,30
2013.12.19,1224.13,1226.46,1187.14,1191.57,89171,51531324,30
2013.12.20,1193.41,1207.43,1191.25,1202.93,69415,39625002,29
2013.12.23,1203.06,1206.12,1192.65,1198.27,49722,27344040,27
2013.12.24,1198.17,1203.02,1196.1,1202.91,27607,17688277,31
2013.12.26,1204.44,1215.78,1204.13,1209.1,27029,19201472,28
2013.12.27,1209.81,1219.02,1209.3,1213.13,49816,30931409,28
2013.12.30,1212.71,1213.92,1195.12,1198.49,61348,32038489,33
2013.12.31,1198.84,1214.54,1182.42,1206.79,47813,33298073,30
2014.01.02,1225.12,1230.78,1213.57,1223.69,57299,33540710,35
2014.01.03,1234.32,1240.14,1226.94,1236.05,65465,40795041,28
2014.01.06,1235.07,1248.33,1214.21,1237.64,72728,39098699,29
2014.01.07,1238.13,1245.25,1224.9,1229.27,70403,39884575,27
2014.01.08,1230.71,1231.85,1218.43,1226.14,69082,33954904,26
2014.01.09,1226.19,1231.32,1223.49,1228.85,55312,20669383,34
2014.01.10,1228.16,1248.84,1227.16,1247.78,60479,25500102,33
2014.01.13,1248.03,1254.99,1243.57,1254.07,55422,20919434,32
2014.01.14,1252.74,1255.19,1241.64,1243.35,55566,22370934,32
2014.01.15,1243.85,1243.95,1234.21,1240.99,58845,24189606,32
2014.01.16,1239.9,1245.3,1236.31,1242.04,54451,25418890,35
2014.01.17,1242.18,1254.87,1237.72,1253.75,53462,29681315,34
2014.01.20,1256.85,1258.19,1250.15,1255.29,28872,13666223,29
2014.01.21,1254.16,1254.27,1235.58,1242.87,55029,26202935,29
2014.01.22,1243.17,1243.54,1235.89,1237.03,46451,20792720,31
