<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	1394.44	1398.00	1392.26	1394.67	17310	4169500	34
2013.06.03	04:00:00	1394.67	1398.50	1393.86	1396.57	15062	3960880	17
2013.06.03	08:00:00	1396.57	1401.77	1391.24	1394.25	32588	8806170	23
2013.06.03	12:00:00	1394.25	1406.90	1390.67	1403.65	69129	18210426	25
2013.06.03	16:00:00	1403.67	1417.04	1402.42	1410.61	52452	12291900	25
2013.06.03	20:00:00	1410.62	1413.42	1410.08	1413.40	8153	2024700	30
2013.06.04	00:00:00	1412.69	1415.07	1410.76	1411.89	16618	4761500	17
2013.06.04	04:00:00	1411.91	1412.32	1406.31	1407.69	19507	5633506	20
2013.06.04	08:00:00	1407.68	1407.89	1398.39	1399.29	37599	10826385	17
2013.06.04	12:00:00	1399.27	1401.05	1389.07	1393.90	70945	21282180	13
2013.06.04	16:00:00	1393.94	1399.21	1392.85	1398.49	33903	9301700	25
2013.06.04	20:00:00	1398.49	1399.82	1397.74	1399.64	4539	1236800	40
2013.06.05	00:00:00	1398.60	1407.72	1397.46	1406.81	17293	4800800	30
2013.06.05	04:00:00	1406.81	1408.23	1402.89	1403.19	20033	5987800	21
2013.06.05	08:00:00	1403.21	1404.46	1395.81	1396.22	36900	9925250	15
2013.06.05	12:00:00	1396.23	1409.09	1395.98	1405.64	78020	19264620	25
2013.06.05	16:00:00	1405.64	1410.52	1396.67	1400.33	54830	12822200	25
2013.06.05	20:00:00	1400.31	1403.93	1399.76	1402.07	6713	1949000	36
2013.06.06	00:00:00	1401.08	1402.84	1397.98	1399.28	16999	4834000	18
2013.06.06	04:00:00	1399.26	1400.04	1396.19	1397.12	21385	6417900	25
2013.06.06	08:00:00	1397.12	1406.51	1391.78	1405.55	40744	11302700	19
2013.06.06	12:00:00	1405.57	1409.98	1395.14	1408.64	70793	18326000	25
2013.06.06	16:00:00	1408.64	1423.89	1401.44	1413.37	79408	17808850	25
2013.06.06	20:00:00	1413.38	1413.68	1411.25	1412.00	6660	1779100	36
2013.06.07	00:00:00	1411.75	1417.97	1411.50	1413.64	20270	5773900	24
2013.06.07	04:00:00	1413.65	1415.30	1411.66	1412.09	28218	8157900	20
2013.06.07	08:00:00	1412.09	1414.19	1409.12	1410.79	35085	9671150	12
2013.06.07	12:00:00	1410.79	1413.20	1381.09	1386.50	109481	26610287	25
2013.06.07	16:00:00	1386.50	1386.73	1377.78	1380.38	48196	11602700	31
2013.06.07	20:00:00	1380.41	1382.90	1378.28	1381.96	9085	2340500	46
2013.06.10	00:00:00	1384.34	1387.93	1384.22	1387.00	13246	3540400	30
2013.06.10	04:00:00	1387.00	1387.24	1380.43	1381.22	17962	4881850	12
2013.06.10	08:00:00	1381.22	1382.11	1376.30	1381.07	34265	8336850	23
2013.06.10	12:00:00	1381.07	1386.25	1375.79	1384.13	75235	19559000	18
2013.06.10	16:00:00	1384.11	1388.95	1381.35	1386.49	38766	10340550	17
2013.06.10	20:00:00	1386.51	1387.53	1384.00	1385.58	6185	1718300	35
2013.06.11	00:00:00	1384.04	1386.82	1382.95	1385.09	10975	2687850	36
2013.06.11	04:00:00	1385.09	1386.43	1381.86	1383.53	19959	5306900	26
