<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.88131	0.88544	0.88036	0.88410	90805	0	24
2024.03.04	0.88338	0.88518	0.88294	0.88300	65657	0	24
2024.03.05	0.88299	0.88472	0.88043	0.88300	87627	0	1
2024.03.06	0.88364	0.88876	0.88256	0.88634	104495	0	17
2024.03.07	0.88658	0.89233	0.88566	0.89034	93120	0	21
2024.03.08	0.89067	0.89483	0.88968	0.89341	98275	0	14
2024.03.11	0.89211	0.89338	0.89053	0.89145	88300	0	4
2024.03.12	0.89143	0.89430	0.88920	0.89105	99916	0	1
2024.03.13	0.89116	0.89313	0.89025	0.89174	95385	0	1
2024.03.14	0.89186	0.89272	0.88888	0.89020	85525	0	1
2024.03.15	0.89035	0.89070	0.88688	0.88806	87371	0	2
2024.03.18	0.88771	0.88991	0.88703	0.88753	67497	0	2
2024.03.19	0.88684	0.88844	0.88301	0.88594	86449	0	1
2024.03.20	0.88607	0.88856	0.88477	0.88847	82012	0	2
2024.03.21	0.88846	0.89283	0.88693	0.88786	97227	0	1
2024.03.22	0.88785	0.88918	0.88339	0.88612	78595	0	1
2024.03.25	0.88535	0.88904	0.88514	0.88832	76484	0	1
2024.03.26	0.88769	0.88975	0.88652	0.88724	69946	0	1
2024.03.27	0.88722	0.88791	0.88524	0.88626	78749	0	1
2024.03.28	0.88626	0.88750	0.88157	0.88200	76142	0	2
2024.03.29	0.88208	0.88456	0.88074	0.88104	29875	0	5
2024.04.01	0.88241	0.88379	0.87996	0.88038	64130	0	1
2024.04.02	0.87976	0.88469	0.87956	0.88404	72814	0	1
2024.04.03	0.88446	0.88848	0.88262	0.88772	81324	0	1
2024.04.04	0.88771	0.89350	0.88650	0.89193	71194	0	1
2024.04.05	0.89192	0.89509	0.89070	0.89379	93432	0	2
2024.04.08	0.89228	0.89779	0.89207	0.89614	82269	0	1
2024.04.09	0.89599	0.90060	0.89556	0.89930	82384	0	1
2024.04.10	0.89879	0.89981	0.88972	0.89079	97812	0	1
2024.04.11	0.89078	0.89543	0.88956	0.89473	103090	0	1
