<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.88131	0.88266	0.88036	0.88252	9836	0	26
2024.03.01	04:00:00	0.88253	0.88337	0.88242	0.88316	8285	0	26
2024.03.01	08:00:00	0.88317	0.88372	0.88179	0.88244	15395	0	26
2024.03.01	12:00:00	0.88244	0.88336	0.88152	0.88266	17728	0	26
2024.03.01	16:00:00	0.88267	0.88528	0.88220	0.88495	25716	0	26
2024.03.01	20:00:00	0.88495	0.88544	0.88390	0.88410	13845	0	24
2024.03.04	00:00:00	0.88338	0.88518	0.88337	0.88442	6955	0	25
2024.03.04	04:00:00	0.88442	0.88496	0.88378	0.88380	5736	0	25
2024.03.04	08:00:00	0.88379	0.88501	0.88377	0.88455	9964	0	24
2024.03.04	12:00:00	0.88455	0.88508	0.88391	0.88401	12884	0	25
2024.03.04	16:00:00	0.88401	0.88464	0.88344	0.88398	20185	0	26
2024.03.04	20:00:00	0.88400	0.88412	0.88294	0.88300	9933	0	26
2024.03.05	00:00:00	0.88299	0.88376	0.88237	0.88325	9018	0	1
2024.03.05	04:00:00	0.88324	0.88338	0.88151	0.88153	8831	0	26
2024.03.05	08:00:00	0.88153	0.88183	0.88043	0.88125	13450	0	24
2024.03.05	12:00:00	0.88126	0.88254	0.88115	0.88234	14129	0	24
2024.03.05	16:00:00	0.88234	0.88472	0.88149	0.88374	24811	0	26
2024.03.05	20:00:00	0.88376	0.88431	0.88251	0.88300	17388	0	1
2024.03.06	00:00:00	0.88364	0.88422	0.88256	0.88272	10832	0	26
2024.03.06	04:00:00	0.88273	0.88539	0.88271	0.88505	11618	0	17
2024.03.06	08:00:00	0.88505	0.88602	0.88493	0.88592	18393	0	25
2024.03.06	12:00:00	0.88592	0.88727	0.88548	0.88713	19965	0	25
2024.03.06	16:00:00	0.88713	0.88876	0.88576	0.88744	26892	0	26
2024.03.06	20:00:00	0.88745	0.88804	0.88633	0.88634	16795	0	26
2024.03.07	00:00:00	0.88658	0.88845	0.88566	0.88772	9318	0	21
2024.03.07	04:00:00	0.88772	0.88952	0.88748	0.88831	11974	0	26
2024.03.07	08:00:00	0.88830	0.89091	0.88822	0.89084	16615	0	25
2024.03.07	12:00:00	0.89086	0.89233	0.89082	0.89116	17812	0	26
2024.03.07	16:00:00	0.89116	0.89214	0.89038	0.89116	23867	0	26
2024.03.07	20:00:00	0.89120	0.89128	0.89028	0.89034	13534	0	26
2024.03.08	00:00:00	0.89067	0.89135	0.88975	0.89022	9079	0	14
2024.03.08	04:00:00	0.89021	0.89177	0.88968	0.89175	8787	0	26
2024.03.08	08:00:00	0.89174	0.89267	0.89083	0.89263	16451	0	25
2024.03.08	12:00:00	0.89262	0.89483	0.89153	0.89335	19078	0	25
2024.03.08	16:00:00	0.89335	0.89432	0.89198	0.89283	29831	0	26
2024.03.08	20:00:00	0.89283	0.89347	0.89247	0.89341	15049	0	26
2024.03.11	00:00:00	0.89211	0.89338	0.89209	0.89242	8354	0	4
2024.03.11	04:00:00	0.89240	0.89277	0.89099	0.89143	12809	0	26
2024.03.11	08:00:00	0.89142	0.89220	0.89071	0.89092	16122	0	25
2024.03.11	12:00:00	0.89092	0.89180	0.89085	0.89147	17356	0	25
2024.03.11	16:00:00	0.89147	0.89202	0.89053	0.89093	23353	0	26
2024.03.11	20:00:00	0.89096	0.89157	0.89054	0.89145	10306	0	26
2024.03.12	00:00:00	0.89143	0.89207	0.89011	0.89161	7457	0	2
2024.03.12	04:00:00	0.89162	0.89209	0.89089	0.89117	10350	0	26
2024.03.12	08:00:00	0.89118	0.89175	0.89044	0.89119	13622	0	25
2024.03.12	12:00:00	0.89118	0.89430	0.88920	0.89207	20486	0	2
2024.03.12	16:00:00	0.89207	0.89212	0.88977	0.89063	31434	0	26
2024.03.12	20:00:00	0.89062	0.89138	0.89026	0.89105	16567	0	1
2024.03.13	00:00:00	0.89116	0.89183	0.89025	0.89096	7356	0	2
2024.03.13	04:00:00	0.89096	0.89252	0.89065	0.89232	15647	0	26
2024.03.13	08:00:00	0.89232	0.89273	0.89129	0.89146	19469	0	26
2024.03.13	12:00:00	0.89144	0.89219	0.89070	0.89174	18441	0	13
2024.03.13	16:00:00	0.89175	0.89240	0.89066	0.89199	22466	0	25
2024.03.13	20:00:00	0.89197	0.89313	0.89165	0.89174	12006	0	1
2024.03.14	00:00:00	0.89186	0.89272	0.89069	0.89209	5914	0	2
2024.03.14	04:00:00	0.89209	0.89262	0.89066	0.89130	8944	0	2
2024.03.14	08:00:00	0.89128	0.89209	0.89100	0.89146	12346	0	3
2024.03.14	12:00:00	0.89148	0.89247	0.89039	0.89120	16780	0	25
2024.03.14	16:00:00	0.89119	0.89128	0.88888	0.89029	26666	0	25
2024.03.14	20:00:00	0.89031	0.89079	0.88994	0.89020	14875	0	1
2024.03.15	00:00:00	0.89035	0.89070	0.88877	0.88912	8504	0	2
2024.03.15	04:00:00	0.88910	0.88938	0.88789	0.88879	13483	0	2
2024.03.15	08:00:00	0.88880	0.88938	0.88745	0.88816	17024	0	4
2024.03.15	12:00:00	0.88817	0.88889	0.88738	0.88799	15956	0	2
2024.03.15	16:00:00	0.88800	0.88875	0.88688	0.88819	22593	0	25
2024.03.15	20:00:00	0.88820	0.88863	0.88755	0.88806	9811	0	4
2024.03.18	00:00:00	0.88771	0.88873	0.88704	0.88840	5759	0	2
2024.03.18	04:00:00	0.88840	0.88913	0.88795	0.88868	10379	0	2
2024.03.18	08:00:00	0.88867	0.88899	0.88779	0.88888	10626	0	3
2024.03.18	12:00:00	0.88887	0.88991	0.88833	0.88882	12477	0	2
2024.03.18	16:00:00	0.88882	0.88949	0.88750	0.88762	17741	0	25
2024.03.18	20:00:00	0.88763	0.88785	0.88703	0.88753	10515	0	3
2024.03.19	00:00:00	0.88684	0.88770	0.88620	0.88698	5972	0	2
2024.03.19	04:00:00	0.88699	0.88844	0.88424	0.88441	16906	0	3
2024.03.19	08:00:00	0.88441	0.88454	0.88336	0.88410	17461	0	25
2024.03.19	12:00:00	0.88407	0.88687	0.88301	0.88675	17139	0	25
2024.03.19	16:00:00	0.88675	0.88769	0.88538	0.88570	19138	0	25
