<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.57480	0.57810	0.57392	0.57580	53803	0	22
2024.03.04	0.57531	0.57725	0.57435	0.57560	40758	0	2
2024.03.05	0.57579	0.57630	0.57357	0.57411	50278	0	7
2024.03.06	0.57386	0.57979	0.57314	0.57865	55635	0	8
2024.03.07	0.57858	0.58163	0.57819	0.58058	55296	0	7
2024.03.08	0.58031	0.58251	0.57988	0.58071	54290	0	4
2024.03.11	0.57927	0.58141	0.57880	0.58006	49365	0	24
2024.03.12	0.57879	0.58075	0.57836	0.57891	58534	0	24
2024.03.13	0.57903	0.58194	0.57837	0.58172	52807	0	1
2024.03.14	0.58150	0.58279	0.58040	0.58131	51100	0	1
2024.03.15	0.58142	0.58177	0.57890	0.57943	48643	0	1
2024.03.18	0.57870	0.58250	0.57794	0.58217	44784	0	1
2024.03.19	0.58178	0.58272	0.57721	0.57993	51914	0	1
2024.03.20	0.57998	0.58407	0.57912	0.58396	50695	0	1
2024.03.21	0.58365	0.59315	0.58265	0.58903	61520	0	4
2024.03.22	0.58930	0.59020	0.58379	0.58432	52956	0	1
2024.03.25	0.58360	0.58816	0.58360	0.58803	45966	0	1
2024.03.26	0.58777	0.59207	0.58697	0.59042	46475	0	1
2024.03.27	0.59007	0.59184	0.58858	0.59036	47188	0	1
2024.03.28	0.58971	0.59145	0.58691	0.58731	51315	0	1
2024.03.29	0.58731	0.58877	0.58524	0.58627	35089	0	9
2024.04.01	0.58664	0.58947	0.58608	0.58651	41433	0	1
2024.04.02	0.58670	0.59186	0.58584	0.59165	46978	0	1
2024.04.03	0.59165	0.59357	0.59051	0.59254	49053	0	1
2024.04.04	0.59236	0.59912	0.59176	0.59366	45430	0	1
2024.04.05	0.59330	0.59518	0.59160	0.59329	53807	0	1
2024.04.08	0.59202	0.59821	0.59091	0.59778	52073	0	1
2024.04.09	0.59762	0.59945	0.59666	0.59874	47173	0	1
2024.04.10	0.59810	0.59888	0.59322	0.59435	71377	0	1
2024.04.11	0.59412	0.59641	0.59229	0.59478	83371	0	1
2024.04.12	0.59409	0.59528	0.58859	0.59066	79791	0	1
2024.04.15	0.58931	0.59307	0.58694	0.58710	90556	0	2
2024.04.16	0.58678	0.58781	0.58367	0.58429	89211	0	2
2024.04.17	0.58393	0.58644	0.58334	0.58590	77153	0	2
2024.04.18	0.58506	0.58730	0.58464	0.58569	75289	0	1
2024.04.19	0.58535	0.58622	0.57405	0.58412	101767	0	2
2024.04.22	0.58361	0.58813	0.58230	0.58804	70264	0	1
2024.04.23	0.58728	0.59147	0.58672	0.59135	71259	0	2
2024.04.24	0.59137	0.59501	0.58952	0.59423	64891	0	1
2024.04.25	0.59422	0.59658	0.59311	0.59447	69560	0	1
2024.04.26	0.59381	0.59794	0.59379	0.59736	70479	0	2
2024.04.29	0.59641	0.59984	0.59507	0.59767	68692	0	1
2024.04.30	0.59768	0.59804	0.59282	0.59500	68718	0	1
2024.05.01	0.59460	0.59902	0.59412	0.59716	69024	0	1
2024.05.02	0.59651	0.59931	0.59457	0.59771	79583	0	1
2024.05.03	0.59697	0.60001	0.59569	0.59805	73263	0	1
2024.05.06	0.59931	0.60066	0.59688	0.60010	47860	0	1
2024.05.07	0.60028	0.60196	0.59729	0.59913	54988	0	1
2024.05.08	0.59852	0.59936	0.59598	0.59731	44943	0	1
2024.05.09	0.59681	0.59978	0.59618	0.59956	49718	0	3
2024.05.10	0.59956	0.60008	0.59796	0.59843	49547	0	1
2024.05.13	0.59821	0.60025	0.59672	0.59999	42553	0	1
2024.05.14	0.59929	0.60077	0.59864	0.60054	54601	0	1
2024.05.15	0.60055	0.60410	0.59911	0.60370	59632	0	1
2024.05.16	0.60323	0.60518	0.60119	0.60502	59652	0	1
2024.05.17	0.60445	0.60853	0.60368	0.60836	48093	0	1
2024.05.20	0.60782	0.60984	0.60567	0.60697	44021	0	1
2024.05.21	0.60639	0.60786	0.60523	0.60704	54962	0	1
2024.05.22	0.60689	0.60929	0.60471	0.60602	59397	0	1
2024.05.23	0.60532	0.60713	0.60322	0.60385	65172	0	3
2024.05.24	0.60349	0.60659	0.60311	0.60611	55850	0	3
2024.05.27	0.60541	0.60852	0.60455	0.60703	36902	0	1
2024.05.28	0.60733	0.60847	0.60566	0.60659	61522	0	1
2024.05.29	0.60661	0.60784	0.60342	0.60344	65739	0	3
2024.05.30	0.60295	0.60455	0.59858	0.59901	67961	0	2
2024.05.31	0.59878	0.60286	0.59831	0.60020	69950	0	2
2024.06.03	0.60031	0.60094	0.59652	0.59905	67339	0	1
2024.06.04	0.59825	0.59932	0.59039	0.59180	75631	0	1
2024.06.05	0.59112	0.59449	0.59068	0.59383	57719	0	1
2024.06.06	0.59377	0.59512	0.59121	0.59261	54846	0	2
2024.06.07	0.59263	0.59414	0.58960	0.58974	66243	0	1
2024.06.10	0.58971	0.59278	0.58829	0.59243	55083	0	13
2024.06.11	0.59195	0.59319	0.59093	0.59282	54087	0	1
2024.06.12	0.59279	0.59761	0.59139	0.59584	68229	0	2
2024.06.13	0.59584	0.59632	0.59223	0.59298	60862	0	2
2024.06.14	0.59286	0.59321	0.58737	0.58867	70364	0	7
2024.06.17	0.58831	0.58947	0.58669	0.58809	55656	0	24
2024.06.18	0.58663	0.59007	0.58602	0.58839	61206	0	2
2024.06.19	0.58802	0.59086	0.58726	0.58962	40664	0	1
2024.06.20	0.58928	0.59513	0.58853	0.59312	63535	0	3
2024.06.21	0.59263	0.59494	0.59195	0.59365	57612	0	1
2024.06.24	0.59216	0.59524	0.59215	0.59384	56169	0	2
2024.06.25	0.59418	0.59592	0.59316	0.59450	52657	0	1
2024.06.26	0.59465	0.59947	0.59336	0.59639	59874	0	3
2024.06.27	0.59569	0.59856	0.59521	0.59733	57894	0	1
2024.06.28	0.59681	0.60088	0.59551	0.59927	65399	0	6
2024.07.01	0.59951	0.60262	0.59874	0.60108	60330	0	6
2024.07.02	0.60048	0.60303	0.59945	0.60257	56186	0	6
2024.07.03	0.60208	0.60586	0.60189	0.60405	54510	0	6
2024.07.04	0.60358	0.60703	0.60338	0.60495	40313	0	7
2024.07.05	0.60495	0.60623	0.60397	0.60444	58299	0	6
2024.07.08	0.60316	0.60544	0.60268	0.60463	52213	0	6
2024.07.09	0.60434	0.60596	0.60388	0.60510	51803	0	6
2024.07.10	0.60472	0.60709	0.60422	0.60691	47804	0	6
2024.07.11	0.60680	0.60826	0.60444	0.60588	63081	0	6
2024.07.12	0.60482	0.60750	0.60448	0.60674	67288	0	6
2024.07.15	0.60474	0.60739	0.60469	0.60541	64095	0	6
2024.07.16	0.60525	0.60578	0.60159	0.60167	57960	0	6
2024.07.17	0.60139	0.60260	0.59381	0.59439	69136	0	6
2024.07.18	0.59342	0.59624	0.59334	0.59520	71625	0	6
2024.07.19	0.59319	0.59617	0.59311	0.59410	63104	0	6
2024.07.22	0.59355	0.59497	0.58977	0.59082	62041	0	6
2024.07.23	0.59071	0.59118	0.58912	0.58950	56065	0	6
2024.07.24	0.58928	0.58970	0.58243	0.58246	66930	0	6
2024.07.25	0.58172	0.58260	0.57228	0.57638	84885	0	6
2024.07.26	0.57570	0.58012	0.57517	0.57850	61392	0	6
2024.07.29	0.57781	0.58045	0.57734	0.58026	58438	0	6
2024.07.30	0.57955	0.58229	0.57687	0.57702	62778	0	7
2024.07.31	0.57703	0.57757	0.57120	0.57425	91998	0	7
2024.08.01	0.57356	0.57503	0.56626	0.56743	85570	0	6
2024.08.02	0.56678	0.56939	0.55800	0.55847	99261	0	6
2024.08.05	0.55803	0.55946	0.53655	0.55325	153550	0	7
2024.08.06	0.55303	0.55952	0.55162	0.55478	128368	0	6
2024.08.07	0.55379	0.56843	0.55376	0.56168	108988	0	6
2024.08.08	0.56108	0.57147	0.55816	0.57128	104742	0	6
2024.08.09	0.57046	0.57245	0.56725	0.56851	79638	0	6
2024.08.12	0.56696	0.57496	0.56682	0.56938	71796	0	6
2024.08.13	0.56921	0.57411	0.56887	0.57277	72288	0	6
2024.08.14	0.57276	0.57504	0.57004	0.57039	79481	0	6
2024.08.15	0.56990	0.57809	0.56828	0.57695	66952	0	6
2024.08.16	0.57676	0.57842	0.57413	0.57761	60047	0	6
2024.08.19	0.57627	0.58095	0.57552	0.58044	68151	0	6
2024.08.20	0.58006	0.58147	0.57588	0.57588	67221	0	6
2024.08.21	0.57542	0.57689	0.57355	0.57403	67451	0	6
2024.08.22	0.57352	0.57475	0.57049	0.57133	63380	0	6
2024.08.23	0.57024	0.57662	0.56999	0.57611	66280	0	6
2024.08.26	0.57487	0.57619	0.57287	0.57364	57901	0	6
2024.08.27	0.57275	0.57547	0.57071	0.57163	57150	0	6
2024.08.28	0.57117	0.57379	0.56962	0.57140	64786	0	6
2024.08.29	0.57071	0.57697	0.57037	0.57596	70360	0	6
2024.08.30	0.57521	0.57808	0.57415	0.57500	62893	0	6
2024.09.02	0.57387	0.57859	0.57344	0.57765	38978	0	6
2024.09.03	0.57734	0.57861	0.57024	0.57063	69272	0	6
2024.09.04	0.57039	0.57309	0.56729	0.56917	70601	0	6
2024.09.05	0.56843	0.57137	0.56775	0.56883	69052	0	6
2024.09.06	0.56809	0.57055	0.56168	0.56233	82786	0	6
2024.09.09	0.56226	0.56597	0.56125	0.56567	60893	0	6
2024.09.10	0.56545	0.56644	0.56206	0.56335	58234	0	6
2024.09.11	0.56263	0.56940	0.56039	0.56874	80659	0	6
2024.09.12	0.56824	0.57285	0.56799	0.57207	71241	0	6
2024.09.13	0.57101	0.57239	0.56665	0.56930	66523	0	6
2024.09.16	0.56708	0.57062	0.56708	0.57034	56457	0	6
2024.09.17	0.56989	0.57284	0.56909	0.57218	62818	0	6
2024.09.18	0.57142	0.57354	0.57040	0.57232	73250	0	6
2024.09.19	0.57165	0.57936	0.57104	0.57766	94382	0	6
2024.09.20	0.57681	0.57985	0.57582	0.57872	75539	0	6
2024.09.23	0.57700	0.58184	0.57664	0.57948	66754	0	6
2024.09.24	0.57863	0.58291	0.57814	0.58115	71032	0	6
2024.09.25	0.58098	0.58453	0.57860	0.58016	71874	0	6
2024.09.26	0.57994	0.58490	0.57800	0.58343	83241	0	6
2024.09.27	0.58199	0.58438	0.57976	0.57996	87347	0	6
2024.09.30	0.57877	0.58647	0.57877	0.58452	80536	0	6
2024.10.01	0.58337	0.58701	0.57998	0.58264	85902	0	6
2024.10.02	0.58149	0.58667	0.58114	0.58497	78093	0	6
2024.10.03	0.58424	0.58668	0.58114	0.58292	81512	0	6
2024.10.04	0.58216	0.58486	0.58166	0.58274	71827	0	6
2024.10.07	0.58218	0.58491	0.57593	0.57679	72956	0	6
2024.10.08	0.57620	0.57903	0.57310	0.57722	79459	0	6
2024.10.09	0.57745	0.58009	0.57606	0.57775	71890	0	6
2024.10.10	0.57762	0.58039	0.57540	0.57628	75615	0	6
2024.10.11	0.57599	0.57928	0.57599	0.57860	53803	0	6
2024.10.14	0.57655	0.58143	0.57649	0.58003	56490	0	6
2024.10.15	0.57908	0.58061	0.57696	0.57745	65688	0	6
2024.10.16	0.57707	0.57787	0.57511	0.57688	60877	0	6
2024.10.17	0.57595	0.58073	0.57524	0.57982	66737	0	6
2024.10.18	0.57888	0.58225	0.57884	0.57984	55781	0	6
2024.10.21	0.57919	0.58146	0.57602	0.57672	54036	0	6
2024.10.22	0.57671	0.57927	0.57540	0.57822	56538	0	6
2024.10.23	0.57756	0.57992	0.57335	0.57467	59913	0	6
2024.10.24	0.57366	0.57709	0.57356	0.57477	61097	0	6
2024.10.25	0.57376	0.57601	0.57151	0.57240	52576	0	6
2024.10.28	0.57315	0.57432	0.56913	0.56913	55458	0	6
2024.10.29	0.56890	0.57054	0.56750	0.56876	57404	0	6
2024.10.30	0.56868	0.57152	0.56712	0.56951	62768	0	6
2024.10.31	0.56938	0.56983	0.56572	0.56831	67543	0	6
2024.11.01	0.56809	0.57313	0.56673	0.57047	64629	0	6
2024.11.04	0.57275	0.57293	0.56809	0.56877	65367	0	6
2024.11.05	0.56817	0.57367	0.56805	0.57282	51912	0	6
2024.11.06	0.57225	0.57704	0.56875	0.57522	129345	0	6
2024.11.07	0.57483	0.58327	0.57483	0.58166	83213	0	6
2024.11.08	0.58169	0.58278	0.57479	0.57602	75857	0	6
2024.11.11	0.57623	0.57937	0.57533	0.57908	58406	0	6
2024.11.12	0.57796	0.57969	0.57499	0.57533	72017	0	6
2024.11.13	0.57505	0.57694	0.57320	0.57395	71853	0	6
2024.11.14	0.57341	0.57589	0.57329	0.57437	82837	0	6
2024.11.15	0.57344	0.57525	0.57250	0.57370	78883	0	6
2024.11.18	0.57339	0.57528	0.57207	0.57451	256221	0	7
2024.11.19	0.57401	0.57693	0.57247	0.57585	308610	0	7
2024.11.20	0.57581	0.57743	0.57323	0.57501	248480	0	7
2024.11.21	0.57488	0.57792	0.57454	0.57718	289423	0	7
2024.11.22	0.57702	0.58197	0.57509	0.58119	308320	0	7
2024.11.25	0.58211	0.58324	0.57558	0.57626	288680	0	7
2024.11.26	0.57598	0.57678	0.57198	0.57406	321110	0	7
2024.11.27	0.57329	0.57454	0.57122	0.57249	314257	0	7
2024.11.28	0.57246	0.57494	0.57205	0.57368	193373	0	7
2024.11.29	0.57399	0.57483	0.57228	0.57371	287974	0	7
