<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.57480	0.57527	0.57392	0.57520	6171	0	22
2024.03.01	04:00:00	0.57520	0.57589	0.57510	0.57585	6059	0	25
2024.03.01	08:00:00	0.57587	0.57656	0.57504	0.57525	10429	0	24
2024.03.01	12:00:00	0.57522	0.57682	0.57513	0.57681	10260	0	24
2024.03.01	16:00:00	0.57682	0.57810	0.57649	0.57716	13208	0	24
2024.03.01	20:00:00	0.57716	0.57732	0.57564	0.57580	7676	0	25
2024.03.04	00:00:00	0.57531	0.57685	0.57531	0.57617	5070	0	2
2024.03.04	04:00:00	0.57617	0.57617	0.57535	0.57539	4240	0	23
2024.03.04	08:00:00	0.57539	0.57625	0.57435	0.57556	8548	0	23
2024.03.04	12:00:00	0.57556	0.57725	0.57550	0.57627	7251	0	23
2024.03.04	16:00:00	0.57626	0.57722	0.57592	0.57600	10346	0	24
2024.03.04	20:00:00	0.57601	0.57621	0.57529	0.57560	5303	0	17
2024.03.05	00:00:00	0.57579	0.57629	0.57475	0.57622	6364	0	7
2024.03.05	04:00:00	0.57622	0.57630	0.57458	0.57462	5460	0	14
2024.03.05	08:00:00	0.57462	0.57489	0.57357	0.57445	9145	0	24
2024.03.05	12:00:00	0.57447	0.57560	0.57438	0.57486	8129	0	24
2024.03.05	16:00:00	0.57486	0.57560	0.57441	0.57516	12451	0	24
2024.03.05	20:00:00	0.57517	0.57540	0.57387	0.57411	8729	0	24
2024.03.06	00:00:00	0.57386	0.57500	0.57314	0.57491	7058	0	8
2024.03.06	04:00:00	0.57490	0.57640	0.57477	0.57625	7053	0	24
2024.03.06	08:00:00	0.57623	0.57699	0.57585	0.57692	9485	0	24
2024.03.06	12:00:00	0.57694	0.57793	0.57661	0.57781	10190	0	24
2024.03.06	16:00:00	0.57781	0.57971	0.57749	0.57947	12941	0	24
2024.03.06	20:00:00	0.57948	0.57979	0.57830	0.57865	8908	0	24
2024.03.07	00:00:00	0.57858	0.57970	0.57819	0.57913	7024	0	7
2024.03.07	04:00:00	0.57911	0.58039	0.57862	0.57970	7496	0	24
2024.03.07	08:00:00	0.57966	0.58105	0.57955	0.58093	9960	0	24
2024.03.07	12:00:00	0.58090	0.58161	0.58021	0.58106	10421	0	24
2024.03.07	16:00:00	0.58106	0.58163	0.58065	0.58129	12452	0	24
2024.03.07	20:00:00	0.58128	0.58154	0.58027	0.58058	7943	0	18
2024.03.08	00:00:00	0.58031	0.58117	0.57988	0.58062	6363	0	4
