<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	97.434	98.074	97.328	97.885	72030	0	24
2024.03.04	97.830	98.135	97.817	97.930	73416	0	7
2024.03.05	97.962	98.014	97.404	97.440	66621	0	9
2024.03.06	97.514	98.201	97.369	97.988	72400	0	9
2024.03.07	97.969	98.064	97.422	97.945	78343	0	8
2024.03.08	97.913	98.142	97.260	97.390	72476	0	19
2024.03.11	97.270	97.439	96.886	97.154	64652	0	9
2024.03.12	97.154	97.687	96.860	97.515	72654	0	7
2024.03.13	97.442	97.950	97.228	97.821	70249	0	7
2024.03.14	97.778	97.929	97.412	97.568	65590	0	7
2024.03.15	97.600	97.961	97.258	97.726	63468	0	9
2024.03.18	97.662	98.037	97.628	97.823	55413	0	7
2024.03.19	97.742	98.601	97.551	98.521	66963	0	2
2024.03.20	98.510	99.648	98.446	99.606	63740	0	8
2024.03.21	99.587	100.159	99.275	99.517	73509	0	8
2024.03.22	99.575	99.696	98.502	98.615	65749	0	7
2024.03.25	98.489	99.080	98.465	99.005	58536	0	2
2024.03.26	98.958	99.235	98.858	98.999	53998	0	4
2024.03.27	98.908	99.011	98.471	98.793	60768	0	7
2024.03.28	98.738	98.924	98.158	98.584	58875	0	6
2024.03.29	98.623	98.787	98.421	98.494	28571	0	6
2024.04.01	98.631	98.939	98.257	98.391	47231	0	6
2024.04.02	98.339	98.812	98.246	98.768	55883	0	3
2024.04.03	98.647	99.636	98.573	99.561	56921	0	6
2024.04.04	99.516	100.386	99.405	99.688	53725	0	5
2024.04.05	99.674	99.820	99.184	99.737	64722	0	5
2024.04.08	99.487	100.310	99.487	100.240	57816	0	6
2024.04.09	100.165	100.797	100.136	100.568	53777	0	5
2024.04.10	100.495	100.631	99.375	99.722	82780	0	4
2024.04.11	99.683	100.231	99.385	100.191	97352	0	8
2024.04.12	100.176	100.230	98.722	99.032	92308	0	8
2024.04.15	98.964	100.002	98.840	99.368	104537	0	8
