<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.06717	1.06981	1.06581	1.06765	107366	0	2
2024.03.04	1.06804	1.06990	1.06671	1.06679	66054	0	1
2024.03.05	1.06455	1.06931	1.06455	1.06693	105707	0	1
2024.03.06	1.06619	1.07183	1.06495	1.06981	114060	0	1
2024.03.07	1.06829	1.07292	1.06817	1.07123	116249	0	20
2024.03.08	1.07051	1.07460	1.07039	1.07125	113626	0	1
2024.03.11	1.07011	1.07279	1.06965	1.07149	95263	0	6
2024.03.12	1.07005	1.07407	1.06523	1.07388	119378	0	3
2024.03.13	1.07307	1.07582	1.07209	1.07521	102934	0	4
2024.03.14	1.07350	1.07575	1.07228	1.07303	105264	0	4
2024.03.15	1.07323	1.07873	1.07115	1.07790	99418	0	4
2024.03.18	1.07591	1.07858	1.07590	1.07765	85261	0	6
2024.03.19	1.07527	1.07936	1.07423	1.07907	96756	0	4
2024.03.20	1.07793	1.08411	1.07711	1.08295	98309	0	6
2024.03.21	1.08175	1.08767	1.08166	1.08594	110498	0	2
2024.03.22	1.08594	1.08737	1.08381	1.08657	97122	0	7
2024.03.25	1.08433	1.08959	1.08335	1.08914	87591	0	3
2024.03.26	1.08856	1.09011	1.08639	1.08788	86218	0	1
2024.03.27	1.08719	1.08864	1.08618	1.08808	90802	0	2
2024.03.28	1.08810	1.09089	1.08715	1.09068	89553	0	5
2024.03.29	1.09063	1.09141	1.08680	1.08825	24404	0	1
2024.04.01	1.08863	1.09167	1.08714	1.08975	70041	0	6
2024.04.02	1.08878	1.09264	1.08867	1.09134	94660	0	4
2024.04.03	1.08988	1.09366	1.08988	1.09223	95433	0	2
2024.04.04	1.09131	1.09545	1.09047	1.09313	87452	0	3
2024.04.05	1.09272	1.09480	1.09174	1.09387	105825	0	7
2024.04.08	1.09369	1.09502	1.09185	1.09475	96280	0	5
2024.04.09	1.09473	1.09493	1.09241	1.09366	88030	0	2
2024.04.10	1.09266	1.09477	1.08738	1.08984	106783	0	1
2024.04.11	1.08984	1.09084	1.08809	1.09001	104045	0	7
2024.04.12	1.08995	1.09043	1.08755	1.08831	105815	0	6
2024.04.15	1.08697	1.09195	1.08569	1.09084	111792	0	4
2024.04.16	1.09101	1.09166	1.08806	1.08819	113018	0	6
2024.04.17	1.08848	1.09186	1.08588	1.08746	110829	0	2
2024.04.18	1.08563	1.09005	1.08515	1.08776	101047	0	1
2024.04.19	1.08737	1.09045	1.08523	1.08973	122979	0	9
2024.04.22	1.08816	1.09049	1.08637	1.08939	94618	0	1
2024.04.23	1.08903	1.09366	1.08765	1.09328	92076	0	2
2024.04.24	1.09085	1.09819	1.08941	1.09425	93126	0	1
2024.04.25	1.09299	1.09585	1.09243	1.09562	96651	0	3
2024.04.26	1.09584	1.09978	1.09372	1.09971	93174	0	3
2024.04.29	1.09571	1.10114	1.09491	1.09821	87100	0	3
2024.04.30	1.09818	1.09971	1.09599	1.09923	82346	0	4
2024.05.01	1.09960	1.10167	1.09420	1.10005	88590	0	3
2024.05.02	1.10007	1.10264	1.09777	1.10100	106544	0	4
2024.05.03	1.10156	1.10223	1.09597	1.09944	104709	0	5
2024.05.06	1.09971	1.10261	1.09683	1.10232	69428	0	2
2024.05.07	1.10235	1.10291	1.09725	1.09902	79299	0	1
2024.05.08	1.09800	1.09947	1.09524	1.09571	65324	0	1
2024.05.09	1.09433	1.09780	1.09424	1.09679	73039	0	3
2024.05.10	1.09543	1.09892	1.09473	1.09684	81530	0	1
2024.05.13	1.09701	1.09963	1.09489	1.09809	70367	0	6
2024.05.14	1.09665	1.09877	1.09590	1.09678	88583	0	1
2024.05.15	1.09567	1.09757	1.08849	1.09311	85064	0	2
2024.05.16	1.09202	1.09388	1.08992	1.09063	85719	0	1
2024.05.17	1.09104	1.09219	1.08897	1.09105	70016	0	2
2024.05.20	1.08942	1.09431	1.08937	1.09188	64966	0	1
2024.05.21	1.09124	1.09412	1.09011	1.09401	81400	0	1
2024.05.22	1.09230	1.09432	1.08558	1.08572	96265	0	2
2024.05.23	1.08330	1.08604	1.08243	1.08291	102195	0	1
2024.05.24	1.08246	1.08356	1.08163	1.08264	84130	0	1
2024.05.27	1.08321	1.08321	1.08014	1.08093	57796	0	1
2024.05.28	1.08036	1.08319	1.08036	1.08256	88230	0	2
2024.05.29	1.08233	1.08474	1.07927	1.08084	98055	0	1
2024.05.30	1.08082	1.08488	1.07999	1.08464	100745	0	2
2024.05.31	1.08460	1.08507	1.08163	1.08280	105107	0	2
2024.06.03	1.08231	1.08327	1.07980	1.08009	106248	0	3
2024.06.04	1.07899	1.08121	1.07523	1.07634	113758	0	2
2024.06.05	1.07479	1.07728	1.07333	1.07334	95495	0	1
2024.06.06	1.07219	1.07561	1.07180	1.07455	89686	0	2
2024.06.07	1.07450	1.07824	1.07289	1.07803	106510	0	1
2024.06.10	1.07666	1.07965	1.07620	1.07840	94939	0	1
2024.06.11	1.07768	1.07865	1.07480	1.07501	94146	0	1
2024.06.12	1.07435	1.07819	1.07411	1.07718	108835	0	1
2024.06.13	1.07678	1.07818	1.07509	1.07565	95422	0	2
2024.06.14	1.07451	1.07879	1.07384	1.07694	114310	0	2
2024.06.17	1.07751	1.07983	1.07481	1.07823	91490	0	1
2024.06.18	1.07717	1.08444	1.07717	1.08317	104667	0	2
2024.06.19	1.08134	1.08846	1.08134	1.08668	61839	0	1
2024.06.20	1.08625	1.08910	1.08504	1.08557	101357	0	2
2024.06.21	1.08691	1.08867	1.08438	1.08517	94059	0	2
2024.06.24	1.08469	1.08698	1.08307	1.08665	96061	0	3
2024.06.25	1.08619	1.08861	1.08437	1.08579	93847	0	1
2024.06.26	1.08582	1.09429	1.08310	1.09275	105035	0	2
2024.06.27	1.09269	1.09494	1.09061	1.09271	136317	0	9
2024.06.28	1.09081	1.09641	1.09008	1.09474	169195	0	9
2024.07.01	1.09413	1.09626	1.09279	1.09607	151057	0	9
2024.07.02	1.09451	1.09883	1.09397	1.09679	139254	0	9
2024.07.03	1.09664	1.09942	1.09550	1.09766	137872	0	9
2024.07.04	1.09755	1.09997	1.09738	1.09833	80106	0	10
2024.07.05	1.09841	1.10107	1.09755	1.09805	149739	0	9
2024.07.08	1.09764	1.09981	1.09662	1.09968	119211	0	9
2024.07.09	1.09888	1.10181	1.09837	1.10047	117102	0	9
2024.07.10	1.09981	1.11030	1.09843	1.10937	117451	0	9
2024.07.11	1.10879	1.11089	1.10768	1.10878	163307	0	9
2024.07.12	1.10744	1.11178	1.10676	1.10861	162510	0	9
2024.07.15	1.10773	1.11359	1.10719	1.11270	152169	0	9
2024.07.16	1.11257	1.11427	1.10865	1.11291	134077	0	9
2024.07.17	1.11272	1.11506	1.10618	1.10627	163478	0	9
2024.07.18	1.10551	1.11032	1.10526	1.10929	167474	0	9
2024.07.19	1.10717	1.11280	1.10682	1.11220	150292	0	9
2024.07.22	1.11108	1.11274	1.10963	1.11076	149048	0	9
2024.07.23	1.11002	1.11243	1.10964	1.11048	136935	0	9
2024.07.24	1.10929	1.11367	1.10893	1.10963	161540	0	9
2024.07.25	1.10840	1.11137	1.10360	1.11036	211835	0	9
2024.07.26	1.10937	1.11366	1.10837	1.11192	146093	0	9
2024.07.29	1.11075	1.11481	1.10903	1.11444	136627	0	9
2024.07.30	1.11339	1.11486	1.10722	1.10734	146052	0	9
2024.07.31	1.10737	1.10841	1.09670	1.09935	220345	0	9
2024.08.01	1.09778	1.10038	1.09142	1.09267	211885	0	10
2024.08.02	1.09262	1.09566	1.09128	1.09282	248505	0	10
2024.08.05	1.09209	1.09562	1.08431	1.09344	427287	0	9
2024.08.06	1.09391	1.10080	1.09253	1.09513	314451	0	9
2024.08.07	1.09405	1.09590	1.08711	1.08753	241136	0	9
2024.08.08	1.08724	1.09745	1.08667	1.09616	239631	0	9
2024.08.09	1.09730	1.09772	1.09263	1.09529	185377	0	9
2024.08.12	1.09370	1.09661	1.09119	1.09119	152481	0	9
2024.08.13	1.09318	1.09440	1.09019	1.09089	167213	0	9
2024.08.14	1.09107	1.10406	1.09050	1.09905	184327	0	9
2024.08.15	1.09893	1.10495	1.09688	1.10421	160554	0	9
2024.08.16	1.10407	1.10565	1.09907	1.10144	132254	0	9
2024.08.19	1.10071	1.10332	1.09831	1.10052	154277	0	9
2024.08.20	1.10020	1.10162	1.09556	1.09556	164345	0	9
2024.08.21	1.09557	1.09835	1.09377	1.09427	154142	0	9
2024.08.22	1.09409	1.09626	1.09175	1.09206	124656	0	9
2024.08.23	1.09120	1.09349	1.08981	1.09028	141290	0	9
2024.08.26	1.08948	1.09221	1.08907	1.09062	116347	0	9
2024.08.27	1.09064	1.09192	1.08615	1.08624	117514	0	9
2024.08.28	1.08755	1.09100	1.08551	1.08658	137549	0	9
2024.08.29	1.08629	1.08729	1.07972	1.08629	151168	0	9
2024.08.30	1.08348	1.08811	1.08229	1.08249	132053	0	9
2024.09.02	1.08338	1.09045	1.08186	1.08845	70449	0	9
2024.09.03	1.08836	1.09052	1.08433	1.08469	143182	0	9
2024.09.04	1.08437	1.08664	1.08332	1.08469	136930	0	9
2024.09.05	1.08412	1.08750	1.08181	1.08269	129031	0	9
2024.09.06	1.08236	1.08451	1.07967	1.08017	176477	0	9
2024.09.09	1.07860	1.08577	1.07669	1.08388	114274	0	9
2024.09.10	1.08271	1.08463	1.08041	1.08159	113773	0	9
2024.09.11	1.08087	1.08814	1.08065	1.08756	173702	0	9
2024.09.12	1.08719	1.08940	1.08579	1.08718	149038	0	9
2024.09.13	1.08715	1.08956	1.08524	1.08872	133707	0	9
2024.09.16	1.08631	1.09023	1.08631	1.08862	112322	0	9
2024.09.17	1.08733	1.09275	1.08733	1.09214	125674	0	9
2024.09.18	1.09168	1.09267	1.08709	1.08931	191699	0	9
2024.09.19	1.08871	1.09448	1.08800	1.09210	204989	0	9
2024.09.20	1.09135	1.09352	1.09059	1.09121	164164	0	9
2024.09.23	1.09022	1.09433	1.08954	1.09109	134499	0	9
2024.09.24	1.08995	1.09438	1.08623	1.08697	153846	0	9
2024.09.25	1.08698	1.08978	1.08491	1.08948	148008	0	9
2024.09.26	1.08825	1.09324	1.08633	1.08958	174946	0	9
2024.09.27	1.08788	1.09240	1.08692	1.08825	182091	0	9
2024.09.30	1.08853	1.09071	1.08686	1.08873	163030	0	9
2024.10.01	1.08827	1.09613	1.08806	1.09584	181926	0	9
2024.10.02	1.09473	1.09960	1.09351	1.09933	157465	0	9
2024.10.03	1.09871	1.10246	1.09654	1.10096	169622	0	9
2024.10.04	1.10012	1.10493	1.09990	1.10291	155698	0	9
2024.10.07	1.10135	1.10551	1.10121	1.10308	168696	0	9
2024.10.08	1.10240	1.10329	1.09526	1.09764	194358	0	9
2024.10.09	1.09746	1.10913	1.09466	1.10783	176886	0	9
2024.10.10	1.10728	1.10799	1.10462	1.10464	184069	0	9
2024.10.11	1.10477	1.10718	1.10435	1.10477	113209	0	9
2024.10.14	1.10493	1.10646	1.10313	1.10326	130120	0	9
2024.10.15	1.10234	1.10538	1.10075	1.10182	141248	0	9
2024.10.16	1.10115	1.10597	1.09912	1.10051	135032	0	9
2024.10.17	1.09970	1.10556	1.09921	1.10488	150244	0	9
