<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.06717	1.06854	1.06581	1.06740	12860	0	22
2024.03.01	04:00:00	1.06740	1.06876	1.06733	1.06860	13790	0	3
2024.03.01	08:00:00	1.06861	1.06881	1.06656	1.06698	20272	0	22
2024.03.01	12:00:00	1.06697	1.06776	1.06655	1.06747	21211	0	22
2024.03.01	16:00:00	1.06749	1.06966	1.06690	1.06950	26600	0	22
2024.03.01	20:00:00	1.06949	1.06981	1.06745	1.06765	12633	0	2
2024.03.04	00:00:00	1.06804	1.06980	1.06685	1.06969	6190	0	19
2024.03.04	04:00:00	1.06969	1.06986	1.06857	1.06878	4950	0	19
2024.03.04	08:00:00	1.06878	1.06990	1.06793	1.06828	8984	0	19
2024.03.04	12:00:00	1.06828	1.06927	1.06801	1.06898	12940	0	19
2024.03.04	16:00:00	1.06897	1.06907	1.06773	1.06858	23606	0	21
2024.03.04	20:00:00	1.06852	1.06881	1.06671	1.06679	9384	0	1
2024.03.05	00:00:00	1.06455	1.06818	1.06455	1.06807	12038	0	15
2024.03.05	04:00:00	1.06806	1.06836	1.06684	1.06691	13818	0	1
2024.03.05	08:00:00	1.06693	1.06766	1.06628	1.06762	19205	0	21
2024.03.05	12:00:00	1.06763	1.06800	1.06712	1.06725	18852	0	22
2024.03.05	16:00:00	1.06725	1.06881	1.06497	1.06871	26659	0	21
2024.03.05	20:00:00	1.06869	1.06931	1.06633	1.06693	15135	0	1
2024.03.06	00:00:00	1.06619	1.06999	1.06495	1.06910	13457	0	1
2024.03.06	04:00:00	1.06912	1.06991	1.06874	1.06928	13470	0	21
2024.03.06	08:00:00	1.06928	1.06958	1.06828	1.06891	20528	0	22
2024.03.06	12:00:00	1.06892	1.06953	1.06806	1.06950	21548	0	21
2024.03.06	16:00:00	1.06951	1.07183	1.06933	1.07150	29458	0	21
2024.03.06	20:00:00	1.07155	1.07176	1.06977	1.06981	15599	0	4
2024.03.07	00:00:00	1.06829	1.07169	1.06817	1.07115	14292	0	20
2024.03.07	04:00:00	1.07114	1.07176	1.07032	1.07058	18456	0	21
2024.03.07	08:00:00	1.07056	1.07164	1.06999	1.07157	22421	0	21
2024.03.07	12:00:00	1.07158	1.07224	1.07142	1.07180	20669	0	21
2024.03.07	16:00:00	1.07181	1.07292	1.07158	1.07208	26786	0	21
