<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.64923	0.65335	0.64888	0.65217	61945	0	2
2024.03.04	0.65227	0.65348	0.65050	0.65069	53582	0	2
2024.03.05	0.65047	0.65205	0.64769	0.64979	56252	0	2
2024.03.06	0.64943	0.65807	0.64920	0.65614	70231	0	3
2024.03.07	0.65595	0.66237	0.65590	0.66169	64705	0	2
2024.03.08	0.66124	0.66668	0.66122	0.66209	68555	0	3
2024.03.11	0.66199	0.66264	0.65962	0.66126	57724	0	2
2024.03.12	0.66098	0.66381	0.65838	0.66053	73835	0	2
2024.03.13	0.66007	0.66347	0.65910	0.66206	62137	0	2
2024.03.14	0.66143	0.66313	0.65689	0.65804	60178	0	2
2024.03.15	0.65729	0.65820	0.65515	0.65591	56702	0	2
2024.03.18	0.65565	0.65735	0.65504	0.65586	43689	0	1
2024.03.19	0.65541	0.65635	0.65035	0.65311	59211	0	2
2024.03.20	0.65253	0.65866	0.65111	0.65856	57402	0	2
2024.03.21	0.65813	0.66340	0.65605	0.65639	68346	0	2
2024.03.22	0.65638	0.65763	0.65096	0.65128	56599	0	2
2024.03.25	0.65117	0.65464	0.65092	0.65390	52382	0	1
2024.03.26	0.65373	0.65586	0.65265	0.65322	46661	0	1
2024.03.27	0.65300	0.65383	0.65106	0.65334	52815	0	2
2024.03.28	0.65335	0.65403	0.64847	0.65149	52972	0	2
2024.03.29	0.65149	0.65323	0.65046	0.65111	17101	0	3
2024.04.01	0.65143	0.65382	0.64803	0.64884	40020	0	1
2024.04.02	0.64797	0.65234	0.64797	0.65171	49351	0	2
2024.04.03	0.65122	0.65692	0.65028	0.65636	57560	0	3
2024.04.04	0.65594	0.66184	0.65545	0.65872	48228	0	2
2024.04.05	0.65861	0.65918	0.65488	0.65782	63390	0	2
2024.04.08	0.65714	0.66095	0.65587	0.66034	57232	0	2
2024.04.09	0.66022	0.66439	0.65981	0.66276	51718	0	3
2024.04.10	0.66280	0.66307	0.64980	0.65117	69450	0	2
2024.04.11	0.65114	0.65523	0.65015	0.65370	72258	0	2
2024.04.12	0.65366	0.65428	0.64554	0.64617	65174	0	2
2024.04.15	0.64701	0.64925	0.64371	0.64412	79590	0	3
2024.04.16	0.64371	0.64441	0.63888	0.64008	83362	0	2
2024.04.17	0.63990	0.64456	0.63963	0.64342	67306	0	3
2024.04.18	0.64285	0.64559	0.64158	0.64207	69262	0	2
2024.04.19	0.64208	0.64322	0.63617	0.64173	89909	0	3
2024.04.22	0.64121	0.64547	0.64046	0.64487	55664	0	2
2024.04.23	0.64482	0.64897	0.64405	0.64861	57033	0	2
2024.04.24	0.64798	0.65290	0.64713	0.64968	54349	0	2
2024.04.25	0.64919	0.65380	0.64846	0.65176	59790	0	1
2024.04.26	0.65136	0.65536	0.65136	0.65328	58684	0	2
2024.04.29	0.65241	0.65861	0.65166	0.65654	56847	0	3
2024.04.30	0.65653	0.65673	0.64714	0.64720	57300	0	2
2024.05.01	0.64738	0.65393	0.64646	0.65224	62397	0	2
2024.05.02	0.65220	0.65726	0.65129	0.65644	70615	0	2
2024.05.03	0.65615	0.66473	0.65598	0.66092	70513	0	2
2024.05.06	0.66161	0.66378	0.66022	0.66245	40758	0	3
2024.05.07	0.66244	0.66433	0.65860	0.65966	49643	0	2
2024.05.08	0.65942	0.65983	0.65574	0.65785	39363	0	1
2024.05.09	0.65735	0.66206	0.65647	0.66191	44699	0	3
2024.05.10	0.66156	0.66227	0.65955	0.66032	43870	0	2
2024.05.13	0.66011	0.66283	0.65852	0.66071	40810	0	2
2024.05.14	0.66051	0.66273	0.65787	0.66258	46567	0	2
2024.05.15	0.66223	0.66944	0.66185	0.66926	48916	0	2
2024.05.16	0.66889	0.67136	0.66536	0.66775	47016	0	1
2024.05.17	0.66732	0.67005	0.66482	0.66930	37272	0	1
2024.05.20	0.66897	0.67087	0.66613	0.66667	42517	0	1
2024.05.21	0.66628	0.66786	0.66458	0.66646	45090	0	1
2024.05.22	0.66601	0.66848	0.66073	0.66188	50953	0	1
2024.05.23	0.66122	0.66525	0.65970	0.66050	57673	0	1
2024.05.24	0.66026	0.66360	0.65915	0.66272	45174	0	1
2024.05.27	0.66220	0.66596	0.66215	0.66521	27982	0	1
2024.05.28	0.66489	0.66792	0.66421	0.66489	47808	0	1
2024.05.29	0.66478	0.66654	0.66088	0.66092	54882	0	1
2024.05.30	0.66062	0.66471	0.65903	0.66320	57118	0	1
2024.05.31	0.66271	0.66723	0.66233	0.66527	59963	0	1
2024.06.03	0.66431	0.66945	0.66321	0.66887	58268	0	1
2024.06.04	0.66819	0.66981	0.66304	0.66487	66549	0	1
2024.06.05	0.66436	0.66640	0.66256	0.66469	53500	0	1
2024.06.06	0.66466	0.66830	0.66330	0.66613	51818	0	1
2024.06.07	0.66585	0.66807	0.65784	0.65795	63185	0	1
2024.06.10	0.65779	0.66104	0.65748	0.66090	48864	0	1
2024.06.11	0.66048	0.66131	0.65880	0.66053	50565	0	1
2024.06.12	0.66013	0.67041	0.65964	0.66627	67672	0	1
2024.06.13	0.66627	0.66748	0.66255	0.66347	56237	0	1
2024.06.14	0.66337	0.66410	0.65909	0.66145	65418	0	1
2024.06.17	0.66081	0.66175	0.65847	0.66123	47054	0	1
2024.06.18	0.66073	0.66570	0.65994	0.66556	55855	0	1
2024.06.19	0.66474	0.66768	0.66474	0.66653	30592	0	1
2024.06.20	0.66653	0.66787	0.66470	0.66552	53842	0	1
2024.06.21	0.66528	0.66691	0.66310	0.66397	50822	0	3
2024.06.24	0.66341	0.66671	0.66255	0.66561	49864	0	3
2024.06.25	0.66544	0.66722	0.66346	0.66460	48763	0	3
2024.06.26	0.66431	0.66882	0.66332	0.66467	56279	0	3
2024.06.27	0.66394	0.66726	0.66392	0.66466	70736	0	2
2024.06.28	0.66418	0.66845	0.66198	0.66693	89668	0	2
2024.07.01	0.66792	0.66887	0.66438	0.66597	77176	0	2
2024.07.02	0.66499	0.66707	0.66340	0.66667	74544	0	2
2024.07.03	0.66660	0.67336	0.66639	0.67035	70839	0	2
2024.07.04	0.67036	0.67318	0.67017	0.67248	39770	0	2
2024.07.05	0.67222	0.67529	0.67091	0.67486	84766	0	2
2024.07.08	0.67354	0.67610	0.67317	0.67363	62896	0	2
2024.07.09	0.67337	0.67477	0.67238	0.67406	65559	0	2
2024.07.10	0.67405	0.67521	0.67318	0.67469	59699	0	2
2024.07.11	0.67471	0.67986	0.67417	0.67591	101997	0	2
2024.07.12	0.67576	0.67936	0.67539	0.67838	98318	0	2
2024.07.15	0.67682	0.67888	0.67524	0.67589	85000	0	2
2024.07.16	0.67585	0.67642	0.67145	0.67333	76608	0	2
2024.07.17	0.67334	0.67548	0.67209	0.67289	93461	0	2
2024.07.18	0.67278	0.67435	0.66976	0.67056	100510	0	2
2024.07.19	0.67036	0.67087	0.66801	0.66837	84010	0	2
2024.07.22	0.66858	0.67022	0.66313	0.66420	81390	0	2
2024.07.23	0.66414	0.66458	0.66112	0.66143	71606	0	2
2024.07.24	0.66131	0.66163	0.65775	0.65808	88747	0	2
2024.07.25	0.65793	0.65824	0.65088	0.65376	120640	0	2
2024.07.26	0.65362	0.65684	0.65333	0.65470	79392	0	2
2024.07.29	0.65471	0.65684	0.65240	0.65486	69547	0	2
2024.07.30	0.65429	0.65623	0.65290	0.65374	79122	0	2
2024.07.31	0.65354	0.65558	0.64794	0.65409	128822	0	2
2024.08.01	0.65381	0.65600	0.64887	0.65011	116327	0	2
2024.08.02	0.64994	0.65475	0.64867	0.65111	154018	0	2
2024.08.05	0.65054	0.65176	0.63483	0.64956	287636	0	2
2024.08.06	0.64897	0.65416	0.64722	0.65200	212794	0	2
2024.08.07	0.65166	0.65746	0.65094	0.65190	157244	0	2
2024.08.08	0.65175	0.65937	0.65073	0.65921	140024	0	2
2024.08.09	0.65891	0.66051	0.65666	0.65716	97370	0	2
2024.08.12	0.65664	0.66050	0.65649	0.65814	79089	0	2
2024.08.13	0.65846	0.66380	0.65789	0.66231	84608	0	2
2024.08.14	0.66255	0.66428	0.65929	0.65929	107147	0	2
2024.08.15	0.65934	0.66346	0.65635	0.66121	88054	0	2
2024.08.16	0.66120	0.66713	0.66074	0.66695	68965	0	2
2024.08.19	0.66628	0.67337	0.66524	0.67287	79581	0	2
2024.08.20	0.67273	0.67492	0.67131	0.67418	80462	0	2
2024.08.21	0.67382	0.67610	0.67307	0.67419	81787	0	2
2024.08.22	0.67396	0.67528	0.66971	0.67042	73773	0	2
2024.08.23	0.67028	0.67985	0.66984	0.67964	90675	0	2
2024.08.26	0.67867	0.67969	0.67665	0.67710	70200	0	2
2024.08.27	0.67702	0.67956	0.67615	0.67921	68457	0	2
2024.08.28	0.67889	0.68128	0.67643	0.67847	80609	0	2
2024.08.29	0.67815	0.68240	0.67786	0.67978	94621	0	2
2024.08.30	0.67971	0.68165	0.67514	0.67649	81309	0	2
2024.09.02	0.67624	0.67947	0.67566	0.67901	41964	0	2
2024.09.03	0.67885	0.67921	0.67078	0.67110	89072	0	2
2024.09.04	0.67095	0.67495	0.66854	0.67242	85005	0	2
2024.09.05	0.67165	0.67415	0.67116	0.67401	81028	0	2
2024.09.06	0.67343	0.67672	0.66598	0.66698	120843	0	2
2024.09.09	0.66636	0.66890	0.66477	0.66605	62281	0	2
2024.09.10	0.66578	0.66766	0.66410	0.66521	64495	0	2
2024.09.11	0.66470	0.66760	0.66220	0.66737	108003	0	2
2024.09.12	0.66734	0.67254	0.66565	0.67220	87773	0	2
2024.09.13	0.67188	0.67326	0.66923	0.67047	82337	0	2
2024.09.16	0.66896	0.67537	0.66896	0.67516	62627	0	2
2024.09.17	0.67509	0.67688	0.67413	0.67549	76970	0	2
2024.09.18	0.67526	0.68202	0.67423	0.67637	121957	0	2
2024.09.19	0.67528	0.68392	0.67374	0.68140	132918	0	2
2024.09.20	0.68065	0.68288	0.67829	0.68071	97609	0	2
2024.09.23	0.67959	0.68537	0.67945	0.68378	85434	0	2
2024.09.24	0.68305	0.68932	0.68143	0.68918	94878	0	2
2024.09.25	0.68912	0.69081	0.68181	0.68228	92701	0	2
2024.09.26	0.68202	0.69049	0.68183	0.68954	110597	0	2
2024.09.27	0.68842	0.69373	0.68681	0.69012	112402	0	2
2024.09.30	0.69021	0.69427	0.68951	0.69127	103853	0	2
2024.10.01	0.69049	0.69345	0.68563	0.68827	122603	0	2
2024.10.02	0.68814	0.69157	0.68753	0.68846	101877	0	2
2024.10.03	0.68829	0.68884	0.68299	0.68400	109445	0	2
2024.10.04	0.68329	0.68521	0.67855	0.67933	99445	0	2
2024.10.07	0.67867	0.68104	0.67432	0.67568	104723	0	2
2024.10.08	0.67567	0.67695	0.67150	0.67379	128753	0	2
2024.10.09	0.67400	0.67618	0.67077	0.67154	114745	0	2
2024.10.10	0.67150	0.67423	0.66995	0.67294	124279	0	2
2024.10.11	0.67295	0.67593	0.67248	0.67503	70195	0	2
2024.10.14	0.67353	0.67448	0.67021	0.67254	85200	0	2
2024.10.15	0.67160	0.67326	0.66981	0.67030	90329	0	2
2024.10.16	0.66985	0.67043	0.66583	0.66659	82480	0	2
2024.10.17	0.66574	0.67101	0.66574	0.66957	99132	0	2
