<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.64923	0.65071	0.64891	0.65059	6861	0	7
2024.03.01	04:00:00	0.65060	0.65138	0.65043	0.65086	5859	0	2
2024.03.01	08:00:00	0.65087	0.65138	0.64894	0.65002	10276	0	4
2024.03.01	12:00:00	0.65002	0.65091	0.64922	0.64976	12371	0	4
2024.03.01	16:00:00	0.64977	0.65335	0.64888	0.65298	18163	0	5
2024.03.01	20:00:00	0.65298	0.65323	0.65207	0.65217	8415	0	5
2024.03.04	00:00:00	0.65227	0.65348	0.65197	0.65222	7808	0	7
2024.03.04	04:00:00	0.65221	0.65284	0.65156	0.65164	7039	0	2
2024.03.04	08:00:00	0.65163	0.65269	0.65146	0.65228	10396	0	4
2024.03.04	12:00:00	0.65226	0.65241	0.65086	0.65164	10838	0	4
2024.03.04	16:00:00	0.65164	0.65227	0.65121	0.65142	12213	0	4
2024.03.04	20:00:00	0.65143	0.65152	0.65050	0.65069	5288	0	2
2024.03.05	00:00:00	0.65047	0.65114	0.64943	0.65082	5979	0	6
2024.03.05	04:00:00	0.65081	0.65090	0.64891	0.64894	6046	0	2
2024.03.05	08:00:00	0.64894	0.64923	0.64769	0.64860	8442	0	4
2024.03.05	12:00:00	0.64860	0.64976	0.64848	0.64938	9038	0	4
2024.03.05	16:00:00	0.64939	0.65205	0.64910	0.65099	16488	0	4
2024.03.05	20:00:00	0.65100	0.65127	0.64945	0.64979	10259	0	5
2024.03.06	00:00:00	0.64943	0.65068	0.64920	0.64977	7869	0	6
2024.03.06	04:00:00	0.64978	0.65194	0.64964	0.65163	7824	0	3
2024.03.06	08:00:00	0.65164	0.65245	0.65117	0.65237	12136	0	4
2024.03.06	12:00:00	0.65238	0.65413	0.65193	0.65400	13139	0	4
2024.03.06	16:00:00	0.65401	0.65807	0.65401	0.65716	18077	0	4
2024.03.06	20:00:00	0.65716	0.65777	0.65606	0.65614	11186	0	5
2024.03.07	00:00:00	0.65595	0.65754	0.65590	0.65688	7248	0	3
2024.03.07	04:00:00	0.65687	0.65878	0.65633	0.65752	8867	0	3
2024.03.07	08:00:00	0.65751	0.65969	0.65732	0.65962	11957	0	4
2024.03.07	12:00:00	0.65963	0.66170	0.65962	0.66088	12455	0	4
2024.03.07	16:00:00	0.66087	0.66237	0.66008	0.66165	16085	0	4
2024.03.07	20:00:00	0.66164	0.66224	0.66164	0.66169	8093	0	2
2024.03.08	00:00:00	0.66124	0.66291	0.66122	0.66198	6365	0	5
2024.03.08	04:00:00	0.66185	0.66332	0.66135	0.66329	6668	0	3
2024.03.08	08:00:00	0.66328	0.66447	0.66254	0.66436	10742	0	4
2024.03.08	12:00:00	0.66436	0.66668	0.66200	0.66439	13417	0	4
2024.03.08	16:00:00	0.66439	0.66527	0.66207	0.66230	21327	0	12
2024.03.08	20:00:00	0.66229	0.66267	0.66152	0.66209	10036	0	3
2024.03.11	00:00:00	0.66199	0.66260	0.66174	0.66211	6155	0	3
2024.03.11	04:00:00	0.66210	0.66264	0.66063	0.66103	9201	0	3
2024.03.11	08:00:00	0.66103	0.66195	0.66051	0.66096	11438	0	4
2024.03.11	12:00:00	0.66096	0.66203	0.65995	0.65999	10761	0	4
2024.03.11	16:00:00	0.66000	0.66111	0.65962	0.66095	14028	0	4
2024.03.11	20:00:00	0.66098	0.66138	0.66030	0.66126	6141	0	2
2024.03.12	00:00:00	0.66098	0.66197	0.65993	0.66145	5515	0	6
2024.03.12	04:00:00	0.66146	0.66209	0.66085	0.66141	7778	0	2
2024.03.12	08:00:00	0.66142	0.66197	0.66078	0.66156	9312	0	3
2024.03.12	12:00:00	0.66146	0.66381	0.65854	0.66115	15019	0	3
2024.03.12	16:00:00	0.66115	0.66116	0.65838	0.65971	24305	0	12
2024.03.12	20:00:00	0.65970	0.66073	0.65909	0.66053	11906	0	3
2024.03.13	00:00:00	0.66007	0.66114	0.65910	0.66039	5806	0	7
2024.03.13	04:00:00	0.66039	0.66161	0.65996	0.66129	9548	0	5
2024.03.13	08:00:00	0.66128	0.66178	0.66065	0.66097	13812	0	4
2024.03.13	12:00:00	0.66096	0.66149	0.66029	0.66101	11057	0	3
2024.03.13	16:00:00	0.66102	0.66246	0.66098	0.66233	13874	0	5
2024.03.13	20:00:00	0.66231	0.66347	0.66196	0.66206	8040	0	2
2024.03.14	00:00:00	0.66143	0.66313	0.66143	0.66245	4239	0	5
2024.03.14	04:00:00	0.66244	0.66303	0.66089	0.66152	6643	0	5
2024.03.14	08:00:00	0.66148	0.66232	0.66116	0.66181	8489	0	2
2024.03.14	12:00:00	0.66182	0.66290	0.66079	0.66130	12051	0	4
2024.03.14	16:00:00	0.66129	0.66157	0.65689	0.65840	20056	0	12
2024.03.14	20:00:00	0.65839	0.65850	0.65732	0.65804	8700	0	3
2024.03.15	00:00:00	0.65729	0.65820	0.65655	0.65668	5153	0	5
2024.03.15	04:00:00	0.65666	0.65703	0.65567	0.65657	9380	0	5
2024.03.15	08:00:00	0.65657	0.65724	0.65515	0.65559	11400	0	3
2024.03.15	12:00:00	0.65559	0.65723	0.65554	0.65636	10487	0	4
2024.03.15	16:00:00	0.65637	0.65738	0.65576	0.65578	14389	0	2
2024.03.15	20:00:00	0.65577	0.65638	0.65549	0.65591	5893	0	3
2024.03.18	00:00:00	0.65565	0.65626	0.65543	0.65596	3809	0	5
2024.03.18	04:00:00	0.65596	0.65685	0.65535	0.65654	7955	0	5
2024.03.18	08:00:00	0.65655	0.65731	0.65598	0.65713	7874	0	1
2024.03.18	12:00:00	0.65712	0.65735	0.65641	0.65681	7358	0	3
2024.03.18	16:00:00	0.65679	0.65709	0.65527	0.65535	10770	0	3
2024.03.18	20:00:00	0.65536	0.65592	0.65504	0.65586	5923	0	2
2024.03.19	00:00:00	0.65541	0.65594	0.65469	0.65500	4254	0	6
2024.03.19	04:00:00	0.65499	0.65635	0.65257	0.65276	14577	0	6
2024.03.19	08:00:00	0.65276	0.65282	0.65087	0.65151	13217	0	4
2024.03.19	12:00:00	0.65150	0.65193	0.65035	0.65176	10657	0	3
2024.03.19	16:00:00	0.65177	0.65331	0.65152	0.65314	10793	0	3
2024.03.19	20:00:00	0.65314	0.65358	0.65283	0.65311	5713	0	2
2024.03.20	00:00:00	0.65253	0.65337	0.65192	0.65309	5001	0	3
2024.03.20	04:00:00	0.65309	0.65406	0.65248	0.65248	7246	0	3
2024.03.20	08:00:00	0.65254	0.65353	0.65188	0.65226	7925	0	3
2024.03.20	12:00:00	0.65225	0.65228	0.65111	0.65195	8395	0	3
2024.03.20	16:00:00	0.65195	0.65328	0.65145	0.65326	8916	0	3
2024.03.20	20:00:00	0.65325	0.65866	0.65289	0.65856	19919	0	2
2024.03.21	00:00:00	0.65813	0.66145	0.65746	0.66120	8067	0	10
2024.03.21	04:00:00	0.66122	0.66276	0.66115	0.66230	10946	0	5
2024.03.21	08:00:00	0.66230	0.66340	0.66053	0.66057	12505	0	2
2024.03.21	12:00:00	0.66060	0.66163	0.65950	0.65994	13963	0	5
2024.03.21	16:00:00	0.65994	0.65996	0.65605	0.65705	16463	0	4
2024.03.21	20:00:00	0.65706	0.65727	0.65639	0.65639	6402	0	2
2024.03.22	00:00:00	0.65638	0.65763	0.65638	0.65742	4403	0	3
2024.03.22	04:00:00	0.65742	0.65758	0.65217	0.65235	11287	0	4
2024.03.22	08:00:00	0.65237	0.65317	0.65097	0.65173	11062	0	3
2024.03.22	12:00:00	0.65173	0.65273	0.65096	0.65230	11087	0	3
2024.03.22	16:00:00	0.65230	0.65306	0.65137	0.65180	12997	0	3
2024.03.22	20:00:00	0.65178	0.65199	0.65099	0.65128	5763	0	2
2024.03.25	00:00:00	0.65117	0.65203	0.65092	0.65167	5465	0	6
2024.03.25	04:00:00	0.65167	0.65432	0.65144	0.65263	13052	0	4
2024.03.25	08:00:00	0.65262	0.65298	0.65161	0.65278	9895	0	3
2024.03.25	12:00:00	0.65278	0.65359	0.65229	0.65319	9116	0	3
2024.03.25	16:00:00	0.65318	0.65464	0.65302	0.65374	10232	0	1
2024.03.25	20:00:00	0.65374	0.65401	0.65351	0.65390	4622	0	2
2024.03.26	00:00:00	0.65373	0.65435	0.65265	0.65427	3471	0	3
2024.03.26	04:00:00	0.65426	0.65541	0.65308	0.65377	8973	0	5
2024.03.26	08:00:00	0.65377	0.65465	0.65349	0.65422	8628	0	3
2024.03.26	12:00:00	0.65421	0.65586	0.65417	0.65482	9000	0	1
2024.03.26	16:00:00	0.65481	0.65519	0.65322	0.65364	10981	0	3
2024.03.26	20:00:00	0.65364	0.65398	0.65300	0.65322	5608	0	2
2024.03.27	00:00:00	0.65300	0.65383	0.65197	0.65254	4624	0	5
2024.03.27	04:00:00	0.65252	0.65300	0.65106	0.65286	9873	0	3
2024.03.27	08:00:00	0.65285	0.65321	0.65152	0.65166	9153	0	2
2024.03.27	12:00:00	0.65166	0.65313	0.65159	0.65163	12386	0	2
2024.03.27	16:00:00	0.65164	0.65317	0.65131	0.65252	11586	0	3
2024.03.27	20:00:00	0.65252	0.65348	0.65220	0.65334	5193	0	2
2024.03.28	00:00:00	0.65335	0.65347	0.65149	0.65253	5797	0	6
2024.03.28	04:00:00	0.65252	0.65403	0.65208	0.65307	8428	0	4
2024.03.28	08:00:00	0.65306	0.65319	0.64924	0.64927	8829	0	2
2024.03.28	12:00:00	0.64927	0.65069	0.64847	0.65066	9989	0	2
2024.03.28	16:00:00	0.65067	0.65276	0.65028	0.65213	12490	0	4
2024.03.28	20:00:00	0.65214	0.65236	0.65124	0.65149	7439	0	2
2024.03.29	00:00:00	0.65149	0.65242	0.65110	0.65171	2987	0	7
2024.03.29	04:00:00	0.65167	0.65181	0.65098	0.65100	2714	0	7
2024.03.29	08:00:00	0.65100	0.65145	0.65046	0.65121	2483	0	3
2024.03.29	12:00:00	0.65121	0.65323	0.65087	0.65263	2353	0	3
2024.03.29	16:00:00	0.65269	0.65313	0.65196	0.65210	3795	0	7
