<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.65125	0.65385	0.65068	0.65094	50045	0	12
2024.03.04	0.65063	0.65284	0.64922	0.65159	42661	0	12
2024.03.05	0.65154	0.65250	0.64931	0.64964	47404	0	5
2024.03.06	0.64962	0.65304	0.64835	0.65255	51356	0	9
2024.03.07	0.65255	0.65278	0.65093	0.65182	52453	0	5
2024.03.08	0.65187	0.65269	0.64991	0.65033	50274	0	9
2024.03.11	0.64814	0.65149	0.64765	0.65055	47076	0	7
2024.03.12	0.65016	0.65133	0.64906	0.64957	52628	0	2
2024.03.13	0.64968	0.65238	0.64947	0.65213	47135	0	6
2024.03.14	0.65230	0.65358	0.65175	0.65286	47582	0	1
2024.03.15	0.65286	0.65377	0.65159	0.65205	45724	0	1
2024.03.18	0.65115	0.65635	0.65088	0.65579	43453	0	6
2024.03.19	0.65497	0.65607	0.65152	0.65444	48885	0	7
2024.03.20	0.65398	0.65814	0.65356	0.65715	48855	0	2
2024.03.21	0.65707	0.66540	0.65617	0.66315	56859	0	7
2024.03.22	0.66316	0.66450	0.65878	0.65930	48319	0	5
2024.03.25	0.65879	0.66202	0.65879	0.66184	41293	0	2
2024.03.26	0.66155	0.66702	0.66111	0.66533	42867	0	1
2024.03.27	0.66541	0.66751	0.66445	0.66599	42789	0	2
2024.03.28	0.66580	0.66687	0.66464	0.66572	47368	0	6
2024.03.29	0.66574	0.66651	0.66419	0.66501	37522	0	18
2024.04.01	0.66277	0.66706	0.66262	0.66604	42941	0	6
2024.04.02	0.66613	0.67033	0.66536	0.66906	44390	0	1
2024.04.03	0.66906	0.67064	0.66717	0.66734	45432	0	5
2024.04.04	0.66745	0.67203	0.66472	0.66540	42296	0	1
2024.04.05	0.66525	0.66738	0.66174	0.66358	50926	0	6
2024.04.08	0.66063	0.66724	0.66050	0.66691	50160	0	5
2024.04.09	0.66631	0.66723	0.66427	0.66562	45131	0	5
2024.04.10	0.66557	0.66837	0.66430	0.66706	68859	0	5
2024.04.11	0.66710	0.66820	0.66379	0.66462	75150	0	2
2024.04.12	0.66420	0.66519	0.66135	0.66363	73692	0	1
2024.04.15	0.66104	0.66555	0.65997	0.66100	80383	0	5
2024.04.16	0.66070	0.66245	0.65904	0.66004	77978	0	7
2024.04.17	0.65991	0.66151	0.65863	0.66102	70640	0	1
2024.04.18	0.66055	0.66315	0.66007	0.66249	66514	0	3
2024.04.19	0.66186	0.66297	0.65290	0.66193	91761	0	1
2024.04.22	0.66161	0.66571	0.66029	0.66551	64452	0	3
2024.04.23	0.66515	0.66749	0.66415	0.66727	66779	0	1
2024.04.24	0.66728	0.66854	0.66468	0.66759	56961	0	5
2024.04.25	0.66764	0.66825	0.66561	0.66775	62940	0	3
2024.04.26	0.66743	0.66920	0.66670	0.66885	63600	0	4
2024.04.29	0.66851	0.67014	0.66564	0.66633	59827	0	1
2024.04.30	0.66634	0.66805	0.66423	0.66718	59706	0	3
2024.05.01	0.66696	0.66928	0.66487	0.66638	59006	0	6
2024.05.02	0.66632	0.66818	0.66341	0.66579	64396	0	7
2024.05.03	0.66582	0.66593	0.66069	0.66114	62141	0	2
2024.05.06	0.66211	0.66339	0.65926	0.66275	38844	0	1
2024.05.07	0.66298	0.66376	0.66122	0.66156	42549	0	2
