<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.65125	0.65180	0.65073	0.65166	5197	0	16
2024.03.01	04:00:00	0.65165	0.65198	0.65153	0.65194	4870	0	12
2024.03.01	08:00:00	0.65197	0.65286	0.65170	0.65179	9631	0	20
2024.03.01	12:00:00	0.65177	0.65382	0.65158	0.65342	9908	0	18
2024.03.01	16:00:00	0.65341	0.65385	0.65197	0.65209	13125	0	23
2024.03.01	20:00:00	0.65210	0.65237	0.65068	0.65094	7314	0	14
2024.03.04	00:00:00	0.65063	0.65202	0.65039	0.65138	4751	0	24
2024.03.04	04:00:00	0.65138	0.65142	0.65076	0.65094	3743	0	12
2024.03.04	08:00:00	0.65094	0.65112	0.64922	0.65060	8536	0	19
2024.03.04	12:00:00	0.65060	0.65281	0.65060	0.65181	8245	0	18
2024.03.04	16:00:00	0.65180	0.65284	0.65142	0.65152	11363	0	23
2024.03.04	20:00:00	0.65153	0.65185	0.65116	0.65159	6023	0	13
2024.03.05	00:00:00	0.65154	0.65229	0.65030	0.65228	5380	0	14
2024.03.05	04:00:00	0.65229	0.65238	0.65159	0.65175	4550	0	9
2024.03.05	08:00:00	0.65175	0.65194	0.65068	0.65175	8855	0	23
2024.03.05	12:00:00	0.65176	0.65250	0.65129	0.65141	7770	0	18
2024.03.05	16:00:00	0.65141	0.65200	0.65028	0.65075	12357	0	23
2024.03.05	20:00:00	0.65075	0.65088	0.64931	0.64964	8492	0	5
2024.03.06	00:00:00	0.64962	0.65123	0.64835	0.65119	6258	0	14
2024.03.06	04:00:00	0.65118	0.65120	0.65071	0.65101	5803	0	9
2024.03.06	08:00:00	0.65100	0.65156	0.65033	0.65112	8264	0	13
2024.03.06	12:00:00	0.65114	0.65187	0.65070	0.65124	9532	0	18
2024.03.06	16:00:00	0.65125	0.65304	0.65023	0.65289	12650	0	23
2024.03.06	20:00:00	0.65289	0.65296	0.65210	0.65255	8849	0	11
2024.03.07	00:00:00	0.65255	0.65278	0.65093	0.65227	5916	0	15
2024.03.07	04:00:00	0.65226	0.65266	0.65185	0.65251	6194	0	23
2024.03.07	08:00:00	0.65249	0.65274	0.65188	0.65202	8930	0	23
2024.03.07	12:00:00	0.65200	0.65248	0.65111	0.65195	10174	0	23
2024.03.07	16:00:00	0.65195	0.65246	0.65144	0.65220	12681	0	23
2024.03.07	20:00:00	0.65220	0.65270	0.65153	0.65182	8558	0	5
2024.03.08	00:00:00	0.65187	0.65224	0.65035	0.65212	5305	0	17
2024.03.08	04:00:00	0.65212	0.65249	0.65193	0.65237	4561	0	9
2024.03.08	08:00:00	0.65237	0.65269	0.65172	0.65215	8475	0	19
2024.03.08	12:00:00	0.65215	0.65240	0.65005	0.65063	9909	0	19
2024.03.08	16:00:00	0.65062	0.65115	0.65006	0.65016	14808	0	23
2024.03.08	20:00:00	0.65016	0.65075	0.64991	0.65033	7216	0	13
2024.03.11	00:00:00	0.64814	0.65085	0.64765	0.65072	4583	0	7
2024.03.11	04:00:00	0.65073	0.65088	0.65036	0.65069	6570	0	14
2024.03.11	08:00:00	0.65069	0.65106	0.64948	0.64966	7724	0	15
2024.03.11	12:00:00	0.64966	0.65106	0.64954	0.64966	9806	0	23
2024.03.11	16:00:00	0.64965	0.65148	0.64965	0.65145	11586	0	23
2024.03.11	20:00:00	0.65146	0.65149	0.65047	0.65055	6807	0	11
2024.03.12	00:00:00	0.65016	0.65093	0.65009	0.65074	5273	0	2
2024.03.12	04:00:00	0.65074	0.65108	0.65057	0.65077	6477	0	13
2024.03.12	08:00:00	0.65079	0.65098	0.65011	0.65041	7319	0	19
2024.03.12	12:00:00	0.65042	0.65081	0.64906	0.65001	10065	0	23
2024.03.12	16:00:00	0.65001	0.65133	0.64988	0.65022	14300	0	23
2024.03.12	20:00:00	0.65023	0.65076	0.64957	0.64957	9194	0	6
2024.03.13	00:00:00	0.64968	0.65039	0.64947	0.65015	4438	0	7
2024.03.13	04:00:00	0.65015	0.65047	0.64995	0.65035	6382	0	15
2024.03.13	08:00:00	0.65034	0.65130	0.65019	0.65123	8029	0	9
2024.03.13	12:00:00	0.65124	0.65136	0.65004	0.65025	9154	0	23
2024.03.13	16:00:00	0.65027	0.65187	0.65014	0.65163	11617	0	23
2024.03.13	20:00:00	0.65163	0.65238	0.65117	0.65213	7515	0	6
2024.03.14	00:00:00	0.65230	0.65242	0.65175	0.65216	4354	0	1
2024.03.14	04:00:00	0.65218	0.65274	0.65205	0.65241	6250	0	8
2024.03.14	08:00:00	0.65244	0.65338	0.65229	0.65311	7611	0	9
