<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	110.432	110.949	110.368	110.661	104712	0	27
2024.03.04	110.536	110.979	110.528	110.881	86318	0	27
2024.03.05	110.883	110.896	110.166	110.368	93876	0	27
2024.03.06	110.339	110.610	109.924	110.496	107409	0	11
2024.03.07	110.316	110.533	109.370	109.990	124253	0	27
2024.03.08	109.906	110.073	108.926	108.955	126486	0	27
2024.03.11	108.774	109.077	108.666	108.970	100186	0	10
2024.03.12	108.933	109.689	108.778	109.427	108472	0	27
2024.03.13	109.427	109.834	109.118	109.670	94004	0	15
2024.03.14	109.654	109.819	109.413	109.595	98715	0	11
2024.03.15	109.595	110.285	109.348	110.006	93371	0	18
2024.03.18	110.007	110.367	109.876	110.192	77108	0	20
2024.03.19	110.157	111.315	110.032	111.178	106559	0	18
2024.03.20	111.185	112.245	111.092	112.087	99183	0	12
2024.03.21	112.089	112.278	111.592	112.040	120694	0	18
2024.03.22	112.028	112.162	111.149	111.271	99945	0	14
2024.03.25	111.227	111.580	111.023	111.429	78371	0	17
2024.03.26	111.434	111.721	111.302	111.555	73484	0	16
2024.03.27	111.539	111.684	111.047	111.459	83905	0	16
2024.03.28	111.485	111.851	111.220	111.781	80914	0	18
2024.03.29	111.780	111.888	111.578	111.662	38398	0	15
2024.04.01	111.740	111.970	111.362	111.734	63738	0	27
2024.04.02	111.720	111.871	111.573	111.694	71718	0	16
2024.04.03	111.677	112.302	111.580	112.127	72390	0	10
2024.04.04	112.122	112.466	111.475	111.741	69081	0	12
2024.04.05	111.733	111.733	111.101	111.537	96553	0	27
2024.04.08	111.537	111.883	111.396	111.834	78032	0	16
2024.04.09	111.839	111.976	111.463	111.800	71447	0	12
2024.04.10	111.798	111.992	111.402	111.920	96281	0	12
2024.04.11	111.924	112.028	111.609	111.953	101418	0	27
2024.04.12	111.953	111.964	110.855	111.186	98812	0	13
2024.04.15	111.145	112.400	110.882	111.872	109916	0	27
2024.04.16	111.868	112.246	111.275	111.850	114115	0	18
2024.04.17	111.788	112.200	111.660	112.074	100766	0	17
2024.04.18	112.063	112.443	111.883	112.310	97799	0	27
2024.04.19	112.288	112.615	111.250	112.338	126266	0	10
2024.04.22	112.337	113.093	112.272	113.003	81779	0	27
2024.04.23	113.003	113.324	112.867	113.305	78459	0	11
2024.04.24	113.211	113.367	112.838	113.345	77800	0	9
2024.04.25	113.315	113.987	113.182	113.955	88861	0	12
2024.04.26	113.955	115.905	113.598	115.759	100860	0	16
2024.04.29	115.776	117.317	113.130	114.429	125326	0	26
2024.04.30	114.429	114.834	114.124	114.512	98549	0	21
2024.05.01	114.474	114.724	111.374	112.516	93560	0	11
2024.05.02	112.504	113.796	111.904	112.311	126178	0	27
2024.05.03	112.303	112.412	111.543	111.762	109701	0	27
2024.05.06	111.762	112.769	111.582	112.589	62913	0	15
2024.05.07	112.559	113.051	112.494	112.677	72589	0	18
2024.05.08	112.660	113.408	112.469	113.296	65981	0	19
2024.05.09	113.267	113.740	113.006	113.605	65024	0	14
2024.05.10	113.591	114.195	113.517	113.904	60169	0	10
2024.05.13	113.904	114.308	113.648	114.283	50340	0	12
2024.05.14	114.260	114.785	114.142	114.569	53756	0	10
2024.05.15	114.563	114.691	113.734	113.839	73192	0	2
2024.05.16	113.820	114.130	112.940	114.040	79788	0	7
2024.05.17	114.034	114.435	114.022	114.274	60435	0	10
2024.05.20	114.260	114.815	114.142	114.653	59276	0	10
2024.05.21	114.653	114.817	114.138	114.323	70340	0	2
2024.05.22	114.324	114.658	114.267	114.469	69327	0	8
2024.05.23	114.415	114.875	114.137	114.279	80833	0	9
2024.05.24	114.208	114.980	114.172	114.808	63481	0	9
2024.05.27	114.820	115.108	114.614	115.015	37064	0	8
2024.05.28	114.981	115.198	114.907	115.160	66557	0	9
2024.05.29	115.079	115.271	114.796	114.890	74383	0	10
2024.05.30	114.861	114.915	114.061	114.588	83542	0	14
2024.05.31	114.577	115.473	114.414	115.405	91202	0	9
2024.06.03	115.387	115.530	114.283	114.462	82637	0	8
2024.06.04	114.489	114.784	112.942	113.211	111341	0	8
2024.06.05	113.161	114.274	113.049	113.951	92228	0	12
2024.06.06	113.951	114.224	113.637	113.798	89524	0	12
2024.06.07	113.729	114.374	113.427	113.813	98180	0	12
2024.06.10	113.813	114.187	113.681	114.102	81071	0	8
2024.06.11	114.065	114.358	113.849	114.163	81072	0	10
2024.06.12	114.159	114.480	113.624	114.175	95094	0	8
2024.06.13	114.175	114.523	113.887	114.224	91488	0	17
2024.06.14	114.182	115.093	113.984	114.518	112646	0	23
2024.06.17	114.560	114.943	114.266	114.909	74516	0	8
2024.06.18	114.891	115.169	114.666	115.050	76171	0	8
2024.06.19	115.032	115.334	114.826	115.292	40366	0	9
