<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	110.432	110.839	110.368	110.817	11497	0	27
2024.03.01	04:00:00	110.817	110.877	110.778	110.849	9744	0	27
2024.03.01	08:00:00	110.849	110.942	110.765	110.927	17491	0	27
2024.03.01	12:00:00	110.923	110.949	110.669	110.869	21952	0	27
2024.03.01	16:00:00	110.870	110.875	110.564	110.767	30172	0	27
2024.03.01	20:00:00	110.767	110.788	110.602	110.661	13856	0	27
2024.03.04	00:00:00	110.536	110.779	110.528	110.686	10692	0	27
2024.03.04	04:00:00	110.686	110.798	110.648	110.791	8786	0	27
2024.03.04	08:00:00	110.791	110.880	110.673	110.765	16789	0	27
2024.03.04	12:00:00	110.766	110.929	110.765	110.888	16766	0	27
2024.03.04	16:00:00	110.889	110.979	110.746	110.900	21717	0	27
2024.03.04	20:00:00	110.899	110.915	110.802	110.881	11568	0	27
2024.03.05	00:00:00	110.883	110.896	110.741	110.840	9407	0	27
2024.03.05	04:00:00	110.841	110.877	110.756	110.766	9052	0	27
2024.03.05	08:00:00	110.767	110.793	110.506	110.677	15243	0	27
2024.03.05	12:00:00	110.675	110.748	110.418	110.435	16444	0	27
2024.03.05	16:00:00	110.434	110.630	110.392	110.539	27905	0	27
2024.03.05	20:00:00	110.539	110.546	110.166	110.368	15825	0	27
2024.03.06	00:00:00	110.339	110.421	110.199	110.410	9980	0	11
2024.03.06	04:00:00	110.410	110.410	110.290	110.354	9228	0	27
2024.03.06	08:00:00	110.354	110.377	109.924	110.170	19271	0	27
2024.03.06	12:00:00	110.169	110.289	110.041	110.087	20225	0	27
2024.03.06	16:00:00	110.088	110.610	110.042	110.553	31090	0	27
2024.03.06	20:00:00	110.552	110.571	110.380	110.496	17615	0	27
2024.03.07	00:00:00	110.316	110.533	109.870	109.947	15667	0	27
2024.03.07	04:00:00	109.948	110.053	109.879	109.996	16503	0	27
2024.03.07	08:00:00	109.996	110.009	109.386	109.549	23734	0	27
2024.03.07	12:00:00	109.549	109.609	109.370	109.561	23580	0	27
2024.03.07	16:00:00	109.561	110.030	109.533	109.935	31260	0	27
2024.03.07	20:00:00	109.937	110.053	109.912	109.990	13509	0	27
2024.03.08	00:00:00	109.906	110.063	109.685	109.995	13385	0	27
2024.03.08	04:00:00	109.995	110.066	109.884	109.913	14096	0	27
2024.03.08	08:00:00	109.912	110.073	109.310	109.484	23027	0	27
2024.03.08	12:00:00	109.482	109.536	109.073	109.272	25254	0	27
2024.03.08	16:00:00	109.272	109.340	109.035	109.037	35234	0	27
2024.03.08	20:00:00	109.036	109.102	108.926	108.955	15490	0	27
2024.03.11	00:00:00	108.774	109.054	108.774	108.866	10314	0	10
2024.03.11	04:00:00	108.868	109.058	108.719	108.913	13895	0	27
2024.03.11	08:00:00	108.912	109.077	108.754	108.826	18136	0	27
2024.03.11	12:00:00	108.826	108.898	108.666	108.679	19244	0	27
2024.03.11	16:00:00	108.679	108.997	108.676	108.936	25624	0	27
2024.03.11	20:00:00	108.936	109.016	108.817	108.970	12973	0	27
2024.03.12	00:00:00	108.933	109.001	108.778	108.936	9966	0	27
2024.03.12	04:00:00	108.936	109.396	108.934	109.361	14959	0	27
2024.03.12	08:00:00	109.361	109.525	109.235	109.328	18623	0	27
2024.03.12	12:00:00	109.327	109.689	109.164	109.403	21422	0	27
2024.03.12	16:00:00	109.404	109.588	109.297	109.388	31044	0	27
2024.03.12	20:00:00	109.387	109.468	109.350	109.427	12458	0	28
2024.03.13	00:00:00	109.427	109.448	109.202	109.205	7776	0	15
2024.03.13	04:00:00	109.205	109.344	109.118	109.340	13668	0	27
2024.03.13	08:00:00	109.340	109.635	109.304	109.620	17575	0	27
2024.03.13	12:00:00	109.620	109.728	109.482	109.644	18234	0	27
2024.03.13	16:00:00	109.643	109.834	109.563	109.656	23262	0	27
2024.03.13	20:00:00	109.654	109.761	109.497	109.670	13489	0	27
2024.03.14	00:00:00	109.654	109.680	109.524	109.577	7887	0	18
2024.03.14	04:00:00	109.576	109.788	109.550	109.752	11042	0	11
2024.03.14	08:00:00	109.752	109.782	109.675	109.747	14217	0	27
2024.03.14	12:00:00	109.746	109.809	109.622	109.682	18855	0	27
2024.03.14	16:00:00	109.683	109.819	109.413	109.567	32981	0	27
2024.03.14	20:00:00	109.565	109.653	109.478	109.595	13733	0	27
2024.03.15	00:00:00	109.595	109.682	109.470	109.615	8219	0	18
2024.03.15	04:00:00	109.615	109.761	109.492	109.536	12088	0	27
2024.03.15	08:00:00	109.536	109.848	109.348	109.747	19042	0	27
2024.03.15	12:00:00	109.747	110.005	109.731	109.964	17676	0	27
2024.03.15	16:00:00	109.965	110.285	109.959	110.059	25278	0	27
2024.03.15	20:00:00	110.059	110.091	109.959	110.006	11068	0	27
2024.03.18	00:00:00	110.007	110.206	109.876	110.199	6773	0	20
2024.03.18	04:00:00	110.204	110.227	110.004	110.139	10463	0	27
2024.03.18	08:00:00	110.138	110.367	110.119	110.221	13194	0	27
2024.03.18	12:00:00	110.220	110.294	110.023	110.218	15409	0	27
2024.03.18	16:00:00	110.215	110.253	110.060	110.091	20197	0	27
