<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	169.480	170.196	169.358	169.818	84284	0	27
2024.03.04	169.741	170.701	169.442	170.071	74745	0	24
2024.03.05	170.009	170.095	169.453	169.753	78759	0	21
2024.03.06	169.749	169.828	168.903	169.203	83303	0	21
2024.03.07	169.201	169.327	167.714	168.569	92890	0	27
2024.03.08	168.567	168.777	167.440	167.458	83959	0	20
2024.03.11	167.420	167.642	167.063	167.262	79694	0	27
2024.03.12	167.260	168.499	167.085	168.213	84720	0	10
2024.03.13	168.211	168.641	167.800	167.971	81309	0	11
2024.03.14	168.092	168.254	167.586	167.788	76529	0	11
2024.03.15	167.811	168.814	167.328	168.594	73752	0	11
2024.03.18	168.456	169.008	167.838	167.991	69230	0	10
2024.03.19	167.989	170.010	167.782	169.855	81980	0	10
2024.03.20	169.853	170.697	169.614	170.524	75041	0	12
2024.03.21	170.522	170.794	168.439	168.876	86943	0	12
2024.03.22	168.874	168.973	167.963	168.710	76490	0	11
2024.03.25	168.556	168.760	168.300	168.322	67450	0	9
2024.03.26	168.320	168.425	167.427	167.636	65296	0	11
2024.03.27	167.634	167.953	166.553	167.291	68632	0	10
2024.03.28	167.289	168.007	166.880	167.805	70051	0	12
2024.03.29	167.803	168.025	167.484	167.629	61972	0	23
2024.04.01	167.665	168.047	167.460	167.636	57971	0	9
2024.04.02	167.634	167.684	166.763	166.890	69030	0	9
2024.04.03	166.888	168.012	166.742	167.980	66615	0	9
2024.04.04	167.978	167.978	167.121	167.876	65737	0	9
2024.04.05	167.819	168.464	167.078	168.004	74450	0	9
2024.04.08	167.882	168.230	167.523	167.651	63291	0	9
2024.04.09	167.649	168.368	167.484	167.927	61590	0	10
2024.04.10	167.925	168.186	167.210	167.746	92499	0	9
2024.04.11	167.742	168.463	167.290	168.413	108368	0	11
2024.04.12	168.388	168.450	167.460	167.464	107376	0	16
2024.04.15	167.695	169.240	167.227	169.214	115173	0	13
2024.04.16	169.212	169.642	168.759	169.424	107169	0	11
2024.04.17	169.422	169.889	169.173	169.482	102345	0	12
2024.04.18	169.467	170.050	169.130	169.475	92666	0	10
2024.04.19	169.473	170.706	169.284	169.825	120540	0	12
2024.04.22	169.911	169.957	169.482	169.763	82680	0	7
2024.04.23	169.761	170.174	169.473	169.755	82735	0	10
2024.04.24	169.753	169.989	169.148	169.736	78749	0	9
2024.04.25	169.734	170.644	169.496	170.619	90290	0	10
2024.04.26	170.617	173.190	170.282	173.091	105612	0	13
2024.04.29	172.631	175.027	169.596	171.670	124601	0	13
2024.04.30	171.668	172.280	171.287	171.546	93621	0	11
2024.05.01	171.544	171.742	167.327	168.869	93423	0	8
2024.05.02	168.867	170.701	168.146	168.672	122396	0	23
2024.05.03	168.670	169.116	168.021	169.007	104451	0	13
2024.05.06	168.741	170.144	168.592	169.680	77433	0	11
2024.05.07	169.760	170.410	169.564	170.242	79523	0	10
2024.05.08	170.240	171.333	169.860	171.138	74437	0	13
2024.05.09	171.136	171.665	170.903	171.502	78900	0	11
2024.05.10	171.500	172.040	171.397	171.774	85025	0	9
2024.05.13	171.751	172.210	171.428	171.939	75347	0	10
2024.05.14	171.905	172.700	171.835	172.529	86542	0	11
2024.05.15	172.527	172.680	171.329	171.634	102734	0	11
2024.05.16	171.632	171.749	170.800	171.382	108738	0	7
2024.05.17	171.380	171.829	171.041	171.114	87278	0	7
2024.05.20	171.101	171.948	170.964	171.541	73115	0	7
2024.05.21	171.554	171.868	171.272	171.391	92008	0	7
2024.05.22	171.310	171.628	170.964	171.162	90594	0	7
2024.05.23	171.160	171.897	171.016	171.569	100731	0	7
2024.05.24	171.563	171.839	171.369	171.574	83153	0	7
2024.05.27	171.681	171.796	171.325	171.626	61537	0	7
2024.05.28	171.653	172.471	171.431	172.171	94881	0	7
2024.05.29	172.169	172.674	172.000	172.581	97224	0	7
2024.05.30	172.579	173.637	171.840	173.463	110033	0	7
2024.05.31	173.461	174.350	173.207	174.217	113121	0	7
2024.06.03	173.901	174.669	173.784	174.160	110113	0	7
2024.06.04	174.158	174.733	173.200	173.924	126525	0	7
2024.06.05	173.922	175.128	173.733	174.651	104927	0	7
2024.06.06	174.582	175.360	174.292	174.942	103801	0	7
2024.06.07	174.801	175.253	174.372	174.827	112322	0	7
2024.06.10	174.741	175.243	174.418	175.086	100582	0	8
2024.06.11	175.084	175.510	174.783	174.990	100758	0	9
2024.06.12	174.989	175.971	174.643	175.197	113730	0	5
2024.06.13	175.199	175.780	174.962	175.652	111796	0	7
2024.06.14	175.650	176.901	175.363	176.772	127788	0	9
2024.06.17	176.569	177.292	176.413	177.291	104248	0	8
2024.06.18	177.289	178.728	177.031	178.504	100632	0	9
2024.06.19	178.502	178.769	178.149	178.727	70447	0	4
2024.06.20	178.656	179.051	177.650	178.269	94567	0	10
2024.06.21	178.225	178.702	177.820	178.665	94681	0	3
2024.06.24	178.631	178.848	177.908	178.642	100681	0	17
2024.06.25	178.716	178.872	178.342	178.402	93227	0	14
2024.06.26	178.400	179.241	178.103	179.167	101022	0	14
2024.06.27	179.165	179.223	178.620	178.854	94910	0	15
2024.06.28	178.866	179.232	178.228	179.005	113030	0	15
2024.07.01	178.982	179.182	178.616	178.867	103721	0	15
2024.07.02	178.892	178.918	178.403	178.607	88050	0	15
2024.07.03	178.661	179.434	178.574	179.382	93970	0	15
2024.07.04	179.433	179.456	178.562	179.179	79511	0	15
2024.07.05	179.164	179.543	178.586	179.509	102904	0	15
2024.07.08	179.392	179.911	178.932	179.176	98120	0	15
2024.07.09	179.117	179.843	178.966	179.665	90943	0	15
2024.07.10	179.715	180.066	179.567	179.741	84305	0	15
2024.07.11	179.729	179.985	176.517	177.237	103684	0	15
2024.07.12	177.277	177.870	176.057	176.592	123146	0	15
2024.07.15	176.843	176.900	175.883	176.488	106492	0	15
2024.07.16	176.499	177.336	176.369	177.218	99258	0	15
2024.07.17	177.234	177.338	175.886	176.861	132341	0	15
2024.07.18	176.756	177.393	176.077	177.284	135564	0	15
2024.07.19	177.550	177.550	176.802	177.127	120278	0	15
2024.07.22	177.150	177.343	176.070	176.516	123094	0	15
2024.07.23	176.476	176.578	174.516	174.554	127468	0	15
2024.07.24	174.550	174.870	173.183	173.845	140459	0	15
2024.07.25	173.899	175.163	172.325	174.620	162837	0	15
2024.07.26	174.609	175.125	173.543	174.013	138123	0	15
