<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	169.480	170.039	169.358	170.025	10990	0	28
2024.03.01	04:00:00	170.016	170.100	169.950	170.007	11706	0	28
2024.03.01	08:00:00	170.002	170.173	169.736	170.146	14645	0	27
2024.03.01	12:00:00	170.164	170.196	169.582	169.654	16888	0	27
2024.03.01	16:00:00	169.656	169.883	169.394	169.840	18564	0	28
2024.03.01	20:00:00	169.839	169.986	169.723	169.818	11491	0	27
2024.03.04	00:00:00	169.741	169.963	169.442	169.900	9964	0	28
2024.03.04	04:00:00	169.899	170.180	169.890	170.178	9221	0	24
2024.03.04	08:00:00	170.179	170.701	170.155	170.231	16460	0	25
2024.03.04	12:00:00	170.231	170.370	169.795	170.100	14201	0	25
2024.03.04	16:00:00	170.100	170.239	169.752	170.195	16172	0	27
2024.03.04	20:00:00	170.194	170.243	170.000	170.071	8727	0	27
2024.03.05	00:00:00	170.009	170.095	169.809	169.890	9659	0	21
2024.03.05	04:00:00	169.891	170.035	169.889	169.919	10824	0	28
2024.03.05	08:00:00	169.919	169.947	169.623	169.775	14076	0	27
2024.03.05	12:00:00	169.766	169.813	169.489	169.505	13051	0	27
2024.03.05	16:00:00	169.511	170.027	169.453	169.829	18807	0	27
2024.03.05	20:00:00	169.832	169.868	169.600	169.753	12342	0	21
2024.03.06	00:00:00	169.749	169.828	169.450	169.528	10038	0	21
2024.03.06	04:00:00	169.528	169.592	169.394	169.483	10073	0	28
2024.03.06	08:00:00	169.485	169.537	168.903	169.170	15655	0	27
2024.03.06	12:00:00	169.166	169.291	168.984	169.023	15972	0	27
2024.03.06	16:00:00	169.026	169.463	168.983	169.295	19262	0	27
2024.03.06	20:00:00	169.297	169.417	169.178	169.203	12303	0	27
2024.03.07	00:00:00	169.201	169.327	168.511	168.530	11790	0	28
2024.03.07	04:00:00	168.529	168.694	168.426	168.549	14831	0	28
2024.03.07	08:00:00	168.550	168.587	167.714	167.995	17030	0	27
2024.03.07	12:00:00	167.992	168.213	167.775	168.021	17037	0	27
2024.03.07	16:00:00	168.022	168.734	167.986	168.539	20112	0	27
2024.03.07	20:00:00	168.536	168.730	168.497	168.569	12090	0	27
2024.03.08	00:00:00	168.567	168.777	168.237	168.641	10510	0	21
2024.03.08	04:00:00	168.641	168.746	168.416	168.464	11169	0	28
2024.03.08	08:00:00	168.463	168.742	167.606	167.846	14811	0	28
2024.03.08	12:00:00	167.844	167.970	167.528	167.906	15520	0	27
2024.03.08	16:00:00	167.909	168.021	167.670	167.672	19911	0	27
2024.03.08	20:00:00	167.672	167.688	167.440	167.458	12038	0	20
2024.03.11	00:00:00	167.420	167.633	167.157	167.268	9639	0	31
2024.03.11	04:00:00	167.267	167.587	167.070	167.349	13683	0	28
2024.03.11	08:00:00	167.347	167.642	167.327	167.474	14516	0	27
2024.03.11	12:00:00	167.477	167.495	167.104	167.254	14707	0	27
2024.03.11	16:00:00	167.254	167.374	167.063	167.194	16125	0	27
2024.03.11	20:00:00	167.196	167.471	167.082	167.262	11024	0	27
2024.03.12	00:00:00	167.260	167.467	167.085	167.367	8282	0	31
2024.03.12	04:00:00	167.371	168.025	167.371	168.021	12846	0	29
2024.03.12	08:00:00	168.020	168.264	167.819	168.064	14830	0	27
2024.03.12	12:00:00	168.065	168.499	168.041	168.273	16653	0	10
2024.03.12	16:00:00	168.272	168.431	168.098	168.191	18966	0	27
2024.03.12	20:00:00	168.191	168.335	168.076	168.213	13143	0	17
2024.03.13	00:00:00	168.211	168.283	167.935	167.941	10053	0	15
2024.03.13	04:00:00	167.940	168.107	167.800	168.090	13018	0	12
2024.03.13	08:00:00	168.089	168.339	168.052	168.303	15228	0	27
2024.03.13	12:00:00	168.303	168.641	168.131	168.593	15390	0	27
2024.03.13	16:00:00	168.587	168.627	168.198	168.260	16269	0	27
2024.03.13	20:00:00	168.260	168.317	167.971	167.971	11351	0	11
2024.03.14	00:00:00	168.092	168.104	167.798	167.998	7692	0	11
2024.03.14	04:00:00	167.993	168.254	167.955	168.196	10097	0	12
2024.03.14	08:00:00	168.209	168.232	167.952	168.019	12790	0	26
2024.03.14	12:00:00	168.016	168.176	167.901	168.053	14192	0	26
2024.03.14	16:00:00	168.052	168.156	167.586	167.780	19944	0	26
2024.03.14	20:00:00	167.786	167.894	167.669	167.788	11814	0	16
2024.03.15	00:00:00	167.811	167.891	167.642	167.747	8354	0	11
2024.03.15	04:00:00	167.752	167.962	167.536	167.608	11273	0	12
2024.03.15	08:00:00	167.610	168.282	167.328	168.165	14733	0	25
2024.03.15	12:00:00	168.166	168.626	168.164	168.560	14105	0	26
2024.03.15	16:00:00	168.560	168.814	168.530	168.621	15968	0	26
2024.03.15	20:00:00	168.622	168.728	168.497	168.594	9319	0	15
2024.03.18	00:00:00	168.456	168.955	168.418	168.940	9237	0	17
2024.03.18	04:00:00	168.949	169.008	168.656	168.769	11352	0	26
2024.03.18	08:00:00	168.767	168.959	168.629	168.766	12148	0	10
2024.03.18	12:00:00	168.766	168.960	168.712	168.810	12905	0	26
2024.03.18	16:00:00	168.808	168.811	168.118	168.145	14331	0	26
2024.03.18	20:00:00	168.144	168.159	167.838	167.991	9257	0	11
2024.03.19	00:00:00	167.989	168.117	167.797	167.946	8455	0	12
2024.03.19	04:00:00	167.946	168.911	167.782	168.807	15264	0	17
2024.03.19	08:00:00	168.808	169.516	168.783	169.418	17895	0	28
2024.03.19	12:00:00	169.415	169.732	169.212	169.654	16232	0	26
2024.03.19	16:00:00	169.654	169.995	169.569	169.962	15101	0	26
2024.03.19	20:00:00	169.964	170.010	169.835	169.855	9033	0	10
2024.03.20	00:00:00	169.853	170.219	169.641	170.086	8457	0	12
2024.03.20	04:00:00	170.090	170.435	169.982	170.340	9620	0	12
2024.03.20	08:00:00	170.339	170.443	170.092	170.133	13125	0	25
2024.03.20	12:00:00	170.132	170.419	170.079	170.401	13329	0	26
2024.03.20	16:00:00	170.403	170.404	170.037	170.188	13289	0	26
2024.03.20	20:00:00	170.187	170.697	169.614	170.524	17221	0	18
2024.03.21	00:00:00	170.522	170.595	170.033	170.150	13059	0	21
2024.03.21	04:00:00	170.148	170.299	169.913	170.274	12253	0	16
2024.03.21	08:00:00	170.275	170.794	168.562	168.904	16083	0	26
2024.03.21	12:00:00	168.910	169.341	168.509	168.941	18035	0	27
2024.03.21	16:00:00	168.940	169.002	168.439	168.863	18518	0	26
2024.03.21	20:00:00	168.865	168.936	168.789	168.876	8995	0	12
2024.03.22	00:00:00	168.874	168.973	168.716	168.824	8456	0	11
2024.03.22	04:00:00	168.824	168.923	168.379	168.579	12900	0	20
2024.03.22	08:00:00	168.578	168.651	167.963	168.083	14751	0	11
2024.03.22	12:00:00	168.085	168.395	167.976	168.286	14685	0	12
2024.03.22	16:00:00	168.288	168.595	168.164	168.429	16531	0	26
2024.03.22	20:00:00	168.429	168.826	168.367	168.710	9167	0	17
2024.03.25	00:00:00	168.556	168.760	168.351	168.409	8664	0	15
2024.03.25	04:00:00	168.405	168.603	168.315	168.595	13314	0	17
2024.03.25	08:00:00	168.593	168.628	168.374	168.472	12435	0	15
2024.03.25	12:00:00	168.471	168.643	168.409	168.467	13203	0	26
2024.03.25	16:00:00	168.466	168.716	168.394	168.486	12272	0	9
2024.03.25	20:00:00	168.487	168.567	168.300	168.322	7562	0	13
2024.03.26	00:00:00	168.320	168.425	168.165	168.184	6951	0	13
2024.03.26	04:00:00	168.183	168.253	168.051	168.074	9530	0	11
2024.03.26	08:00:00	168.080	168.227	167.723	167.870	11216	0	11
2024.03.26	12:00:00	167.871	168.054	167.529	167.644	13651	0	26
2024.03.26	16:00:00	167.646	167.909	167.427	167.659	14314	0	26
2024.03.26	20:00:00	167.655	167.768	167.600	167.636	9634	0	15
2024.03.27	00:00:00	167.634	167.678	167.397	167.560	6762	0	14
2024.03.27	04:00:00	167.562	167.953	167.545	167.692	11912	0	19
2024.03.27	08:00:00	167.691	167.743	167.252	167.528	12149	0	19
2024.03.27	12:00:00	167.528	167.544	166.553	166.676	16313	0	26
2024.03.27	16:00:00	166.676	167.136	166.634	167.104	13859	0	26
2024.03.27	20:00:00	167.104	167.317	166.991	167.291	7637	0	10
2024.03.28	00:00:00	167.289	167.289	166.880	167.115	9690	0	21
2024.03.28	04:00:00	167.115	167.258	167.072	167.187	9971	0	18
2024.03.28	08:00:00	167.188	167.202	166.959	167.053	11295	0	27
2024.03.28	12:00:00	167.053	167.281	166.997	167.270	13876	0	12
