<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.66262	1.66546	1.65796	1.65987	116714	0	9
2024.03.04	1.66061	1.66798	1.65884	1.66611	83114	0	11
2024.03.05	1.66605	1.67438	1.66472	1.66881	106807	0	11
2024.03.06	1.66914	1.67088	1.65761	1.65929	125601	0	15
2024.03.07	1.65997	1.66071	1.64392	1.65284	121485	0	19
2024.03.08	1.65292	1.65513	1.64407	1.64936	127509	0	8
2024.03.11	1.64950	1.65644	1.64915	1.65042	114737	0	17
2024.03.12	1.65040	1.65580	1.64797	1.65385	123564	0	13
2024.03.13	1.65335	1.65542	1.65116	1.65313	119421	0	10
2024.03.14	1.65291	1.65674	1.65052	1.65246	109071	0	8
2024.03.15	1.65354	1.66089	1.65183	1.65936	106468	0	7
2024.03.18	1.65877	1.66048	1.65686	1.65733	86319	0	7
2024.03.19	1.65735	1.66787	1.65653	1.66323	113566	0	8
2024.03.20	1.66121	1.66546	1.65786	1.65799	104501	0	8
2024.03.21	1.65798	1.65964	1.64758	1.65268	120882	0	9
2024.03.22	1.65271	1.66202	1.65166	1.65859	103424	0	7
2024.03.25	1.65729	1.65969	1.65339	1.65695	90980	0	7
2024.03.26	1.65686	1.65917	1.65433	1.65770	92634	0	4
2024.03.27	1.65768	1.66201	1.65593	1.65688	98151	0	9
2024.03.28	1.65684	1.66238	1.65471	1.65550	99129	0	2
2024.03.29	1.65570	1.65753	1.65242	1.65469	41228	0	7
2024.04.01	1.65409	1.65705	1.65085	1.65530	84190	0	3
2024.04.02	1.65431	1.65596	1.64849	1.65208	96194	0	8
2024.04.03	1.65208	1.65623	1.64883	1.65055	105028	0	7
2024.04.04	1.65054	1.65084	1.64132	1.64483	92196	0	5
2024.04.05	1.64482	1.64954	1.64260	1.64669	111599	0	8
2024.04.08	1.64811	1.65044	1.64113	1.64407	96347	0	2
2024.04.09	1.64260	1.64521	1.63695	1.63776	92666	0	6
2024.04.10	1.63745	1.65173	1.63595	1.64932	113761	0	7
2024.04.11	1.64931	1.65164	1.63935	1.64043	118603	0	1
2024.04.12	1.64014	1.64775	1.63757	1.64640	111870	0	7
2024.04.15	1.64201	1.64963	1.64128	1.64902	126271	0	8
2024.04.16	1.64840	1.66174	1.64688	1.65855	134269	0	7
2024.04.17	1.65764	1.65995	1.65344	1.65836	120570	0	10
2024.04.18	1.65765	1.65890	1.65369	1.65726	110061	0	7
2024.04.19	1.65606	1.66804	1.65606	1.66012	139828	0	9
2024.04.22	1.65971	1.66111	1.65098	1.65173	97698	0	9
2024.04.23	1.65109	1.65612	1.64842	1.64953	102771	0	8
2024.04.24	1.64949	1.65025	1.64065	1.64661	92050	0	9
2024.04.25	1.64660	1.64852	1.64091	1.64587	98907	0	6
2024.04.26	1.64494	1.64594	1.63476	1.63631	97918	0	7
2024.04.29	1.63861	1.63861	1.62894	1.63240	95868	0	7
2024.04.30	1.63242	1.64952	1.63072	1.64753	94467	0	7
2024.05.01	1.64751	1.64890	1.64036	1.64036	96631	0	5
2024.05.02	1.64179	1.64349	1.63212	1.63343	107737	0	9
2024.05.03	1.63220	1.63385	1.62298	1.62811	105041	0	7
2024.05.06	1.62504	1.62888	1.62426	1.62540	72096	0	7
2024.05.07	1.62404	1.63298	1.62168	1.62999	84549	0	5
2024.05.08	1.62902	1.63820	1.62873	1.63352	81483	0	4
2024.05.09	1.63351	1.63539	1.62781	1.62857	88269	0	5
2024.05.10	1.62765	1.63252	1.62689	1.63060	89834	0	5
2024.05.13	1.63030	1.63510	1.62953	1.63272	84939	0	7
2024.05.14	1.63293	1.63684	1.63076	1.63256	92338	0	5
2024.05.15	1.63140	1.63415	1.62475	1.62593	95733	0	6
2024.05.16	1.62500	1.63144	1.62219	1.62704	94443	0	1
2024.05.17	1.62620	1.63062	1.62290	1.62357	79268	0	1
2024.05.20	1.62158	1.62935	1.62125	1.62809	77621	0	1
2024.05.21	1.62672	1.63252	1.62507	1.62822	89050	0	1
2024.05.22	1.62722	1.63710	1.62470	1.63465	100218	0	1
2024.05.23	1.63522	1.63771	1.63232	1.63688	109103	0	1
2024.05.24	1.63640	1.64044	1.63528	1.63621	91624	0	1
2024.05.27	1.63566	1.63775	1.62967	1.63155	61165	0	1
2024.05.28	1.63149	1.63416	1.62814	1.63253	97432	0	1
2024.05.29	1.63280	1.63726	1.62737	1.63380	107819	0	1
2024.05.30	1.63378	1.63678	1.63114	1.63284	111384	0	1
2024.05.31	1.63256	1.63418	1.62886	1.63002	116021	0	1
2024.06.03	1.63291	1.63476	1.62527	1.62988	112127	0	1
2024.06.04	1.63134	1.63854	1.62873	1.63598	121750	0	1
2024.06.05	1.63465	1.63944	1.63207	1.63475	100125	0	1
2024.06.06	1.63480	1.64029	1.62966	1.63306	100354	0	1
2024.06.07	1.63304	1.64196	1.63099	1.64140	117620	0	1
2024.06.10	1.63586	1.63867	1.62598	1.62845	105481	0	1
2024.06.11	1.62797	1.63343	1.62341	1.62560	105082	0	1
2024.06.12	1.62412	1.62822	1.61712	1.62194	120026	0	1
2024.06.13	1.62168	1.62725	1.61734	1.61788	109679	0	1
2024.06.14	1.61759	1.62180	1.61459	1.61677	125373	0	1
2024.06.17	1.61961	1.62620	1.61617	1.62295	102164	0	1
2024.06.18	1.62273	1.62460	1.61301	1.61327	110216	0	1
2024.06.19	1.61206	1.61370	1.60783	1.60906	69055	0	1
2024.06.20	1.60907	1.61128	1.60586	1.60775	106658	0	1
2024.06.21	1.60780	1.61125	1.60261	1.60993	104945	0	1
2024.06.24	1.60911	1.61599	1.60755	1.61189	106563	0	12
2024.06.25	1.61111	1.61363	1.60769	1.61149	102838	0	7
2024.06.26	1.61137	1.61329	1.59966	1.60636	113660	0	10
2024.06.27	1.60496	1.61145	1.60253	1.61018	154705	0	6
2024.06.28	1.60947	1.61463	1.60209	1.60598	191108	0	6
2024.07.01	1.60721	1.61482	1.60638	1.61244	178620	0	6
2024.07.02	1.61167	1.61772	1.60943	1.61149	161182	0	6
2024.07.03	1.61011	1.61350	1.60612	1.60771	158661	0	6
2024.07.04	1.60729	1.60868	1.60428	1.60709	95253	0	6
2024.07.05	1.60645	1.60961	1.60470	1.60551	167389	0	6
2024.07.08	1.60134	1.60904	1.60122	1.60652	147010	0	6
2024.07.09	1.60650	1.60806	1.60341	1.60398	146381	0	6
2024.07.10	1.60374	1.60635	1.60288	1.60495	135051	0	6
2024.07.11	1.60467	1.60859	1.60230	1.60767	192256	0	6
2024.07.12	1.60715	1.60892	1.60477	1.60748	188949	0	6
2024.07.15	1.60618	1.61327	1.60554	1.61162	178626	0	6
2024.07.16	1.61054	1.61983	1.61015	1.61849	163625	0	6
2024.07.17	1.61738	1.62642	1.61730	1.62552	191528	0	6
2024.07.18	1.62516	1.62843	1.61881	1.62462	203052	0	6
2024.07.19	1.62453	1.62865	1.62317	1.62697	180085	0	6
2024.07.22	1.62633	1.64042	1.62546	1.63946	173953	0	6
2024.07.23	1.63934	1.64294	1.63845	1.64056	162045	0	6
2024.07.24	1.64030	1.64763	1.63947	1.64689	191684	0	6
2024.07.25	1.64670	1.66434	1.64614	1.65862	246561	0	6
2024.07.26	1.65821	1.65973	1.65253	1.65782	174419	0	6
2024.07.29	1.65629	1.65841	1.65199	1.65212	165626	0	6
2024.07.30	1.65225	1.65671	1.64925	1.65415	178002	0	6
2024.07.31	1.65323	1.67005	1.65237	1.65479	258604	0	6
2024.08.01	1.65474	1.66208	1.64756	1.65969	249546	0	6
2024.08.02	1.65854	1.67689	1.65441	1.67543	302826	0	7
2024.08.05	1.67566	1.71857	1.67354	1.68474	496577	0	7
2024.08.06	1.68380	1.68718	1.67113	1.67440	378972	0	6
2024.08.07	1.67467	1.67841	1.66011	1.67518	290862	0	6
2024.08.08	1.67435	1.68003	1.65571	1.65610	268043	0	6
2024.08.09	1.65528	1.66232	1.65358	1.66074	198665	0	6
2024.08.12	1.66069	1.66200	1.65423	1.65888	169297	0	7
2024.08.13	1.65822	1.66137	1.65315	1.65693	184445	0	7
2024.08.14	1.65638	1.67000	1.65477	1.66729	204706	0	6
2024.08.15	1.66708	1.67496	1.65600	1.65910	172849	0	7
2024.08.16	1.65824	1.66057	1.65195	1.65329	150973	0	6
2024.08.19	1.65354	1.65445	1.64577	1.64637	174342	0	6
2024.08.20	1.64552	1.65048	1.64504	1.64917	184125	0	6
2024.08.21	1.64892	1.65472	1.64717	1.65292	181119	0	6
2024.08.22	1.65208	1.65780	1.64927	1.65705	161267	0	6
2024.08.23	1.65622	1.65816	1.64567	1.64653	177995	0	6
2024.08.26	1.64684	1.65149	1.64552	1.64808	159159	0	6
2024.08.27	1.64733	1.65051	1.64462	1.64631	151487	0	6
2024.08.28	1.64548	1.64747	1.63785	1.63874	179442	0	6
2024.08.29	1.63750	1.64034	1.62555	1.62937	195205	0	6
2024.08.30	1.62885	1.63603	1.62666	1.63289	173719	0	6
2024.09.02	1.63210	1.63494	1.62901	1.63038	95698	0	6
2024.09.03	1.62922	1.64589	1.62885	1.64530	184511	0	6
2024.09.04	1.64425	1.65234	1.64145	1.64782	175060	0	6
2024.09.05	1.64716	1.65205	1.64587	1.64818	174254	0	6
2024.09.06	1.64724	1.66294	1.64409	1.66172	220763	0	6
2024.09.09	1.66111	1.66306	1.65548	1.65657	145973	0	6
2024.09.10	1.65570	1.65992	1.65384	1.65624	137739	0	6
2024.09.11	1.65511	1.66174	1.64962	1.64987	204709	0	6
2024.09.12	1.64945	1.65399	1.64525	1.64715	178621	0	6
2024.09.13	1.64609	1.65647	1.64579	1.65173	177046	0	6
2024.09.16	1.65263	1.65360	1.64797	1.64864	143109	0	6
2024.09.17	1.64851	1.65000	1.64402	1.64496	166961	0	6
2024.09.18	1.64414	1.64758	1.63846	1.64357	217766	0	6
2024.09.19	1.64269	1.64496	1.63165	1.63803	253506	0	6
2024.09.20	1.63722	1.64297	1.63571	1.63976	199704	0	6
2024.09.23	1.63966	1.64106	1.62336	1.62475	180046	0	6
2024.09.24	1.62382	1.63132	1.61861	1.62188	187973	0	6
2024.09.25	1.62113	1.63187	1.61977	1.63145	187362	0	6
2024.09.26	1.63098	1.63212	1.61840	1.62064	213140	0	6
2024.09.27	1.62110	1.62514	1.61169	1.61729	226518	0	6
2024.09.30	1.61503	1.61861	1.60634	1.61053	204172	0	6
2024.10.01	1.60979	1.61138	1.60191	1.60779	226784	0	6
2024.10.02	1.60643	1.60915	1.60044	1.60395	194801	0	6
2024.10.03	1.60365	1.61392	1.60365	1.61233	207553	0	6
2024.10.04	1.61174	1.61534	1.60993	1.61516	189244	0	6
2024.10.07	1.61437	1.62644	1.61104	1.62323	202343	0	6
2024.10.08	1.62306	1.63535	1.62208	1.62714	229715	0	6
2024.10.09	1.62660	1.63198	1.62289	1.62823	204847	0	6
2024.10.10	1.62774	1.62967	1.62146	1.62249	218995	0	6
2024.10.11	1.62128	1.62564	1.61872	1.61982	137548	0	6
2024.10.14	1.62063	1.62776	1.61921	1.62178	154272	0	6
2024.10.15	1.62142	1.62658	1.61976	1.62452	173272	0	6
2024.10.16	1.62363	1.63279	1.62305	1.62921	161145	0	6
2024.10.17	1.62816	1.63041	1.61493	1.61739	185665	0	6
2024.10.18	1.61597	1.62122	1.61337	1.62026	149620	0	6
2024.10.21	1.61868	1.62622	1.61626	1.62407	149610	0	6
2024.10.22	1.62293	1.62603	1.61476	1.61594	159414	0	6
2024.10.23	1.61533	1.62839	1.61390	1.62518	175234	0	6
2024.10.24	1.62396	1.63165	1.61853	1.63045	172650	0	6
2024.10.25	1.62904	1.63617	1.62897	1.63451	144226	0	6
2024.10.28	1.63144	1.64327	1.63016	1.64236	148535	0	6
2024.10.29	1.64172	1.65012	1.63935	1.64881	173379	0	6
2024.10.30	1.64781	1.65426	1.64403	1.65165	188874	0	6
2024.10.31	1.65162	1.66003	1.64969	1.65354	203402	0	6
2024.11.01	1.65333	1.65838	1.64749	1.65146	188541	0	6
2024.11.04	1.64454	1.65436	1.64385	1.65161	190237	0	6
