<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.66262	1.66421	1.65984	1.66303	13505	0	27
2024.03.01	04:00:00	1.66300	1.66320	1.66036	1.66093	10533	0	9
2024.03.01	08:00:00	1.66091	1.66546	1.65972	1.66340	21908	0	26
2024.03.01	12:00:00	1.66337	1.66467	1.66003	1.66383	25302	0	26
2024.03.01	16:00:00	1.66380	1.66420	1.65796	1.65947	29884	0	26
2024.03.01	20:00:00	1.65944	1.66086	1.65875	1.65987	15582	0	15
2024.03.04	00:00:00	1.66061	1.66216	1.65884	1.66175	8328	0	24
2024.03.04	04:00:00	1.66175	1.66400	1.66102	1.66391	6509	0	24
2024.03.04	08:00:00	1.66391	1.66447	1.66196	1.66301	13066	0	23
2024.03.04	12:00:00	1.66301	1.66573	1.66265	1.66457	16813	0	23
2024.03.04	16:00:00	1.66459	1.66754	1.66438	1.66648	25881	0	26
2024.03.04	20:00:00	1.66653	1.66798	1.66568	1.66611	12517	0	11
2024.03.05	00:00:00	1.66605	1.66870	1.66472	1.66678	11336	0	11
2024.03.05	04:00:00	1.66678	1.67210	1.66657	1.67210	10218	0	12
2024.03.05	08:00:00	1.67207	1.67438	1.67118	1.67276	18309	0	26
2024.03.05	12:00:00	1.67278	1.67287	1.66948	1.66998	21198	0	26
2024.03.05	16:00:00	1.66998	1.67047	1.66701	1.66792	29485	0	26
2024.03.05	20:00:00	1.66791	1.66919	1.66696	1.66881	16261	0	16
2024.03.06	00:00:00	1.66914	1.67088	1.66667	1.66860	13380	0	19
2024.03.06	04:00:00	1.66857	1.66898	1.66481	1.66555	13210	0	26
2024.03.06	08:00:00	1.66552	1.66836	1.66451	1.66695	23763	0	26
2024.03.06	12:00:00	1.66694	1.66815	1.66353	1.66410	22878	0	26
2024.03.06	16:00:00	1.66408	1.66428	1.65761	1.65868	32857	0	26
2024.03.06	20:00:00	1.65868	1.66038	1.65784	1.65929	19513	0	15
2024.03.07	00:00:00	1.65997	1.66071	1.65782	1.65876	12755	0	19
2024.03.07	04:00:00	1.65878	1.66001	1.65487	1.65745	15071	0	26
2024.03.07	08:00:00	1.65747	1.65778	1.65164	1.65243	23723	0	26
2024.03.07	12:00:00	1.65243	1.65243	1.64392	1.64488	24884	0	26
2024.03.07	16:00:00	1.64487	1.65324	1.64472	1.65271	30279	0	26
2024.03.07	20:00:00	1.65269	1.65411	1.65212	1.65284	14773	0	26
