<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.46649	1.47018	1.46448	1.46950	111462	0	5
2024.03.04	1.46806	1.47452	1.46752	1.47279	72604	0	9
2024.03.05	1.47236	1.47609	1.47162	1.47501	107310	0	8
2024.03.06	1.47450	1.47782	1.47190	1.47204	121343	0	7
2024.03.07	1.47192	1.47388	1.46561	1.47287	112222	0	12
2024.03.08	1.47256	1.47597	1.46791	1.47432	120299	0	8
2024.03.11	1.47530	1.47643	1.47211	1.47270	107328	0	9
2024.03.12	1.47286	1.47472	1.47160	1.47385	110432	0	8
2024.03.13	1.47401	1.47615	1.47236	1.47437	113057	0	9
2024.03.14	1.47454	1.47513	1.47134	1.47250	101931	0	8
2024.03.15	1.47246	1.47492	1.47090	1.47406	105425	0	6
2024.03.18	1.47368	1.47661	1.47074	1.47115	83896	0	3
2024.03.19	1.47132	1.47778	1.47032	1.47377	104473	0	5
2024.03.20	1.47393	1.47632	1.47106	1.47334	99056	0	6
2024.03.21	1.47326	1.47438	1.46839	1.46887	115457	0	6
2024.03.22	1.46900	1.47187	1.46628	1.47036	93763	0	7
2024.03.25	1.46945	1.47271	1.46936	1.47211	85343	0	7
2024.03.26	1.47216	1.47375	1.46894	1.47098	88014	0	6
2024.03.27	1.47098	1.47326	1.46775	1.46865	93997	0	9
2024.03.28	1.46864	1.46973	1.46017	1.46043	93083	0	7
2024.03.29	1.46073	1.46314	1.45829	1.46073	47749	0	16
2024.04.01	1.45920	1.46254	1.45683	1.45753	84016	0	7
2024.04.02	1.45775	1.46234	1.45446	1.46073	91845	0	4
2024.04.03	1.46134	1.46617	1.46009	1.46546	95650	0	6
2024.04.04	1.46562	1.46923	1.46421	1.46726	88568	0	7
2024.04.05	1.46660	1.47407	1.46558	1.47225	111018	0	6
2024.04.08	1.47281	1.47493	1.47092	1.47359	92439	0	5
2024.04.09	1.47358	1.47622	1.47253	1.47309	98928	0	5
2024.04.10	1.47319	1.47389	1.46672	1.46943	112516	0	8
2024.04.11	1.46890	1.47058	1.46654	1.46795	117380	0	7
2024.04.12	1.46788	1.46853	1.46163	1.46533	108279	0	7
2024.04.15	1.46491	1.46638	1.46099	1.46466	123592	0	7
2024.04.16	1.46422	1.47277	1.46359	1.46811	127212	0	6
2024.04.17	1.46752	1.47092	1.46558	1.46964	117659	0	7
2024.04.18	1.46933	1.46980	1.46478	1.46494	104597	0	3
2024.04.19	1.46510	1.46790	1.46372	1.46500	137657	0	4
2024.04.22	1.46344	1.46526	1.45839	1.45933	95354	0	7
2024.04.23	1.45814	1.46418	1.45778	1.46185	99907	0	3
2024.04.24	1.46213	1.46691	1.46080	1.46579	91469	0	5
2024.04.25	1.46518	1.46895	1.46414	1.46504	98823	0	6
2024.04.26	1.46439	1.46637	1.46069	1.46135	96859	0	8
2024.04.29	1.46124	1.46491	1.45998	1.46420	84930	0	6
2024.04.30	1.46385	1.47266	1.46343	1.46928	84957	0	5
2024.05.01	1.46802	1.47259	1.46690	1.47079	85530	0	6
2024.05.02	1.47144	1.47235	1.46406	1.46626	93925	0	6
2024.05.03	1.46549	1.47442	1.46543	1.47272	93886	0	3
2024.05.06	1.47181	1.47390	1.47092	1.47128	61645	0	6
2024.05.07	1.47064	1.47726	1.46993	1.47597	70408	0	7
2024.05.08	1.47486	1.47853	1.47426	1.47450	64908	0	5
2024.05.09	1.47423	1.47605	1.47188	1.47435	65372	0	8
2024.05.10	1.47389	1.47560	1.46870	1.47222	73002	0	3
2024.05.13	1.47191	1.47716	1.47102	1.47430	69224	0	6
2024.05.14	1.47436	1.47813	1.47308	1.47655	76898	0	6
2024.05.15	1.47591	1.48133	1.47510	1.48020	79437	0	6
2024.05.16	1.47988	1.48204	1.47828	1.47953	75206	0	3
2024.05.17	1.47861	1.48087	1.47700	1.47924	67306	0	3
2024.05.20	1.47912	1.48107	1.47741	1.47901	60526	0	2
2024.05.21	1.47902	1.48330	1.47789	1.48176	76336	0	2
2024.05.22	1.48178	1.48283	1.47900	1.48173	83672	0	2
2024.05.23	1.48126	1.48488	1.47897	1.48450	92277	0	2
2024.05.24	1.48369	1.48814	1.48100	1.48184	77310	0	3
2024.05.27	1.48261	1.48361	1.47903	1.47999	47366	0	1
2024.05.28	1.47983	1.48334	1.47910	1.48123	81677	0	2
2024.05.29	1.48116	1.48449	1.47902	1.48135	90791	0	2
2024.05.30	1.48135	1.48391	1.48062	1.48147	91159	0	2
2024.05.31	1.48130	1.48373	1.47731	1.47788	100471	0	3
2024.06.03	1.47891	1.48702	1.47683	1.48575	96656	0	3
2024.06.04	1.48568	1.48949	1.48488	1.48753	103903	0	2
2024.06.05	1.48748	1.49274	1.48548	1.48808	85324	0	3
2024.06.06	1.48812	1.49218	1.48746	1.48763	85486	0	2
2024.06.07	1.48783	1.49063	1.48425	1.48672	100464	0	3
2024.06.10	1.48185	1.48371	1.47800	1.48086	92016	0	2
2024.06.11	1.48079	1.48252	1.47616	1.47744	93846	0	3
2024.06.12	1.47734	1.48591	1.47618	1.48311	101600	0	3
2024.06.13	1.48229	1.48596	1.47491	1.47528	97323	0	3
2024.06.14	1.47492	1.47639	1.46869	1.46955	106669	0	3
2024.06.17	1.46895	1.47484	1.46859	1.47276	91082	0	2
2024.06.18	1.47229	1.47531	1.47149	1.47299	89599	0	2
2024.06.19	1.47267	1.47414	1.47159	1.47198	59393	0	3
2024.06.20	1.47190	1.47365	1.46442	1.46460	85895	0	3
2024.06.21	1.46421	1.46631	1.46117	1.46377	89204	0	9
2024.06.24	1.46229	1.46941	1.46229	1.46513	87973	0	9
2024.06.25	1.46496	1.46593	1.45835	1.46303	83647	0	7
2024.06.26	1.46304	1.46404	1.46011	1.46315	92018	0	5
2024.06.27	1.46309	1.46810	1.46125	1.46625	127971	0	6
2024.06.28	1.46570	1.46804	1.46310	1.46524	159239	0	12
2024.07.01	1.46827	1.47555	1.46680	1.47502	141833	0	12
2024.07.02	1.47463	1.47627	1.46852	1.46942	130334	0	12
2024.07.03	1.46865	1.47351	1.46865	1.47066	124549	0	12
2024.07.04	1.46986	1.47210	1.46947	1.47125	68859	0	13
2024.07.05	1.47081	1.47865	1.47081	1.47812	131373	0	12
2024.07.08	1.47365	1.47863	1.47352	1.47553	118051	0	11
2024.07.09	1.47496	1.47693	1.47333	1.47425	117777	0	12
2024.07.10	1.47378	1.47610	1.47269	1.47487	102261	0	11
2024.07.11	1.47403	1.48253	1.47342	1.48140	158740	0	12
2024.07.12	1.48091	1.48726	1.48003	1.48686	150791	0	12
2024.07.15	1.48474	1.49149	1.48405	1.49043	140974	0	11
