<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.46649	1.46784	1.46448	1.46783	11236	0	9
2024.03.01	04:00:00	1.46781	1.46801	1.46677	1.46707	8756	0	5
2024.03.01	08:00:00	1.46706	1.46994	1.46648	1.46815	21090	0	28
2024.03.01	12:00:00	1.46815	1.46928	1.46618	1.46878	24146	0	24
2024.03.01	16:00:00	1.46877	1.47018	1.46686	1.46872	29711	0	34
2024.03.01	20:00:00	1.46871	1.46988	1.46844	1.46950	16523	0	34
2024.03.04	00:00:00	1.46806	1.47009	1.46752	1.46987	5562	0	33
2024.03.04	04:00:00	1.46987	1.47095	1.46986	1.47075	3499	0	9
2024.03.04	08:00:00	1.47076	1.47201	1.47012	1.47118	8686	0	32
2024.03.04	12:00:00	1.47118	1.47332	1.47077	1.47166	13500	0	32
2024.03.04	16:00:00	1.47161	1.47452	1.47122	1.47338	27220	0	34
2024.03.04	20:00:00	1.47337	1.47429	1.47278	1.47279	14137	0	32
2024.03.05	00:00:00	1.47236	1.47379	1.47178	1.47237	10929	0	12
2024.03.05	04:00:00	1.47237	1.47429	1.47227	1.47422	8825	0	34
2024.03.05	08:00:00	1.47424	1.47609	1.47375	1.47432	18840	0	32
2024.03.05	12:00:00	1.47433	1.47492	1.47281	1.47366	20509	0	34
2024.03.05	16:00:00	1.47366	1.47557	1.47162	1.47421	29402	0	34
2024.03.05	20:00:00	1.47419	1.47592	1.47360	1.47501	18805	0	8
2024.03.06	00:00:00	1.47450	1.47579	1.47301	1.47310	11117	0	9
2024.03.06	04:00:00	1.47310	1.47441	1.47309	1.47428	12799	0	34
2024.03.06	08:00:00	1.47427	1.47738	1.47411	1.47695	21140	0	34
2024.03.06	12:00:00	1.47694	1.47782	1.47507	1.47643	22439	0	34
2024.03.06	16:00:00	1.47644	1.47726	1.47201	1.47221	33054	0	34
2024.03.06	20:00:00	1.47221	1.47332	1.47190	1.47204	20794	0	7
2024.03.07	00:00:00	1.47192	1.47388	1.47022	1.47269	9990	0	34
2024.03.07	04:00:00	1.47270	1.47356	1.47213	1.47258	11987	0	34
2024.03.07	08:00:00	1.47259	1.47288	1.47079	1.47226	20048	0	32
2024.03.07	12:00:00	1.47225	1.47227	1.46563	1.46600	23677	0	34
2024.03.07	16:00:00	1.46601	1.47357	1.46561	1.47305	30599	0	34
2024.03.07	20:00:00	1.47304	1.47371	1.47221	1.47287	15921	0	12
2024.03.08	00:00:00	1.47256	1.47335	1.47191	1.47238	10163	0	12
2024.03.08	04:00:00	1.47237	1.47268	1.47154	1.47164	8938	0	8
2024.03.08	08:00:00	1.47163	1.47204	1.46791	1.46919	22291	0	34
2024.03.08	12:00:00	1.46919	1.47400	1.46828	1.47340	25430	0	34
2024.03.08	16:00:00	1.47340	1.47503	1.47203	1.47468	35437	0	34
2024.03.08	20:00:00	1.47467	1.47597	1.47421	1.47432	18040	0	34
2024.03.11	00:00:00	1.47530	1.47561	1.47404	1.47477	9363	0	9
2024.03.11	04:00:00	1.47476	1.47534	1.47408	1.47506	14045	0	34
2024.03.11	08:00:00	1.47508	1.47643	1.47386	1.47516	17948	0	33
2024.03.11	12:00:00	1.47516	1.47633	1.47275	1.47621	21251	0	27
2024.03.11	16:00:00	1.47622	1.47622	1.47255	1.47286	28841	0	34
2024.03.11	20:00:00	1.47287	1.47355	1.47211	1.47270	15880	0	32
2024.03.12	00:00:00	1.47286	1.47328	1.47170	1.47306	8129	0	12
2024.03.12	04:00:00	1.47306	1.47371	1.47272	1.47354	10247	0	34
2024.03.12	08:00:00	1.47357	1.47390	1.47168	1.47179	15690	0	34
2024.03.12	12:00:00	1.47180	1.47435	1.47160	1.47336	25629	0	34
2024.03.12	16:00:00	1.47335	1.47472	1.47226	1.47381	33606	0	34
2024.03.12	20:00:00	1.47380	1.47435	1.47363	1.47385	17131	0	8
2024.03.13	00:00:00	1.47401	1.47443	1.47339	1.47415	10296	0	10
2024.03.13	04:00:00	1.47416	1.47465	1.47374	1.47392	17990	0	34
2024.03.13	08:00:00	1.47392	1.47469	1.47335	1.47374	19456	0	10
2024.03.13	12:00:00	1.47375	1.47615	1.47292	1.47532	22558	0	34
2024.03.13	16:00:00	1.47532	1.47576	1.47236	1.47449	27584	0	34
2024.03.13	20:00:00	1.47448	1.47578	1.47419	1.47437	15173	0	9
2024.03.14	00:00:00	1.47454	1.47513	1.47343	1.47436	7103	0	10
2024.03.14	04:00:00	1.47437	1.47458	1.47376	1.47435	8597	0	8
2024.03.14	08:00:00	1.47435	1.47468	1.47287	1.47324	15888	0	10
2024.03.14	12:00:00	1.47324	1.47380	1.47158	1.47289	20522	0	33
2024.03.14	16:00:00	1.47291	1.47320	1.47134	1.47208	31658	0	33
2024.03.14	20:00:00	1.47210	1.47351	1.47203	1.47250	18163	0	11
2024.03.15	00:00:00	1.47246	1.47357	1.47178	1.47275	10099	0	9
2024.03.15	04:00:00	1.47276	1.47287	1.47181	1.47227	13241	0	6
2024.03.15	08:00:00	1.47226	1.47467	1.47192	1.47427	18581	0	9
2024.03.15	12:00:00	1.47426	1.47483	1.47268	1.47286	19982	0	33
2024.03.15	16:00:00	1.47284	1.47459	1.47090	1.47429	29307	0	33
2024.03.15	20:00:00	1.47430	1.47492	1.47337	1.47406	14215	0	8
2024.03.18	00:00:00	1.47368	1.47466	1.47240	1.47420	6962	0	6
2024.03.18	04:00:00	1.47421	1.47469	1.47338	1.47368	9166	0	3
2024.03.18	08:00:00	1.47367	1.47456	1.47272	1.47349	12620	0	5
2024.03.18	12:00:00	1.47350	1.47661	1.47305	1.47390	17889	0	33
2024.03.18	16:00:00	1.47390	1.47545	1.47210	1.47252	23741	0	33
