<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.95561	0.96044	0.95455	0.95734	57442	0	7
2024.03.04	0.95734	0.96215	0.95548	0.96058	52920	0	7
2024.03.05	0.96058	0.96176	0.95842	0.95904	56396	0	7
2024.03.06	0.95845	0.96316	0.95737	0.96121	48554	0	7
2024.03.07	0.96121	0.96191	0.95584	0.96082	61690	0	7
2024.03.08	0.96045	0.96082	0.95746	0.95799	61450	0	7
2024.03.11	0.95866	0.96037	0.95731	0.95848	44095	0	7
2024.03.12	0.95848	0.95968	0.95698	0.95853	53345	0	7
2024.03.13	0.95854	0.96216	0.95802	0.96197	43609	0	7
2024.03.14	0.96202	0.96282	0.96080	0.96171	51259	0	7
2024.03.15	0.96171	0.96299	0.96052	0.96207	50698	0	7
2024.03.18	0.96115	0.96567	0.96058	0.96518	48266	0	7
2024.03.19	0.96506	0.96643	0.96201	0.96486	57206	0	7
2024.03.20	0.96424	0.96882	0.96350	0.96855	53078	0	7
2024.03.21	0.96841	0.97872	0.96662	0.97463	80818	0	7
2024.03.22	0.97472	0.97567	0.96905	0.96960	55265	0	7
2024.03.25	0.96976	0.97477	0.96895	0.97464	38948	0	7
2024.03.26	0.97439	0.98136	0.97325	0.97903	48629	0	6
2024.03.27	0.97853	0.98198	0.97754	0.97850	44809	0	7
2024.03.28	0.97843	0.97996	0.97226	0.97262	49887	0	7
2024.03.29	0.97276	0.97363	0.97064	0.97239	68612	0	7
2024.04.01	0.97281	0.97370	0.97119	0.97139	36041	0	7
2024.04.02	0.97119	0.97785	0.96996	0.97771	48265	0	7
2024.04.03	0.97766	0.98052	0.97630	0.97832	43689	0	7
2024.04.04	0.97832	0.98481	0.97611	0.97673	43021	0	6
2024.04.05	0.97674	0.98039	0.97453	0.97667	55786	0	7
2024.04.08	0.97667	0.98344	0.97451	0.98313	53172	0	7
2024.04.09	0.98312	0.98350	0.98035	0.98091	44245	0	7
2024.04.10	0.98079	0.98207	0.97915	0.98057	57239	0	7
2024.04.11	0.98035	0.98206	0.97471	0.97598	61441	0	6
2024.04.12	0.97598	0.97634	0.96773	0.97175	62422	0	7
2024.04.15	0.97202	0.97399	0.96764	0.96845	66208	0	7
2024.04.16	0.96844	0.97220	0.96776	0.96941	68757	0	7
2024.04.17	0.96924	0.97204	0.96760	0.97196	59700	0	7
2024.04.18	0.97189	0.97228	0.96931	0.97094	46529	0	6
2024.04.19	0.97060	0.97155	0.95641	0.96850	80196	0	7
2024.04.22	0.96933	0.97264	0.96827	0.97164	48983	0	7
2024.04.23	0.97098	0.97607	0.97009	0.97587	53202	0	5
2024.04.24	0.97558	0.97914	0.97453	0.97897	44879	0	7
2024.04.25	0.97721	0.97987	0.97680	0.97873	49262	0	7
2024.04.26	0.97808	0.97975	0.97619	0.97704	48832	0	7
2024.04.29	0.97760	0.98029	0.97492	0.97598	59174	0	7
2024.04.30	0.97598	0.98162	0.97476	0.98062	52135	0	7
2024.05.01	0.98057	0.98369	0.97778	0.98084	48408	0	7
2024.05.02	0.97993	0.98259	0.97451	0.97662	54126	0	7
2024.05.03	0.97657	0.97664	0.97264	0.97327	52063	0	7
2024.05.06	0.97327	0.97648	0.97220	0.97584	31991	0	7
2024.05.07	0.97367	0.97785	0.97367	0.97688	34106	0	7
2024.05.08	0.97684	0.97726	0.97523	0.97598	28816	0	7
2024.05.09	0.97584	0.97737	0.97491	0.97669	30804	0	7
2024.05.10	0.97591	0.97794	0.97496	0.97532	29319	0	7
2024.05.13	0.97573	0.98022	0.97426	0.97992	29341	0	7
2024.05.14	0.97986	0.98126	0.97854	0.98065	31946	0	7
2024.05.15	0.98052	0.98246	0.97878	0.98188	38162	0	6
2024.05.16	0.98181	0.98480	0.97857	0.98469	37676	0	7
2024.05.17	0.98470	0.98824	0.98343	0.98799	29067	0	6
2024.05.20	0.98670	0.98936	0.98659	0.98840	27341	0	6
2024.05.21	0.98785	0.98934	0.98717	0.98864	32696	0	7
2024.05.22	0.98863	0.99151	0.98789	0.99097	33296	0	6
2024.05.23	0.99083	0.99151	0.98808	0.98879	41431	0	7
2024.05.24	0.98843	0.99286	0.98751	0.99151	38687	0	7
2024.05.27	0.99131	0.99300	0.99069	0.99142	19357	0	6
2024.05.28	0.99154	0.99252	0.98827	0.99054	39329	0	7
2024.05.29	0.99032	0.99091	0.98619	0.98622	37675	0	7
2024.05.30	0.98634	0.98701	0.97812	0.97840	42740	0	7
2024.05.31	0.97841	0.98362	0.97697	0.97763	49253	0	7
2024.06.03	0.97765	0.98012	0.97418	0.97665	41896	0	5
2024.06.04	0.97583	0.97808	0.96691	0.96841	52685	0	6
2024.06.05	0.96804	0.97218	0.96658	0.97104	39901	0	7
2024.06.06	0.97044	0.97153	0.96823	0.96823	37982	0	7
2024.06.07	0.96759	0.97077	0.96744	0.96802	45907	0	6
2024.06.10	0.96805	0.96805	0.96250	0.96505	46181	0	6
2024.06.11	0.96494	0.96574	0.96149	0.96400	37375	0	6
2024.06.12	0.96397	0.96752	0.96145	0.96668	47437	0	6
2024.06.13	0.96669	0.96843	0.95948	0.95963	40928	0	7
2024.06.14	0.95953	0.96044	0.95089	0.95110	55186	0	7
2024.06.17	0.95299	0.95676	0.95150	0.95477	44223	0	6
2024.06.18	0.95443	0.95498	0.94816	0.94948	46197	0	6
2024.06.19	0.94878	0.95148	0.94774	0.94957	35834	0	6
2024.06.20	0.94943	0.95725	0.94807	0.95323	53973	0	6
2024.06.21	0.95323	0.95651	0.95060	0.95548	50100	0	7
2024.06.24	0.95512	0.95947	0.95334	0.95777	45074	0	7
2024.06.25	0.95738	0.95945	0.95636	0.95845	40068	0	7
2024.06.26	0.95822	0.95998	0.95607	0.95830	44519	0	5
2024.06.27	0.95784	0.96210	0.95700	0.96182	76604	0	5
2024.06.28	0.96098	0.96393	0.96027	0.96220	94044	0	5
2024.07.01	0.96414	0.97104	0.96326	0.96944	94348	0	5
2024.07.02	0.96918	0.97147	0.96812	0.97122	77769	0	5
2024.07.03	0.96998	0.97377	0.96976	0.97180	82679	0	5
2024.07.04	0.97139	0.97554	0.97112	0.97284	61316	0	5
2024.07.05	0.97291	0.97419	0.97008	0.97013	106644	0	5
2024.07.08	0.96743	0.97202	0.96665	0.97148	73776	0	5
2024.07.09	0.97141	0.97311	0.97005	0.97076	65328	0	5
2024.07.10	0.97007	0.97422	0.96993	0.97420	55468	0	5
2024.07.11	0.97401	0.97504	0.97079	0.97418	110369	0	5
2024.07.12	0.97202	0.97589	0.97180	0.97500	110488	0	5
2024.07.15	0.97269	0.97738	0.97214	0.97583	75539	0	5
2024.07.16	0.97523	0.97690	0.97389	0.97393	60815	0	5
2024.07.17	0.97363	0.97487	0.96562	0.96629	103680	0	5
2024.07.18	0.96550	0.96741	0.96420	0.96716	107715	0	5
2024.07.19	0.96559	0.96909	0.96532	0.96697	91812	0	5
2024.07.22	0.96624	0.96900	0.96560	0.96872	78549	0	5
2024.07.23	0.96862	0.96915	0.96682	0.96731	92066	0	5
2024.07.24	0.96712	0.96762	0.95876	0.95937	100256	0	5
2024.07.25	0.95928	0.95966	0.95207	0.95612	168254	0	5
2024.07.26	0.95521	0.95993	0.95489	0.95901	87747	0	5
2024.07.29	0.95760	0.96037	0.95660	0.95885	80068	0	5
2024.07.30	0.95849	0.96057	0.95442	0.95461	100407	0	5
2024.07.31	0.95455	0.95571	0.94957	0.95055	224152	0	5
2024.08.01	0.94955	0.95077	0.94114	0.94200	159344	0	5
2024.08.02	0.94089	0.94395	0.93509	0.93584	207031	0	5
2024.08.05	0.93664	0.93841	0.92096	0.93176	343807	0	5
2024.08.06	0.93092	0.93842	0.92854	0.93044	246361	0	5
2024.08.07	0.92971	0.94700	0.92970	0.94107	222769	0	5
2024.08.08	0.94024	0.94642	0.93547	0.94619	211879	0	5
2024.08.09	0.94480	0.94751	0.94237	0.94396	126274	0	5
2024.08.12	0.94284	0.95185	0.94242	0.94572	116695	0	5
2024.08.13	0.94512	0.95138	0.94512	0.95067	131776	0	5
2024.08.14	0.95011	0.95449	0.94946	0.95266	145024	0	5
2024.08.15	0.95232	0.95809	0.95225	0.95736	113885	0	5
2024.08.16	0.95683	0.95756	0.95256	0.95471	85296	0	5
2024.08.19	0.95336	0.95678	0.95198	0.95630	112221	0	5
2024.08.20	0.95583	0.95661	0.95033	0.95035	106675	0	5
2024.08.21	0.95027	0.95174	0.94773	0.94954	124489	0	5
2024.08.22	0.94911	0.94988	0.94565	0.94682	131581	0	5
2024.08.23	0.94558	0.94980	0.94558	0.94783	112411	0	5
2024.08.26	0.94760	0.94890	0.94517	0.94553	104128	0	5
2024.08.27	0.94454	0.94739	0.94069	0.94126	89283	0	5
2024.08.28	0.94055	0.94196	0.93522	0.93642	98669	0	5
2024.08.29	0.93600	0.93995	0.93534	0.93851	122408	0	5
2024.08.30	0.93749	0.94171	0.93716	0.93759	109123	0	5
2024.09.02	0.93804	0.94450	0.93735	0.94261	61874	0	5
2024.09.03	0.94227	0.94435	0.93751	0.93894	116628	0	5
2024.09.04	0.93802	0.94101	0.93684	0.93801	122335	0	5
2024.09.05	0.93788	0.94069	0.93710	0.93763	134739	0	5
2024.09.06	0.93723	0.93920	0.93342	0.93364	209397	0	5
2024.09.09	0.93477	0.93797	0.93326	0.93715	99223	0	5
2024.09.10	0.93684	0.93771	0.93242	0.93321	98929	0	5
2024.09.11	0.93271	0.93969	0.93064	0.93840	164981	0	5
2024.09.12	0.93783	0.94336	0.93783	0.94244	130655	0	5
2024.09.13	0.94145	0.94259	0.93694	0.93916	115230	0	5
2024.09.16	0.94048	0.94074	0.93807	0.94036	78982	0	5
2024.09.17	0.93983	0.94219	0.93827	0.94135	108610	0	5
2024.09.18	0.94044	0.94171	0.93811	0.94076	137927	0	5
2024.09.19	0.93960	0.94653	0.93940	0.94618	208242	0	5
2024.09.20	0.94586	0.95036	0.94458	0.94745	136223	0	5
2024.09.23	0.94789	0.95009	0.94095	0.94161	132042	0	5
2024.09.24	0.94114	0.94560	0.94016	0.94268	113895	0	5
2024.09.25	0.94223	0.95081	0.94175	0.94664	121144	0	5
2024.09.26	0.94651	0.94980	0.94346	0.94565	161305	0	5
2024.09.27	0.94473	0.94790	0.93763	0.93782	182951	0	5
2024.09.30	0.93767	0.94503	0.93757	0.94147	157659	0	5
2024.10.01	0.93967	0.94335	0.93329	0.93687	168724	0	5
