<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.95561	0.95681	0.95455	0.95680	5549	0	7
2024.03.01	04:00:00	0.95681	0.95685	0.95618	0.95669	4201	0	7
2024.03.01	08:00:00	0.95669	0.95950	0.95640	0.95730	12886	0	7
2024.03.01	12:00:00	0.95730	0.96021	0.95649	0.95995	12141	0	7
2024.03.01	16:00:00	0.95995	0.96044	0.95761	0.95798	15538	0	7
2024.03.01	20:00:00	0.95797	0.95841	0.95691	0.95734	7127	0	7
2024.03.04	00:00:00	0.95734	0.95831	0.95620	0.95770	6997	0	7
2024.03.04	04:00:00	0.95769	0.95794	0.95697	0.95764	5022	0	7
2024.03.04	08:00:00	0.95764	0.95815	0.95548	0.95741	11020	0	7
2024.03.04	12:00:00	0.95741	0.96113	0.95737	0.95947	11497	0	7
2024.03.04	16:00:00	0.95947	0.96215	0.95940	0.96017	12665	0	7
2024.03.04	20:00:00	0.96017	0.96095	0.95986	0.96058	5719	0	7
2024.03.05	00:00:00	0.96058	0.96096	0.95940	0.96071	5906	0	7
2024.03.05	04:00:00	0.96071	0.96110	0.96045	0.96106	3639	0	7
2024.03.05	08:00:00	0.96106	0.96168	0.96043	0.96119	11129	0	7
2024.03.05	12:00:00	0.96114	0.96176	0.96005	0.96024	11580	0	7
2024.03.05	16:00:00	0.96024	0.96057	0.95919	0.95960	15450	0	7
2024.03.05	20:00:00	0.95960	0.95962	0.95842	0.95904	8692	0	7
2024.03.06	00:00:00	0.95845	0.96009	0.95737	0.95954	3954	0	7
2024.03.06	04:00:00	0.95954	0.96000	0.95948	0.95998	4605	0	7
2024.03.06	08:00:00	0.95998	0.96266	0.95990	0.96197	9210	0	7
2024.03.06	12:00:00	0.96198	0.96316	0.96134	0.96174	10411	0	7
2024.03.06	16:00:00	0.96175	0.96214	0.96017	0.96146	14407	0	7
2024.03.06	20:00:00	0.96146	0.96160	0.96097	0.96121	5967	0	7
2024.03.07	00:00:00	0.96121	0.96191	0.95974	0.96087	6834	0	7
2024.03.07	04:00:00	0.96087	0.96140	0.96052	0.96111	6741	0	7
2024.03.07	08:00:00	0.96111	0.96128	0.95923	0.96018	10686	0	7
2024.03.07	12:00:00	0.96018	0.96051	0.95588	0.95604	12814	0	7
2024.03.07	16:00:00	0.95602	0.96101	0.95584	0.96095	18171	0	7
2024.03.07	20:00:00	0.96096	0.96137	0.96030	0.96082	6444	0	7
2024.03.08	00:00:00	0.96045	0.96082	0.95933	0.96049	5453	0	7
2024.03.08	04:00:00	0.96049	0.96072	0.96022	0.96026	5058	0	7
2024.03.08	08:00:00	0.96026	0.96056	0.95746	0.95839	12089	0	7
2024.03.08	12:00:00	0.95844	0.95920	0.95765	0.95893	14237	0	7
2024.03.08	16:00:00	0.95894	0.96005	0.95807	0.95905	18213	0	7
2024.03.08	20:00:00	0.95905	0.96003	0.95770	0.95799	6400	0	7
2024.03.11	00:00:00	0.95866	0.96034	0.95731	0.95991	4866	0	7
2024.03.11	04:00:00	0.95993	0.96028	0.95953	0.96006	3738	0	7
2024.03.11	08:00:00	0.96006	0.96037	0.95789	0.95863	7269	0	7
2024.03.11	12:00:00	0.95863	0.95947	0.95764	0.95929	10400	0	7
2024.03.11	16:00:00	0.95929	0.96004	0.95880	0.95972	12382	0	7
2024.03.11	20:00:00	0.95973	0.95976	0.95848	0.95848	5440	0	7
2024.03.12	00:00:00	0.95848	0.95909	0.95786	0.95885	4762	0	7
2024.03.12	04:00:00	0.95886	0.95956	0.95872	0.95922	5902	0	7
2024.03.12	08:00:00	0.95922	0.95943	0.95746	0.95753	8997	0	7
2024.03.12	12:00:00	0.95753	0.95881	0.95698	0.95797	12633	0	7
2024.03.12	16:00:00	0.95798	0.95968	0.95791	0.95860	15102	0	7
2024.03.12	20:00:00	0.95860	0.95938	0.95839	0.95853	5949	0	7
2024.03.13	00:00:00	0.95854	0.95897	0.95802	0.95868	2514	0	7
2024.03.13	04:00:00	0.95868	0.95925	0.95849	0.95884	5464	0	7
2024.03.13	08:00:00	0.95884	0.96008	0.95883	0.95996	7901	0	7
2024.03.13	12:00:00	0.95995	0.96060	0.95919	0.95958	9408	0	7
2024.03.13	16:00:00	0.95958	0.96108	0.95917	0.96106	11408	0	7
2024.03.13	20:00:00	0.96106	0.96216	0.96091	0.96197	6914	0	7
2024.03.14	00:00:00	0.96202	0.96229	0.96104	0.96178	4499	0	7
2024.03.14	04:00:00	0.96177	0.96237	0.96157	0.96216	4928	0	7
2024.03.14	08:00:00	0.96216	0.96282	0.96164	0.96242	7326	0	7
2024.03.14	12:00:00	0.96241	0.96280	0.96080	0.96145	12299	0	7
2024.03.14	16:00:00	0.96145	0.96206	0.96099	0.96145	15989	0	7
2024.03.14	20:00:00	0.96145	0.96236	0.96130	0.96171	6218	0	7
2024.03.15	00:00:00	0.96171	0.96254	0.96093	0.96245	5372	0	7
2024.03.15	04:00:00	0.96245	0.96247	0.96209	0.96225	4957	0	7
2024.03.15	08:00:00	0.96225	0.96299	0.96202	0.96225	8621	0	7
2024.03.15	12:00:00	0.96223	0.96253	0.96052	0.96095	11018	0	7
2024.03.15	16:00:00	0.96095	0.96240	0.96075	0.96236	13563	0	7
2024.03.15	20:00:00	0.96236	0.96275	0.96179	0.96207	7167	0	7
2024.03.18	00:00:00	0.96115	0.96220	0.96058	0.96181	7589	0	7
2024.03.18	04:00:00	0.96181	0.96201	0.96130	0.96192	4241	0	7
2024.03.18	08:00:00	0.96192	0.96345	0.96173	0.96254	7529	0	7
2024.03.18	12:00:00	0.96254	0.96383	0.96196	0.96250	10125	0	7
2024.03.18	16:00:00	0.96250	0.96482	0.96248	0.96430	12538	0	7
2024.03.18	20:00:00	0.96430	0.96567	0.96409	0.96518	6244	0	7
2024.03.19	00:00:00	0.96506	0.96560	0.96294	0.96558	5571	0	7
2024.03.19	04:00:00	0.96556	0.96606	0.96540	0.96565	9391	0	7
2024.03.19	08:00:00	0.96565	0.96643	0.96212	0.96249	13193	0	7
2024.03.19	12:00:00	0.96249	0.96458	0.96201	0.96258	12934	0	7
2024.03.19	16:00:00	0.96257	0.96501	0.96236	0.96472	11573	0	7
2024.03.19	20:00:00	0.96472	0.96507	0.96443	0.96486	4544	0	7
2024.03.20	00:00:00	0.96424	0.96543	0.96350	0.96539	3587	0	7
2024.03.20	04:00:00	0.96539	0.96628	0.96535	0.96624	3858	0	7
2024.03.20	08:00:00	0.96623	0.96682	0.96552	0.96590	8778	0	7
2024.03.20	12:00:00	0.96590	0.96693	0.96527	0.96547	9314	0	7
2024.03.20	16:00:00	0.96547	0.96761	0.96546	0.96741	9290	0	7
2024.03.20	20:00:00	0.96741	0.96882	0.96654	0.96855	18251	0	7
2024.03.21	00:00:00	0.96841	0.96880	0.96668	0.96767	10228	0	7
2024.03.21	04:00:00	0.96769	0.96800	0.96662	0.96788	7824	0	7
2024.03.21	08:00:00	0.96788	0.97823	0.96693	0.97461	15063	0	7
2024.03.21	12:00:00	0.97465	0.97704	0.97318	0.97616	19951	0	7
2024.03.21	16:00:00	0.97616	0.97872	0.97552	0.97552	19721	0	7
2024.03.21	20:00:00	0.97552	0.97587	0.97459	0.97463	8031	0	7
2024.03.22	00:00:00	0.97472	0.97536	0.97418	0.97509	3996	0	7
2024.03.22	04:00:00	0.97509	0.97567	0.97394	0.97399	7940	0	7
2024.03.22	08:00:00	0.97399	0.97502	0.97298	0.97410	10361	0	7
