<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.85534	0.85755	0.85492	0.85650	38752	0	1
2024.03.04	0.85598	0.85661	0.85499	0.85516	34203	0	1
2024.03.05	0.85512	0.85603	0.85335	0.85442	38737	0	1
2024.03.06	0.85405	0.85627	0.85399	0.85597	40707	0	1
2024.03.07	0.85552	0.85627	0.85233	0.85467	41972	0	1
2024.03.08	0.85439	0.85481	0.85036	0.85051	43848	0	1
2024.03.11	0.85009	0.85346	0.85006	0.85259	33544	0	1
2024.03.12	0.85213	0.85541	0.85208	0.85405	40278	0	1
2024.03.13	0.85379	0.85592	0.85360	0.85541	34490	0	1
2024.03.14	0.85542	0.85568	0.85329	0.85329	38661	0	1
2024.03.15	0.85302	0.85527	0.85283	0.85461	34483	0	1
2024.03.18	0.85417	0.85621	0.85373	0.85403	29831	0	1
2024.03.19	0.85374	0.85555	0.85317	0.85407	33687	0	1
2024.03.20	0.85407	0.85567	0.85285	0.85421	36477	0	1
2024.03.21	0.85413	0.85826	0.85287	0.85790	42223	0	1
2024.03.22	0.85753	0.86017	0.85673	0.85762	36005	0	1
2024.03.25	0.85738	0.85843	0.85649	0.85755	31075	0	1
2024.03.26	0.85734	0.85879	0.85687	0.85766	37016	0	1
2024.03.27	0.85735	0.85848	0.85646	0.85654	39068	0	1
2024.03.28	0.85657	0.85708	0.85437	0.85449	47857	0	1
2024.03.29	0.85429	0.85540	0.85292	0.85478	45496	0	3
2024.04.01	0.85336	0.85628	0.85261	0.85580	30234	0	1
2024.04.02	0.85559	0.85746	0.85325	0.85610	37762	0	1
2024.04.03	0.85587	0.85821	0.85565	0.85638	39369	0	1
2024.04.04	0.85608	0.85803	0.85584	0.85712	36425	0	1
2024.04.05	0.85663	0.85856	0.85658	0.85737	37846	0	1
2024.04.08	0.85757	0.85839	0.85680	0.85803	35211	0	1
2024.04.09	0.85755	0.85822	0.85608	0.85631	31366	0	1
2024.04.10	0.85602	0.85704	0.85408	0.85658	41996	0	1
2024.04.11	0.85631	0.85697	0.85408	0.85433	39095	0	1
2024.04.12	0.85403	0.85513	0.85280	0.85461	43842	0	1
2024.04.15	0.85431	0.85523	0.85266	0.85359	47306	0	1
2024.04.16	0.85284	0.85494	0.85276	0.85444	48006	0	1
2024.04.17	0.85343	0.85717	0.85203	0.85689	45522	0	1
2024.04.18	0.85631	0.85708	0.85507	0.85573	38707	0	1
2024.04.19	0.85575	0.86152	0.85474	0.86133	50276	0	1
2024.04.22	0.86081	0.86436	0.85948	0.86258	35462	0	1
2024.04.23	0.86235	0.86440	0.85928	0.85958	40503	0	1
2024.04.24	0.85883	0.85996	0.85830	0.85833	36425	0	1
2024.04.25	0.85814	0.85916	0.85642	0.85741	47344	0	1
2024.04.26	0.85707	0.85834	0.85570	0.85574	46483	0	1
2024.04.29	0.85671	0.85671	0.85324	0.85329	42651	0	1
2024.04.30	0.85292	0.85544	0.85292	0.85375	44615	0	1
2024.05.01	0.85362	0.85579	0.85294	0.85516	43935	0	1
2024.05.02	0.85503	0.85646	0.85451	0.85561	49996	0	1
2024.05.03	0.85483	0.85860	0.85483	0.85772	47265	0	1
2024.05.06	0.85748	0.85810	0.85565	0.85723	27673	0	1
2024.05.07	0.85613	0.85987	0.85604	0.85971	29697	0	1
2024.05.08	0.85888	0.86175	0.85870	0.85993	28305	0	1
2024.05.09	0.85963	0.86201	0.85903	0.86082	34414	0	1
2024.05.10	0.86071	0.86102	0.85939	0.85980	31764	0	1
2024.05.13	0.85959	0.86087	0.85891	0.85904	26766	0	1
2024.05.14	0.85910	0.86138	0.85843	0.85920	32300	0	1
2024.05.15	0.85922	0.85996	0.85737	0.85790	33564	0	1
2024.05.16	0.85768	0.85871	0.85709	0.85764	28395	0	1
2024.05.17	0.85761	0.85802	0.85540	0.85565	25717	0	1
2024.05.20	0.85611	0.85675	0.85409	0.85434	27956	0	1
2024.05.21	0.85404	0.85510	0.85331	0.85393	27414	0	1
2024.05.22	0.85368	0.85418	0.85032	0.85097	33567	0	1
2024.05.23	0.85097	0.85268	0.84990	0.85158	43723	0	1
2024.05.24	0.85103	0.85317	0.85078	0.85145	36008	0	1
2024.05.27	0.85161	0.85197	0.84963	0.85018	23035	0	1
2024.05.28	0.84994	0.85174	0.84949	0.85067	39967	0	1
2024.05.29	0.85028	0.85163	0.84832	0.85039	41817	0	1
2024.05.30	0.85016	0.85168	0.84970	0.85072	34856	0	1
2024.05.31	0.85072	0.85401	0.85001	0.85129	37823	0	1
2024.06.03	0.85161	0.85350	0.85056	0.85126	33513	0	1
2024.06.04	0.85082	0.85244	0.85046	0.85173	39039	0	1
2024.06.05	0.85148	0.85205	0.84979	0.84989	30810	0	1
2024.06.06	0.84941	0.85241	0.84941	0.85108	29793	0	1
2024.06.07	0.85122	0.85203	0.84885	0.84896	36321	0	1
2024.06.10	0.84537	0.84718	0.84392	0.84553	33263	0	1
2024.06.11	0.84511	0.84674	0.84173	0.84295	35225	0	1
2024.06.12	0.84278	0.84512	0.84157	0.84447	40995	0	1
2024.06.13	0.84405	0.84579	0.84115	0.84119	36225	0	1
2024.06.14	0.84109	0.84404	0.83967	0.84359	43171	0	1
2024.06.17	0.84203	0.84608	0.84203	0.84479	31300	0	1
2024.06.18	0.84474	0.84640	0.84430	0.84493	35274	0	1
2024.06.19	0.84400	0.84541	0.84295	0.84395	28017	0	1
2024.06.20	0.84384	0.84606	0.84339	0.84455	34823	0	1
2024.06.21	0.84435	0.84651	0.84421	0.84544	36761	0	1
2024.06.24	0.84406	0.84773	0.84406	0.84588	35585	0	1
2024.06.25	0.84517	0.84634	0.84303	0.84445	30397	0	1
2024.06.26	0.84348	0.84629	0.84322	0.84600	38107	0	1
2024.06.27	0.84495	0.84752	0.84477	0.84678	48171	0	1
2024.06.28	0.84618	0.84817	0.84576	0.84718	57268	0	6
2024.07.01	0.84887	0.84987	0.84673	0.84890	53726	0	6
2024.07.02	0.84865	0.84953	0.84659	0.84696	43777	0	6
2024.07.03	0.84662	0.84779	0.84559	0.84617	45506	0	6
2024.07.04	0.84637	0.84738	0.84496	0.84723	29523	0	6
2024.07.05	0.84720	0.84780	0.84514	0.84575	49892	0	6
2024.07.08	0.84335	0.84599	0.84333	0.84507	41366	0	6
2024.07.09	0.84510	0.84598	0.84419	0.84564	38472	0	6
2024.07.10	0.84539	0.84590	0.84252	0.84276	36426	0	6
2024.07.11	0.84273	0.84320	0.84130	0.84143	55286	0	6
2024.07.12	0.84145	0.84215	0.83914	0.83956	50628	0	6
2024.07.15	0.83898	0.84116	0.83839	0.84004	43537	0	6
2024.07.16	0.83982	0.84104	0.83972	0.84001	40678	0	6
2024.07.17	0.84004	0.84097	0.83827	0.84083	50109	0	6
2024.07.18	0.84067	0.84220	0.84031	0.84173	48610	0	6
2024.07.19	0.84080	0.84327	0.84078	0.84248	41188	0	6
2024.07.22	0.84242	0.84311	0.84134	0.84201	42677	0	6
2024.07.23	0.84171	0.84264	0.83971	0.84081	44543	0	6
2024.07.24	0.84066	0.84176	0.83932	0.83973	47425	0	6
2024.07.25	0.83970	0.84399	0.83928	0.84377	63609	0	6
2024.07.26	0.84333	0.84491	0.84277	0.84366	40800	0	6
2024.07.29	0.84348	0.84603	0.84115	0.84125	45583	0	6
2024.07.30	0.84119	0.84293	0.84071	0.84249	43493	0	6
2024.07.31	0.84211	0.84486	0.84115	0.84194	71746	0	6
2024.08.01	0.84155	0.84732	0.84138	0.84695	78883	0	6
2024.08.02	0.84655	0.85347	0.84513	0.85173	83636	0	6
2024.08.05	0.85197	0.86192	0.85173	0.85676	152733	0	6
2024.08.06	0.85687	0.86158	0.85615	0.86085	109895	0	6
2024.08.07	0.86070	0.86146	0.85757	0.86053	80574	0	6
2024.08.08	0.86020	0.86246	0.85595	0.85626	78521	0	6
2024.08.09	0.85595	0.85787	0.85494	0.85551	54192	0	6
2024.08.12	0.85419	0.85686	0.85411	0.85543	49260	0	6
2024.08.13	0.85543	0.85646	0.85307	0.85448	65791	0	6
2024.08.14	0.85414	0.85924	0.85362	0.85732	64882	0	6
2024.08.15	0.85739	0.85871	0.85337	0.85350	54702	0	6
2024.08.16	0.85342	0.85364	0.85103	0.85161	39976	0	6
2024.08.19	0.85109	0.85334	0.85081	0.85300	51796	0	6
2024.08.20	0.85290	0.85397	0.85150	0.85376	56309	0	6
2024.08.21	0.85357	0.85443	0.85090	0.85160	61309	0	6
2024.08.22	0.85126	0.85220	0.84784	0.84869	56939	0	6
2024.08.23	0.84871	0.84923	0.84520	0.84654	62171	0	6
2024.08.26	0.84573	0.84752	0.84500	0.84625	46289	0	6
2024.08.27	0.84613	0.84675	0.84312	0.84333	44864	0	6
2024.08.28	0.84321	0.84357	0.84100	0.84287	53073	0	6
2024.08.29	0.84229	0.84341	0.84023	0.84115	58395	0	6
2024.08.30	0.84078	0.84278	0.83999	0.84147	56518	0	6
2024.09.02	0.84089	0.84323	0.84023	0.84198	27155	0	6
2024.09.03	0.84171	0.84345	0.84057	0.84202	54013	0	6
2024.09.04	0.84203	0.84350	0.84157	0.84279	49530	0	6
2024.09.05	0.84264	0.84376	0.84178	0.84291	56655	0	6
2024.09.06	0.84240	0.84467	0.84111	0.84407	85273	0	6
2024.09.09	0.84392	0.84470	0.84328	0.84401	46891	0	6
2024.09.10	0.84388	0.84473	0.84231	0.84231	44846	0	6
2024.09.11	0.84189	0.84632	0.84187	0.84425	68130	0	6
