<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.85534	0.85648	0.85492	0.85644	4489	0	1
2024.03.01	04:00:00	0.85644	0.85653	0.85608	0.85628	2577	0	1
2024.03.01	08:00:00	0.85628	0.85646	0.85555	0.85625	6786	0	1
2024.03.01	12:00:00	0.85617	0.85656	0.85540	0.85605	8940	0	9
2024.03.01	16:00:00	0.85605	0.85755	0.85595	0.85626	11129	0	9
2024.03.01	20:00:00	0.85626	0.85659	0.85601	0.85650	4831	0	1
2024.03.04	00:00:00	0.85598	0.85657	0.85577	0.85623	3329	0	1
2024.03.04	04:00:00	0.85624	0.85642	0.85610	0.85637	1995	0	1
2024.03.04	08:00:00	0.85636	0.85661	0.85551	0.85571	8192	0	1
2024.03.04	12:00:00	0.85571	0.85647	0.85538	0.85570	8870	0	9
2024.03.04	16:00:00	0.85570	0.85587	0.85499	0.85515	8198	0	9
2024.03.04	20:00:00	0.85516	0.85567	0.85507	0.85516	3619	0	1
2024.03.05	00:00:00	0.85512	0.85546	0.85413	0.85490	4312	0	1
2024.03.05	04:00:00	0.85490	0.85572	0.85488	0.85566	2323	0	1
2024.03.05	08:00:00	0.85564	0.85603	0.85531	0.85537	6952	0	1
2024.03.05	12:00:00	0.85533	0.85590	0.85458	0.85459	8362	0	9
2024.03.05	16:00:00	0.85459	0.85492	0.85335	0.85431	11887	0	11
2024.03.05	20:00:00	0.85430	0.85461	0.85403	0.85442	4901	0	1
2024.03.06	00:00:00	0.85405	0.85478	0.85399	0.85429	3104	0	1
2024.03.06	04:00:00	0.85428	0.85456	0.85422	0.85442	2427	0	1
2024.03.06	08:00:00	0.85441	0.85490	0.85407	0.85430	8510	0	10
2024.03.06	12:00:00	0.85430	0.85540	0.85429	0.85539	9887	0	9
2024.03.06	16:00:00	0.85540	0.85621	0.85503	0.85542	10881	0	9
2024.03.06	20:00:00	0.85542	0.85627	0.85507	0.85597	5898	0	1
2024.03.07	00:00:00	0.85552	0.85627	0.85527	0.85600	4061	0	1
2024.03.07	04:00:00	0.85602	0.85616	0.85578	0.85599	2632	0	1
2024.03.07	08:00:00	0.85599	0.85608	0.85484	0.85498	7151	0	1
2024.03.07	12:00:00	0.85498	0.85500	0.85233	0.85256	9597	0	9
2024.03.07	16:00:00	0.85256	0.85531	0.85242	0.85494	13746	0	9
2024.03.07	20:00:00	0.85493	0.85498	0.85444	0.85467	4785	0	1
2024.03.08	00:00:00	0.85439	0.85481	0.85425	0.85464	3008	0	1
2024.03.08	04:00:00	0.85465	0.85481	0.85450	0.85450	2179	0	1
2024.03.08	08:00:00	0.85451	0.85475	0.85208	0.85242	7835	0	1
2024.03.08	12:00:00	0.85241	0.85263	0.85077	0.85180	10911	0	9
2024.03.08	16:00:00	0.85180	0.85181	0.85036	0.85133	13956	0	11
2024.03.08	20:00:00	0.85133	0.85161	0.85045	0.85051	5959	0	1
2024.03.11	00:00:00	0.85009	0.85132	0.85006	0.85108	2650	0	1
2024.03.11	04:00:00	0.85108	0.85153	0.85090	0.85112	3234	0	1
2024.03.11	08:00:00	0.85112	0.85269	0.85102	0.85255	7393	0	1
2024.03.11	12:00:00	0.85255	0.85267	0.85124	0.85219	7166	0	9
2024.03.11	16:00:00	0.85219	0.85346	0.85126	0.85317	8856	0	1
2024.03.11	20:00:00	0.85317	0.85321	0.85253	0.85259	4245	0	1
2024.03.12	00:00:00	0.85213	0.85287	0.85208	0.85264	3710	0	1
2024.03.12	04:00:00	0.85264	0.85331	0.85252	0.85312	2732	0	1
2024.03.12	08:00:00	0.85312	0.85484	0.85296	0.85436	6408	0	1
2024.03.12	12:00:00	0.85437	0.85508	0.85424	0.85498	10366	0	2
2024.03.12	16:00:00	0.85498	0.85541	0.85356	0.85434	12173	0	2
2024.03.12	20:00:00	0.85434	0.85459	0.85385	0.85405	4889	0	1
2024.03.13	00:00:00	0.85379	0.85432	0.85360	0.85399	2277	0	1
2024.03.13	04:00:00	0.85399	0.85425	0.85380	0.85396	2294	0	1
2024.03.13	08:00:00	0.85395	0.85495	0.85389	0.85413	5684	0	2
2024.03.13	12:00:00	0.85414	0.85512	0.85389	0.85437	9889	0	12
2024.03.13	16:00:00	0.85436	0.85558	0.85417	0.85554	9403	0	2
2024.03.13	20:00:00	0.85553	0.85592	0.85531	0.85541	4943	0	1
2024.03.14	00:00:00	0.85542	0.85568	0.85472	0.85534	2756	0	1
2024.03.14	04:00:00	0.85538	0.85559	0.85518	0.85538	2377	0	1
2024.03.14	08:00:00	0.85539	0.85548	0.85360	0.85398	5795	0	1
2024.03.14	12:00:00	0.85399	0.85458	0.85347	0.85419	9568	0	2
2024.03.14	16:00:00	0.85418	0.85501	0.85368	0.85393	12929	0	1
2024.03.14	20:00:00	0.85393	0.85397	0.85329	0.85329	5236	0	1
2024.03.15	00:00:00	0.85302	0.85424	0.85283	0.85404	3692	0	1
2024.03.15	04:00:00	0.85404	0.85420	0.85366	0.85374	3137	0	1
2024.03.15	08:00:00	0.85374	0.85435	0.85367	0.85426	6296	0	1
2024.03.15	12:00:00	0.85426	0.85473	0.85368	0.85398	8527	0	1
2024.03.15	16:00:00	0.85398	0.85519	0.85378	0.85507	8788	0	2
2024.03.15	20:00:00	0.85506	0.85527	0.85447	0.85461	4043	0	1
2024.03.18	00:00:00	0.85417	0.85514	0.85373	0.85496	2422	0	1
2024.03.18	04:00:00	0.85496	0.85528	0.85492	0.85512	2473	0	1
2024.03.18	08:00:00	0.85511	0.85553	0.85469	0.85470	4439	0	1
2024.03.18	12:00:00	0.85470	0.85621	0.85465	0.85520	6571	0	1
2024.03.18	16:00:00	0.85519	0.85556	0.85425	0.85430	9740	0	1
