<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	162.009	162.997	161.738	162.574	105179	0	11
2024.03.04	162.520	163.516	162.429	163.321	84418	0	11
2024.03.05	163.321	163.407	162.601	162.831	97524	0	11
2024.03.06	162.841	162.952	162.202	162.818	102836	0	11
2024.03.07	162.798	162.800	160.547	162.047	120364	0	11
2024.03.08	162.028	162.170	160.611	160.740	124980	0	11
2024.03.11	160.853	160.917	160.209	160.522	95653	0	11
2024.03.12	160.519	161.584	160.273	161.331	109522	0	11
2024.03.13	161.331	161.943	160.891	161.756	96079	0	11
2024.03.14	161.745	161.910	161.099	161.396	98568	0	11
2024.03.15	161.382	162.400	161.062	162.293	95056	0	11
2024.03.18	162.157	162.680	161.943	162.163	73132	0	11
2024.03.19	162.193	163.989	161.995	163.904	103372	0	11
2024.03.20	163.888	165.348	163.673	165.198	94836	0	11
2024.03.21	165.169	165.334	164.337	164.630	116415	0	11
2024.03.22	164.639	164.814	163.475	163.515	94807	0	11
2024.03.25	163.479	164.204	163.307	164.080	78030	0	11
2024.03.26	164.045	164.402	163.955	164.139	78308	0	9
2024.03.27	164.064	164.414	163.430	163.737	88376	0	11
2024.03.28	163.731	163.865	163.127	163.250	82335	0	11
2024.03.29	163.223	163.419	162.930	163.116	53911	0	11
2024.04.01	163.201	163.420	162.785	162.876	64919	0	11
2024.04.02	162.876	163.330	162.608	163.180	78263	0	11
2024.04.03	163.149	164.367	163.033	164.319	82510	0	11
2024.04.04	164.313	164.908	163.786	164.009	74505	0	11
2024.04.05	164.009	164.434	163.477	164.251	98770	0	11
2024.04.08	164.317	164.896	164.050	164.843	72212	0	11
2024.04.09	164.833	165.167	164.538	164.615	68846	0	11
2024.04.10	164.790	164.988	163.912	164.437	89873	0	11
2024.04.11	164.547	164.694	163.929	164.389	103629	0	11
2024.04.12	164.352	164.394	162.266	162.947	94100	0	11
2024.04.15	162.639	164.433	162.611	163.896	105506	0	11
2024.04.16	163.859	164.674	163.672	164.259	107609	0	11
2024.04.17	164.221	164.806	163.917	164.760	98471	0	11
2024.04.18	164.719	164.944	164.346	164.576	93556	0	11
2024.04.19	164.537	165.019	163.015	164.685	125904	0	11
2024.04.22	164.811	165.095	164.395	164.968	77020	0	11
2024.04.23	164.903	165.733	164.618	165.681	80383	0	8
2024.04.24	165.543	166.222	165.365	166.188	73874	0	11
2024.04.25	166.097	167.084	165.919	167.006	89216	0	11
2024.04.26	166.961	169.386	166.452	169.258	100611	0	7
2024.04.29	169.238	171.546	165.642	167.565	141598	0	11
2024.04.30	167.527	168.595	167.167	168.201	100055	0	11
2024.05.01	168.136	168.657	164.027	165.481	92152	0	11
2024.05.02	165.527	167.378	164.218	164.709	126784	0	11
2024.05.03	164.665	164.860	164.007	164.625	108791	0	11
2024.05.06	164.521	165.981	164.369	165.721	75777	0	11
2024.05.07	165.721	166.561	165.595	166.351	84781	0	11
2024.05.08	166.304	167.340	166.091	167.121	78057	0	11
2024.05.09	167.121	167.742	166.725	167.527	78038	0	11
2024.05.10	167.469	167.958	167.407	167.667	74888	0	11
2024.05.13	167.681	168.653	167.503	168.526	67912	0	11
2024.05.14	168.456	169.350	168.365	169.220	63809	0	11
2024.05.15	169.145	169.393	167.985	168.557	85995	0	11
2024.05.16	168.497	168.900	167.320	168.821	88756	0	11
2024.05.17	168.700	169.317	168.628	169.057	63905	0	11
2024.05.20	169.211	169.777	168.942	169.561	60252	0	11
2024.05.21	169.529	169.933	169.213	169.440	70915	0	11
2024.05.22	169.403	169.919	169.329	169.668	66279	0	7
2024.05.23	169.598	170.315	169.279	169.633	77431	0	11
2024.05.24	169.582	170.491	169.545	170.185	62863	0	11
2024.05.27	170.278	170.492	169.961	170.289	42761	0	4
2024.05.28	170.244	170.792	170.072	170.629	65399	0	10
2024.05.29	170.500	170.789	170.163	170.269	69862	0	11
2024.05.30	170.157	170.320	169.059	169.812	85105	0	11
2024.05.31	169.771	170.738	169.438	170.617	91058	0	4
2024.06.03	170.471	170.885	169.713	170.151	90321	0	4
2024.06.04	170.068	170.716	167.991	168.453	108241	0	4
2024.06.05	168.368	170.008	168.279	169.645	87973	0	11
2024.06.06	169.650	170.281	169.199	169.365	91591	0	11
2024.06.07	169.327	169.967	168.933	169.261	94629	0	11
