<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	162.009	162.699	161.738	162.697	13063	0	11
2024.03.01	04:00:00	162.697	162.746	162.585	162.659	9694	0	11
2024.03.01	08:00:00	162.659	162.932	162.486	162.895	19739	0	11
2024.03.01	12:00:00	162.909	162.997	162.331	162.882	22805	0	11
2024.03.01	16:00:00	162.882	162.919	162.519	162.719	26253	0	11
2024.03.01	20:00:00	162.718	162.759	162.519	162.574	13625	0	11
2024.03.04	00:00:00	162.520	162.824	162.429	162.730	10532	0	11
2024.03.04	04:00:00	162.730	162.999	162.718	162.985	10316	0	12
2024.03.04	08:00:00	162.988	163.246	162.767	162.996	17463	0	11
2024.03.04	12:00:00	162.997	163.337	162.989	163.223	18547	0	11
2024.03.04	16:00:00	163.223	163.516	163.207	163.431	19303	0	11
2024.03.04	20:00:00	163.430	163.456	163.321	163.321	8257	0	11
2024.03.05	00:00:00	163.321	163.407	163.157	163.236	13957	0	11
2024.03.05	04:00:00	163.237	163.362	163.236	163.328	9539	0	11
2024.03.05	08:00:00	163.329	163.349	163.017	163.213	17799	0	11
2024.03.05	12:00:00	163.199	163.268	162.774	162.785	17592	0	11
2024.03.05	16:00:00	162.786	163.160	162.671	162.994	25669	0	11
2024.03.05	20:00:00	162.994	162.994	162.601	162.831	12968	0	11
2024.03.06	00:00:00	162.841	162.900	162.640	162.685	10097	0	11
2024.03.06	04:00:00	162.685	162.774	162.616	162.724	11018	0	11
2024.03.06	08:00:00	162.727	162.915	162.202	162.754	21169	0	11
2024.03.06	12:00:00	162.754	162.918	162.528	162.576	21927	0	11
2024.03.06	16:00:00	162.576	162.952	162.510	162.795	26216	0	11
2024.03.06	20:00:00	162.794	162.845	162.646	162.818	12409	0	11
2024.03.07	00:00:00	162.798	162.800	161.907	161.953	17221	0	11
2024.03.07	04:00:00	161.954	162.121	161.818	162.012	14396	0	11
2024.03.07	08:00:00	162.012	162.052	160.988	161.319	22910	0	11
2024.03.07	12:00:00	161.318	161.318	160.547	160.654	24602	0	11
2024.03.07	16:00:00	160.652	162.122	160.617	161.980	29450	0	11
2024.03.07	20:00:00	161.983	162.131	161.940	162.047	11785	0	11
2024.03.08	00:00:00	162.028	162.170	161.612	161.999	14285	0	11
2024.03.08	04:00:00	161.999	162.104	161.761	161.787	14774	0	11
2024.03.08	08:00:00	161.784	162.015	160.611	160.888	23716	0	11
2024.03.08	12:00:00	160.890	161.086	160.669	161.035	25891	0	11
2024.03.08	16:00:00	161.044	161.221	160.761	160.834	31466	0	11
2024.03.08	20:00:00	160.830	160.932	160.720	160.740	14848	0	11
2024.03.11	00:00:00	160.853	160.917	160.533	160.586	11191	0	11
2024.03.11	04:00:00	160.588	160.900	160.366	160.686	14328	0	11
2024.03.11	08:00:00	160.686	160.901	160.455	160.567	17014	0	11
2024.03.11	12:00:00	160.570	160.643	160.209	160.466	19642	0	11
2024.03.11	16:00:00	160.466	160.675	160.311	160.480	22514	0	11
2024.03.11	20:00:00	160.480	160.608	160.351	160.522	10964	0	11
2024.03.12	00:00:00	160.519	160.566	160.273	160.500	10626	0	11
2024.03.12	04:00:00	160.501	161.243	160.501	161.186	15200	0	11
2024.03.12	08:00:00	161.186	161.432	160.865	160.946	19945	0	11
2024.03.12	12:00:00	160.945	161.584	160.923	161.227	23014	0	11
2024.03.12	16:00:00	161.227	161.488	161.169	161.250	27958	0	11
2024.03.12	20:00:00	161.250	161.378	161.211	161.331	12779	0	11
2024.03.13	00:00:00	161.331	161.369	161.025	161.031	8286	0	11
2024.03.13	04:00:00	161.029	161.206	160.891	161.191	13390	0	11
2024.03.13	08:00:00	161.193	161.607	161.191	161.582	17580	0	11
2024.03.13	12:00:00	161.582	161.943	161.354	161.795	20854	0	11
2024.03.13	16:00:00	161.793	161.830	161.614	161.723	21745	0	11
2024.03.13	20:00:00	161.724	161.875	161.553	161.756	14224	0	11
2024.03.14	00:00:00	161.745	161.800	161.559	161.591	6977	0	11
2024.03.14	04:00:00	161.591	161.874	161.549	161.846	11049	0	11
2024.03.14	08:00:00	161.846	161.910	161.630	161.726	15840	0	11
2024.03.14	12:00:00	161.725	161.804	161.490	161.592	20143	0	11
2024.03.14	16:00:00	161.593	161.710	161.099	161.327	30858	0	11
2024.03.14	20:00:00	161.327	161.511	161.253	161.396	13701	0	11
2024.03.15	00:00:00	161.382	161.572	161.211	161.473	9632	0	11
2024.03.15	04:00:00	161.473	161.661	161.232	161.304	12368	0	11
2024.03.15	08:00:00	161.304	162.021	161.062	161.832	19997	0	11
2024.03.15	12:00:00	161.831	162.113	161.800	161.973	18798	0	11
2024.03.15	16:00:00	161.974	162.400	161.963	162.293	22687	0	11
2024.03.15	20:00:00	162.294	162.354	162.148	162.293	11574	0	11
2024.03.18	00:00:00	162.157	162.507	162.030	162.492	7854	0	11
2024.03.18	04:00:00	162.496	162.554	162.174	162.346	10747	0	11
2024.03.18	08:00:00	162.346	162.643	162.311	162.451	14413	0	11
2024.03.18	12:00:00	162.451	162.680	162.449	162.484	13101	0	11
2024.03.18	16:00:00	162.483	162.556	162.083	162.154	16329	0	11
2024.03.18	20:00:00	162.154	162.185	161.943	162.163	10688	0	11
2024.03.19	00:00:00	162.193	162.240	161.995	162.178	8507	0	11
2024.03.19	04:00:00	162.179	163.097	161.998	163.030	18711	0	11
2024.03.19	08:00:00	163.030	163.490	162.943	163.077	24833	0	11
2024.03.19	12:00:00	163.075	163.394	163.069	163.306	22049	0	11
2024.03.19	16:00:00	163.305	163.979	163.271	163.972	20556	0	11
2024.03.19	20:00:00	163.967	163.989	163.877	163.904	8716	0	11
2024.03.20	00:00:00	163.888	164.339	163.673	164.216	9062	0	11
2024.03.20	04:00:00	164.221	164.668	164.195	164.605	10916	0	11
2024.03.20	08:00:00	164.604	164.735	164.319	164.349	17044	0	11
2024.03.20	12:00:00	164.348	164.555	164.247	164.536	15312	0	11
2024.03.20	16:00:00	164.535	164.670	164.431	164.653	15368	0	11
2024.03.20	20:00:00	164.653	165.348	164.294	165.198	27134	0	11
2024.03.21	00:00:00	165.169	165.242	164.626	164.674	17041	0	11
2024.03.21	04:00:00	164.675	164.867	164.337	164.827	17032	0	11
2024.03.21	08:00:00	164.827	165.334	164.602	164.646	22247	0	11
2024.03.21	12:00:00	164.657	165.024	164.600	164.938	24803	0	11
2024.03.21	16:00:00	164.939	165.017	164.554	164.746	25632	0	11
2024.03.21	20:00:00	164.745	164.830	164.627	164.630	9660	0	11
2024.03.22	00:00:00	164.639	164.767	164.542	164.632	8145	0	11
2024.03.22	04:00:00	164.631	164.814	164.127	164.211	17745	0	11
2024.03.22	08:00:00	164.211	164.249	163.656	163.758	17740	0	11
2024.03.22	12:00:00	163.762	164.065	163.484	163.705	18577	0	11
2024.03.22	16:00:00	163.704	163.754	163.475	163.584	22988	0	11
2024.03.22	20:00:00	163.584	163.678	163.515	163.515	9612	0	11
2024.03.25	00:00:00	163.479	163.655	163.307	163.454	8661	0	11
2024.03.25	04:00:00	163.454	163.683	163.314	163.666	14148	0	11
2024.03.25	08:00:00	163.662	163.765	163.547	163.669	13696	0	11
2024.03.25	12:00:00	163.669	163.871	163.636	163.785	14732	0	11
2024.03.25	16:00:00	163.784	164.204	163.719	164.151	17080	0	11
2024.03.25	20:00:00	164.151	164.196	164.072	164.080	9713	0	11
2024.03.26	00:00:00	164.045	164.138	163.984	164.025	10617	0	9
2024.03.26	04:00:00	164.025	164.120	163.972	164.071	11354	0	12
2024.03.26	08:00:00	164.071	164.238	163.955	164.100	12428	0	11
2024.03.26	12:00:00	164.099	164.401	164.017	164.350	16932	0	11
2024.03.26	16:00:00	164.350	164.402	164.002	164.068	18053	0	11
2024.03.26	20:00:00	164.068	164.186	164.036	164.139	8924	0	11
2024.03.27	00:00:00	164.064	164.136	163.900	163.973	7609	0	11
2024.03.27	04:00:00	163.973	164.414	163.957	164.163	14009	0	11
2024.03.27	08:00:00	164.159	164.288	164.018	164.251	16343	0	11
2024.03.27	12:00:00	164.249	164.266	163.430	163.524	23932	0	11
2024.03.27	16:00:00	163.524	163.717	163.441	163.662	17267	0	11
2024.03.27	20:00:00	163.662	163.778	163.631	163.737	9216	0	11
2024.03.28	00:00:00	163.731	163.763	163.489	163.740	10745	0	11
2024.03.28	04:00:00	163.738	163.865	163.651	163.763	11607	0	11
2024.03.28	08:00:00	163.763	163.793	163.262	163.363	13779	0	11
2024.03.28	12:00:00	163.363	163.392	163.127	163.383	15568	0	11
2024.03.28	16:00:00	163.383	163.572	163.232	163.376	21157	0	11
2024.03.28	20:00:00	163.376	163.431	163.224	163.250	9479	0	11
2024.03.29	00:00:00	163.223	163.419	163.036	163.149	10488	0	11
2024.03.29	04:00:00	163.145	163.237	162.930	163.004	12332	0	11
2024.03.29	08:00:00	163.005	163.155	162.936	163.094	7766	0	11
2024.03.29	12:00:00	163.094	163.337	163.017	163.253	8416	0	11
2024.03.29	16:00:00	163.261	163.328	163.107	163.146	9639	0	11
2024.03.29	20:00:00	163.146	163.336	163.111	163.116	5270	0	12
2024.04.01	00:00:00	163.201	163.420	163.077	163.349	8957	0	11
2024.04.01	04:00:00	163.350	163.379	163.138	163.277	9562	0	11
2024.04.01	08:00:00	163.277	163.365	163.189	163.287	9852	0	11
2024.04.01	12:00:00	163.287	163.342	163.168	163.288	10224	0	11
2024.04.01	16:00:00	163.288	163.370	162.812	162.868	17200	0	11
2024.04.01	20:00:00	162.868	162.920	162.785	162.876	9124	0	11
2024.04.02	00:00:00	162.876	162.921	162.608	162.859	7718	0	11
2024.04.02	04:00:00	162.859	162.937	162.738	162.885	9079	0	11
2024.04.02	08:00:00	162.886	162.949	162.610	162.725	16198	0	11
2024.04.02	12:00:00	162.725	163.105	162.725	163.045	15953	0	11
2024.04.02	16:00:00	163.044	163.330	163.018	163.237	20394	0	11
2024.04.02	20:00:00	163.229	163.243	163.125	163.180	8921	0	11
2024.04.03	00:00:00	163.149	163.280	163.033	163.200	7517	0	11
2024.04.03	04:00:00	163.202	163.375	163.171	163.328	10165	0	11
2024.04.03	08:00:00	163.328	163.489	163.255	163.410	15032	0	11
2024.04.03	12:00:00	163.409	163.738	163.350	163.657	17003	0	11
2024.04.03	16:00:00	163.664	164.319	163.646	164.236	23614	0	11
2024.04.03	20:00:00	164.236	164.367	164.205	164.319	9179	0	11
2024.04.04	00:00:00	164.313	164.397	164.246	164.340	6426	0	11
2024.04.04	04:00:00	164.340	164.497	164.319	164.472	8804	0	11
2024.04.04	08:00:00	164.471	164.803	164.376	164.783	14669	0	11
2024.04.04	12:00:00	164.781	164.854	164.625	164.804	12488	0	11
2024.04.04	16:00:00	164.805	164.908	164.650	164.662	14664	0	11
2024.04.04	20:00:00	164.662	164.724	163.786	164.009	17454	0	11
2024.04.05	00:00:00	164.009	164.021	163.488	163.605	12522	0	11
2024.04.05	04:00:00	163.606	163.796	163.477	163.707	14013	0	11
2024.04.05	08:00:00	163.706	164.213	163.599	164.086	15608	0	11
2024.04.05	12:00:00	164.085	164.188	163.801	163.925	18351	0	11
2024.04.05	16:00:00	163.929	164.434	163.697	164.243	25226	0	11
2024.04.05	20:00:00	164.243	164.333	164.168	164.251	13050	0	11
2024.04.08	00:00:00	164.317	164.375	164.050	164.248	8609	0	11
2024.04.08	04:00:00	164.249	164.536	164.235	164.420	11597	0	11
2024.04.08	08:00:00	164.420	164.563	164.379	164.409	16166	0	11
2024.04.08	12:00:00	164.409	164.552	164.357	164.542	12721	0	11
2024.04.08	16:00:00	164.543	164.843	164.542	164.738	16300	0	11
2024.04.08	20:00:00	164.738	164.896	164.692	164.843	6819	0	11
2024.04.09	00:00:00	164.833	164.956	164.598	164.943	6866	0	11
2024.04.09	04:00:00	164.943	164.973	164.823	164.897	8117	0	11
2024.04.09	08:00:00	164.896	164.983	164.788	164.905	12620	0	11
2024.04.09	12:00:00	164.904	165.167	164.820	165.129	14417	0	11
2024.04.09	16:00:00	165.127	165.167	164.538	164.624	18117	0	11
2024.04.09	20:00:00	164.624	164.783	164.588	164.615	8709	0	11
2024.04.10	00:00:00	164.790	164.814	164.547	164.722	6185	0	11
2024.04.10	04:00:00	164.722	164.788	164.643	164.719	9722	0	11
2024.04.10	08:00:00	164.719	164.913	164.655	164.911	11697	0	11
2024.04.10	12:00:00	164.913	164.988	163.912	164.279	16132	0	11
2024.04.10	16:00:00	164.279	164.344	164.063	164.183	27268	0	11
2024.04.10	20:00:00	164.186	164.600	164.029	164.437	18869	0	11
2024.04.11	00:00:00	164.547	164.551	164.150	164.177	10866	0	11
2024.04.11	04:00:00	164.178	164.360	164.128	164.296	10278	0	11
2024.04.11	08:00:00	164.295	164.694	164.282	164.584	18396	0	11
2024.04.11	12:00:00	164.583	164.620	163.929	164.170	24413	0	11
2024.04.11	16:00:00	164.171	164.523	163.984	164.225	27010	0	11
2024.04.11	20:00:00	164.225	164.405	164.198	164.389	12666	0	11
2024.04.12	00:00:00	164.352	164.394	164.063	164.073	7106	0	11
2024.04.12	04:00:00	164.071	164.315	164.071	164.132	9428	0	11
2024.04.12	08:00:00	164.132	164.159	163.566	163.591	17498	0	11
2024.04.12	12:00:00	163.591	163.636	162.499	162.606	19582	0	11
2024.04.12	16:00:00	162.607	163.112	162.266	162.925	27182	0	11
2024.04.12	20:00:00	162.926	163.154	162.864	162.947	13304	0	11
2024.04.15	00:00:00	162.639	163.367	162.611	163.366	10624	0	11
2024.04.15	04:00:00	163.368	163.863	163.349	163.812	10685	0	11
2024.04.15	08:00:00	163.810	164.119	163.808	163.960	21072	0	11
2024.04.15	12:00:00	163.960	164.211	163.891	164.167	18992	0	11
2024.04.15	16:00:00	164.168	164.433	163.625	164.109	28144	0	11
2024.04.15	20:00:00	164.108	164.109	163.748	163.896	15989	0	11
2024.04.16	00:00:00	163.859	163.920	163.717	163.823	8404	0	11
2024.04.16	04:00:00	163.826	163.895	163.672	163.738	11089	0	11
2024.04.16	08:00:00	163.738	164.088	163.691	164.012	19933	0	11
2024.04.16	12:00:00	164.010	164.674	164.010	164.520	20989	0	11
2024.04.16	16:00:00	164.520	164.604	163.749	164.235	27091	0	11
2024.04.16	20:00:00	164.236	164.421	164.071	164.259	20103	0	11
2024.04.17	00:00:00	164.221	164.357	164.090	164.313	8210	0	11
2024.04.17	04:00:00	164.313	164.484	164.273	164.306	9443	0	11
2024.04.17	08:00:00	164.305	164.527	163.917	164.461	21094	0	11
2024.04.17	12:00:00	164.454	164.632	164.377	164.439	17446	0	11
2024.04.17	16:00:00	164.436	164.741	164.249	164.292	25582	0	11
2024.04.17	20:00:00	164.292	164.806	164.227	164.760	16696	0	11
2024.04.18	00:00:00	164.719	164.753	164.543	164.611	7759	0	11
2024.04.18	04:00:00	164.612	164.790	164.346	164.757	11894	0	11
2024.04.18	08:00:00	164.754	164.891	164.683	164.824	17696	0	11
2024.04.18	12:00:00	164.824	164.944	164.595	164.596	19940	0	11
2024.04.18	16:00:00	164.595	164.856	164.535	164.717	23459	0	11
2024.04.18	20:00:00	164.716	164.735	164.516	164.576	12808	0	11
2024.04.19	00:00:00	164.537	164.625	164.388	164.496	7863	0	12
2024.04.19	04:00:00	164.496	164.499	163.015	164.110	31726	0	11
2024.04.19	08:00:00	164.110	164.666	163.883	164.375	27360	0	11
2024.04.19	12:00:00	164.376	164.953	164.372	164.813	20757	0	11
2024.04.19	16:00:00	164.813	165.019	164.489	164.676	24962	0	11
2024.04.19	20:00:00	164.677	164.804	164.593	164.685	13236	0	11
2024.04.22	00:00:00	164.811	164.949	164.478	164.775	9054	0	11
2024.04.22	04:00:00	164.775	165.058	164.749	165.004	9825	0	11
2024.04.22	08:00:00	165.003	165.095	164.691	164.878	16956	0	11
2024.04.22	12:00:00	164.880	164.949	164.485	164.639	16334	0	11
2024.04.22	16:00:00	164.641	164.915	164.395	164.835	16331	0	11
2024.04.22	20:00:00	164.835	165.022	164.822	164.968	8520	0	11
2024.04.23	00:00:00	164.903	164.993	164.846	164.975	5868	0	8
2024.04.23	04:00:00	164.975	165.002	164.821	164.874	8590	0	11
2024.04.23	08:00:00	164.873	165.600	164.618	165.225	16850	0	11
2024.04.23	12:00:00	165.225	165.279	164.903	165.210	15606	0	11
2024.04.23	16:00:00	165.208	165.733	165.050	165.654	23778	0	11
2024.04.23	20:00:00	165.654	165.733	165.428	165.681	9691	0	11
2024.04.24	00:00:00	165.543	165.799	165.501	165.771	5373	0	11
2024.04.24	04:00:00	165.771	165.843	165.729	165.751	8712	0	11
2024.04.24	08:00:00	165.751	165.802	165.426	165.476	13669	0	11
2024.04.24	12:00:00	165.476	165.744	165.365	165.583	14174	0	11
2024.04.24	16:00:00	165.583	165.873	165.511	165.820	20071	0	11
2024.04.24	20:00:00	165.819	166.222	165.816	166.188	11875	0	11
2024.04.25	00:00:00	166.097	166.341	165.919	166.300	6321	0	12
2024.04.25	04:00:00	166.302	166.654	166.236	166.620	10513	0	11
2024.04.25	08:00:00	166.621	167.012	166.621	166.967	16555	0	11
2024.04.25	12:00:00	166.968	166.998	166.244	166.452	16991	0	11
2024.04.25	16:00:00	166.452	166.942	165.921	166.881	26031	0	11
2024.04.25	20:00:00	166.882	167.084	166.799	167.006	12805	0	11
2024.04.26	00:00:00	166.961	166.988	166.807	166.939	6060	0	7
2024.04.26	04:00:00	166.939	167.489	166.659	167.466	11101	0	11
2024.04.26	08:00:00	167.466	168.343	166.452	168.138	23406	0	11
2024.04.26	12:00:00	168.143	168.339	167.697	168.053	23293	0	11
2024.04.26	16:00:00	168.053	168.667	167.771	168.583	25421	0	11
2024.04.26	20:00:00	168.584	169.386	168.519	169.258	11330	0	11
2024.04.29	00:00:00	169.238	169.508	168.500	169.386	10680	0	12
2024.04.29	04:00:00	169.387	171.546	166.550	167.659	28695	0	11
