<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.77355	1.77729	1.77147	1.77394	74923	0	6
2024.03.04	1.77393	1.78202	1.77219	1.77920	55325	0	37
2024.03.05	1.77541	1.78663	1.77461	1.78208	73327	0	2
2024.03.06	1.78214	1.78665	1.77613	1.77667	74852	0	2
2024.03.07	1.77313	1.77896	1.76236	1.77200	78997	0	1
2024.03.08	1.77161	1.77630	1.76480	1.76999	79531	0	2
2024.03.11	1.76821	1.77424	1.76679	1.77002	67837	0	10
2024.03.12	1.76703	1.77711	1.76389	1.77617	77764	0	4
2024.03.13	1.77579	1.77898	1.77101	1.77756	72010	0	8
2024.03.14	1.77732	1.77863	1.77228	1.77480	73237	0	4
2024.03.15	1.77331	1.78966	1.77331	1.78907	68152	0	4
2024.03.18	1.78684	1.78977	1.78483	1.78617	62601	0	8
2024.03.19	1.78213	1.79678	1.78213	1.79494	69545	0	1
2024.03.20	1.79309	1.80103	1.79153	1.79579	68328	0	1
2024.03.21	1.79462	1.80115	1.78886	1.79644	75415	0	1
2024.03.22	1.79460	1.80391	1.79460	1.80285	68671	0	1
2024.03.25	1.79851	1.80641	1.79761	1.80483	59927	0	1
2024.03.26	1.80468	1.80720	1.80000	1.80382	63504	0	1
2024.03.27	1.80372	1.80758	1.79999	1.80300	63957	0	1
2024.03.28	1.80236	1.80969	1.80128	1.80586	65520	0	1
2024.03.29	1.80583	1.80657	1.80135	1.80300	27492	0	18
2024.04.01	1.80311	1.80713	1.80078	1.80408	55696	0	1
2024.04.02	1.80439	1.80627	1.80090	1.80316	66612	0	1
2024.04.03	1.80282	1.80868	1.80192	1.80300	65523	0	1
2024.04.04	1.80162	1.80323	1.79526	1.79810	63535	0	1
2024.04.05	1.79600	1.80414	1.79570	1.80169	72969	0	1
2024.04.08	1.80211	1.80432	1.79647	1.80006	65540	0	1
2024.04.09	1.79858	1.80044	1.79012	1.79134	62550	0	1
2024.04.10	1.79192	1.79899	1.78507	1.79768	95045	0	1
2024.04.11	1.79716	1.79826	1.78633	1.78822	103557	0	1
2024.04.12	1.78724	1.79323	1.78299	1.79202	104616	0	1
2024.04.15	1.78881	1.80071	1.78694	1.79901	107532	0	2
2024.04.16	1.79926	1.80998	1.79749	1.80503	112898	0	1
2024.04.17	1.80622	1.81054	1.79583	1.80358	114159	0	1
2024.04.18	1.80313	1.80807	1.79824	1.80285	95297	0	1
2024.04.19	1.80276	1.81321	1.79912	1.80933	123351	0	3
2024.04.22	1.80625	1.81014	1.79913	1.79965	91973	0	1
2024.04.23	1.79792	1.80735	1.79778	1.80364	92921	0	1
2024.04.24	1.80027	1.80457	1.79869	1.80197	91537	0	1
2024.04.25	1.80249	1.80572	1.79746	1.80345	94502	0	2
2024.04.26	1.80472	1.80472	1.79557	1.79980	92715	0	1
2024.04.29	1.79601	1.80166	1.79194	1.79294	87973	0	4
2024.04.30	1.79297	1.81212	1.78977	1.81123	78776	0	1
2024.05.01	1.80990	1.81528	1.80500	1.80575	77106	0	1
2024.05.02	1.80653	1.81010	1.79753	1.79857	97120	0	2
2024.05.03	1.79766	1.80048	1.78408	1.79016	94821	0	2
2024.05.06	1.78861	1.79497	1.78586	1.79160	66925	0	1
2024.05.07	1.79160	1.79296	1.78736	1.79147	74542	0	1
2024.05.08	1.78835	1.79641	1.78777	1.78987	63610	0	1
2024.05.09	1.78883	1.79240	1.78616	1.78635	68562	0	1
2024.05.10	1.78485	1.79230	1.78471	1.78867	80897	0	1
2024.05.13	1.78819	1.79442	1.78509	1.79285	91562	0	1
2024.05.14	1.79109	1.79629	1.78877	1.79061	86171	0	1
2024.05.15	1.78915	1.79135	1.77615	1.77755	84009	0	1
2024.05.16	1.77635	1.78073	1.77360	1.77466	82274	0	1
2024.05.17	1.77421	1.77767	1.77107	1.77161	68848	0	5
2024.05.20	1.77151	1.78029	1.76861	1.77798	62143	0	1
2024.05.21	1.77705	1.78182	1.77532	1.78143	78830	0	1
2024.05.22	1.77912	1.78172	1.76527	1.77509	93088	0	2
2024.05.23	1.77289	1.77593	1.76855	1.77297	98198	0	5
2024.05.24	1.77284	1.77602	1.77073	1.77161	79340	0	1
2024.05.27	1.77381	1.77381	1.76349	1.76421	55598	0	1
2024.05.28	1.76368	1.76936	1.76210	1.76740	85965	0	3
2024.05.29	1.76503	1.77175	1.76299	1.76616	93165	0	5
2024.05.30	1.76617	1.77266	1.76495	1.77126	95658	0	50
2024.05.31	1.77124	1.77177	1.76376	1.76520	102441	0	1
2024.06.03	1.76781	1.76840	1.75698	1.76057	102295	0	1
2024.06.04	1.75995	1.76496	1.75828	1.76096	108454	0	1
2024.06.05	1.76025	1.76262	1.75404	1.75477	93462	0	2
2024.06.06	1.75391	1.76221	1.75235	1.75614	88240	0	1
2024.06.07	1.75513	1.76995	1.75371	1.76956	102212	0	1
2024.06.10	1.76298	1.76675	1.75477	1.75633	96855	0	50
2024.06.11	1.75459	1.75960	1.74731	1.74774	95761	0	2
2024.06.12	1.74698	1.75229	1.74199	1.74734	107391	0	1
2024.06.13	1.74734	1.75197	1.73900	1.74042	97123	0	1
2024.06.14	1.73846	1.74787	1.73823	1.74131	112046	0	3
2024.06.17	1.74571	1.75398	1.74082	1.74993	96615	0	2
2024.06.18	1.75012	1.75818	1.74663	1.74763	104237	0	13
2024.06.19	1.74565	1.75344	1.74549	1.75155	66562	0	1
2024.06.20	1.74885	1.75320	1.74742	1.74843	97537	0	24
2024.06.21	1.74782	1.75043	1.74234	1.74724	93470	0	5
2024.06.24	1.74489	1.75428	1.74337	1.75184	93888	0	8
2024.06.25	1.75256	1.75454	1.74828	1.75015	90302	0	1
2024.06.26	1.74775	1.75799	1.74739	1.75584	99318	0	8
2024.06.27	1.75438	1.75994	1.75211	1.75966	97645	0	9
2024.06.28	1.75750	1.76530	1.75455	1.75840	107391	0	9
2024.07.01	1.75989	1.76813	1.75896	1.76771	104954	0	9
2024.07.02	1.76647	1.77463	1.76518	1.76770	93605	0	9
2024.07.03	1.76654	1.77315	1.76457	1.76608	92089	0	9
2024.07.04	1.76558	1.76788	1.76379	1.76768	60448	0	9
2024.07.05	1.76607	1.77031	1.76269	1.76318	94035	0	10
2024.07.08	1.75941	1.76748	1.75903	1.76691	86205	0	9
2024.07.09	1.76626	1.76989	1.76493	1.76538	81451	0	9
2024.07.10	1.76487	1.78285	1.76279	1.78078	79438	0	9
2024.07.11	1.77975	1.78395	1.77593	1.78278	95260	0	9
2024.07.12	1.78058	1.78843	1.77894	1.78219	99451	0	9
2024.07.15	1.78095	1.79454	1.78054	1.79346	98823	0	9
2024.07.16	1.79238	1.80287	1.79073	1.80145	86665	0	9
2024.07.17	1.80098	1.80544	1.79242	1.79856	99122	0	9
2024.07.18	1.79749	1.80304	1.79619	1.80256	99082	0	9
2024.07.19	1.80161	1.81198	1.79995	1.80985	94616	0	9
2024.07.22	1.80877	1.82237	1.80772	1.82127	95558	0	9
2024.07.23	1.82043	1.82565	1.81955	1.82223	89997	0	9
2024.07.24	1.82076	1.83381	1.81982	1.82778	101174	0	9
2024.07.25	1.82647	1.84319	1.82495	1.84194	124861	0	10
2024.07.26	1.84092	1.84504	1.83730	1.84360	92308	0	9
2024.07.29	1.84154	1.84518	1.84086	1.84146	91168	0	9
2024.07.30	1.84188	1.84334	1.83128	1.83181	92882	0	9
2024.07.31	1.83122	1.83728	1.81664	1.81950	126973	0	9
2024.08.01	1.81818	1.82086	1.80688	1.81374	128244	0	10
2024.08.02	1.81318	1.83179	1.81132	1.83125	138152	0	9
2024.08.05	1.83582	1.86493	1.83054	1.84358	191363	0	10
2024.08.06	1.84290	1.84891	1.83122	1.83576	151599	0	10
2024.08.07	1.83514	1.83621	1.81175	1.82212	129582	0	9
2024.08.08	1.82151	1.82746	1.81484	1.81556	131327	0	9
2024.08.09	1.81549	1.82131	1.80951	1.81924	112643	0	10
2024.08.12	1.81805	1.82218	1.81082	1.81536	92626	0	10
2024.08.13	1.81452	1.81652	1.80682	1.80878	104987	0	10
2024.08.14	1.80898	1.83709	1.80713	1.83462	105301	0	9
2024.08.15	1.83401	1.83925	1.82634	1.83219	97729	0	9
2024.08.16	1.83195	1.83513	1.81962	1.82118	86380	0	9
2024.08.19	1.82170	1.82266	1.81202	1.81296	99124	0	9
2024.08.20	1.81220	1.81383	1.80327	1.80821	108495	0	9
2024.08.21	1.80749	1.81182	1.80503	1.81042	102805	0	9
2024.08.22	1.80926	1.81342	1.80511	1.80981	84707	0	9
2024.08.23	1.80908	1.81079	1.79446	1.79546	87056	0	9
2024.08.26	1.79585	1.80195	1.79447	1.79810	82554	0	9
2024.08.27	1.79787	1.80178	1.78836	1.78862	79534	0	9
2024.08.28	1.79138	1.79167	1.78012	1.78085	91328	0	9
2024.08.29	1.78051	1.78148	1.76516	1.77007	94069	0	9
2024.08.30	1.76594	1.77284	1.76589	1.76774	87889	0	9
2024.09.02	1.76981	1.77811	1.76669	1.77512	52197	0	9
2024.09.03	1.77475	1.78769	1.77367	1.78484	91276	0	9
2024.09.04	1.78414	1.79129	1.78268	1.78768	89135	0	9
2024.09.05	1.78770	1.79267	1.78323	1.78466	87003	0	9
2024.09.06	1.78443	1.79863	1.78054	1.79510	99725	0	9
2024.09.09	1.79338	1.80289	1.79075	1.79569	82767	0	9
2024.09.10	1.79437	1.79898	1.79038	1.79162	76520	0	9
2024.09.11	1.79076	1.80222	1.79003	1.79454	101474	0	9
2024.09.12	1.79477	1.79866	1.78969	1.79105	89974	0	9
2024.09.13	1.79110	1.80041	1.78977	1.79844	84421	0	9
2024.09.16	1.79776	1.80165	1.79478	1.79490	78163	0	9
2024.09.17	1.79394	1.79953	1.79284	1.79682	84315	0	9
2024.09.18	1.79673	1.79733	1.78472	1.79071	98783	0	9
2024.09.19	1.78973	1.79229	1.78232	1.78881	120332	0	9
2024.09.20	1.78741	1.79440	1.78533	1.78947	100317	0	9
2024.09.23	1.78952	1.79104	1.77032	1.77293	89770	0	9
2024.09.24	1.77161	1.77787	1.76188	1.76319	94787	0	9
2024.09.25	1.76257	1.77800	1.76092	1.77770	91264	0	9
2024.09.26	1.77320	1.78057	1.76548	1.76603	103836	0	9
2024.09.27	1.76509	1.77265	1.75580	1.76026	111666	0	9
2024.09.30	1.75969	1.76346	1.74895	1.75364	102314	0	9
2024.10.01	1.75302	1.76361	1.75261	1.76206	107626	0	9
2024.10.02	1.76063	1.76427	1.75305	1.76357	96870	0	9
2024.10.03	1.76273	1.77589	1.76061	1.77555	101399	0	9
2024.10.04	1.77496	1.78359	1.77405	1.78162	95185	0	9
2024.10.07	1.77953	1.79439	1.77699	1.79077	98133	0	9
2024.10.08	1.79005	1.79713	1.78652	1.78652	99040	0	9
2024.10.09	1.78601	1.80797	1.78465	1.80423	92586	0	9
2024.10.10	1.80334	1.80525	1.79397	1.79472	98005	0	9
2024.10.11	1.79372	1.79657	1.78810	1.78977	70505	0	9
2024.10.14	1.79251	1.79706	1.78926	1.78948	71628	0	9
2024.10.15	1.78913	1.79355	1.78747	1.78982	85610	0	9
2024.10.16	1.78963	1.80169	1.78728	1.79321	83835	0	9
2024.10.17	1.79223	1.79488	1.78324	1.78726	88316	0	9
2024.10.18	1.78639	1.79115	1.78446	1.78955	77946	0	9
2024.10.21	1.78848	1.79492	1.78607	1.79312	79121	0	9
2024.10.22	1.79320	1.79625	1.78353	1.78673	82381	0	9
2024.10.23	1.78402	1.79788	1.78302	1.79555	80503	0	9
2024.10.24	1.79487	1.80071	1.78794	1.80004	87618	0	9
2024.10.25	1.79836	1.80747	1.79822	1.80585	76917	0	9
2024.10.28	1.80372	1.81110	1.80167	1.80775	80093	0	9
2024.10.29	1.80689	1.81331	1.80611	1.81101	87214	0	9
2024.10.30	1.80988	1.81805	1.80592	1.81752	96396	0	9
2024.10.31	1.81724	1.82751	1.81425	1.82087	102255	0	9
2024.11.01	1.81933	1.82449	1.81335	1.81677	92275	0	9
2024.11.04	1.81186	1.82193	1.81037	1.82076	94277	0	9
2024.11.05	1.81783	1.82326	1.81458	1.81890	79267	0	9
2024.11.06	1.81875	1.82110	1.79707	1.80629	180244	0	9
2024.11.07	1.80464	1.80863	1.79066	1.79328	118140	0	9
2024.11.08	1.79263	1.79977	1.79074	1.79474	106788	0	9
2024.11.11	1.79252	1.79767	1.78503	1.78656	85755	0	9
2024.11.12	1.78579	1.79409	1.78375	1.79203	102887	0	9
2024.11.13	1.79184	1.79744	1.78858	1.79669	107031	0	9
2024.11.14	1.79608	1.80083	1.79375	1.80005	114537	0	9
2024.11.15	1.79999	1.80229	1.79434	1.79593	111164	0	9
2024.11.18	1.79419	1.80726	1.79399	1.79819	216056	0	10
2024.11.19	1.79843	1.80153	1.79051	1.79173	271438	0	10
2024.11.20	1.79202	1.79591	1.79080	1.79410	217125	0	10
2024.11.21	1.79399	1.79762	1.78641	1.78761	243047	0	10
2024.11.22	1.78737	1.79648	1.77446	1.78535	282339	0	10
2024.11.25	1.78953	1.79684	1.78649	1.79506	290944	0	10
2024.11.26	1.79451	1.80395	1.79267	1.79778	315705	0	10
2024.11.27	1.79654	1.79970	1.78097	1.79256	271766	0	10
2024.11.28	1.79415	1.79415	1.78770	1.79142	199535	0	10
2024.11.29	1.79129	1.79281	1.78117	1.78584	284086	0	10
