<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.77355	1.77655	1.77237	1.77519	9314	0	6
2024.03.01	04:00:00	1.77516	1.77591	1.77362	1.77496	9353	0	13
2024.03.01	08:00:00	1.77494	1.77729	1.77344	1.77504	14562	0	42
2024.03.01	12:00:00	1.77506	1.77680	1.77147	1.77617	15812	0	53
2024.03.01	16:00:00	1.77621	1.77656	1.77192	1.77487	16899	0	53
2024.03.01	20:00:00	1.77482	1.77599	1.77305	1.77394	8983	0	46
2024.03.04	00:00:00	1.77393	1.77803	1.77219	1.77761	6047	0	37
2024.03.04	04:00:00	1.77763	1.77871	1.77678	1.77842	4772	0	50
2024.03.04	08:00:00	1.77842	1.78025	1.77613	1.77665	10082	0	50
2024.03.04	12:00:00	1.77665	1.78076	1.77597	1.77945	10339	0	50
2024.03.04	16:00:00	1.77948	1.78155	1.77838	1.78092	16158	0	53
2024.03.04	20:00:00	1.78084	1.78202	1.77920	1.77920	7927	0	47
2024.03.05	00:00:00	1.77541	1.78147	1.77461	1.78035	8540	0	9
2024.03.05	04:00:00	1.78032	1.78411	1.78017	1.78410	9226	0	2
2024.03.05	08:00:00	1.78414	1.78663	1.78335	1.78596	14353	0	53
2024.03.05	12:00:00	1.78590	1.78608	1.78207	1.78235	14116	0	44
2024.03.05	16:00:00	1.78236	1.78417	1.77947	1.78262	17208	0	53
2024.03.05	20:00:00	1.78259	1.78432	1.78182	1.78208	9884	0	54
2024.03.06	00:00:00	1.78214	1.78665	1.77831	1.78399	8696	0	4
2024.03.06	04:00:00	1.78396	1.78417	1.78004	1.78102	9043	0	53
2024.03.06	08:00:00	1.78103	1.78286	1.78013	1.78190	13367	0	53
2024.03.06	12:00:00	1.78190	1.78379	1.77906	1.77982	13459	0	44
2024.03.06	16:00:00	1.77984	1.78101	1.77613	1.77740	18695	0	52
2024.03.06	20:00:00	1.77753	1.77834	1.77651	1.77667	11592	0	2
2024.03.07	00:00:00	1.77313	1.77896	1.77297	1.77682	9671	0	1
2024.03.07	04:00:00	1.77685	1.77780	1.77264	1.77460	11533	0	50
2024.03.07	08:00:00	1.77465	1.77490	1.76891	1.77078	14950	0	52
2024.03.07	12:00:00	1.77078	1.77079	1.76236	1.76305	15190	0	53
2024.03.07	16:00:00	1.76307	1.77295	1.76297	1.77192	18252	0	53
2024.03.07	20:00:00	1.77190	1.77340	1.77124	1.77200	9401	0	52
2024.03.08	00:00:00	1.77161	1.77630	1.77056	1.77483	8398	0	7
2024.03.08	04:00:00	1.77486	1.77561	1.77199	1.77204	10470	0	50
2024.03.08	08:00:00	1.77201	1.77347	1.76565	1.76783	14912	0	47
2024.03.08	12:00:00	1.76781	1.76891	1.76480	1.76781	16087	0	38
2024.03.08	16:00:00	1.76782	1.77226	1.76530	1.77085	19475	0	53
2024.03.08	20:00:00	1.77087	1.77226	1.76960	1.76999	10189	0	2
2024.03.11	00:00:00	1.76821	1.77213	1.76679	1.77134	8006	0	14
2024.03.11	04:00:00	1.77136	1.77310	1.76990	1.77174	9627	0	51
2024.03.11	08:00:00	1.77172	1.77424	1.77061	1.77368	12058	0	47
2024.03.11	12:00:00	1.77369	1.77369	1.76892	1.77160	12365	0	41
2024.03.11	16:00:00	1.77162	1.77192	1.76954	1.77058	16183	0	53
2024.03.11	20:00:00	1.77049	1.77216	1.76977	1.77002	9598	0	10
2024.03.12	00:00:00	1.76703	1.77240	1.76389	1.77192	7864	0	41
2024.03.12	04:00:00	1.77190	1.77297	1.77042	1.77199	11135	0	14
2024.03.12	08:00:00	1.77200	1.77336	1.77109	1.77230	13754	0	46
2024.03.12	12:00:00	1.77229	1.77641	1.76895	1.77172	15644	0	53
2024.03.12	16:00:00	1.77170	1.77711	1.77170	1.77609	18672	0	53
2024.03.12	20:00:00	1.77609	1.77704	1.77520	1.77617	10695	0	4
2024.03.13	00:00:00	1.77579	1.77770	1.77456	1.77708	8042	0	8
2024.03.13	04:00:00	1.77712	1.77747	1.77228	1.77245	10494	0	36
2024.03.13	08:00:00	1.77242	1.77389	1.77101	1.77348	12591	0	21
2024.03.13	12:00:00	1.77349	1.77821	1.77319	1.77676	14005	0	53
2024.03.13	16:00:00	1.77672	1.77745	1.77506	1.77713	16275	0	53
