<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.07949	1.08430	1.07949	1.08382	64341	0	1
2024.03.04	1.08375	1.08665	1.08290	1.08532	67892	0	1
2024.03.05	1.08521	1.08759	1.08402	1.08547	70837	0	1
2024.03.06	1.08501	1.09151	1.08418	1.08975	78821	0	1
2024.03.07	1.08929	1.09491	1.08676	1.09465	74697	0	1
2024.03.08	1.09455	1.09809	1.09188	1.09370	82799	0	2
2024.03.11	1.09427	1.09478	1.09143	1.09249	68717	0	1
2024.03.12	1.09218	1.09435	1.09020	1.09260	73777	0	1
2024.03.13	1.09229	1.09636	1.09199	1.09467	66871	0	1
2024.03.14	1.09458	1.09546	1.08804	1.08827	68874	0	1
2024.03.15	1.08793	1.08995	1.08726	1.08875	66719	0	1
2024.03.18	1.08893	1.09059	1.08657	1.08717	52566	0	1
2024.03.19	1.08683	1.08764	1.08345	1.08648	73009	0	2
2024.03.20	1.08595	1.09226	1.08362	1.09211	64934	0	1
2024.03.21	1.09171	1.09423	1.08552	1.08594	78369	0	1
2024.03.22	1.08549	1.08679	1.08015	1.08071	64080	0	1
2024.03.25	1.08073	1.08422	1.08019	1.08368	52535	0	1
2024.03.26	1.08365	1.08641	1.08240	1.08304	59189	0	1
2024.03.27	1.08300	1.08390	1.08105	1.08271	61299	0	1
2024.03.28	1.08241	1.08272	1.07748	1.07879	64049	0	1
2024.03.29	1.07900	1.08047	1.07676	1.07921	33243	0	1
2024.04.01	1.07863	1.07986	1.07307	1.07423	62117	0	1
2024.04.02	1.07431	1.07789	1.07244	1.07687	63444	0	1
2024.04.03	1.07702	1.08366	1.07637	1.08356	65106	0	1
2024.04.04	1.08348	1.08762	1.08275	1.08364	56627	0	1
2024.04.05	1.08323	1.08477	1.07911	1.08358	73291	0	1
2024.04.08	1.08359	1.08619	1.08207	1.08587	57729	0	1
2024.04.09	1.08566	1.08848	1.08473	1.08565	57459	0	1
2024.04.10	1.08556	1.08661	1.07285	1.07418	71439	0	1
2024.04.11	1.07412	1.07562	1.06990	1.07252	79662	0	1
2024.04.12	1.07280	1.07290	1.06223	1.06410	71124	0	1
2024.04.15	1.06319	1.06649	1.06199	1.06238	82334	0	2
2024.04.16	1.06235	1.06533	1.06009	1.06182	87827	0	1
2024.04.17	1.06164	1.06794	1.06056	1.06721	80063	0	1
2024.04.18	1.06711	1.06898	1.06410	1.06426	65994	0	1
2024.04.19	1.06433	1.06772	1.06102	1.06561	95039	0	1
2024.04.22	1.06491	1.06703	1.06236	1.06539	62679	0	1
2024.04.23	1.06522	1.07110	1.06382	1.07008	68080	0	1
2024.04.24	1.07009	1.07140	1.06776	1.06982	61184	0	1
2024.04.25	1.06960	1.07397	1.06781	1.07292	66230	0	1
2024.04.26	1.07276	1.07526	1.06737	1.06926	66572	0	1
2024.04.29	1.06923	1.07334	1.06865	1.07200	78423	0	1
2024.04.30	1.07169	1.07351	1.06646	1.06655	70728	0	1
2024.05.01	1.06646	1.07326	1.06491	1.07089	65765	0	1
2024.05.02	1.07096	1.07299	1.06739	1.07245	77168	0	1
2024.05.03	1.07217	1.08124	1.07195	1.07624	72882	0	1
2024.05.06	1.07597	1.07905	1.07549	1.07677	49228	0	1
2024.05.07	1.07657	1.07871	1.07476	1.07539	53513	0	1
2024.05.08	1.07517	1.07573	1.07348	1.07476	46955	0	1
2024.05.09	1.07474	1.07844	1.07238	1.07817	52797	0	1
2024.05.10	1.07798	1.07899	1.07601	1.07692	48694	0	1
2024.05.13	1.07698	1.08066	1.07655	1.07893	46450	0	1
2024.05.14	1.07868	1.08254	1.07666	1.08184	46210	0	1
2024.05.15	1.08178	1.08858	1.08128	1.08837	56118	0	1
2024.05.16	1.08838	1.08948	1.08541	1.08664	51680	0	2
2024.05.17	1.08635	1.08783	1.08355	1.08690	42932	0	1
2024.05.20	1.08665	1.08842	1.08541	1.08563	44415	0	1
2024.05.21	1.08561	1.08745	1.08424	1.08532	51454	0	1
2024.05.22	1.08533	1.08633	1.08171	1.08221	55439	0	1
2024.05.23	1.08214	1.08608	1.08045	1.08148	66528	0	5
2024.05.24	1.08131	1.08575	1.08004	1.08452	49058	0	5
2024.05.27	1.08446	1.08672	1.08397	1.08573	34265	0	1
2024.05.28	1.08558	1.08887	1.08506	1.08565	56274	0	5
2024.05.29	1.08569	1.08591	1.07996	1.08007	65189	0	1
2024.05.30	1.08011	1.08449	1.07880	1.08313	58305	0	1
2024.05.31	1.08312	1.08820	1.08108	1.08463	54402	0	1
2024.06.03	1.08459	1.09041	1.08274	1.09037	51112	0	1
2024.06.04	1.08994	1.09158	1.08587	1.08787	56013	0	1
2024.06.05	1.08782	1.08913	1.08541	1.08677	46513	0	1
2024.06.06	1.08678	1.09015	1.08615	1.08851	46658	0	1
2024.06.07	1.08853	1.09015	1.07994	1.07994	55395	0	5
2024.06.10	1.07722	1.07813	1.07325	1.07645	49234	0	1
2024.06.11	1.07634	1.07732	1.07191	1.07398	49867	0	5
2024.06.12	1.07351	1.08519	1.07333	1.08084	64456	0	5
2024.06.13	1.08067	1.08161	1.07325	1.07364	54810	0	5
2024.06.14	1.07345	1.07447	1.06673	1.07012	61362	0	1
2024.06.17	1.07029	1.07375	1.06860	1.07338	50824	0	1
2024.06.18	1.07325	1.07611	1.07096	1.07393	51301	0	5
2024.06.19	1.07388	1.07530	1.07244	1.07416	33797	0	1
2024.06.20	1.07416	1.07488	1.06987	1.06987	47860	0	1
2024.06.21	1.07006	1.07203	1.06707	1.06917	49762	0	1
2024.06.24	1.06802	1.07461	1.06802	1.07315	47312	0	1
2024.06.25	1.07314	1.07439	1.06903	1.07134	43647	0	1
2024.06.26	1.07109	1.07176	1.06656	1.06799	49763	0	1
2024.06.27	1.06783	1.07264	1.06740	1.07035	75500	0	0
2024.06.28	1.07025	1.07247	1.06853	1.07126	94501	0	0
2024.07.01	1.07427	1.07764	1.07195	1.07400	90037	0	0
2024.07.02	1.07372	1.07473	1.07099	1.07449	74407	0	0
2024.07.03	1.07376	1.08168	1.07360	1.07852	77605	0	0
2024.07.04	1.07840	1.08138	1.07772	1.08097	43585	0	0
2024.07.05	1.08086	1.08427	1.07945	1.08366	83805	0	0
2024.07.08	1.08016	1.08450	1.08014	1.08237	70986	0	0
2024.07.09	1.08237	1.08334	1.08053	1.08134	68864	0	0
2024.07.10	1.08133	1.08306	1.08090	1.08299	57987	0	0
2024.07.11	1.08298	1.08999	1.08241	1.08679	101411	0	0
2024.07.12	1.08654	1.09114	1.08596	1.09056	92264	0	0
2024.07.15	1.08853	1.09223	1.08821	1.08940	81095	0	0
2024.07.16	1.08871	1.09054	1.08715	1.08990	74529	0	0
2024.07.17	1.08920	1.09480	1.08920	1.09392	87438	0	0
2024.07.18	1.09385	1.09411	1.08936	1.08963	86270	0	0
2024.07.19	1.08945	1.09018	1.08756	1.08763	78275	0	0
2024.07.22	1.08845	1.09028	1.08731	1.08906	74578	0	0
2024.07.23	1.08901	1.08967	1.08438	1.08536	71491	0	0
2024.07.24	1.08532	1.08665	1.08256	1.08393	86077	0	0
2024.07.25	1.08395	1.08699	1.08282	1.08450	115688	0	0
2024.07.26	1.08452	1.08682	1.08419	1.08554	75549	0	0
2024.07.29	1.08539	1.08700	1.08027	1.08209	74358	0	0
2024.07.30	1.08156	1.08359	1.07980	1.08149	79895	0	0
2024.07.31	1.08141	1.08494	1.08015	1.08253	132904	0	0
2024.08.01	1.08227	1.08354	1.07774	1.07912	123757	0	0
2024.08.02	1.07854	1.09266	1.07818	1.09098	158939	0	0
2024.08.05	1.09233	1.10089	1.08925	1.09517	277074	0	0
2024.08.06	1.09468	1.09631	1.09036	1.09287	175496	0	0
2024.08.07	1.09233	1.09366	1.09054	1.09217	127897	0	0
2024.08.08	1.09191	1.09452	1.08813	1.09184	124863	0	0
2024.08.09	1.09134	1.09314	1.09057	1.09152	80764	0	0
2024.08.12	1.09142	1.09393	1.09100	1.09313	66090	0	0
2024.08.13	1.09280	1.09996	1.09137	1.09930	85323	0	0
2024.08.14	1.09827	1.10474	1.09812	1.10120	90467	0	0
2024.08.15	1.10110	1.10157	1.09495	1.09718	77568	0	0
2024.08.16	1.09677	1.10296	1.09656	1.10280	65167	0	0
2024.08.19	1.10274	1.10864	1.10220	1.10849	78410	0	0
2024.08.20	1.10802	1.11304	1.10718	1.11292	90185	0	0
2024.08.21	1.11264	1.11740	1.10987	1.11492	100656	0	0
2024.08.22	1.11432	1.11650	1.10980	1.11106	89508	0	0
2024.08.23	1.11038	1.12008	1.11030	1.11922	97898	0	0
2024.08.26	1.11848	1.12012	1.11500	1.11609	94319	0	0
2024.08.27	1.11586	1.11905	1.11501	1.11841	80801	0	0
2024.08.28	1.11841	1.11852	1.11049	1.11195	101316	0	0
2024.08.29	1.11195	1.11400	1.10557	1.10771	112170	0	0
2024.08.30	1.10771	1.10952	1.10436	1.10450	107277	0	0
2024.09.02	1.10459	1.10775	1.10419	1.10711	55303	0	0
2024.09.03	1.10665	1.10728	1.10263	1.10429	108705	0	0
2024.09.04	1.10363	1.10952	1.10348	1.10820	99595	0	0
2024.09.05	1.10819	1.11197	1.10747	1.11102	110288	0	0
2024.09.06	1.11102	1.11556	1.10656	1.10830	157339	0	0
2024.09.09	1.10793	1.10911	1.10337	1.10347	85114	0	0
2024.09.10	1.10345	1.10496	1.10151	1.10193	75018	0	0
2024.09.11	1.10190	1.10549	1.10020	1.10117	126084	0	0
2024.09.12	1.10106	1.10752	1.10055	1.10741	103916	0	0
2024.09.13	1.10741	1.11019	1.10651	1.10709	96580	0	0
2024.09.16	1.10753	1.11375	1.10746	1.11323	76207	0	0
2024.09.17	1.11316	1.11462	1.11107	1.11133	104349	0	0
2024.09.18	1.11125	1.11891	1.10967	1.11185	145708	0	0
2024.09.19	1.11185	1.11788	1.10685	1.11612	163784	0	0
2024.09.20	1.11612	1.11819	1.11360	1.11578	118249	0	0
2024.09.23	1.11564	1.11673	1.10831	1.11110	120054	0	0
2024.09.24	1.11096	1.11809	1.11033	1.11793	102875	0	0
2024.09.25	1.11753	1.12140	1.11215	1.11327	104583	0	0
2024.09.26	1.11316	1.11892	1.11257	1.11766	131072	0	0
2024.09.27	1.11754	1.12030	1.11246	1.11615	149507	0	0
2024.09.30	1.11529	1.12090	1.11137	1.11345	126550	0	0
2024.10.01	1.11344	1.11441	1.10458	1.10675	144679	0	0
2024.10.02	1.10663	1.10830	1.10326	1.10444	106431	0	0
2024.10.03	1.10443	1.10493	1.10082	1.10312	127375	0	0
2024.10.04	1.10312	1.10396	1.09513	1.09655	117375	0	0
2024.10.07	1.09644	1.09869	1.09542	1.09725	102358	0	0
2024.10.08	1.09689	1.09971	1.09609	1.09742	93383	0	0
2024.10.09	1.09730	1.09810	1.09362	1.09393	86696	0	0
2024.10.10	1.09375	1.09549	1.09000	1.09252	130678	0	0
2024.10.11	1.09340	1.09538	1.09231	1.09311	75003	0	0
2024.10.14	1.09289	1.09367	1.08881	1.09086	70575	0	0
2024.10.15	1.09045	1.09168	1.08818	1.08910	89906	0	0
2024.10.16	1.08883	1.09015	1.08533	1.08617	81988	0	0
2024.10.17	1.08615	1.08738	1.08110	1.08311	108224	0	0
2024.10.18	1.08247	1.08696	1.08242	1.08664	72027	0	0
2024.10.21	1.08613	1.08718	1.08110	1.08146	73316	0	0
2024.10.22	1.08140	1.08381	1.07926	1.07982	79093	0	0
2024.10.23	1.07975	1.08067	1.07613	1.07816	87228	0	0
