<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.07949	1.08210	1.07949	1.08210	5975	0	2
2024.03.01	04:00:00	1.08208	1.08216	1.08109	1.08119	4199	0	3
2024.03.01	08:00:00	1.08119	1.08196	1.08080	1.08149	12559	0	1
2024.03.01	12:00:00	1.08149	1.08245	1.07982	1.08126	15189	0	2
2024.03.01	16:00:00	1.08126	1.08415	1.07980	1.08374	18346	0	1
2024.03.01	20:00:00	1.08373	1.08430	1.08312	1.08382	8073	0	1
2024.03.04	00:00:00	1.08375	1.08477	1.08290	1.08398	7158	0	3
2024.03.04	04:00:00	1.08398	1.08465	1.08383	1.08441	5843	0	3
2024.03.04	08:00:00	1.08441	1.08577	1.08375	1.08489	13496	0	1
2024.03.04	12:00:00	1.08488	1.08573	1.08399	1.08484	13436	0	2
2024.03.04	16:00:00	1.08484	1.08665	1.08447	1.08577	18133	0	1
2024.03.04	20:00:00	1.08577	1.08604	1.08532	1.08532	9826	0	2
2024.03.05	00:00:00	1.08521	1.08578	1.08472	1.08492	6496	0	2
2024.03.05	04:00:00	1.08492	1.08545	1.08481	1.08527	5065	0	1
2024.03.05	08:00:00	1.08527	1.08556	1.08412	1.08511	13143	0	2
2024.03.05	12:00:00	1.08507	1.08545	1.08417	1.08459	14883	0	1
2024.03.05	16:00:00	1.08460	1.08759	1.08402	1.08597	20541	0	1
2024.03.05	20:00:00	1.08596	1.08597	1.08488	1.08547	10709	0	1
2024.03.06	00:00:00	1.08501	1.08584	1.08418	1.08436	7921	0	2
2024.03.06	04:00:00	1.08437	1.08566	1.08436	1.08548	7399	0	3
2024.03.06	08:00:00	1.08548	1.08775	1.08545	1.08762	12146	0	2
2024.03.06	12:00:00	1.08762	1.08848	1.08672	1.08845	13158	0	1
2024.03.06	16:00:00	1.08847	1.09151	1.08811	1.09020	23395	0	1
2024.03.06	20:00:00	1.09020	1.09075	1.08926	1.08975	14802	0	2
2024.03.07	00:00:00	1.08929	1.09070	1.08927	1.08975	6963	0	3
2024.03.07	04:00:00	1.08975	1.09054	1.08934	1.09002	7051	0	2
2024.03.07	08:00:00	1.09001	1.09040	1.08874	1.09013	14215	0	2
2024.03.07	12:00:00	1.09013	1.09017	1.08676	1.08721	17468	0	1
2024.03.07	16:00:00	1.08720	1.09418	1.08689	1.09368	20818	0	1
2024.03.07	20:00:00	1.09366	1.09491	1.09362	1.09465	8182	0	1
2024.03.08	00:00:00	1.09455	1.09555	1.09401	1.09477	6317	0	2
2024.03.08	04:00:00	1.09477	1.09505	1.09439	1.09462	5614	0	4
2024.03.08	08:00:00	1.09462	1.09509	1.09258	1.09350	15224	0	2
2024.03.08	12:00:00	1.09349	1.09809	1.09188	1.09579	19050	0	2
2024.03.08	16:00:00	1.09579	1.09663	1.09366	1.09391	25249	0	2
2024.03.08	20:00:00	1.09392	1.09435	1.09330	1.09370	11345	0	2
2024.03.11	00:00:00	1.09427	1.09463	1.09349	1.09420	7124	0	1
2024.03.11	04:00:00	1.09420	1.09454	1.09367	1.09384	9180	0	3
2024.03.11	08:00:00	1.09385	1.09478	1.09350	1.09443	11819	0	2
2024.03.11	12:00:00	1.09443	1.09448	1.09291	1.09292	12153	0	1
2024.03.11	16:00:00	1.09292	1.09315	1.09143	1.09270	17520	0	1
2024.03.11	20:00:00	1.09269	1.09300	1.09181	1.09249	10921	0	2
2024.03.12	00:00:00	1.09218	1.09320	1.09176	1.09284	6413	0	3
2024.03.12	04:00:00	1.09284	1.09379	1.09266	1.09366	6841	0	2
2024.03.12	08:00:00	1.09367	1.09391	1.09210	1.09245	10403	0	4
2024.03.12	12:00:00	1.09246	1.09435	1.09022	1.09199	17735	0	1
2024.03.12	16:00:00	1.09198	1.09228	1.09020	1.09172	21637	0	1
2024.03.12	20:00:00	1.09172	1.09272	1.09124	1.09260	10748	0	2
2024.03.13	00:00:00	1.09229	1.09294	1.09229	1.09268	7446	0	4
2024.03.13	04:00:00	1.09268	1.09305	1.09218	1.09232	8564	0	1
2024.03.13	08:00:00	1.09232	1.09326	1.09206	1.09275	10865	0	2
2024.03.13	12:00:00	1.09275	1.09470	1.09199	1.09364	12671	0	2
2024.03.13	16:00:00	1.09363	1.09491	1.09311	1.09487	16672	0	2
2024.03.13	20:00:00	1.09486	1.09636	1.09453	1.09467	10653	0	1
2024.03.14	00:00:00	1.09458	1.09546	1.09447	1.09484	4502	0	1
2024.03.14	04:00:00	1.09485	1.09526	1.09387	1.09422	5879	0	2
2024.03.14	08:00:00	1.09422	1.09438	1.09315	1.09375	11332	0	1
2024.03.14	12:00:00	1.09375	1.09451	1.09236	1.09297	14031	0	1
2024.03.14	16:00:00	1.09298	1.09310	1.08827	1.08869	23478	0	2
2024.03.14	20:00:00	1.08868	1.08916	1.08804	1.08827	9652	0	2
2024.03.15	00:00:00	1.08793	1.08859	1.08758	1.08776	5558	0	2
2024.03.15	04:00:00	1.08776	1.08798	1.08726	1.08762	7942	0	1
2024.03.15	08:00:00	1.08763	1.08867	1.08730	1.08826	11525	0	3
2024.03.15	12:00:00	1.08826	1.08995	1.08823	1.08870	14271	0	1
2024.03.15	16:00:00	1.08870	1.08945	1.08811	1.08856	18820	0	1
2024.03.15	20:00:00	1.08855	1.08911	1.08832	1.08875	8603	0	1
2024.03.18	00:00:00	1.08893	1.08907	1.08787	1.08850	4630	0	2
2024.03.18	04:00:00	1.08850	1.08916	1.08825	1.08873	5406	0	2
2024.03.18	08:00:00	1.08873	1.08975	1.08850	1.08935	9049	0	1
2024.03.18	12:00:00	1.08935	1.09059	1.08896	1.08919	12047	0	3
2024.03.18	16:00:00	1.08919	1.08933	1.08691	1.08722	14441	0	1
2024.03.18	20:00:00	1.08721	1.08749	1.08657	1.08717	6993	0	1
2024.03.19	00:00:00	1.08683	1.08744	1.08683	1.08691	5517	0	2
2024.03.19	04:00:00	1.08692	1.08764	1.08665	1.08703	12404	0	4
2024.03.19	08:00:00	1.08703	1.08719	1.08421	1.08472	13519	0	3
2024.03.19	12:00:00	1.08472	1.08558	1.08345	1.08515	15978	0	3
2024.03.19	16:00:00	1.08513	1.08652	1.08491	1.08633	15942	0	2
2024.03.19	20:00:00	1.08632	1.08673	1.08595	1.08648	9649	0	2
2024.03.20	00:00:00	1.08595	1.08666	1.08580	1.08642	4412	0	2
2024.03.20	04:00:00	1.08642	1.08707	1.08619	1.08664	4577	0	1
2024.03.20	08:00:00	1.08665	1.08718	1.08498	1.08519	9802	0	1
2024.03.20	12:00:00	1.08518	1.08520	1.08362	1.08420	14241	0	3
2024.03.20	16:00:00	1.08420	1.08610	1.08370	1.08604	10519	0	3
2024.03.20	20:00:00	1.08605	1.09226	1.08583	1.09211	21383	0	1
2024.03.21	00:00:00	1.09171	1.09372	1.09161	1.09332	7592	0	1
2024.03.21	04:00:00	1.09332	1.09387	1.09324	1.09329	7847	0	2
2024.03.21	08:00:00	1.09329	1.09423	1.08870	1.08912	13050	0	1
2024.03.21	12:00:00	1.08921	1.09233	1.08887	1.09113	17940	0	2
2024.03.21	16:00:00	1.09113	1.09115	1.08555	1.08607	23318	0	1
