<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.94220	1.94625	1.93589	1.93836	128695	0	34
2024.03.04	1.93634	1.94975	1.93621	1.94914	105968	0	34
2024.03.05	1.94791	1.95676	1.94598	1.95332	118620	0	34
2024.03.06	1.95255	1.95515	1.93781	1.93926	129283	0	34
2024.03.07	1.93926	1.94005	1.92745	1.93455	130256	0	34
2024.03.08	1.93455	1.94152	1.92899	1.93959	136261	0	34
2024.03.11	1.93851	1.94438	1.93649	1.93706	117717	0	34
2024.03.12	1.93705	1.93921	1.92845	1.93625	122274	0	4
2024.03.13	1.93627	1.93805	1.93018	1.93241	110486	0	5
2024.03.14	1.93236	1.93851	1.92984	1.93770	121170	0	6
2024.03.15	1.93753	1.94406	1.93553	1.94024	115372	0	6
2024.03.18	1.93681	1.94171	1.93640	1.94028	92666	0	2
2024.03.19	1.94002	1.95054	1.93786	1.94728	114217	0	5
2024.03.20	1.94614	1.94983	1.94046	1.94094	111290	0	6
2024.03.21	1.94064	1.94259	1.92535	1.92657	127779	0	12
2024.03.22	1.92541	1.93794	1.92445	1.93179	113416	0	5
2024.03.25	1.93303	1.93527	1.92773	1.93199	95253	0	2
2024.03.26	1.93196	1.93481	1.92879	1.93270	99191	0	3
2024.03.27	1.93251	1.93685	1.93099	1.93417	105531	0	3
2024.03.28	1.93366	1.94468	1.93038	1.93716	108578	0	5
2024.03.29	1.93695	1.94005	1.93112	1.93454	28465	0	6
2024.04.01	1.93444	1.93753	1.93263	1.93393	84614	0	6
2024.04.02	1.93390	1.93468	1.92720	1.92945	105017	0	6
2024.04.03	1.92937	1.93328	1.92506	1.92710	112008	0	2
2024.04.04	1.92706	1.92773	1.91317	1.91881	99666	0	6
2024.04.05	1.91854	1.92355	1.91518	1.91857	123332	0	6
2024.04.08	1.92063	1.92310	1.91305	1.91588	114759	0	1
2024.04.09	1.91570	1.91768	1.91120	1.91239	105516	0	2
2024.04.10	1.91226	1.92888	1.90931	1.92530	126477	0	3
2024.04.11	1.92477	1.92735	1.91842	1.91968	136826	0	5
2024.04.12	1.91920	1.92784	1.91676	1.92317	137287	0	1
2024.04.15	1.92352	1.93235	1.92001	1.93169	148990	0	5
2024.04.16	1.93094	1.94571	1.92868	1.94086	153766	0	3
2024.04.17	1.94028	1.94202	1.93308	1.93504	144429	0	6
2024.04.18	1.93320	1.93801	1.93097	1.93646	131407	0	6
2024.04.19	1.93648	1.94798	1.92511	1.92511	168834	0	6
2024.04.22	1.92630	1.92824	1.91195	1.91454	120913	0	1
2024.04.23	1.91415	1.92211	1.91076	1.91876	118633	0	1
2024.04.24	1.91775	1.92082	1.90868	1.91786	107790	0	6
2024.04.25	1.91788	1.92231	1.91370	1.91941	119671	0	5
2024.04.26	1.91941	1.91996	1.90835	1.91090	124516	0	4
2024.04.29	1.91075	1.91411	1.90421	1.91290	132686	0	6
2024.04.30	1.91293	1.92986	1.90986	1.92962	126242	0	5
2024.05.01	1.92899	1.93087	1.91825	1.92006	123526	0	4
2024.05.02	1.91834	1.92180	1.90719	1.90885	144157	0	34
2024.05.03	1.90885	1.90975	1.89466	1.89776	131326	0	34
2024.05.06	1.89776	1.89897	1.89134	1.89583	99826	0	4
2024.05.07	1.89583	1.90355	1.89131	1.89571	107635	0	2
2024.05.08	1.89513	1.90317	1.89351	1.89924	97137	0	4
2024.05.09	1.89886	1.90093	1.89121	1.89160	106738	0	1
2024.05.10	1.89051	1.89783	1.88903	1.89469	101655	0	6
2024.05.13	1.89643	1.90145	1.89317	1.90035	93757	0	4
2024.05.14	1.89975	1.90338	1.89449	1.89985	96651	0	1
2024.05.15	1.89952	1.90301	1.89387	1.89496	96625	0	4
2024.05.16	1.89452	1.90037	1.89074	1.89681	98255	0	5
2024.05.17	1.89609	1.90294	1.89508	1.89695	84773	0	14
2024.05.20	1.89393	1.90591	1.89344	1.90530	89391	0	1
2024.05.21	1.90404	1.91042	1.90316	1.90636	89984	0	8
2024.05.22	1.90632	1.92349	1.90284	1.92072	103483	0	4
2024.05.23	1.91966	1.92351	1.91530	1.92132	118779	0	1
2024.05.24	1.92083	1.92474	1.91959	1.92049	101140	0	6
2024.05.27	1.92082	1.92276	1.91716	1.91837	62467	0	1
2024.05.28	1.91791	1.92035	1.91513	1.91881	98173	0	6
2024.05.29	1.91569	1.92330	1.90971	1.92118	114040	0	16
2024.05.30	1.92069	1.92431	1.91617	1.91921	113343	0	6
2024.05.31	1.91799	1.92031	1.90896	1.91490	118389	0	6
2024.06.03	1.91447	1.91823	1.90917	1.91429	107005	0	5
2024.06.04	1.91635	1.92567	1.91209	1.92023	125961	0	3
2024.06.05	1.91819	1.92585	1.91710	1.92178	103366	0	6
2024.06.06	1.92184	1.92500	1.91616	1.91756	100608	0	6
2024.06.07	1.91762	1.93338	1.91435	1.93088	116522	0	4
2024.06.10	1.93265	1.93455	1.92541	1.92576	99196	0	1
2024.06.11	1.92534	1.93276	1.92342	1.92822	103688	0	6
2024.06.12	1.92798	1.93024	1.91546	1.92039	118730	0	5
2024.06.13	1.92023	1.92453	1.91712	1.92295	115344	0	6
2024.06.14	1.92154	1.92588	1.91613	1.91629	122310	0	9
2024.06.17	1.91920	1.92364	1.91440	1.92087	97976	0	6
2024.06.18	1.91911	1.92316	1.90754	1.90891	113742	0	4
2024.06.19	1.90735	1.90941	1.90436	1.90481	68927	0	1
2024.06.20	1.90473	1.90721	1.90011	1.90104	107691	0	6
2024.06.21	1.90080	1.90473	1.89553	1.90319	107563	0	26
2024.06.24	1.90232	1.90720	1.89991	1.90466	100511	0	15
2024.06.25	1.90338	1.91074	1.90138	1.90827	99898	0	17
2024.06.26	1.90604	1.91057	1.89495	1.89843	112022	0	17
2024.06.27	1.89607	1.90370	1.89429	1.90139	223832	0	5
2024.06.28	1.90065	1.90777	1.89113	1.89530	296607	0	5
2024.07.01	1.89267	1.90337	1.89143	1.89925	239200	0	5
2024.07.02	1.89882	1.90530	1.89820	1.90251	229063	0	5
2024.07.03	1.90110	1.90572	1.89731	1.90002	237940	0	5
2024.07.04	1.89930	1.90095	1.89470	1.89693	119846	0	5
2024.07.05	1.89603	1.90366	1.89433	1.89753	276584	0	5
2024.07.08	1.89797	1.90448	1.89583	1.90079	196241	0	5
2024.07.09	1.90050	1.90285	1.89621	1.89667	201850	0	5
2024.07.10	1.89556	1.90495	1.89527	1.90402	184017	0	5
2024.07.11	1.90369	1.91172	1.89796	1.91043	304031	0	5
2024.07.12	1.90928	1.91456	1.90640	1.91384	298531	0	5
2024.07.15	1.91343	1.91968	1.91275	1.91827	255986	0	5
2024.07.16	1.91820	1.92801	1.91708	1.92657	237727	0	5
2024.07.17	1.92553	1.93532	1.92424	1.93320	301217	0	5
2024.07.18	1.93175	1.93607	1.92596	1.93010	323130	0	5
2024.07.19	1.93061	1.93324	1.92845	1.93082	285292	0	5
2024.07.22	1.92944	1.94722	1.92903	1.94683	272932	0	5
2024.07.23	1.94654	1.95247	1.94498	1.95115	235535	0	5
2024.07.24	1.95013	1.96166	1.94948	1.96095	290222	0	5
2024.07.25	1.96016	1.97611	1.95979	1.96535	414219	0	5
2024.07.26	1.96507	1.96746	1.95892	1.96457	273611	0	5
2024.07.29	1.96254	1.96739	1.95705	1.96375	248553	0	5
2024.07.30	1.96308	1.96611	1.95899	1.96326	255334	0	5
2024.07.31	1.96227	1.98103	1.96113	1.96519	469187	0	5
2024.08.01	1.96450	1.96982	1.95309	1.95902	430178	0	5
2024.08.02	1.95867	1.96740	1.95040	1.96527	521447	0	5
2024.08.05	1.96320	2.00383	1.96173	1.96500	912856	0	5
2024.08.06	1.96491	1.96768	1.94155	1.94457	651787	0	5
2024.08.07	1.94477	1.94839	1.93300	1.94633	504104	0	5
2024.08.08	1.94518	1.94841	1.93272	1.93365	451903	0	5
2024.08.09	1.93259	1.94283	1.93149	1.94010	343089	0	5
2024.08.12	1.94236	1.94236	1.93225	1.93738	255507	0	5
2024.08.13	1.93728	1.94350	1.93591	1.93830	308452	0	5
2024.08.14	1.93824	1.94474	1.93149	1.94271	349402	0	5
2024.08.15	1.94272	1.95242	1.93719	1.94281	302007	0	5
2024.08.16	1.94262	1.94782	1.93998	1.94006	211815	0	5
2024.08.19	1.93986	1.94158	1.92905	1.92905	281756	0	5
2024.08.20	1.92872	1.93440	1.92780	1.93132	287206	0	5
2024.08.21	1.93169	1.94278	1.92981	1.94087	316520	0	5
2024.08.22	1.94008	1.95356	1.93884	1.95199	325528	0	5
2024.08.23	1.95166	1.95332	1.94293	1.94367	382191	0	5
2024.08.26	1.94501	1.94939	1.94301	1.94721	270638	0	5
2024.08.27	1.94637	1.95362	1.94372	1.95215	284659	0	5
2024.08.28	1.95113	1.95367	1.94341	1.94395	318961	0	5
2024.08.29	1.94336	1.94528	1.93127	1.93686	385864	0	5
2024.08.30	1.93635	1.94265	1.93366	1.93936	332518	0	5
2024.09.02	1.94008	1.94243	1.93447	1.93513	162237	0	5
2024.09.03	1.93485	1.95437	1.93447	1.95387	357667	0	5
2024.09.04	1.95341	1.95993	1.94937	1.95480	334952	0	5
2024.09.05	1.95349	1.95837	1.95313	1.95498	363196	0	5
2024.09.06	1.95456	1.96953	1.95220	1.96809	496138	0	5
2024.09.09	1.96780	1.97000	1.96223	1.96265	296847	0	5
2024.09.10	1.96178	1.96643	1.96017	1.96590	286411	0	5
2024.09.11	1.96443	1.97011	1.95363	1.95415	426667	0	5
2024.09.12	1.95380	1.95802	1.94912	1.95219	391387	0	5
2024.09.13	1.95165	1.96038	1.95116	1.95729	317804	0	5
2024.09.16	1.95846	1.96054	1.95357	1.95739	196155	0	5
2024.09.17	1.95621	1.95820	1.94721	1.94798	340150	0	5
2024.09.18	1.94673	1.95493	1.94454	1.95327	489305	0	5
2024.09.19	1.95244	1.95390	1.93966	1.94922	554422	0	5
2024.09.20	1.94804	1.95720	1.94728	1.95621	415291	0	5
2024.09.23	1.95654	1.95812	1.94628	1.95167	370001	0	5
2024.09.24	1.95059	1.95719	1.94539	1.94597	373748	0	5
2024.09.25	1.94576	1.95311	1.94290	1.95254	379456	0	5
2024.09.26	1.95168	1.95293	1.94091	1.94525	434817	0	5
2024.09.27	1.94555	1.94818	1.93299	1.93697	441734	0	5
2024.09.30	1.93584	1.93910	1.92872	1.93451	387480	0	5
2024.10.01	1.93407	1.93554	1.92562	1.93000	493811	0	5
2024.10.02	1.92873	1.93069	1.92124	1.92682	411042	0	5
2024.10.03	1.92550	1.93095	1.91246	1.91845	488571	0	5
2024.10.04	1.91741	1.93153	1.91603	1.92939	406103	0	5
2024.10.07	1.93076	1.93819	1.92422	1.93608	369221	0	5
2024.10.08	1.93486	1.94865	1.93356	1.94205	437064	0	5
2024.10.09	1.94026	1.94846	1.93739	1.94528	372144	0	5
2024.10.10	1.94365	1.94733	1.93623	1.93664	444942	0	5
