<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.94220	1.94351	1.93805	1.94160	12704	0	34
2024.03.01	04:00:00	1.94160	1.94206	1.93904	1.93955	13084	0	34
2024.03.01	08:00:00	1.93955	1.94625	1.93851	1.94266	21839	0	34
2024.03.01	12:00:00	1.94263	1.94483	1.94019	1.94345	26454	0	34
2024.03.01	16:00:00	1.94345	1.94399	1.93589	1.93785	35709	0	34
2024.03.01	20:00:00	1.93783	1.93939	1.93631	1.93836	18905	0	34
2024.03.04	00:00:00	1.93634	1.94087	1.93621	1.94066	12240	0	34
2024.03.04	04:00:00	1.94065	1.94309	1.93958	1.94284	11174	0	34
2024.03.04	08:00:00	1.94284	1.94448	1.94055	1.94323	20955	0	34
2024.03.04	12:00:00	1.94324	1.94589	1.94262	1.94510	20937	0	34
2024.03.04	16:00:00	1.94512	1.94906	1.94503	1.94859	26522	0	34
2024.03.04	20:00:00	1.94862	1.94975	1.94817	1.94914	14140	0	34
2024.03.05	00:00:00	1.94791	1.95085	1.94598	1.94959	9930	0	34
2024.03.05	04:00:00	1.94959	1.95407	1.94937	1.95407	12412	0	34
2024.03.05	08:00:00	1.95405	1.95676	1.95326	1.95542	19900	0	34
2024.03.05	12:00:00	1.95538	1.95543	1.95177	1.95398	22001	0	34
2024.03.05	16:00:00	1.95397	1.95632	1.95204	1.95223	33036	0	34
2024.03.05	20:00:00	1.95222	1.95343	1.95119	1.95332	21341	0	34
2024.03.06	00:00:00	1.95255	1.95515	1.94911	1.95301	12100	0	34
2024.03.06	04:00:00	1.95300	1.95334	1.94848	1.94915	11671	0	34
2024.03.06	08:00:00	1.94913	1.95272	1.94775	1.95107	21770	0	34
2024.03.06	12:00:00	1.95104	1.95139	1.94470	1.94521	25380	0	34
2024.03.06	16:00:00	1.94523	1.94523	1.93781	1.93890	34996	0	34
2024.03.06	20:00:00	1.93889	1.94064	1.93836	1.93926	23366	0	34
2024.03.07	00:00:00	1.93926	1.94005	1.93685	1.93764	14353	0	34
2024.03.07	04:00:00	1.93766	1.93920	1.93332	1.93620	14898	0	34
2024.03.07	08:00:00	1.93621	1.93648	1.93133	1.93252	24481	0	34
2024.03.07	12:00:00	1.93251	1.93260	1.92745	1.92924	25880	0	34
2024.03.07	16:00:00	1.92928	1.93380	1.92893	1.93301	34107	0	34
