<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.71390	1.71727	1.71016	1.71542	79994	0	28
2024.03.04	1.71450	1.72348	1.71317	1.72228	63954	0	1
2024.03.05	1.72123	1.72761	1.72042	1.72665	73622	0	12
2024.03.06	1.72476	1.72911	1.71933	1.72006	78666	0	3
2024.03.07	1.71978	1.72441	1.71762	1.72340	82715	0	28
2024.03.08	1.72246	1.73416	1.72039	1.73365	86561	0	3
2024.03.11	1.73269	1.73368	1.72600	1.72721	72258	0	1
2024.03.12	1.72555	1.72784	1.72080	1.72558	78376	0	1
2024.03.13	1.72567	1.72724	1.72252	1.72357	67695	0	1
2024.03.14	1.72365	1.72613	1.72088	1.72547	71978	0	1
2024.03.15	1.72476	1.72633	1.72109	1.72424	66389	0	1
2024.03.18	1.72247	1.72567	1.72164	1.72232	50811	0	1
2024.03.19	1.72191	1.72884	1.71984	1.72550	66781	0	1
2024.03.20	1.72561	1.72782	1.72180	1.72463	69533	0	1
2024.03.21	1.72394	1.72502	1.71104	1.71210	77699	0	1
2024.03.22	1.71213	1.71474	1.70676	1.71423	66202	0	1
2024.03.25	1.71274	1.71845	1.71176	1.71648	59644	0	1
2024.03.26	1.71600	1.71861	1.71269	1.71514	55901	0	1
2024.03.27	1.71433	1.71761	1.71273	1.71457	59770	0	1
2024.03.28	1.71325	1.71597	1.70814	1.70883	64679	0	1
2024.03.29	1.70851	1.71233	1.70683	1.70775	30907	0	8
2024.04.01	1.70591	1.71095	1.70236	1.70288	50533	0	1
2024.04.02	1.70257	1.70740	1.70172	1.70595	59924	0	1
2024.04.03	1.70489	1.71211	1.70272	1.71107	84964	0	1
2024.04.04	1.71124	1.71325	1.70726	1.71166	60655	0	1
2024.04.05	1.70997	1.71805	1.70906	1.71704	74442	0	1
2024.04.08	1.71550	1.71907	1.71408	1.71717	72156	0	1
2024.04.09	1.71710	1.72378	1.71501	1.72011	64696	0	1
2024.04.10	1.72002	1.72333	1.71425	1.71532	88073	0	1
2024.04.11	1.71530	1.71896	1.71057	1.71798	85126	0	1
2024.04.12	1.71788	1.71913	1.70996	1.71428	93693	0	1
2024.04.15	1.71420	1.71678	1.71178	1.71564	101631	0	1
2024.04.16	1.71533	1.72374	1.71317	1.71801	104952	0	1
2024.04.17	1.71686	1.72314	1.71404	1.71508	91704	0	1
2024.04.18	1.71503	1.71652	1.71127	1.71168	81680	0	1
2024.04.19	1.71158	1.71422	1.69962	1.70047	102987	0	1
2024.04.22	1.70060	1.70100	1.68842	1.69158	69096	0	1
2024.04.23	1.69022	1.70228	1.68946	1.70047	77683	0	1
2024.04.24	1.69938	1.70782	1.69836	1.70751	82609	0	1
2024.04.25	1.70635	1.71282	1.70345	1.70851	95169	0	1
2024.04.26	1.70801	1.71023	1.70418	1.70746	78172	0	1
2024.04.29	1.70560	1.71630	1.70182	1.71594	86758	0	1
2024.04.30	1.71603	1.72230	1.71305	1.72071	95592	0	1
2024.05.01	1.72063	1.72163	1.71658	1.72075	94970	0	1
2024.05.02	1.72086	1.72141	1.71040	1.71344	107907	0	2
2024.05.03	1.71192	1.71967	1.71119	1.71673	109026	0	1
2024.05.06	1.71540	1.72095	1.71321	1.71647	70748	0	1
2024.05.07	1.71646	1.71969	1.71397	1.71648	80572	0	1
2024.05.08	1.71633	1.71855	1.71346	1.71448	73231	0	1
2024.05.09	1.71308	1.71528	1.70820	1.71244	74120	0	1
2024.05.10	1.71124	1.71543	1.70634	1.71216	65965	0	1
2024.05.13	1.71208	1.71795	1.70915	1.71606	70983	0	1
2024.05.14	1.71550	1.71942	1.71103	1.71851	77845	0	1
2024.05.15	1.71699	1.72584	1.71613	1.72516	76281	0	1
2024.05.16	1.72397	1.72731	1.72307	1.72493	72092	0	1
2024.05.17	1.72332	1.73008	1.72116	1.72850	64387	0	5
2024.05.20	1.72770	1.73222	1.72657	1.73087	53262	0	2
2024.05.21	1.72976	1.73686	1.72976	1.73505	62129	0	5
2024.05.22	1.73419	1.74168	1.73147	1.74117	73190	0	6
2024.05.23	1.73972	1.74370	1.73720	1.74294	80072	0	8
2024.05.24	1.74165	1.74502	1.73845	1.74014	64300	0	1
2024.05.27	1.74030	1.74205	1.73873	1.74032	42137	0	1
2024.05.28	1.73946	1.74385	1.73892	1.74106	74822	0	12
2024.05.29	1.73999	1.74400	1.73915	1.74187	87191	0	3
2024.05.30	1.74097	1.74470	1.73971	1.74126	87609	0	11
2024.05.31	1.74155	1.74197	1.73267	1.73599	103309	0	17
2024.06.03	1.73600	1.74618	1.73351	1.74498	102673	0	16
2024.06.04	1.74495	1.75028	1.74355	1.74601	109197	0	1
2024.06.05	1.74599	1.75314	1.74470	1.75057	90690	0	1
2024.06.06	1.75069	1.75156	1.74752	1.74752	87314	0	4
2024.06.07	1.74763	1.75198	1.74481	1.75010	101452	0	12
2024.06.10	1.75052	1.75257	1.74782	1.75115	92686	0	4
2024.06.11	1.75105	1.75573	1.74920	1.75244	96436	0	3
2024.06.12	1.75122	1.76026	1.75082	1.75596	101048	0	1
2024.06.13	1.75597	1.75777	1.75197	1.75349	98899	0	3
2024.06.14	1.75310	1.75369	1.74120	1.74146	109420	0	1
2024.06.17	1.74200	1.74498	1.73987	1.74302	87379	0	4
2024.06.18	1.74142	1.74465	1.74013	1.74295	95951	0	8
2024.06.19	1.74276	1.74662	1.74083	1.74233	66362	0	2
2024.06.20	1.74178	1.74380	1.73203	1.73210	93290	0	12
2024.06.21	1.73087	1.73300	1.72909	1.73018	89228	0	6
2024.06.24	1.72906	1.73459	1.72864	1.73097	92719	0	8
2024.06.25	1.73218	1.73462	1.72667	1.73222	88182	0	3
2024.06.26	1.73229	1.73318	1.72775	1.72900	95776	0	8
2024.06.27	1.72908	1.73367	1.72755	1.73135	95211	0	9
2024.06.28	1.73066	1.73461	1.72753	1.72949	107214	0	9
2024.07.01	1.72884	1.73912	1.72726	1.73732	94156	0	10
2024.07.02	1.73672	1.73896	1.73342	1.73471	91468	0	10
2024.07.03	1.73357	1.74043	1.73357	1.73732	82287	0	10
2024.07.04	1.73691	1.73867	1.73521	1.73599	57277	0	11
2024.07.05	1.73617	1.74813	1.73583	1.74784	89574	0	10
2024.07.08	1.74550	1.75173	1.74469	1.74577	84828	0	8
2024.07.09	1.74526	1.74907	1.74246	1.74317	87443	0	9
2024.07.10	1.74300	1.75014	1.74230	1.74970	79115	0	10
2024.07.11	1.74868	1.76138	1.74860	1.76032	96161	0	9
2024.07.12	1.75971	1.77101	1.75788	1.77085	101701	0	10
2024.07.15	1.76859	1.77462	1.76770	1.77402	99475	0	8
2024.07.16	1.77388	1.77569	1.77024	1.77371	97794	0	8
2024.07.17	1.77250	1.78267	1.77209	1.77978	107000	0	9
2024.07.18	1.77902	1.78015	1.77363	1.77392	109348	0	10
2024.07.19	1.77299	1.77663	1.76957	1.77223	104137	0	10
2024.07.22	1.77137	1.77922	1.77105	1.77891	100584	0	10
2024.07.23	1.77764	1.77976	1.77391	1.77900	94299	0	9
2024.07.24	1.77787	1.78515	1.77610	1.78192	102277	0	10
2024.07.25	1.78093	1.78446	1.77590	1.77626	122060	0	9
2024.07.26	1.77629	1.78154	1.77571	1.78009	95322	0	10
2024.07.29	1.77817	1.78224	1.77262	1.78144	96326	0	10
