<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.71390	1.71420	1.71016	1.71374	7876	0	46
2024.03.01	04:00:00	1.71375	1.71406	1.71281	1.71319	5640	0	46
2024.03.01	08:00:00	1.71317	1.71727	1.71307	1.71456	12592	0	29
2024.03.01	12:00:00	1.71458	1.71641	1.71296	1.71560	16936	0	29
2024.03.01	16:00:00	1.71557	1.71674	1.71232	1.71511	25571	0	28
2024.03.01	20:00:00	1.71504	1.71674	1.71472	1.71542	11379	0	37
2024.03.04	00:00:00	1.71450	1.71658	1.71317	1.71650	6742	0	47
2024.03.04	04:00:00	1.71651	1.71770	1.71630	1.71733	4700	0	1
2024.03.04	08:00:00	1.71732	1.71936	1.71715	1.71914	11427	0	29
2024.03.04	12:00:00	1.71912	1.72090	1.71825	1.71966	13438	0	27
2024.03.04	16:00:00	1.71964	1.72328	1.71916	1.72278	18747	0	37
2024.03.04	20:00:00	1.72274	1.72348	1.72166	1.72228	8900	0	37
2024.03.05	00:00:00	1.72123	1.72318	1.72042	1.72219	4987	0	12
2024.03.05	04:00:00	1.72220	1.72307	1.72193	1.72277	5904	0	46
2024.03.05	08:00:00	1.72277	1.72427	1.72242	1.72350	12093	0	29
2024.03.05	12:00:00	1.72342	1.72472	1.72164	1.72428	13253	0	27
2024.03.05	16:00:00	1.72429	1.72761	1.72222	1.72547	23529	0	39
2024.03.05	20:00:00	1.72546	1.72721	1.72478	1.72665	13856	0	49
2024.03.06	00:00:00	1.72476	1.72684	1.72417	1.72425	6276	0	49
2024.03.06	04:00:00	1.72425	1.72562	1.72425	1.72528	5778	0	3
2024.03.06	08:00:00	1.72527	1.72911	1.72508	1.72873	11910	0	30
2024.03.06	12:00:00	1.72862	1.72879	1.72529	1.72587	14889	0	28
2024.03.06	16:00:00	1.72588	1.72635	1.71954	1.72087	24166	0	28
2024.03.06	20:00:00	1.72094	1.72254	1.71933	1.72006	15647	0	37
2024.03.07	00:00:00	1.71978	1.72145	1.71762	1.72022	8412	0	44
2024.03.07	04:00:00	1.72022	1.72131	1.71981	1.72019	7548	0	46
2024.03.07	08:00:00	1.72019	1.72204	1.71945	1.72185	14202	0	36
2024.03.07	12:00:00	1.72175	1.72269	1.71914	1.71943	17465	0	28
2024.03.07	16:00:00	1.71944	1.72393	1.71916	1.72284	24264	0	39
