<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.11628	1.12160	1.11465	1.11748	93314	0	32
2024.03.04	1.11748	1.12459	1.11551	1.12278	79833	0	32
2024.03.05	1.12278	1.12439	1.12072	1.12207	77749	0	2
2024.03.06	1.12196	1.12654	1.11979	1.12265	84396	0	19
2024.03.07	1.12265	1.12475	1.12049	1.12392	86862	0	32
2024.03.08	1.12364	1.12871	1.12153	1.12647	92296	0	32
2024.03.11	1.12696	1.12825	1.12364	1.12389	78882	0	7
2024.03.12	1.12375	1.12470	1.11943	1.12206	80240	0	7
2024.03.13	1.12208	1.12455	1.11994	1.12433	72766	0	5
2024.03.14	1.12428	1.12757	1.12214	1.12676	83120	0	3
2024.03.15	1.12674	1.12733	1.12424	1.12517	73717	0	1
2024.03.18	1.12451	1.13051	1.12303	1.12980	70526	0	2
2024.03.19	1.12960	1.13038	1.12457	1.12947	81844	0	9
2024.03.20	1.12903	1.13442	1.12753	1.13359	79473	0	2
2024.03.21	1.13349	1.14563	1.13095	1.13578	102351	0	15
2024.03.22	1.13592	1.13777	1.12928	1.13026	78229	0	3
2024.03.25	1.13026	1.13642	1.12828	1.13632	62526	0	2
2024.03.26	1.13605	1.14285	1.13478	1.14123	70768	0	7
2024.03.27	1.14063	1.14490	1.13935	1.14213	68899	0	1
2024.03.28	1.14191	1.14362	1.13710	1.13781	79926	0	4
2024.03.29	1.13770	1.13966	1.13573	1.13635	51222	0	31
2024.04.01	1.13663	1.13979	1.13425	1.13462	58377	0	4
2024.04.02	1.13447	1.14222	1.13350	1.14174	71730	0	1
2024.04.03	1.14161	1.14357	1.14018	1.14213	74171	0	4
2024.04.04	1.14211	1.14832	1.13849	1.13923	70054	0	2
2024.04.05	1.13913	1.14268	1.13543	1.13902	78883	0	33
2024.04.08	1.13897	1.14606	1.13494	1.14548	76663	0	7
2024.04.09	1.14544	1.14627	1.14309	1.14519	63148	0	4
2024.04.10	1.14512	1.14786	1.14286	1.14444	82551	0	2
2024.04.11	1.14443	1.14813	1.13896	1.14203	90909	0	1
2024.04.12	1.14203	1.14272	1.13192	1.13674	89623	0	1
2024.04.15	1.13677	1.14112	1.13202	1.13434	94593	0	4
2024.04.16	1.13420	1.13804	1.13303	1.13427	94746	0	1
2024.04.17	1.13408	1.13705	1.13150	1.13400	89152	0	1
2024.04.18	1.13398	1.13608	1.13151	1.13436	75379	0	1
2024.04.19	1.13402	1.13518	1.11659	1.12518	109312	0	1
2024.04.22	1.12519	1.12930	1.12109	1.12606	73376	0	48
2024.04.23	1.12606	1.13522	1.12377	1.13501	77623	0	2
2024.04.24	1.13479	1.14069	1.13229	1.14023	69072	0	2
2024.04.25	1.14020	1.14339	1.13717	1.14125	84796	0	3
2024.04.26	1.14126	1.14253	1.13823	1.14190	85276	0	1
2024.04.29	1.14192	1.14546	1.13714	1.14350	91344	0	1
2024.04.30	1.14300	1.14925	1.14134	1.14829	85957	0	5
2024.05.01	1.14820	1.15101	1.14484	1.14666	81272	0	1
2024.05.02	1.14577	1.14904	1.13812	1.14108	97400	0	48
2024.05.03	1.14099	1.14135	1.13410	1.13502	93897	0	1
2024.05.06	1.13502	1.13931	1.13299	1.13820	64986	0	3
2024.05.07	1.13623	1.13947	1.13502	1.13599	63970	0	1
2024.05.08	1.13589	1.13614	1.13265	1.13452	62107	0	4
