<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.11628	1.11693	1.11465	1.11687	8726	0	32
2024.03.01	04:00:00	1.11690	1.11707	1.11643	1.11699	6924	0	52
2024.03.01	08:00:00	1.11699	1.12052	1.11677	1.11772	19073	0	48
2024.03.01	12:00:00	1.11772	1.12160	1.11725	1.12110	20412	0	48
2024.03.01	16:00:00	1.12112	1.12127	1.11795	1.11852	26951	0	48
2024.03.01	20:00:00	1.11852	1.11917	1.11685	1.11748	11228	0	48
2024.03.04	00:00:00	1.11748	1.11843	1.11551	1.11827	8754	0	48
2024.03.04	04:00:00	1.11827	1.11848	1.11738	1.11801	6418	0	32
2024.03.04	08:00:00	1.11801	1.11865	1.11586	1.11857	17373	0	49
2024.03.04	12:00:00	1.11857	1.12295	1.11854	1.12104	18407	0	48
2024.03.04	16:00:00	1.12106	1.12459	1.12092	1.12253	19275	0	48
2024.03.04	20:00:00	1.12252	1.12320	1.12193	1.12278	9606	0	48
2024.03.05	00:00:00	1.12278	1.12358	1.12072	1.12350	5248	0	32
2024.03.05	04:00:00	1.12350	1.12357	1.12258	1.12295	5437	0	2
2024.03.05	08:00:00	1.12295	1.12361	1.12193	1.12345	15818	0	50
2024.03.05	12:00:00	1.12345	1.12434	1.12288	1.12334	16788	0	48
2024.03.05	16:00:00	1.12335	1.12439	1.12256	1.12298	22403	0	48
2024.03.05	20:00:00	1.12298	1.12301	1.12152	1.12207	12055	0	51
2024.03.06	00:00:00	1.12196	1.12321	1.11979	1.12291	5928	0	31
2024.03.06	04:00:00	1.12291	1.12335	1.12267	1.12328	7230	0	34
2024.03.06	08:00:00	1.12327	1.12654	1.12286	1.12574	16709	0	19
2024.03.06	12:00:00	1.12575	1.12649	1.12392	1.12405	18320	0	48
2024.03.06	16:00:00	1.12405	1.12439	1.12227	1.12367	23810	0	48
2024.03.06	20:00:00	1.12370	1.12409	1.12221	1.12265	12399	0	48
2024.03.07	00:00:00	1.12265	1.12343	1.12129	1.12223	7969	0	32
2024.03.07	04:00:00	1.12223	1.12287	1.12193	1.12257	7168	0	49
2024.03.07	08:00:00	1.12256	1.12312	1.12176	1.12278	17598	0	49
2024.03.07	12:00:00	1.12278	1.12359	1.12049	1.12110	18841	0	48
2024.03.07	16:00:00	1.12108	1.12428	1.12075	1.12375	25445	0	48
2024.03.07	20:00:00	1.12378	1.12475	1.12305	1.12392	9841	0	49
2024.03.08	00:00:00	1.12364	1.12414	1.12153	1.12356	6963	0	32
2024.03.08	04:00:00	1.12355	1.12385	1.12333	1.12350	7389	0	50
2024.03.08	08:00:00	1.12350	1.12417	1.12267	1.12405	16264	0	48
2024.03.08	12:00:00	1.12412	1.12652	1.12329	1.12547	20860	0	48
2024.03.08	16:00:00	1.12548	1.12871	1.12534	1.12625	30512	0	48
2024.03.08	20:00:00	1.12623	1.12823	1.12611	1.12647	10308	0	48
2024.03.11	00:00:00	1.12696	1.12825	1.12636	1.12760	6878	0	7
2024.03.11	04:00:00	1.12760	1.12783	1.12701	1.12773	7144	0	49
2024.03.11	08:00:00	1.12773	1.12786	1.12400	1.12415	15501	0	50
2024.03.11	12:00:00	1.12415	1.12661	1.12390	1.12541	19585	0	50
2024.03.11	16:00:00	1.12541	1.12736	1.12403	1.12462	21191	0	48
2024.03.11	20:00:00	1.12463	1.12490	1.12364	1.12389	8583	0	51
2024.03.12	00:00:00	1.12375	1.12457	1.12218	1.12424	4894	0	7
2024.03.12	04:00:00	1.12425	1.12470	1.12387	1.12410	8698	0	51
2024.03.12	08:00:00	1.12410	1.12434	1.11993	1.12048	14588	0	48
2024.03.12	12:00:00	1.12048	1.12158	1.11943	1.12019	19013	0	48
2024.03.12	16:00:00	1.12019	1.12275	1.12011	1.12179	23972	0	49
2024.03.12	20:00:00	1.12180	1.12312	1.12157	1.12206	9075	0	51
2024.03.13	00:00:00	1.12208	1.12272	1.11994	1.12233	3324	0	5
2024.03.13	04:00:00	1.12233	1.12275	1.12223	1.12252	6555	0	51
2024.03.13	08:00:00	1.12252	1.12389	1.12136	1.12363	12641	0	48
2024.03.13	12:00:00	1.12363	1.12390	1.12224	1.12289	17688	0	50
2024.03.13	16:00:00	1.12290	1.12358	1.12140	1.12305	21228	0	48
2024.03.13	20:00:00	1.12306	1.12455	1.12267	1.12433	11330	0	48
2024.03.14	00:00:00	1.12428	1.12526	1.12214	1.12418	5210	0	3
2024.03.14	04:00:00	1.12418	1.12473	1.12388	1.12458	7501	0	48
2024.03.14	08:00:00	1.12458	1.12720	1.12455	1.12669	12241	0	49
2024.03.14	12:00:00	1.12669	1.12757	1.12319	1.12530	18485	0	50
2024.03.14	16:00:00	1.12530	1.12619	1.12455	1.12563	27605	0	48
2024.03.14	20:00:00	1.12563	1.12688	1.12562	1.12676	12078	0	51
2024.03.15	00:00:00	1.12674	1.12733	1.12562	1.12667	6823	0	1
2024.03.15	04:00:00	1.12667	1.12691	1.12612	1.12682	6242	0	50
2024.03.15	08:00:00	1.12684	1.12732	1.12588	1.12612	14287	0	48
2024.03.15	12:00:00	1.12610	1.12691	1.12424	1.12500	16400	0	48
2024.03.15	16:00:00	1.12500	1.12585	1.12429	1.12521	20188	0	48
2024.03.15	20:00:00	1.12521	1.12582	1.12451	1.12517	9777	0	49
2024.03.18	00:00:00	1.12451	1.12499	1.12303	1.12468	8712	0	50
2024.03.18	04:00:00	1.12468	1.12483	1.12385	1.12462	7238	0	50
2024.03.18	08:00:00	1.12462	1.12662	1.12441	1.12592	11435	0	2
2024.03.18	12:00:00	1.12591	1.12617	1.12368	1.12522	15103	0	49
2024.03.18	16:00:00	1.12521	1.12866	1.12521	1.12850	18193	0	48
2024.03.18	20:00:00	1.12851	1.13051	1.12812	1.12980	9845	0	48
2024.03.19	00:00:00	1.12960	1.12998	1.12679	1.12979	7783	0	9
2024.03.19	04:00:00	1.12977	1.13020	1.12913	1.12952	12210	0	50
2024.03.19	08:00:00	1.12952	1.12999	1.12547	1.12572	18171	0	50
2024.03.19	12:00:00	1.12572	1.12779	1.12457	1.12625	18573	0	48
2024.03.19	16:00:00	1.12626	1.13010	1.12596	1.12986	17035	0	48
2024.03.19	20:00:00	1.12984	1.13038	1.12936	1.12947	8072	0	15
2024.03.20	00:00:00	1.12903	1.12997	1.12753	1.12980	5812	0	2
2024.03.20	04:00:00	1.12980	1.13094	1.12980	1.13073	6744	0	50
2024.03.20	08:00:00	1.13073	1.13147	1.12902	1.13050	13467	0	48
2024.03.20	12:00:00	1.13047	1.13209	1.12962	1.13012	13971	0	48
2024.03.20	16:00:00	1.13012	1.13303	1.12993	1.13265	14722	0	48
2024.03.20	20:00:00	1.13265	1.13442	1.13141	1.13359	24757	0	48
2024.03.21	00:00:00	1.13349	1.13378	1.13213	1.13213	11074	0	15
2024.03.21	04:00:00	1.13216	1.13241	1.13095	1.13203	10147	0	48
2024.03.21	08:00:00	1.13203	1.14563	1.13120	1.14205	19105	0	48
2024.03.21	12:00:00	1.14210	1.14512	1.13620	1.13914	24772	0	48
