<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	189.316	190.378	189.012	189.816	124298	0	30
2024.03.04	189.635	191.174	189.635	191.020	95267	0	30
2024.03.05	191.018	191.050	190.298	190.597	100874	0	30
2024.03.06	190.569	190.671	189.839	190.119	114652	0	30
2024.03.07	190.036	190.174	188.220	189.611	133463	0	30
2024.03.08	189.493	189.699	188.371	189.022	139829	0	30
2024.03.11	188.888	189.117	187.947	188.271	109369	0	30
2024.03.12	188.176	189.187	187.911	188.863	121268	0	30
2024.03.13	188.863	189.529	188.399	189.064	110673	0	25
2024.03.14	189.025	189.501	188.575	189.149	120192	0	17
2024.03.15	189.144	190.009	188.572	189.702	106414	0	24
2024.03.18	189.702	190.138	189.522	189.831	86567	0	21
2024.03.19	189.722	192.150	189.585	191.878	118752	0	19
2024.03.20	191.830	193.519	191.773	193.364	114422	0	23
2024.03.21	193.345	193.492	191.828	191.891	139522	0	25
2024.03.22	191.855	192.224	190.374	190.778	112949	0	25
2024.03.25	190.778	191.550	190.324	191.312	87289	0	18
2024.03.26	191.307	191.663	191.086	191.371	85122	0	11
2024.03.27	191.327	191.516	190.488	191.120	92693	0	16
2024.03.28	191.116	191.305	190.551	191.011	90502	0	16
2024.03.29	191.006	191.203	190.755	190.909	40735	0	22
2024.04.01	190.909	191.336	190.163	190.316	73211	0	24
2024.04.02	190.300	190.703	190.027	190.596	83678	0	29
2024.04.03	190.585	191.921	190.393	191.903	91371	0	22
2024.04.04	191.904	192.231	191.002	191.310	85721	0	26
2024.04.05	191.292	191.617	190.658	191.570	107059	0	30
2024.04.08	191.567	192.177	191.256	192.086	86999	0	20
2024.04.09	191.966	192.837	191.794	192.357	78137	0	19
2024.04.10	192.353	192.896	191.455	192.006	103859	0	16
2024.04.11	191.977	192.565	191.550	192.368	115660	0	30
2024.04.12	192.368	192.386	189.973	190.614	115085	0	19
2024.04.15	190.542	192.697	190.224	191.982	130061	0	23
2024.04.16	191.878	192.793	191.630	192.209	126189	0	23
2024.04.17	192.126	192.825	191.667	192.246	118115	0	17
2024.04.18	192.124	192.771	191.882	192.295	106113	0	20
2024.04.19	192.285	192.712	190.285	191.167	144439	0	13
2024.04.22	191.209	191.683	190.303	191.209	91110	0	30
2024.04.23	191.176	192.833	190.816	192.720	94764	0	20
2024.04.24	192.519	193.618	192.337	193.590	85393	0	15
2024.04.25	193.528	194.934	193.181	194.744	107639	0	20
2024.04.26	194.745	197.909	193.933	197.620	114434	0	21
2024.04.29	197.616	200.519	193.588	196.383	143155	0	30
2024.04.30	196.257	197.364	195.931	197.099	113632	0	26
2024.05.01	197.054	197.408	191.700	193.630	104014	0	22
2024.05.02	193.604	195.743	191.839	192.452	143505	0	30
2024.05.03	192.452	192.642	191.350	191.862	130748	0	30
2024.05.06	191.862	193.652	191.481	193.267	88904	0	24
2024.05.07	193.186	194.117	192.974	193.474	90258	0	19
2024.05.08	193.379	194.498	193.097	194.288	84854	0	25
2024.05.09	194.188	194.844	193.816	194.589	87694	0	26
2024.05.10	194.643	195.324	194.392	195.066	81364	0	22
2024.05.13	195.065	196.262	194.726	196.148	79399	0	21
