<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	189.316	189.950	189.012	189.946	14972	0	30
2024.03.01	04:00:00	189.947	190.020	189.834	189.941	13624	0	30
2024.03.01	08:00:00	189.941	190.378	189.819	190.229	22417	0	30
2024.03.01	12:00:00	190.230	190.291	189.696	190.250	25986	0	30
2024.03.01	16:00:00	190.251	190.267	189.593	190.012	32174	0	30
2024.03.01	20:00:00	190.013	190.079	189.785	189.816	15125	0	30
2024.03.04	00:00:00	189.635	190.111	189.635	190.036	11941	0	33
2024.03.04	04:00:00	190.037	190.325	189.997	190.305	10416	0	31
2024.03.04	08:00:00	190.305	190.629	190.222	190.460	20362	0	30
2024.03.04	12:00:00	190.460	190.779	190.455	190.728	19844	0	30
2024.03.04	16:00:00	190.728	191.174	190.717	191.089	22666	0	30
2024.03.04	20:00:00	191.087	191.095	190.927	191.020	10038	0	30
2024.03.05	00:00:00	191.018	191.050	190.806	190.927	10372	0	30
2024.03.05	04:00:00	190.929	191.015	190.832	190.867	10546	0	30
2024.03.05	08:00:00	190.867	190.902	190.519	190.794	18974	0	30
2024.03.05	12:00:00	190.783	190.845	190.396	190.462	17780	0	30
2024.03.05	16:00:00	190.462	191.022	190.389	190.772	30304	0	30
2024.03.05	20:00:00	190.772	190.772	190.298	190.597	12898	0	30
2024.03.06	00:00:00	190.569	190.633	190.291	190.414	11282	0	30
2024.03.06	04:00:00	190.413	190.500	190.324	190.430	11966	0	31
2024.03.06	08:00:00	190.430	190.671	189.839	190.493	22233	0	30
2024.03.06	12:00:00	190.494	190.587	189.990	190.038	24096	0	30
2024.03.06	16:00:00	190.037	190.447	189.942	190.287	29716	0	30
2024.03.06	20:00:00	190.289	190.338	190.119	190.119	15359	0	30
2024.03.07	00:00:00	190.036	190.174	189.125	189.177	18286	0	30
2024.03.07	04:00:00	189.176	189.367	189.033	189.253	14542	0	30
2024.03.07	08:00:00	189.252	189.289	188.232	188.664	26420	0	30
2024.03.07	12:00:00	188.663	188.690	188.220	188.424	26258	0	30
2024.03.07	16:00:00	188.420	189.560	188.387	189.441	33563	0	30
2024.03.07	20:00:00	189.447	189.709	189.430	189.611	14394	0	30
2024.03.08	00:00:00	189.493	189.699	189.101	189.528	15582	0	30
2024.03.08	04:00:00	189.528	189.654	189.276	189.319	15542	0	30
2024.03.08	08:00:00	189.315	189.599	188.371	188.724	26412	0	30
2024.03.08	12:00:00	188.724	189.217	188.516	189.032	27847	0	30
2024.03.08	16:00:00	189.039	189.478	188.885	188.899	37679	0	30
2024.03.08	20:00:00	188.899	189.110	188.761	189.022	16767	0	30
2024.03.11	00:00:00	188.888	189.117	188.572	188.669	12216	0	31
2024.03.11	04:00:00	188.673	188.973	188.441	188.773	16393	0	30
2024.03.11	08:00:00	188.772	188.960	188.197	188.318	21255	0	30
2024.03.11	12:00:00	188.319	188.577	188.133	188.274	21152	0	30
2024.03.11	16:00:00	188.277	188.582	187.947	188.082	25718	0	30
2024.03.11	20:00:00	188.082	188.293	187.971	188.271	12635	0	30
2024.03.12	00:00:00	188.176	188.290	187.911	188.217	10494	0	31
2024.03.12	04:00:00	188.219	189.012	188.219	188.924	17693	0	30
2024.03.12	08:00:00	188.924	189.187	188.211	188.357	23774	0	30
2024.03.12	12:00:00	188.356	189.032	188.309	188.553	25469	0	30
2024.03.12	16:00:00	188.554	188.918	188.447	188.725	29437	0	30
2024.03.12	20:00:00	188.725	188.941	188.661	188.863	14401	0	30
2024.03.13	00:00:00	188.863	188.907	188.533	188.535	9107	0	25
2024.03.13	04:00:00	188.535	188.754	188.399	188.738	14662	0	30
2024.03.13	08:00:00	188.735	189.193	188.564	189.153	22051	0	30
2024.03.13	12:00:00	189.155	189.529	188.920	189.353	23657	0	30
2024.03.13	16:00:00	189.350	189.395	188.935	189.012	25674	0	30
2024.03.13	20:00:00	189.012	189.182	188.794	189.064	15522	0	30
2024.03.14	00:00:00	189.025	189.071	188.770	188.903	9266	0	25
2024.03.14	04:00:00	188.903	189.228	188.848	189.190	15786	0	17
2024.03.14	08:00:00	189.190	189.427	189.130	189.354	19888	0	30
2024.03.14	12:00:00	189.353	189.501	188.898	189.158	23183	0	30
2024.03.14	16:00:00	189.159	189.288	188.575	188.905	36521	0	30
2024.03.14	20:00:00	188.906	189.164	188.870	189.149	15548	0	30
2024.03.15	00:00:00	189.144	189.160	188.947	189.053	10761	0	24
2024.03.15	04:00:00	189.053	189.260	188.830	188.915	13576	0	30
2024.03.15	08:00:00	188.916	189.642	188.572	189.418	22149	0	30
2024.03.15	12:00:00	189.414	189.739	189.380	189.658	21451	0	30
2024.03.15	16:00:00	189.659	190.009	189.645	189.790	27237	0	30
2024.03.15	20:00:00	189.783	189.896	189.634	189.702	11240	0	30
2024.03.18	00:00:00	189.702	190.043	189.573	190.031	8785	0	21
2024.03.18	04:00:00	190.041	190.104	189.641	189.830	12278	0	30
2024.03.18	08:00:00	189.829	190.138	189.808	190.050	16106	0	30
2024.03.18	12:00:00	190.048	190.108	189.817	189.975	17000	0	30
2024.03.18	16:00:00	189.975	190.041	189.681	189.781	20534	0	30
2024.03.18	20:00:00	189.783	189.857	189.522	189.831	11864	0	25
2024.03.19	00:00:00	189.722	189.882	189.637	189.780	9420	0	19
2024.03.19	04:00:00	189.780	190.800	189.585	190.708	20998	0	25
2024.03.19	08:00:00	190.708	191.185	190.558	190.755	29419	0	30
2024.03.19	12:00:00	190.754	191.215	190.705	191.097	25233	0	30
2024.03.19	16:00:00	191.095	192.079	191.040	192.066	23400	0	30
2024.03.19	20:00:00	192.055	192.150	191.874	191.878	10282	0	22
2024.03.20	00:00:00	191.830	192.366	191.773	192.214	9829	0	23
2024.03.20	04:00:00	192.222	192.747	192.185	192.657	14215	0	30
2024.03.20	08:00:00	192.655	192.838	192.278	192.377	21067	0	30
2024.03.20	12:00:00	192.374	192.643	192.350	192.626	18700	0	30
2024.03.20	16:00:00	192.626	192.829	192.517	192.812	19107	0	30
2024.03.20	20:00:00	192.812	193.519	192.418	193.364	31504	0	30
2024.03.21	00:00:00	193.345	193.427	192.595	192.693	17366	0	25
2024.03.21	04:00:00	192.693	192.847	192.333	192.810	21748	0	30
2024.03.21	08:00:00	192.810	193.492	192.805	192.961	26600	0	30
2024.03.21	12:00:00	192.974	193.191	192.230	192.499	28882	0	30
2024.03.21	16:00:00	192.505	192.591	191.856	192.098	32459	0	30
2024.03.21	20:00:00	192.098	192.196	191.828	191.891	12467	0	30
2024.03.22	00:00:00	191.855	192.061	191.783	192.022	8596	0	25
2024.03.22	04:00:00	192.024	192.224	191.439	191.620	20882	0	30
2024.03.22	08:00:00	191.620	191.661	190.485	190.810	23321	0	30
2024.03.22	12:00:00	190.811	190.954	190.374	190.810	22222	0	30
