<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	2.07333	2.07636	2.06720	2.07004	70712	0	53
2024.03.04	2.06887	2.08338	2.06879	2.08004	55735	0	48
2024.03.05	2.08003	2.08841	2.07770	2.08568	70836	0	53
2024.03.06	2.08574	2.09113	2.07509	2.07515	71458	0	51
2024.03.07	2.07390	2.07831	2.06616	2.07312	76402	0	52
2024.03.08	2.07146	2.08205	2.07109	2.08007	76869	0	52
2024.03.11	2.07829	2.08275	2.07486	2.07584	65602	0	25
2024.03.12	2.07607	2.08080	2.06964	2.07946	75174	0	27
2024.03.13	2.07772	2.08151	2.07304	2.07781	69487	0	27
2024.03.14	2.07766	2.08189	2.07247	2.07974	74020	0	27
2024.03.15	2.07930	2.09320	2.07771	2.09222	67825	0	15
2024.03.18	2.08845	2.09379	2.08765	2.09108	58110	0	22
2024.03.19	2.08674	2.10306	2.08597	2.10147	68038	0	23
2024.03.20	2.10048	2.10655	2.09857	2.10211	67873	0	20
2024.03.21	2.10186	2.10812	2.09292	2.09330	76299	0	19
2024.03.22	2.09323	2.10284	2.09207	2.10185	68456	0	27
2024.03.25	2.09614	2.10659	2.09495	2.10446	57660	0	24
2024.03.26	2.10252	2.10685	2.09904	2.10271	60991	0	19
2024.03.27	2.10260	2.10621	2.10055	2.10484	61197	0	11
2024.03.28	2.10308	2.11718	2.10051	2.11310	61677	0	16
2024.03.29	2.11298	2.11523	2.10710	2.10777	22888	0	34
2024.04.01	2.10751	2.11370	2.10588	2.10774	53951	0	29
2024.04.02	2.10700	2.11115	2.10478	2.10589	63775	0	21
2024.04.03	2.10533	2.11135	2.10246	2.10507	64406	0	26
2024.04.04	2.10360	2.10564	2.09432	2.09762	61669	0	26
2024.04.05	2.09712	2.10198	2.09444	2.10135	71332	0	26
2024.04.08	2.09841	2.10322	2.09418	2.09764	65394	0	26
2024.04.09	2.09568	2.09800	2.08999	2.09171	62898	0	26
2024.04.10	2.08987	2.09955	2.08545	2.09837	95340	0	26
2024.04.11	2.09562	2.09867	2.08992	2.09238	104397	0	27
2024.04.12	2.09056	2.09758	2.08883	2.09649	108217	0	28
2024.04.15	2.09370	2.10929	2.08883	2.10737	109639	0	29
2024.04.16	2.10431	2.12016	2.10431	2.11232	111055	0	31
2024.04.17	2.11043	2.11918	2.10281	2.10442	114358	0	29
2024.04.18	2.10130	2.10820	2.10110	2.10661	97589	0	29
2024.04.19	2.10531	2.11683	2.09920	2.10036	124098	0	12
2024.04.22	2.10140	2.10140	2.08344	2.08596	90941	0	26
2024.04.23	2.08620	2.09885	2.08301	2.09786	90946	0	9
2024.04.24	2.09804	2.10035	2.09210	2.09898	89650	0	26
2024.04.25	2.09898	2.10545	2.09572	2.10320	100274	0	8
2024.04.26	2.10120	2.10397	2.09503	2.10284	95151	0	27
2024.04.29	2.09600	2.10482	2.09191	2.10098	87581	0	17
2024.04.30	2.10106	2.12175	2.09647	2.12135	83666	0	6
2024.05.01	2.11956	2.12567	2.11053	2.11220	85075	0	21
2024.05.02	2.11208	2.11665	2.10049	2.10194	99195	0	29
2024.05.03	2.09904	2.10369	2.08238	2.08685	93111	0	20
2024.05.06	2.08510	2.09222	2.07977	2.09000	64041	0	24
2024.05.07	2.09000	2.09108	2.08328	2.08366	75043	0	15
2024.05.08	2.08258	2.08676	2.07952	2.08104	79366	0	24
2024.05.09	2.07789	2.08378	2.07461	2.07485	86280	0	27
2024.05.10	2.07222	2.08328	2.07137	2.08022	95746	0	27
2024.05.13	2.07854	2.08783	2.07458	2.08682	88387	0	26
2024.05.14	2.08584	2.08904	2.07707	2.08397	107163	0	25
2024.05.15	2.08145	2.08454	2.07048	2.07153	97769	0	25
2024.05.16	2.07037	2.07493	2.06722	2.06893	96679	0	14
2024.05.17	2.06679	2.07297	2.06679	2.07013	82829	0	14
2024.05.20	2.06950	2.08247	2.06547	2.08075	69328	0	14
2024.05.21	2.07781	2.08621	2.07737	2.08584	89009	0	14
2024.05.22	2.08359	2.08941	2.06743	2.08548	108416	0	14
2024.05.23	2.08221	2.08663	2.07560	2.08162	113090	0	14
2024.05.24	2.07798	2.08459	2.07792	2.08046	93072	0	14
2024.05.27	2.07940	2.08131	2.07374	2.07441	62125	0	14
