<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	2.07333	2.07564	2.06878	2.07260	8464	0	54
2024.03.01	04:00:00	2.07258	2.07365	2.07139	2.07274	8827	0	54
2024.03.01	08:00:00	2.07275	2.07636	2.07168	2.07291	13323	0	53
2024.03.01	12:00:00	2.07301	2.07578	2.07023	2.07478	14929	0	54
2024.03.01	16:00:00	2.07479	2.07492	2.06720	2.07268	16634	0	53
2024.03.01	20:00:00	2.07265	2.07421	2.07000	2.07004	8535	0	54
2024.03.04	00:00:00	2.06887	2.07638	2.06879	2.07601	5759	0	54
2024.03.04	04:00:00	2.07601	2.07712	2.07483	2.07656	4559	0	50
2024.03.04	08:00:00	2.07656	2.07986	2.07486	2.07616	10559	0	48
2024.03.04	12:00:00	2.07612	2.08046	2.07530	2.07947	12409	0	48
2024.03.04	16:00:00	2.07947	2.08268	2.07829	2.08244	14970	0	53
2024.03.04	20:00:00	2.08227	2.08338	2.08004	2.08004	7479	0	54
2024.03.05	00:00:00	2.08003	2.08330	2.07770	2.08238	7735	0	54
2024.03.05	04:00:00	2.08235	2.08499	2.08164	2.08498	9179	0	54
2024.03.05	08:00:00	2.08501	2.08841	2.08439	2.08785	13694	0	53
2024.03.05	12:00:00	2.08775	2.08778	2.08396	2.08554	13612	0	53
2024.03.05	16:00:00	2.08554	2.08826	2.08377	2.08650	17171	0	53
2024.03.05	20:00:00	2.08638	2.08823	2.08533	2.08568	9445	0	53
2024.03.06	00:00:00	2.08574	2.09113	2.08240	2.08815	8194	0	54
2024.03.06	04:00:00	2.08813	2.08820	2.08344	2.08434	8063	0	54
2024.03.06	08:00:00	2.08434	2.08711	2.08303	2.08567	13028	0	54
2024.03.06	12:00:00	2.08567	2.08651	2.07977	2.08058	13397	0	52
2024.03.06	16:00:00	2.08057	2.08116	2.07635	2.07768	18017	0	51
2024.03.06	20:00:00	2.07767	2.07866	2.07509	2.07515	10759	0	52
2024.03.07	00:00:00	2.07390	2.07831	2.07267	2.07563	9931	0	54
2024.03.07	04:00:00	2.07565	2.07683	2.07091	2.07309	10984	0	53
2024.03.07	08:00:00	2.07312	2.07330	2.06858	2.07103	14690	0	53
2024.03.07	12:00:00	2.07103	2.07155	2.06616	2.06783	14406	0	53
2024.03.07	16:00:00	2.06786	2.07379	2.06779	2.07247	17302	0	52
2024.03.07	20:00:00	2.07247	2.07489	2.07212	2.07312	9089	0	52
2024.03.08	00:00:00	2.07146	2.07820	2.07146	2.07656	8021	0	52
2024.03.08	04:00:00	2.07660	2.07734	2.07360	2.07367	10067	0	54
2024.03.08	08:00:00	2.07364	2.07491	2.07109	2.07375	13801	0	53
2024.03.08	12:00:00	2.07375	2.07746	2.07247	2.07525	15320	0	53
2024.03.08	16:00:00	2.07528	2.08205	2.07460	2.07997	19573	0	53
2024.03.08	20:00:00	2.08000	2.08159	2.07954	2.08007	10087	0	54
2024.03.11	00:00:00	2.07829	2.08202	2.07591	2.08117	7556	0	25
2024.03.11	04:00:00	2.08119	2.08248	2.07962	2.08154	7945	0	54
2024.03.11	08:00:00	2.08151	2.08275	2.07879	2.08031	11154	0	54
2024.03.11	12:00:00	2.08031	2.08102	2.07707	2.07876	13116	0	54
2024.03.11	16:00:00	2.07875	2.08097	2.07488	2.07514	16249	0	53
2024.03.11	20:00:00	2.07508	2.07735	2.07486	2.07584	9582	0	31
2024.03.12	00:00:00	2.07607	2.07849	2.07320	2.07799	7041	0	53
2024.03.12	04:00:00	2.07797	2.07911	2.07564	2.07696	11218	0	54
2024.03.12	08:00:00	2.07695	2.07824	2.07213	2.07421	13646	0	54
2024.03.12	12:00:00	2.07432	2.07833	2.06964	2.07209	14625	0	54
2024.03.12	16:00:00	2.07209	2.08080	2.07207	2.07878	18595	0	53
2024.03.12	20:00:00	2.07879	2.08003	2.07837	2.07946	10049	0	27
2024.03.13	00:00:00	2.07772	2.08151	2.07691	2.08076	6384	0	29
2024.03.13	04:00:00	2.08079	2.08141	2.07492	2.07545	9683	0	28
2024.03.13	08:00:00	2.07541	2.07704	2.07304	2.07620	12929	0	29
2024.03.13	12:00:00	2.07623	2.08045	2.07604	2.07955	14070	0	29
2024.03.13	16:00:00	2.07952	2.07978	2.07604	2.07709	16320	0	53
2024.03.13	20:00:00	2.07711	2.07911	2.07592	2.07781	10101	0	27
2024.03.14	00:00:00	2.07766	2.07905	2.07439	2.07533	7738	0	27
2024.03.14	04:00:00	2.07534	2.07769	2.07247	2.07641	9816	0	28
2024.03.14	08:00:00	2.07644	2.07980	2.07577	2.07889	12761	0	50
2024.03.14	12:00:00	2.07888	2.07948	2.07313	2.07724	14082	0	50
2024.03.14	16:00:00	2.07728	2.07961	2.07548	2.07755	19129	0	50
2024.03.14	20:00:00	2.07753	2.08189	2.07753	2.07974	10494	0	28
2024.03.15	00:00:00	2.07930	2.08540	2.07771	2.08540	6724	0	15
2024.03.15	04:00:00	2.08538	2.08866	2.08482	2.08717	9644	0	29
2024.03.15	08:00:00	2.08719	2.09182	2.08593	2.09071	12010	0	29
2024.03.15	12:00:00	2.09062	2.09305	2.08943	2.09079	13446	0	35
2024.03.15	16:00:00	2.09079	2.09252	2.08884	2.09222	16824	0	50
2024.03.15	20:00:00	2.09226	2.09320	2.09126	2.09222	9177	0	29
2024.03.18	00:00:00	2.08845	2.09284	2.08765	2.09197	5262	0	29
2024.03.18	04:00:00	2.09207	2.09289	2.08782	2.08933	8533	0	27
2024.03.18	08:00:00	2.08901	2.09180	2.08852	2.08947	9864	0	26
2024.03.18	12:00:00	2.08946	2.09125	2.08859	2.09067	11754	0	28
2024.03.18	16:00:00	2.09071	2.09304	2.08915	2.09265	14912	0	50
2024.03.18	20:00:00	2.09265	2.09379	2.09103	2.09108	7785	0	22
2024.03.19	00:00:00	2.08674	2.09478	2.08597	2.09373	6320	0	23
2024.03.19	04:00:00	2.09378	2.09762	2.09216	2.09746	11612	0	29
2024.03.19	08:00:00	2.09746	2.10111	2.09722	2.09778	14311	0	50
2024.03.19	12:00:00	2.09777	2.10081	2.09632	2.09808	13781	0	50
2024.03.19	16:00:00	2.09802	2.10238	2.09792	2.10215	13319	0	50
2024.03.19	20:00:00	2.10215	2.10306	2.10060	2.10147	8695	0	24
2024.03.20	00:00:00	2.10048	2.10525	2.09861	2.10284	6373	0	20
2024.03.20	04:00:00	2.10276	2.10546	2.09990	2.10537	8632	0	27
2024.03.20	08:00:00	2.10537	2.10547	2.10090	2.10394	12186	0	30
2024.03.20	12:00:00	2.10396	2.10632	2.10290	2.10465	12248	0	50
2024.03.20	16:00:00	2.10466	2.10655	2.10392	2.10574	12664	0	50
2024.03.20	20:00:00	2.10574	2.10621	2.09857	2.10211	15770	0	28
2024.03.21	00:00:00	2.10186	2.10812	2.09932	2.10095	9505	0	19
2024.03.21	04:00:00	2.10085	2.10159	2.09724	2.09832	11273	0	51
2024.03.21	08:00:00	2.09831	2.09968	2.09420	2.09717	13138	0	29
2024.03.21	12:00:00	2.09718	2.10001	2.09341	2.09643	15780	0	50
2024.03.21	16:00:00	2.09645	2.09833	2.09292	2.09507	17455	0	50
2024.03.21	20:00:00	2.09511	2.09594	2.09295	2.09330	9148	0	27
2024.03.22	00:00:00	2.09323	2.09512	2.09207	2.09462	6230	0	29
2024.03.22	04:00:00	2.09468	2.10284	2.09366	2.10248	12040	0	29
2024.03.22	08:00:00	2.10248	2.10283	2.09491	2.09619	14077	0	50
2024.03.22	12:00:00	2.09621	2.09959	2.09424	2.09932	13798	0	50
2024.03.22	16:00:00	2.09930	2.10178	2.09735	2.10032	15043	0	50
2024.03.22	20:00:00	2.10031	2.10250	2.09927	2.10185	7268	0	27
2024.03.25	00:00:00	2.09614	2.10354	2.09495	2.10130	6271	0	27
2024.03.25	04:00:00	2.10128	2.10228	2.09785	2.10147	9436	0	24
2024.03.25	08:00:00	2.10150	2.10421	2.09936	2.10003	10830	0	29
2024.03.25	12:00:00	2.09997	2.10592	2.09941	2.10524	11476	0	50
