<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.26093	1.26633	1.25985	1.26450	64770	0	2
2024.03.04	1.26495	1.27053	1.26437	1.26880	54705	0	2
2024.03.05	1.26831	1.27335	1.26701	1.27034	63812	0	2
2024.03.06	1.27014	1.27603	1.26891	1.27286	67564	0	2
2024.03.07	1.27321	1.28101	1.27219	1.28061	68202	0	2
2024.03.08	1.28015	1.28925	1.27985	1.28523	71766	0	2
2024.03.11	1.28511	1.28607	1.27938	1.28116	64273	0	2
2024.03.12	1.28021	1.28228	1.27450	1.27911	71140	0	1
2024.03.13	1.27799	1.28104	1.27732	1.27958	65661	0	1
2024.03.14	1.27914	1.28219	1.27297	1.27523	72092	0	1
2024.03.15	1.27483	1.27581	1.27241	1.27317	61776	0	1
2024.03.18	1.27249	1.27458	1.27169	1.27274	46698	0	1
2024.03.19	1.27279	1.27320	1.26667	1.27199	62389	0	1
2024.03.20	1.27180	1.27864	1.26837	1.27845	66278	0	1
2024.03.21	1.27830	1.28027	1.26496	1.26537	74601	0	2
2024.03.22	1.26527	1.26741	1.25743	1.25986	61223	0	1
2024.03.25	1.25870	1.26517	1.25845	1.26355	47488	0	1
2024.03.26	1.26355	1.26669	1.26211	1.26267	50867	0	1
2024.03.27	1.26245	1.26406	1.26047	1.26392	55497	0	1
2024.03.28	1.26322	1.26537	1.25848	1.26224	54555	0	1
2024.03.29	1.26220	1.26445	1.26085	1.26164	22397	0	2
2024.04.01	1.25716	1.26413	1.25387	1.25502	48275	0	1
2024.04.02	1.25483	1.25777	1.25386	1.25763	53397	0	1
2024.04.03	1.25730	1.26549	1.25614	1.26514	60454	0	1
2024.04.04	1.26461	1.26828	1.26342	1.26412	52458	0	1
2024.04.05	1.26385	1.26476	1.25733	1.26371	66937	0	1
2024.04.08	1.26217	1.26634	1.26125	1.26535	56562	0	1
2024.04.09	1.26548	1.27087	1.26336	1.26765	56097	0	1
2024.04.10	1.26745	1.27073	1.25192	1.25390	72669	0	1
2024.04.11	1.25363	1.25777	1.25099	1.25491	76973	0	1
2024.04.12	1.25513	1.25581	1.24258	1.24482	74402	0	1
2024.04.15	1.24451	1.24977	1.24280	1.24450	81695	0	1
2024.04.16	1.24409	1.24711	1.24045	1.24254	83572	0	1
