<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.26093	1.26340	1.26089	1.26332	6133	0	6
2024.03.01	04:00:00	1.26331	1.26353	1.26233	1.26250	5710	0	6
2024.03.01	08:00:00	1.26251	1.26404	1.26240	1.26288	10441	0	2
2024.03.01	12:00:00	1.26290	1.26460	1.26163	1.26295	14904	0	2
2024.03.01	16:00:00	1.26295	1.26585	1.25985	1.26551	19334	0	2
2024.03.01	20:00:00	1.26551	1.26633	1.26444	1.26450	8248	0	4
2024.03.04	00:00:00	1.26495	1.26661	1.26437	1.26587	5614	0	6
2024.03.04	04:00:00	1.26587	1.26666	1.26550	1.26616	4431	0	6
2024.03.04	08:00:00	1.26615	1.26793	1.26600	1.26768	12392	0	2
2024.03.04	12:00:00	1.26768	1.26828	1.26648	1.26767	11576	0	2
2024.03.04	16:00:00	1.26766	1.27053	1.26717	1.26952	13581	0	2
2024.03.04	20:00:00	1.26953	1.26969	1.26845	1.26880	7111	0	4
2024.03.05	00:00:00	1.26831	1.26939	1.26823	1.26891	5409	0	6
2024.03.05	04:00:00	1.26892	1.26906	1.26801	1.26822	6243	0	6
2024.03.05	08:00:00	1.26823	1.26875	1.26701	1.26846	11307	0	2
2024.03.05	12:00:00	1.26845	1.26916	1.26731	1.26901	12424	0	2
2024.03.05	16:00:00	1.26906	1.27335	1.26858	1.27101	19711	0	2
2024.03.05	20:00:00	1.27101	1.27103	1.26950	1.27034	8718	0	4
2024.03.06	00:00:00	1.27014	1.27078	1.26891	1.26917	7024	0	6
2024.03.06	04:00:00	1.26918	1.27063	1.26905	1.27027	6234	0	6
2024.03.06	08:00:00	1.27036	1.27307	1.27016	1.27296	12780	0	2
2024.03.06	12:00:00	1.27296	1.27298	1.27041	1.27232	12575	0	2
2024.03.06	16:00:00	1.27232	1.27603	1.27144	1.27431	17777	0	2
2024.03.06	20:00:00	1.27431	1.27527	1.27242	1.27286	11174	0	4
2024.03.07	00:00:00	1.27321	1.27395	1.27241	1.27292	7894	0	6
2024.03.07	04:00:00	1.27290	1.27398	1.27219	1.27326	7164	0	4
2024.03.07	08:00:00	1.27326	1.27505	1.27283	1.27492	12752	0	2
2024.03.07	12:00:00	1.27491	1.27615	1.27434	1.27510	14647	0	2
2024.03.07	16:00:00	1.27509	1.27971	1.27478	1.27911	18002	0	2
2024.03.07	20:00:00	1.27911	1.28101	1.27908	1.28061	7743	0	4
2024.03.08	00:00:00	1.28015	1.28193	1.27985	1.28082	5714	0	6
2024.03.08	04:00:00	1.28082	1.28113	1.28029	1.28088	5559	0	5
2024.03.08	08:00:00	1.28088	1.28283	1.27999	1.28267	11446	0	2
2024.03.08	12:00:00	1.28267	1.28925	1.28219	1.28628	15935	0	2
2024.03.08	16:00:00	1.28629	1.28854	1.28421	1.28480	22781	0	17
2024.03.08	20:00:00	1.28478	1.28579	1.28390	1.28523	10331	0	4
2024.03.11	00:00:00	1.28511	1.28597	1.28465	1.28550	5754	0	6
2024.03.11	04:00:00	1.28549	1.28607	1.28444	1.28503	5918	0	5
2024.03.11	08:00:00	1.28503	1.28568	1.28305	1.28354	10995	0	2
2024.03.11	12:00:00	1.28353	1.28532	1.28230	1.28230	14355	0	2
2024.03.11	16:00:00	1.28232	1.28290	1.27938	1.28058	16303	0	2
2024.03.11	20:00:00	1.28058	1.28131	1.27987	1.28116	10948	0	4
2024.03.12	00:00:00	1.28021	1.28215	1.27950	1.28155	4497	0	6
2024.03.12	04:00:00	1.28156	1.28221	1.28128	1.28180	7077	0	6
2024.03.12	08:00:00	1.28180	1.28228	1.27748	1.27865	10077	0	2
2024.03.12	12:00:00	1.27848	1.28066	1.27505	1.27704	16099	0	1
2024.03.12	16:00:00	1.27704	1.27883	1.27450	1.27770	22729	0	3
2024.03.12	20:00:00	1.27772	1.27946	1.27694	1.27911	10661	0	1
2024.03.13	00:00:00	1.27799	1.27974	1.27793	1.27930	4740	0	7
2024.03.13	04:00:00	1.27930	1.27980	1.27885	1.27897	8084	0	5
2024.03.13	08:00:00	1.27897	1.27997	1.27747	1.27920	13053	0	1
2024.03.13	12:00:00	1.27920	1.28079	1.27732	1.27993	13971	0	2
2024.03.13	16:00:00	1.27994	1.28054	1.27865	1.27964	16801	0	1
2024.03.13	20:00:00	1.27964	1.28104	1.27897	1.27958	9012	0	1
2024.03.14	00:00:00	1.27914	1.28035	1.27902	1.27991	5542	0	8
2024.03.14	04:00:00	1.27997	1.28037	1.27859	1.27908	7663	0	4
2024.03.14	08:00:00	1.27915	1.28160	1.27872	1.28065	10147	0	2
2024.03.14	12:00:00	1.28068	1.28219	1.27804	1.27942	14542	0	1
2024.03.14	16:00:00	1.27941	1.27957	1.27297	1.27474	24546	0	2
2024.03.14	20:00:00	1.27474	1.27572	1.27418	1.27523	9652	0	3
2024.03.15	00:00:00	1.27483	1.27555	1.27330	1.27356	4790	0	7
2024.03.15	04:00:00	1.27352	1.27412	1.27289	1.27380	7740	0	1
2024.03.15	08:00:00	1.27380	1.27445	1.27321	1.27377	10406	0	1
2024.03.15	12:00:00	1.27379	1.27581	1.27357	1.27476	13290	0	1
2024.03.15	16:00:00	1.27477	1.27567	1.27284	1.27296	16814	0	1
2024.03.15	20:00:00	1.27295	1.27400	1.27241	1.27317	8736	0	4
2024.03.18	00:00:00	1.27249	1.27369	1.27195	1.27304	3200	0	7
2024.03.18	04:00:00	1.27303	1.27368	1.27249	1.27305	4581	0	3
2024.03.18	08:00:00	1.27303	1.27457	1.27280	1.27445	7006	0	1
2024.03.18	12:00:00	1.27445	1.27458	1.27263	1.27349	10201	0	1
2024.03.18	16:00:00	1.27350	1.27373	1.27180	1.27255	14628	0	1
2024.03.18	20:00:00	1.27256	1.27313	1.27169	1.27274	7082	0	2
2024.03.19	00:00:00	1.27279	1.27312	1.27182	1.27193	4876	0	5
2024.03.19	04:00:00	1.27192	1.27279	1.27117	1.27169	9850	0	7
2024.03.19	08:00:00	1.27165	1.27180	1.26829	1.26886	13758	0	1
2024.03.19	12:00:00	1.26886	1.27080	1.26667	1.26984	14367	0	1
2024.03.19	16:00:00	1.26983	1.27254	1.26933	1.27247	11888	0	1
2024.03.19	20:00:00	1.27247	1.27320	1.27180	1.27199	7650	0	3
2024.03.20	00:00:00	1.27180	1.27223	1.27094	1.27166	4436	0	6
2024.03.20	04:00:00	1.27162	1.27239	1.27131	1.27181	6735	0	6
2024.03.20	08:00:00	1.27179	1.27289	1.26950	1.27025	11130	0	3
2024.03.20	12:00:00	1.27023	1.27034	1.26837	1.26931	10776	0	1
2024.03.20	16:00:00	1.26930	1.27184	1.26858	1.27175	11461	0	1
2024.03.20	20:00:00	1.27175	1.27864	1.27118	1.27845	21740	0	2
2024.03.21	00:00:00	1.27830	1.27975	1.27807	1.27933	6318	0	7
2024.03.21	04:00:00	1.27933	1.28017	1.27883	1.27885	9577	0	7
2024.03.21	08:00:00	1.27887	1.28027	1.27613	1.27644	13383	0	2
2024.03.21	12:00:00	1.27652	1.27840	1.27244	1.27346	16894	0	4
2024.03.21	16:00:00	1.27347	1.27354	1.26575	1.26637	19319	0	2
2024.03.21	20:00:00	1.26638	1.26699	1.26496	1.26537	9110	0	2
2024.03.22	00:00:00	1.26527	1.26737	1.26514	1.26727	4153	0	4
2024.03.22	04:00:00	1.26726	1.26741	1.26334	1.26411	9617	0	6
2024.03.22	08:00:00	1.26411	1.26445	1.25839	1.25969	12032	0	1
2024.03.22	12:00:00	1.25970	1.26203	1.25743	1.26188	13230	0	1
2024.03.22	16:00:00	1.26188	1.26232	1.25927	1.25942	15649	0	16
2024.03.22	20:00:00	1.25942	1.26002	1.25847	1.25986	6542	0	2
2024.03.25	00:00:00	1.25870	1.26009	1.25845	1.25939	5171	0	3
2024.03.25	04:00:00	1.25940	1.26164	1.25939	1.26047	7170	0	4
2024.03.25	08:00:00	1.26048	1.26163	1.25942	1.26077	8363	0	1
2024.03.25	12:00:00	1.26078	1.26457	1.25987	1.26375	10139	0	1
2024.03.25	16:00:00	1.26373	1.26517	1.26355	1.26382	10748	0	1
2024.03.25	20:00:00	1.26381	1.26419	1.26343	1.26355	5897	0	1
2024.03.26	00:00:00	1.26355	1.26422	1.26317	1.26414	3901	0	5
2024.03.26	04:00:00	1.26415	1.26463	1.26352	1.26410	7442	0	2
2024.03.26	08:00:00	1.26409	1.26580	1.26390	1.26487	7748	0	1
2024.03.26	12:00:00	1.26488	1.26669	1.26374	1.26390	11706	0	1
2024.03.26	16:00:00	1.26390	1.26485	1.26211	1.26287	14017	0	1
2024.03.26	20:00:00	1.26286	1.26346	1.26221	1.26267	6053	0	1
2024.03.27	00:00:00	1.26245	1.26296	1.26170	1.26209	4447	0	1
2024.03.27	04:00:00	1.26207	1.26220	1.26077	1.26168	8191	0	4
2024.03.27	08:00:00	1.26168	1.26312	1.26121	1.26212	10758	0	1
2024.03.27	12:00:00	1.26212	1.26376	1.26071	1.26157	13085	0	1
2024.03.27	16:00:00	1.26155	1.26325	1.26047	1.26302	12670	0	2
2024.03.27	20:00:00	1.26302	1.26406	1.26235	1.26392	6346	0	2
2024.03.28	00:00:00	1.26322	1.26387	1.26102	1.26251	4433	0	6
2024.03.28	04:00:00	1.26252	1.26337	1.26195	1.26300	5820	0	4
2024.03.28	08:00:00	1.26301	1.26369	1.26027	1.26055	7792	0	1
2024.03.28	12:00:00	1.26055	1.26416	1.25848	1.26399	11845	0	1
2024.03.28	16:00:00	1.26397	1.26537	1.26206	1.26333	16886	0	2
2024.03.28	20:00:00	1.26333	1.26364	1.26145	1.26224	7779	0	1
2024.03.29	00:00:00	1.26220	1.26277	1.26141	1.26248	5798	0	13
2024.03.29	04:00:00	1.26249	1.26299	1.26153	1.26219	4711	0	10
2024.03.29	08:00:00	1.26220	1.26255	1.26156	1.26252	3252	0	5
2024.03.29	12:00:00	1.26252	1.26361	1.26085	1.26324	3452	0	7
2024.03.29	16:00:00	1.26324	1.26445	1.26278	1.26280	3382	0	2
2024.03.29	20:00:00	1.26280	1.26287	1.26144	1.26164	1802	0	2
2024.04.01	00:00:00	1.25716	1.26413	1.25716	1.26340	5220	0	5
2024.04.01	04:00:00	1.26340	1.26380	1.26247	1.26289	6299	0	1
2024.04.01	08:00:00	1.26289	1.26308	1.26154	1.26217	7140	0	1
2024.04.01	12:00:00	1.26218	1.26237	1.26018	1.26115	7858	0	1
2024.04.01	16:00:00	1.26114	1.26127	1.25387	1.25448	14557	0	1
2024.04.01	20:00:00	1.25447	1.25509	1.25412	1.25502	7201	0	2
2024.04.02	00:00:00	1.25483	1.25534	1.25404	1.25463	4963	0	5
2024.04.02	04:00:00	1.25462	1.25483	1.25398	1.25446	5229	0	1
2024.04.02	08:00:00	1.25438	1.25640	1.25386	1.25611	11381	0	2
2024.04.02	12:00:00	1.25612	1.25758	1.25535	1.25560	11202	0	1
2024.04.02	16:00:00	1.25557	1.25768	1.25514	1.25708	15402	0	1
2024.04.02	20:00:00	1.25709	1.25777	1.25654	1.25763	5220	0	4
2024.04.03	00:00:00	1.25730	1.25808	1.25692	1.25718	5269	0	4
2024.04.03	04:00:00	1.25718	1.25823	1.25660	1.25779	5963	0	2
2024.04.03	08:00:00	1.25779	1.25819	1.25614	1.25764	9067	0	1
2024.04.03	12:00:00	1.25763	1.25875	1.25665	1.25720	12879	0	1
2024.04.03	16:00:00	1.25722	1.26502	1.25666	1.26451	19242	0	2
2024.04.03	20:00:00	1.26450	1.26549	1.26389	1.26514	8034	0	4
2024.04.04	00:00:00	1.26461	1.26553	1.26396	1.26515	4265	0	5
2024.04.04	04:00:00	1.26515	1.26548	1.26457	1.26513	4873	0	1
2024.04.04	08:00:00	1.26514	1.26690	1.26499	1.26624	9603	0	1
2024.04.04	12:00:00	1.26623	1.26690	1.26468	1.26679	10250	0	1
2024.04.04	16:00:00	1.26678	1.26828	1.26607	1.26651	11778	0	1
2024.04.04	20:00:00	1.26651	1.26693	1.26342	1.26412	11689	0	5
2024.04.05	00:00:00	1.26385	1.26476	1.26317	1.26464	6261	0	5
2024.04.05	04:00:00	1.26463	1.26468	1.26205	1.26245	8019	0	3
2024.04.05	08:00:00	1.26247	1.26397	1.26132	1.26362	9679	0	1
2024.04.05	12:00:00	1.26361	1.26440	1.25815	1.25941	13148	0	1
2024.04.05	16:00:00	1.25942	1.26346	1.25733	1.26338	20848	0	1
2024.04.05	20:00:00	1.26340	1.26399	1.26305	1.26371	8982	0	5
2024.04.08	00:00:00	1.26217	1.26337	1.26137	1.26154	4536	0	4
2024.04.08	04:00:00	1.26152	1.26389	1.26149	1.26286	9509	0	2
2024.04.08	08:00:00	1.26287	1.26338	1.26179	1.26210	10468	0	1
2024.04.08	12:00:00	1.26209	1.26353	1.26125	1.26256	9872	0	1
2024.04.08	16:00:00	1.26256	1.26555	1.26256	1.26478	14634	0	1
2024.04.08	20:00:00	1.26478	1.26634	1.26461	1.26535	7543	0	2
2024.04.09	00:00:00	1.26548	1.26591	1.26336	1.26530	4730	0	5
2024.04.09	04:00:00	1.26530	1.26609	1.26514	1.26557	7562	0	1
2024.04.09	08:00:00	1.26557	1.26636	1.26477	1.26597	7637	0	1
2024.04.09	12:00:00	1.26597	1.27027	1.26562	1.26959	11508	0	1
2024.04.09	16:00:00	1.26960	1.27087	1.26658	1.26688	16349	0	2
2024.04.09	20:00:00	1.26688	1.26792	1.26619	1.26765	8311	0	3
2024.04.10	00:00:00	1.26745	1.26778	1.26617	1.26743	3587	0	4
2024.04.10	04:00:00	1.26743	1.26779	1.26679	1.26767	6543	0	2
2024.04.10	08:00:00	1.26766	1.26939	1.26721	1.26937	8097	0	1
2024.04.10	12:00:00	1.26938	1.27073	1.25946	1.26106	13482	0	1
2024.04.10	16:00:00	1.26105	1.26113	1.25192	1.25331	25637	0	16
2024.04.10	20:00:00	1.25331	1.25530	1.25209	1.25390	15323	0	10
2024.04.11	00:00:00	1.25363	1.25409	1.25252	1.25363	7035	0	6
2024.04.11	04:00:00	1.25364	1.25488	1.25351	1.25465	7772	0	1
2024.04.11	08:00:00	1.25467	1.25689	1.25316	1.25495	13571	0	1
2024.04.11	12:00:00	1.25496	1.25713	1.25244	1.25661	17032	0	1
2024.04.11	16:00:00	1.25660	1.25777	1.25099	1.25361	21420	0	2
2024.04.11	20:00:00	1.25360	1.25629	1.25320	1.25491	10143	0	4
2024.04.12	00:00:00	1.25513	1.25561	1.25437	1.25543	4481	0	5
2024.04.12	04:00:00	1.25545	1.25581	1.25359	1.25366	6573	0	2
2024.04.12	08:00:00	1.25367	1.25434	1.25046	1.25071	11459	0	1
2024.04.12	12:00:00	1.25072	1.25109	1.24502	1.24534	15101	0	1
2024.04.12	16:00:00	1.24535	1.24653	1.24258	1.24483	24621	0	1
2024.04.12	20:00:00	1.24482	1.24612	1.24419	1.24482	12167	0	5
2024.04.15	00:00:00	1.24451	1.24625	1.24280	1.24513	7433	0	6
2024.04.15	04:00:00	1.24512	1.24638	1.24397	1.24606	12948	0	1
2024.04.15	08:00:00	1.24595	1.24865	1.24569	1.24809	13506	0	2
2024.04.15	12:00:00	1.24810	1.24977	1.24502	1.24784	14159	0	1
2024.04.15	16:00:00	1.24785	1.24953	1.24439	1.24566	20765	0	3
2024.04.15	20:00:00	1.24565	1.24616	1.24349	1.24450	12884	0	5
2024.04.16	00:00:00	1.24409	1.24490	1.24318	1.24365	5019	0	4
2024.04.16	04:00:00	1.24365	1.24380	1.24194	1.24322	9687	0	3
2024.04.16	08:00:00	1.24322	1.24483	1.24075	1.24359	14108	0	2
2024.04.16	12:00:00	1.24360	1.24711	1.24359	1.24597	13593	0	1
2024.04.16	16:00:00	1.24598	1.24663	1.24263	1.24346	22673	0	1
2024.04.16	20:00:00	1.24348	1.24497	1.24045	1.24254	18492	0	4
2024.04.17	00:00:00	1.24207	1.24322	1.24180	1.24284	5367	0	5
2024.04.17	04:00:00	1.24282	1.24397	1.24239	1.24285	8068	0	3
2024.04.17	08:00:00	1.24285	1.24810	1.24159	1.24705	14961	0	1
2024.04.17	12:00:00	1.24704	1.24764	1.24452	1.24496	12102	0	1
2024.04.17	16:00:00	1.24496	1.24685	1.24232	1.24278	22006	0	16
2024.04.17	20:00:00	1.24278	1.24646	1.24258	1.24526	14722	0	8
2024.04.18	00:00:00	1.24503	1.24578	1.24362	1.24520	5737	0	5
2024.04.18	04:00:00	1.24519	1.24707	1.24482	1.24694	7889	0	2
2024.04.18	08:00:00	1.24694	1.24839	1.24615	1.24734	11360	0	1
2024.04.18	12:00:00	1.24736	1.24814	1.24462	1.24578	13153	0	1
2024.04.18	16:00:00	1.24581	1.24674	1.24354	1.24476	20027	0	16
2024.04.18	20:00:00	1.24476	1.24493	1.24326	1.24353	12668	0	6
2024.04.19	00:00:00	1.24292	1.24388	1.24252	1.24263	5229	0	5
2024.04.19	04:00:00	1.24262	1.24287	1.23879	1.24185	23036	0	2
2024.04.19	08:00:00	1.24184	1.24508	1.24023	1.24396	16875	0	1
2024.04.19	12:00:00	1.24397	1.24627	1.24285	1.24480	14858	0	1
2024.04.19	16:00:00	1.24478	1.24675	1.23717	1.23890	19847	0	16
2024.04.19	20:00:00	1.23890	1.23928	1.23658	1.23692	12667	0	6
2024.04.22	00:00:00	1.23656	1.23839	1.23632	1.23717	5718	0	3
2024.04.22	04:00:00	1.23716	1.23913	1.23716	1.23853	6492	0	1
