<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.82570	0.82899	0.82359	0.82785	89152	0	1
2024.03.04	0.82694	0.82806	0.82604	0.82666	52296	0	0
2024.03.05	0.82643	0.82806	0.82496	0.82664	88328	0	0
2024.03.06	0.82701	0.82965	0.82486	0.82762	93735	0	0
2024.03.07	0.82772	0.83220	0.82627	0.83025	93801	0	0
2024.03.08	0.83054	0.83443	0.82901	0.83221	95180	0	1
2024.03.11	0.83255	0.83329	0.83062	0.83149	80557	0	0
2024.03.12	0.83159	0.83296	0.82829	0.82942	93672	0	2
2024.03.13	0.82965	0.83225	0.82753	0.82907	82003	0	2
2024.03.14	0.82930	0.83129	0.82740	0.82923	85709	0	3
2024.03.15	0.82921	0.82986	0.82285	0.82351	81102	0	3
2024.03.18	0.82312	0.82526	0.82227	0.82324	71788	0	3
2024.03.19	0.82299	0.82369	0.81912	0.82070	78645	0	2
2024.03.20	0.82093	0.82175	0.81595	0.82011	81018	0	3
2024.03.21	0.82019	0.82165	0.81650	0.81730	88738	0	2
2024.03.22	0.81727	0.81809	0.81431	0.81509	75719	0	4
2024.03.25	0.81499	0.81683	0.81401	0.81531	66668	0	2
2024.03.26	0.81522	0.81799	0.81438	0.81528	67084	0	2
2024.03.27	0.81528	0.81667	0.81379	0.81423	72637	0	2
2024.03.28	0.81421	0.81459	0.80829	0.80831	74189	0	3
2024.03.29	0.80832	0.81086	0.80769	0.80880	24890	0	9
2024.04.01	0.80844	0.81023	0.80638	0.80754	60558	0	3
2024.04.02	0.80771	0.81030	0.80683	0.80977	74229	0	2
2024.04.03	0.80954	0.81305	0.80760	0.81243	74779	0	0
2024.04.04	0.81267	0.81701	0.81131	0.81556	66753	0	2
2024.04.05	0.81512	0.81846	0.81432	0.81673	90299	0	3
2024.04.08	0.81538	0.81995	0.81434	0.81830	75752	0	2
2024.04.09	0.81871	0.82346	0.81774	0.82203	73477	0	0
2024.04.10	0.82200	0.82469	0.81679	0.81707	96365	0	2
2024.04.11	0.81705	0.82175	0.81649	0.82061	95812	0	3
2024.04.12	0.82036	0.82219	0.81682	0.81737	94392	0	4
2024.04.15	0.81850	0.81871	0.81307	0.81384	99563	0	1
2024.04.16	0.81360	0.81415	0.81034	0.81305	105007	0	1
2024.04.17	0.81295	0.81684	0.81020	0.81448	97847	0	2
2024.04.18	0.81298	0.81569	0.81198	0.81220	87099	0	1
2024.04.19	0.81189	0.81277	0.80756	0.80927	117182	0	4
2024.04.22	0.80800	0.81293	0.80761	0.81056	79001	0	1
2024.04.23	0.80937	0.81217	0.80899	0.81013	76832	0	0
2024.04.24	0.80962	0.81362	0.80895	0.81303	75948	0	2
2024.04.25	0.81172	0.81533	0.81158	0.81193	84154	0	3
2024.04.26	0.81140	0.81461	0.81061	0.81153	82525	0	4
2024.04.29	0.81350	0.81694	0.81086	0.81624	70243	0	1
2024.04.30	0.81624	0.81687	0.81050	0.81085	67061	0	1
