<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.82570	0.82666	0.82359	0.82657	10336	0	1
2024.03.01	04:00:00	0.82658	0.82677	0.82596	0.82627	10481	0	1
2024.03.01	08:00:00	0.82627	0.82718	0.82611	0.82675	15360	0	28
2024.03.01	12:00:00	0.82677	0.82773	0.82572	0.82665	19561	0	29
2024.03.01	16:00:00	0.82665	0.82899	0.82620	0.82723	23282	0	48
2024.03.01	20:00:00	0.82723	0.82817	0.82671	0.82785	10132	0	1
2024.03.04	00:00:00	0.82694	0.82780	0.82632	0.82658	4532	0	1
2024.03.04	04:00:00	0.82658	0.82711	0.82633	0.82669	3373	0	2
2024.03.04	08:00:00	0.82669	0.82806	0.82634	0.82778	6507	0	32
2024.03.04	12:00:00	0.82778	0.82790	0.82664	0.82675	8538	0	29
2024.03.04	16:00:00	0.82672	0.82802	0.82631	0.82702	20820	0	48
2024.03.04	20:00:00	0.82697	0.82759	0.82604	0.82666	8526	0	0
2024.03.05	00:00:00	0.82643	0.82753	0.82612	0.82675	10172	0	0
2024.03.05	04:00:00	0.82676	0.82728	0.82598	0.82602	10372	0	1
2024.03.05	08:00:00	0.82605	0.82629	0.82496	0.82522	15784	0	39
2024.03.05	12:00:00	0.82522	0.82662	0.82515	0.82652	14984	0	48
2024.03.05	16:00:00	0.82652	0.82806	0.82566	0.82670	23433	0	47
2024.03.05	20:00:00	0.82668	0.82720	0.82607	0.82664	13583	0	1
2024.03.06	00:00:00	0.82701	0.82758	0.82486	0.82546	9613	0	0
2024.03.06	04:00:00	0.82546	0.82785	0.82546	0.82750	10180	0	38
2024.03.06	08:00:00	0.82750	0.82873	0.82726	0.82859	16223	0	29
2024.03.06	12:00:00	0.82858	0.82957	0.82802	0.82925	17343	0	28
2024.03.06	16:00:00	0.82925	0.82965	0.82681	0.82800	26374	0	47
2024.03.06	20:00:00	0.82794	0.82884	0.82734	0.82762	14002	0	0
2024.03.07	00:00:00	0.82772	0.82926	0.82627	0.82855	11657	0	0
2024.03.07	04:00:00	0.82856	0.83026	0.82843	0.82954	14250	0	39
2024.03.07	08:00:00	0.82954	0.83140	0.82942	0.83114	16013	0	33
2024.03.07	12:00:00	0.83113	0.83220	0.83075	0.83123	18233	0	29
2024.03.07	16:00:00	0.83124	0.83187	0.83023	0.83099	22876	0	48
2024.03.07	20:00:00	0.83098	0.83115	0.83008	0.83025	10772	0	0
2024.03.08	00:00:00	0.83054	0.83141	0.82901	0.82930	9778	0	1
2024.03.08	04:00:00	0.82928	0.83024	0.82903	0.83017	10093	0	2
2024.03.08	08:00:00	0.83016	0.83112	0.82953	0.83080	16882	0	33
2024.03.08	12:00:00	0.83080	0.83425	0.83056	0.83314	18692	0	2
2024.03.08	16:00:00	0.83314	0.83443	0.83132	0.83243	27977	0	48
2024.03.08	20:00:00	0.83244	0.83316	0.83212	0.83221	11758	0	2
2024.03.11	00:00:00	0.83255	0.83312	0.83121	0.83229	8465	0	0
2024.03.11	04:00:00	0.83228	0.83280	0.83158	0.83228	10239	0	38
2024.03.11	08:00:00	0.83228	0.83279	0.83092	0.83135	14228	0	7
2024.03.11	12:00:00	0.83135	0.83303	0.83125	0.83298	15066	0	29
2024.03.11	16:00:00	0.83298	0.83329	0.83131	0.83158	22025	0	47
2024.03.11	20:00:00	0.83158	0.83186	0.83062	0.83149	10534	0	5
2024.03.12	00:00:00	0.83159	0.83176	0.83063	0.83107	8402	0	2
2024.03.12	04:00:00	0.83107	0.83182	0.83069	0.83131	11412	0	38
2024.03.12	08:00:00	0.83131	0.83164	0.83004	0.83015	15134	0	29
2024.03.12	12:00:00	0.83015	0.83296	0.82829	0.83128	20237	0	4
2024.03.12	16:00:00	0.83129	0.83133	0.82850	0.82951	27683	0	48
2024.03.12	20:00:00	0.82952	0.83022	0.82853	0.82942	10804	0	2
2024.03.13	00:00:00	0.82965	0.82979	0.82753	0.82919	5909	0	2
2024.03.13	04:00:00	0.82918	0.83144	0.82901	0.83125	12792	0	4
2024.03.13	08:00:00	0.83125	0.83225	0.83057	0.83068	14798	0	5
2024.03.13	12:00:00	0.83067	0.83068	0.82947	0.83006	16364	0	4
2024.03.13	16:00:00	0.83006	0.83039	0.82868	0.82944	21440	0	48
2024.03.13	20:00:00	0.82943	0.83015	0.82873	0.82907	10700	0	2
2024.03.14	00:00:00	0.82930	0.83037	0.82740	0.83027	7644	0	3
2024.03.14	04:00:00	0.83028	0.83129	0.82916	0.82984	8191	0	4
2024.03.14	08:00:00	0.82982	0.83026	0.82938	0.82954	14711	0	6
2024.03.14	12:00:00	0.82956	0.83111	0.82899	0.82980	17552	0	4
2024.03.14	16:00:00	0.82980	0.82999	0.82807	0.82942	24573	0	47
2024.03.14	20:00:00	0.82944	0.82975	0.82848	0.82923	13038	0	5
2024.03.15	00:00:00	0.82921	0.82986	0.82652	0.82660	7822	0	3
2024.03.15	04:00:00	0.82661	0.82685	0.82518	0.82591	11397	0	4
2024.03.15	08:00:00	0.82590	0.82629	0.82485	0.82510	15643	0	5
2024.03.15	12:00:00	0.82509	0.82544	0.82390	0.82458	14578	0	4
2024.03.15	16:00:00	0.82458	0.82498	0.82285	0.82375	22107	0	47
2024.03.15	20:00:00	0.82375	0.82435	0.82320	0.82351	9555	0	5
2024.03.18	00:00:00	0.82312	0.82456	0.82227	0.82393	7323	0	3
2024.03.18	04:00:00	0.82392	0.82526	0.82359	0.82462	10989	0	4
2024.03.18	08:00:00	0.82463	0.82493	0.82342	0.82482	12182	0	5
2024.03.18	12:00:00	0.82482	0.82517	0.82401	0.82406	14202	0	8
2024.03.18	16:00:00	0.82405	0.82509	0.82322	0.82339	17918	0	47
2024.03.18	20:00:00	0.82337	0.82357	0.82237	0.82324	9174	0	4
2024.03.19	00:00:00	0.82299	0.82369	0.82189	0.82241	5940	0	3
2024.03.19	04:00:00	0.82241	0.82314	0.82106	0.82116	13983	0	4
2024.03.19	08:00:00	0.82115	0.82126	0.81973	0.82049	15216	0	47
2024.03.19	12:00:00	0.82047	0.82328	0.81912	0.82321	15965	0	47
2024.03.19	16:00:00	0.82320	0.82357	0.82053	0.82060	18069	0	6
2024.03.19	20:00:00	0.82061	0.82133	0.82030	0.82070	9472	0	2
2024.03.20	00:00:00	0.82093	0.82131	0.81966	0.82086	7631	0	3
2024.03.20	04:00:00	0.82062	0.82175	0.81982	0.81988	11687	0	4
2024.03.20	08:00:00	0.81990	0.82118	0.81983	0.82030	10810	0	6
2024.03.20	12:00:00	0.82030	0.82032	0.81894	0.81897	12947	0	5
2024.03.20	16:00:00	0.81896	0.81968	0.81800	0.81810	14850	0	47
2024.03.20	20:00:00	0.81810	0.82042	0.81595	0.82011	23093	0	4
2024.03.21	00:00:00	0.82019	0.82101	0.81650	0.81996	10948	0	5
2024.03.21	04:00:00	0.81998	0.82120	0.81966	0.82038	12599	0	4
2024.03.21	08:00:00	0.82038	0.82165	0.82006	0.82110	15300	0	5
2024.03.21	12:00:00	0.82113	0.82147	0.82014	0.82019	17701	0	47
2024.03.21	16:00:00	0.82019	0.82022	0.81737	0.81746	23230	0	47
2024.03.21	20:00:00	0.81744	0.81762	0.81681	0.81730	8960	0	2
2024.03.22	00:00:00	0.81727	0.81809	0.81698	0.81784	6542	0	4
2024.03.22	04:00:00	0.81783	0.81804	0.81491	0.81498	13822	0	4
2024.03.22	08:00:00	0.81502	0.81563	0.81431	0.81510	14661	0	5
2024.03.22	12:00:00	0.81510	0.81574	0.81445	0.81509	15678	0	5
2024.03.22	16:00:00	0.81509	0.81657	0.81449	0.81526	17760	0	47
2024.03.22	20:00:00	0.81526	0.81584	0.81486	0.81509	7256	0	4
2024.03.25	00:00:00	0.81499	0.81559	0.81401	0.81553	6024	0	3
2024.03.25	04:00:00	0.81553	0.81683	0.81505	0.81539	14533	0	4
2024.03.25	08:00:00	0.81540	0.81599	0.81463	0.81564	11505	0	5
2024.03.25	12:00:00	0.81565	0.81646	0.81531	0.81558	12389	0	4
2024.03.25	16:00:00	0.81557	0.81602	0.81469	0.81497	15862	0	4
2024.03.25	20:00:00	0.81498	0.81581	0.81475	0.81531	6355	0	2
2024.03.26	00:00:00	0.81522	0.81560	0.81438	0.81543	5706	0	4
2024.03.26	04:00:00	0.81543	0.81604	0.81510	0.81545	10825	0	4
2024.03.26	08:00:00	0.81544	0.81700	0.81530	0.81679	11681	0	5
2024.03.26	12:00:00	0.81678	0.81799	0.81537	0.81555	13937	0	4
2024.03.26	16:00:00	0.81556	0.81639	0.81509	0.81544	16968	0	48
2024.03.26	20:00:00	0.81544	0.81606	0.81489	0.81528	7967	0	2
2024.03.27	00:00:00	0.81528	0.81578	0.81404	0.81491	7390	0	3
2024.03.27	04:00:00	0.81492	0.81507	0.81392	0.81505	12032	0	5
2024.03.27	08:00:00	0.81504	0.81627	0.81484	0.81574	12235	0	5
2024.03.27	12:00:00	0.81575	0.81667	0.81517	0.81521	14761	0	4
2024.03.27	16:00:00	0.81522	0.81574	0.81451	0.81463	17507	0	48
2024.03.27	20:00:00	0.81463	0.81485	0.81379	0.81423	8712	0	2
2024.03.28	00:00:00	0.81421	0.81459	0.81252	0.81348	7756	0	4
2024.03.28	04:00:00	0.81347	0.81455	0.81289	0.81313	11407	0	5
2024.03.28	08:00:00	0.81316	0.81389	0.81103	0.81104	13250	0	4
2024.03.28	12:00:00	0.81104	0.81112	0.80948	0.81032	13476	0	3
2024.03.28	16:00:00	0.81031	0.81088	0.80896	0.80941	19054	0	4
2024.03.28	20:00:00	0.80942	0.80968	0.80829	0.80831	9246	0	3
2024.03.29	00:00:00	0.80832	0.80913	0.80769	0.80866	5828	0	12
2024.03.29	04:00:00	0.80865	0.80922	0.80794	0.80897	3853	0	9
2024.03.29	08:00:00	0.80915	0.80940	0.80830	0.80892	3358	0	10
