<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.53693	0.54087	0.53635	0.53934	51320	0	0
2024.03.04	0.53876	0.54018	0.53702	0.53877	36358	0	0
2024.03.05	0.53888	0.53967	0.53658	0.53716	50027	0	0
2024.03.06	0.53714	0.54096	0.53668	0.54011	51376	0	0
2024.03.07	0.53985	0.54247	0.53920	0.54130	54336	0	0
2024.03.08	0.54137	0.54279	0.54049	0.54165	52323	0	0
2024.03.11	0.53975	0.54211	0.53914	0.54096	46186	0	0
2024.03.12	0.54092	0.54157	0.53866	0.53879	55603	0	0
2024.03.13	0.53860	0.54132	0.53799	0.54065	47807	0	0
2024.03.14	0.54085	0.54264	0.53957	0.54140	50233	0	0
2024.03.15	0.54141	0.54200	0.53722	0.53728	45290	0	0
2024.03.18	0.53685	0.54032	0.53579	0.53990	46212	0	0
2024.03.19	0.53990	0.54020	0.53539	0.53712	48772	0	0
2024.03.20	0.53640	0.53920	0.53534	0.53883	49604	0	0
2024.03.21	0.53875	0.54593	0.53632	0.54211	57257	0	0
2024.03.22	0.54207	0.54305	0.53692	0.53745	49338	0	0
2024.03.25	0.53747	0.53994	0.53664	0.53960	41243	0	0
2024.03.26	0.53967	0.54391	0.53903	0.54219	43933	0	0
2024.03.27	0.54222	0.54435	0.54102	0.54231	44027	0	0
2024.03.28	0.54194	0.54282	0.53814	0.53821	49008	0	0
2024.03.29	0.53821	0.53973	0.53698	0.53822	32507	0	12
2024.04.01	0.53782	0.54021	0.53727	0.53789	40039	0	0
2024.04.02	0.53766	0.54220	0.53751	0.54184	45858	0	0
2024.04.03	0.54184	0.54302	0.54037	0.54209	45898	0	0
2024.04.04	0.54209	0.54760	0.54172	0.54274	42518	0	0
2024.04.05	0.54266	0.54418	0.54073	0.54209	52143	0	0
2024.04.08	0.53873	0.54634	0.53873	0.54575	47485	0	0
2024.04.09	0.54525	0.54801	0.54509	0.54719	41644	0	0
2024.04.10	0.54637	0.54934	0.54457	0.54496	68859	0	0
2024.04.11	0.54520	0.54730	0.54321	0.54541	77924	0	0
2024.04.12	0.54507	0.54646	0.54045	0.54249	77566	0	0
2024.04.15	0.54160	0.54406	0.53768	0.53795	80924	0	0
2024.04.16	0.53780	0.53850	0.53569	0.53668	82471	0	0
2024.04.17	0.53601	0.53893	0.53487	0.53836	75297	0	0
2024.04.18	0.53800	0.53965	0.53752	0.53814	65895	0	0
2024.04.19	0.53752	0.53877	0.52790	0.53574	96064	0	0
2024.04.22	0.53540	0.53974	0.53419	0.53945	64684	0	0
2024.04.23	0.53952	0.54163	0.53764	0.54046	63833	0	0
2024.04.24	0.54047	0.54306	0.53969	0.54274	59765	0	0
2024.04.25	0.54192	0.54449	0.54047	0.54224	65982	0	0
2024.04.26	0.54154	0.54481	0.54123	0.54292	68226	0	0
2024.04.29	0.54400	0.54495	0.54145	0.54388	63913	0	0
2024.04.30	0.54389	0.54453	0.53973	0.54105	58932	0	0
2024.05.01	0.54104	0.54386	0.53897	0.54250	56913	0	0
2024.05.02	0.54263	0.54384	0.53972	0.54255	65156	0	0
2024.05.03	0.54141	0.54571	0.54082	0.54368	61720	0	0
2024.05.06	0.54480	0.54526	0.54181	0.54378	39756	0	0
2024.05.07	0.54396	0.54577	0.54261	0.54472	43617	0	0
2024.05.08	0.54423	0.54520	0.54302	0.54487	35098	0	0
2024.05.09	0.54482	0.54666	0.54396	0.54635	39168	0	0
2024.05.10	0.54550	0.54693	0.54478	0.54534	45019	0	0
2024.05.13	0.54500	0.54661	0.54331	0.54605	40897	0	0
2024.05.14	0.54582	0.54772	0.54520	0.54721	52175	0	0
2024.05.15	0.54721	0.55260	0.54594	0.55174	54349	0	0
2024.05.16	0.55083	0.55461	0.54985	0.55440	53931	0	0
2024.05.17	0.55372	0.55762	0.55315	0.55730	43187	0	0
2024.05.20	0.55629	0.55777	0.55467	0.55553	39154	0	0
2024.05.21	0.55467	0.55626	0.55427	0.55456	50393	0	0
2024.05.22	0.55405	0.56010	0.55405	0.55773	57767	0	0
2024.05.23	0.55753	0.56002	0.55664	0.55727	61598	0	0
2024.05.24	0.55698	0.56025	0.55667	0.55959	51547	0	0
2024.05.27	0.55860	0.56219	0.55789	0.56079	34180	0	0
2024.05.28	0.56070	0.56215	0.55957	0.56001	57725	0	0
2024.05.29	0.55958	0.56054	0.55784	0.55784	60434	0	0
2024.05.30	0.55776	0.55841	0.55182	0.55189	62056	0	0
2024.05.31	0.55151	0.55582	0.55147	0.55400	65417	0	0
2024.06.03	0.55430	0.55551	0.55206	0.55431	64885	0	0
2024.06.04	0.55337	0.55483	0.54846	0.54952	70559	0	0
2024.06.05	0.54942	0.55332	0.54887	0.55285	55784	0	0
2024.06.06	0.55248	0.55330	0.54941	0.55082	50533	0	0
2024.06.07	0.54998	0.55197	0.54680	0.54683	60357	0	0
2024.06.10	0.54710	0.54934	0.54583	0.54905	52741	0	0
2024.06.11	0.54873	0.55156	0.54804	0.55111	50518	0	0
2024.06.12	0.55019	0.55446	0.54932	0.55278	64000	0	0
2024.06.13	0.55279	0.55370	0.55051	0.55102	56039	0	0
2024.06.14	0.55112	0.55126	0.54496	0.54636	65723	0	0
2024.06.17	0.54560	0.54680	0.54409	0.54515	54762	0	0
2024.06.18	0.54516	0.54565	0.54042	0.54292	61704	0	0
2024.06.19	0.54213	0.54337	0.54119	0.54159	40879	0	0
2024.06.20	0.54132	0.54665	0.54103	0.54510	60766	0	0
2024.06.21	0.54502	0.54743	0.54447	0.54685	54313	0	1
2024.06.24	0.54650	0.54785	0.54488	0.54617	50876	0	1
2024.06.25	0.54660	0.54753	0.54543	0.54707	48128	0	1
2024.06.26	0.54727	0.54811	0.54465	0.54524	53082	0	0
2024.06.27	0.54431	0.54771	0.54390	0.54649	54021	0	6
2024.06.28	0.54653	0.54876	0.54494	0.54730	59932	0	6
2024.07.01	0.54703	0.54985	0.54618	0.54813	56376	0	6
2024.07.02	0.54769	0.54985	0.54648	0.54934	51140	0	6
2024.07.03	0.54871	0.55140	0.54787	0.54956	50958	0	6
2024.07.04	0.54887	0.55258	0.54876	0.54929	35875	0	6
2024.07.05	0.55040	0.55165	0.54924	0.55035	54033	0	6
2024.07.08	0.54907	0.55083	0.54885	0.54966	45544	0	6
2024.07.09	0.54914	0.55052	0.54866	0.54975	43332	0	6
2024.07.10	0.54878	0.55045	0.54428	0.54683	42564	0	6
2024.07.11	0.54695	0.54833	0.54518	0.54625	55259	0	6
2024.07.12	0.54543	0.54792	0.54465	0.54720	57451	0	6
2024.07.15	0.54554	0.54711	0.54390	0.54393	54482	0	6
2024.07.16	0.54378	0.54423	0.54043	0.54049	47116	0	6
2024.07.17	0.53948	0.54372	0.53617	0.53709	58096	0	6
2024.07.18	0.53612	0.53782	0.53585	0.53644	55889	0	6
2024.07.19	0.53514	0.53670	0.53367	0.53407	50623	0	6
2024.07.22	0.53369	0.53518	0.53113	0.53171	50315	0	6
2024.07.23	0.53120	0.53199	0.53031	0.53072	46974	0	6
2024.07.24	0.53032	0.53086	0.52445	0.52461	55207	0	6
2024.07.25	0.52392	0.52493	0.51682	0.51883	71968	0	6
2024.07.26	0.51810	0.52158	0.51796	0.52020	50181	0	6
2024.07.29	0.51958	0.52131	0.51900	0.52048	47715	0	6
2024.07.30	0.51975	0.52358	0.51923	0.52077	50496	0	7
2024.07.31	0.52078	0.52425	0.51898	0.52229	79875	0	6
2024.08.01	0.52152	0.52335	0.51843	0.51917	75047	0	6
2024.08.02	0.51831	0.52011	0.51094	0.51099	84499	0	6
2024.08.05	0.51036	0.51175	0.49438	0.50433	135343	0	6
2024.08.06	0.50542	0.51124	0.50401	0.50671	104460	0	6
2024.08.07	0.50532	0.52159	0.50532	0.51627	91011	0	6
2024.08.08	0.51550	0.52113	0.51298	0.52100	91785	0	6
2024.08.09	0.51973	0.52290	0.51831	0.51893	71756	0	6
2024.08.12	0.51783	0.52511	0.51751	0.52063	59872	0	6
2024.08.13	0.52001	0.52573	0.51980	0.52423	66597	0	6
2024.08.14	0.52416	0.52629	0.51794	0.51868	71027	0	6
