<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.53693	0.53880	0.53635	0.53866	5995	0	4
2024.03.01	04:00:00	0.53865	0.53899	0.53836	0.53869	6277	0	0
2024.03.01	08:00:00	0.53871	0.53968	0.53862	0.53888	10109	0	46
2024.03.01	12:00:00	0.53888	0.54016	0.53880	0.54016	10836	0	46
2024.03.01	16:00:00	0.54015	0.54087	0.53926	0.53945	12132	0	30
2024.03.01	20:00:00	0.53945	0.53964	0.53859	0.53934	5971	0	0
2024.03.04	00:00:00	0.53876	0.53980	0.53837	0.53844	4221	0	0
2024.03.04	04:00:00	0.53844	0.53863	0.53795	0.53816	3533	0	0
2024.03.04	08:00:00	0.53817	0.53872	0.53702	0.53857	7015	0	0
2024.03.04	12:00:00	0.53857	0.53986	0.53856	0.53889	6504	0	30
2024.03.04	16:00:00	0.53888	0.54018	0.53876	0.53883	10526	0	46
2024.03.04	20:00:00	0.53874	0.53937	0.53823	0.53877	4559	0	0
2024.03.05	00:00:00	0.53888	0.53967	0.53827	0.53930	6651	0	0
2024.03.05	04:00:00	0.53931	0.53936	0.53830	0.53839	5912	0	0
2024.03.05	08:00:00	0.53838	0.53867	0.53732	0.53785	9931	0	0
2024.03.05	12:00:00	0.53787	0.53902	0.53782	0.53842	8201	0	0
2024.03.05	16:00:00	0.53843	0.53899	0.53743	0.53798	11993	0	46
2024.03.05	20:00:00	0.53792	0.53810	0.53658	0.53716	7339	0	0
2024.03.06	00:00:00	0.53714	0.53785	0.53668	0.53755	6597	0	0
2024.03.06	04:00:00	0.53755	0.53888	0.53747	0.53871	6190	0	0
2024.03.06	08:00:00	0.53870	0.53974	0.53840	0.53952	8985	0	0
2024.03.06	12:00:00	0.53954	0.54030	0.53933	0.54004	9264	0	30
2024.03.06	16:00:00	0.54005	0.54096	0.53931	0.54060	12624	0	46
2024.03.06	20:00:00	0.54041	0.54080	0.53968	0.54011	7716	0	0
2024.03.07	00:00:00	0.53985	0.54083	0.53920	0.54047	7464	0	0
2024.03.07	04:00:00	0.54045	0.54163	0.54012	0.54130	8141	0	45
2024.03.07	08:00:00	0.54127	0.54229	0.54114	0.54192	9558	0	30
2024.03.07	12:00:00	0.54190	0.54247	0.54110	0.54193	10342	0	29
2024.03.07	16:00:00	0.54193	0.54224	0.54135	0.54197	12021	0	46
2024.03.07	20:00:00	0.54197	0.54218	0.54107	0.54130	6810	0	0
2024.03.08	00:00:00	0.54137	0.54211	0.54049	0.54083	6358	0	0
2024.03.08	04:00:00	0.54083	0.54181	0.54055	0.54158	6576	0	0
2024.03.08	08:00:00	0.54158	0.54208	0.54108	0.54183	9629	0	46
2024.03.08	12:00:00	0.54184	0.54271	0.54136	0.54210	10069	0	47
2024.03.08	16:00:00	0.54209	0.54279	0.54095	0.54123	13652	0	46
2024.03.08	20:00:00	0.54124	0.54205	0.54105	0.54165	6039	0	0
2024.03.11	00:00:00	0.53975	0.54211	0.53914	0.54160	5628	0	0
2024.03.11	04:00:00	0.54160	0.54187	0.54108	0.54157	6250	0	0
2024.03.11	08:00:00	0.54157	0.54188	0.54001	0.54012	8684	0	43
2024.03.11	12:00:00	0.54012	0.54179	0.54012	0.54117	8691	0	30
2024.03.11	16:00:00	0.54117	0.54188	0.54107	0.54175	10417	0	46
2024.03.11	20:00:00	0.54177	0.54179	0.54045	0.54096	6516	0	0
2024.03.12	00:00:00	0.54092	0.54147	0.54036	0.54081	6139	0	0
2024.03.12	04:00:00	0.54081	0.54157	0.54061	0.54102	8021	0	0
2024.03.12	08:00:00	0.54102	0.54120	0.53973	0.53996	9002	0	47
2024.03.12	12:00:00	0.53996	0.54087	0.53866	0.54036	10662	0	46
2024.03.12	16:00:00	0.54037	0.54044	0.53924	0.53939	13594	0	46
2024.03.12	20:00:00	0.53940	0.54008	0.53879	0.53879	8185	0	0
2024.03.13	00:00:00	0.53860	0.53964	0.53799	0.53911	4971	0	0
2024.03.13	04:00:00	0.53911	0.54095	0.53899	0.54061	6769	0	0
2024.03.13	08:00:00	0.54062	0.54132	0.54041	0.54097	8644	0	0
2024.03.13	12:00:00	0.54097	0.54105	0.53953	0.53976	9273	0	46
2024.03.13	16:00:00	0.53977	0.54059	0.53958	0.54049	10979	0	46
2024.03.13	20:00:00	0.54048	0.54095	0.54032	0.54065	7171	0	0
2024.03.14	00:00:00	0.54085	0.54164	0.53957	0.54148	5089	0	0
2024.03.14	04:00:00	0.54149	0.54228	0.54097	0.54142	6809	0	0
2024.03.14	08:00:00	0.54142	0.54213	0.54123	0.54178	8813	0	0
2024.03.14	12:00:00	0.54179	0.54264	0.54098	0.54152	9724	0	46
2024.03.14	16:00:00	0.54152	0.54194	0.54066	0.54160	13172	0	46
2024.03.14	20:00:00	0.54157	0.54185	0.54083	0.54140	6626	0	0
2024.03.15	00:00:00	0.54141	0.54200	0.53997	0.54006	4942	0	0
2024.03.15	04:00:00	0.54007	0.54018	0.53915	0.53966	6280	0	0
2024.03.15	08:00:00	0.53967	0.54005	0.53822	0.53840	9072	0	0
