<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	91.258	91.755	90.856	91.579	69094	0	14
2024.03.04	91.569	91.811	91.491	91.674	51576	0	20
2024.03.05	91.696	91.747	91.119	91.266	65650	0	5
2024.03.06	91.262	91.650	91.023	91.465	66696	0	5
2024.03.07	91.493	91.529	90.927	91.329	76402	0	10
2024.03.08	91.274	91.397	90.693	90.772	69510	0	6
2024.03.11	90.676	90.823	90.421	90.614	60080	0	7
2024.03.12	90.653	91.037	90.432	90.765	69904	0	4
2024.03.13	90.695	91.107	90.512	90.915	64388	0	4
2024.03.14	90.957	91.195	90.731	90.880	63850	0	4
2024.03.15	90.892	90.944	90.342	90.630	58740	0	4
2024.03.18	90.615	90.969	90.559	90.727	55584	0	4
2024.03.19	90.702	91.359	90.482	91.271	63028	0	3
2024.03.20	91.177	91.992	91.148	91.912	61234	0	7
2024.03.21	91.869	92.185	91.515	91.602	68426	0	5
2024.03.22	91.551	91.749	90.675	90.719	61511	0	4
2024.03.25	90.717	90.945	90.506	90.863	52397	0	5
2024.03.26	90.875	91.229	90.763	90.908	50442	0	1
2024.03.27	90.912	91.050	90.590	90.760	57115	0	5
2024.03.28	90.762	90.801	90.147	90.357	55900	0	4
2024.03.29	90.383	90.555	90.270	90.431	24400	0	8
2024.04.01	90.480	90.688	90.088	90.246	44602	0	4
2024.04.02	90.233	90.505	90.118	90.464	53866	0	4
2024.04.03	90.467	91.158	90.207	91.088	52310	0	4
2024.04.04	91.086	91.690	90.972	91.147	49253	0	4
2024.04.05	91.149	91.247	90.792	91.144	62012	0	4
2024.04.08	90.826	91.627	90.826	91.529	50884	0	3
2024.04.09	91.511	92.170	91.431	91.922	46565	0	3
2024.04.10	91.803	92.344	91.209	91.439	78862	0	2
2024.04.11	91.489	91.947	91.259	91.885	89591	0	7
2024.04.12	91.872	92.002	90.684	90.900	89280	0	6
2024.04.15	90.910	91.584	90.754	91.060	92035	0	6
2024.04.16	91.057	91.150	90.491	90.960	93749	0	5
2024.04.17	90.824	91.423	90.645	91.275	86046	0	5
2024.04.18	91.269	91.594	91.093	91.236	79223	0	5
2024.04.19	91.213	91.276	89.933	91.029	106225	0	5
2024.04.22	90.875	91.677	90.833	91.607	70290	0	5
2024.04.23	91.561	91.984	91.356	91.754	68587	0	3
2024.04.24	91.840	92.155	91.641	92.132	68686	0	3
2024.04.25	91.945	92.821	91.945	92.540	78211	0	2
2024.04.26	92.345	94.067	92.335	94.028	87995	0	5
2024.04.29	93.940	95.375	92.169	93.420	107601	0	5
2024.04.30	93.420	93.628	92.800	92.813	75498	0	5
2024.05.01	92.711	93.292	90.773	91.629	73527	0	3
2024.05.02	91.624	92.544	91.152	91.541	100660	0	16
2024.05.03	91.425	92.064	91.167	91.919	86199	0	7
2024.05.06	91.930	92.610	91.624	92.359	60458	0	2
2024.05.07	92.396	92.954	92.300	92.808	64767	0	3
2024.05.08	92.639	93.393	92.617	93.288	58912	0	3
2024.05.09	93.199	93.805	93.132	93.738	61679	0	5
2024.05.10	93.655	93.905	93.571	93.733	71155	0	4
2024.05.13	93.533	94.013	93.441	93.929	62694	0	4
2024.05.14	93.915	94.510	93.801	94.446	71199	0	4
2024.05.15	94.285	94.831	94.129	94.741	77238	0	4
2024.05.16	94.563	95.118	94.139	95.070	84204	0	3
2024.05.17	94.972	95.555	94.925	95.420	63135	0	3
2024.05.20	95.239	95.598	95.045	95.338	60196	0	3
2024.05.21	95.297	95.569	95.062	95.081	70706	0	4
2024.05.22	94.973	96.094	94.973	95.488	77817	0	4
2024.05.23	95.489	96.109	95.405	95.648	83627	0	4
2024.05.24	95.619	96.133	95.570	96.054	66779	0	6
2024.05.27	95.781	96.539	95.775	96.346	47308	0	3
2024.05.28	96.345	96.723	96.327	96.455	71616	0	3
2024.05.29	96.378	96.687	96.214	96.300	77270	0	1
2024.05.30	96.332	96.387	95.409	95.769	86566	0	4
2024.05.31	95.825	96.680	95.732	96.550	92343	0	4
2024.06.03	96.390	96.791	96.266	96.577	94621	0	4
2024.06.04	96.445	96.842	95.248	95.608	105034	0	3
2024.06.05	95.605	96.733	95.531	96.583	93885	0	4
2024.06.06	96.581	96.722	96.170	96.397	89438	0	3
2024.06.07	96.310	96.587	95.528	95.638	97565	0	4
2024.06.10	95.545	96.220	95.477	96.168	87575	0	8
