<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	91.258	91.630	90.856	91.619	9311	0	25
2024.03.01	04:00:00	91.619	91.661	91.558	91.612	9998	0	32
2024.03.01	08:00:00	91.612	91.743	91.566	91.731	12053	0	27
2024.03.01	12:00:00	91.733	91.753	91.583	91.673	14281	0	33
2024.03.01	16:00:00	91.673	91.755	91.558	91.651	15492	0	33
2024.03.01	20:00:00	91.649	91.692	91.573	91.579	7959	0	14
2024.03.04	00:00:00	91.569	91.695	91.491	91.515	6730	0	29
2024.03.04	04:00:00	91.515	91.639	91.494	91.614	5120	0	31
2024.03.04	08:00:00	91.614	91.752	91.502	91.714	11669	0	27
2024.03.04	12:00:00	91.714	91.811	91.639	91.698	8802	0	20
2024.03.04	16:00:00	91.697	91.803	91.649	91.739	13176	0	33
2024.03.04	20:00:00	91.719	91.739	91.613	91.674	6079	0	30
2024.03.05	00:00:00	91.696	91.747	91.583	91.661	8432	0	5
2024.03.05	04:00:00	91.663	91.694	91.506	91.518	9540	0	32
2024.03.05	08:00:00	91.515	91.552	91.265	91.354	11816	0	32
2024.03.05	12:00:00	91.350	91.506	91.279	91.299	10715	0	21
2024.03.05	16:00:00	91.301	91.527	91.272	91.403	15463	0	33
2024.03.05	20:00:00	91.391	91.399	91.119	91.266	9684	0	7
2024.03.06	00:00:00	91.262	91.327	91.023	91.163	8267	0	5
2024.03.06	04:00:00	91.163	91.354	91.148	91.338	8113	0	32
2024.03.06	08:00:00	91.336	91.377	91.058	91.308	12388	0	33
2024.03.06	12:00:00	91.309	91.427	91.248	91.313	11876	0	23
2024.03.06	16:00:00	91.315	91.650	91.280	91.557	16181	0	33
2024.03.06	20:00:00	91.510	91.570	91.431	91.465	9871	0	30
2024.03.07	00:00:00	91.493	91.529	91.094	91.121	10631	0	19
2024.03.07	04:00:00	91.117	91.331	91.108	91.268	13181	0	32
2024.03.07	08:00:00	91.265	91.299	90.927	91.071	13897	0	32
2024.03.07	12:00:00	91.071	91.140	90.967	91.089	14075	0	33
2024.03.07	16:00:00	91.090	91.428	91.062	91.376	16011	0	32
2024.03.07	20:00:00	91.377	91.412	91.309	91.329	8607	0	10
2024.03.08	00:00:00	91.274	91.367	91.130	91.243	8524	0	6
2024.03.08	04:00:00	91.243	91.323	91.196	91.267	9679	0	32
2024.03.08	08:00:00	91.266	91.397	90.859	90.980	12754	0	27
2024.03.08	12:00:00	90.982	91.125	90.894	91.060	12582	0	21
2024.03.08	16:00:00	91.059	91.144	90.780	90.786	16998	0	33
2024.03.08	20:00:00	90.788	90.844	90.693	90.772	8973	0	8
2024.03.11	00:00:00	90.676	90.823	90.598	90.629	7958	0	11
2024.03.11	04:00:00	90.628	90.761	90.537	90.664	8987	0	33
2024.03.11	08:00:00	90.663	90.800	90.421	90.492	10779	0	32
2024.03.11	12:00:00	90.492	90.635	90.469	90.547	10744	0	19
2024.03.11	16:00:00	90.549	90.713	90.500	90.608	13004	0	33
2024.03.11	20:00:00	90.614	90.660	90.484	90.614	8608	0	7
2024.03.12	00:00:00	90.653	90.658	90.432	90.551	7495	0	27
2024.03.12	04:00:00	90.553	90.996	90.553	90.937	10243	0	32
2024.03.12	08:00:00	90.936	91.037	90.743	90.779	12302	0	32
2024.03.12	12:00:00	90.780	91.002	90.748	90.966	13422	0	4
2024.03.12	16:00:00	90.967	91.036	90.711	90.756	16636	0	33
2024.03.12	20:00:00	90.758	90.847	90.710	90.765	9806	0	8
2024.03.13	00:00:00	90.695	90.797	90.545	90.575	7420	0	5
2024.03.13	04:00:00	90.574	90.913	90.512	90.908	10258	0	4
2024.03.13	08:00:00	90.909	91.107	90.888	91.079	12346	0	7
2024.03.13	12:00:00	91.079	91.091	90.940	91.031	11781	0	33
2024.03.13	16:00:00	91.030	91.104	90.917	90.975	13463	0	33
2024.03.13	20:00:00	90.973	91.040	90.880	90.915	9120	0	8
2024.03.14	00:00:00	90.957	91.047	90.731	90.997	7002	0	4
2024.03.14	04:00:00	90.997	91.180	90.981	91.101	8046	0	5
2024.03.14	08:00:00	91.104	91.130	91.024	91.060	10842	0	8
2024.03.14	12:00:00	91.060	91.195	90.988	91.040	12122	0	32
2024.03.14	16:00:00	91.039	91.099	90.765	90.899	16953	0	32
2024.03.14	20:00:00	90.897	90.944	90.738	90.880	8885	0	9
2024.03.15	00:00:00	90.892	90.944	90.627	90.629	6259	0	4
2024.03.15	04:00:00	90.629	90.678	90.423	90.487	8964	0	4
2024.03.15	08:00:00	90.489	90.647	90.342	90.574	12197	0	32
2024.03.15	12:00:00	90.576	90.727	90.572	90.695	10599	0	32
2024.03.15	16:00:00	90.696	90.823	90.655	90.683	13297	0	32
2024.03.15	20:00:00	90.684	90.740	90.616	90.630	7424	0	8
2024.03.18	00:00:00	90.615	90.819	90.595	90.814	6604	0	6
2024.03.18	04:00:00	90.816	90.885	90.750	90.843	9963	0	4
2024.03.18	08:00:00	90.843	90.949	90.809	90.934	10323	0	32
2024.03.18	12:00:00	90.933	90.969	90.785	90.845	10238	0	6
2024.03.18	16:00:00	90.844	90.906	90.651	90.667	11484	0	32
2024.03.18	20:00:00	90.665	90.746	90.559	90.727	6972	0	4
2024.03.19	00:00:00	90.702	90.759	90.545	90.617	5322	0	5
2024.03.19	04:00:00	90.615	90.983	90.482	90.890	13146	0	9
2024.03.19	08:00:00	90.892	91.081	90.760	90.898	13877	0	32
2024.03.19	12:00:00	90.898	91.082	90.819	91.060	11966	0	9
2024.03.19	16:00:00	91.061	91.349	91.011	91.340	12059	0	32
2024.03.19	20:00:00	91.342	91.359	91.264	91.271	6658	0	3
2024.03.20	00:00:00	91.177	91.421	91.148	91.383	6900	0	7
2024.03.20	04:00:00	91.384	91.596	91.374	91.479	9667	0	9
