<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.60715	0.61112	0.60650	0.61053	41511	0	2
2024.03.04	0.61074	0.61109	0.60874	0.60923	28537	0	1
2024.03.05	0.60988	0.61091	0.60701	0.60853	37362	0	1
2024.03.06	0.60869	0.61432	0.60680	0.61285	41678	0	1
2024.03.07	0.61225	0.61754	0.61172	0.61731	42381	0	1
2024.03.08	0.61733	0.62161	0.61605	0.61755	52708	0	1
2024.03.11	0.61702	0.61816	0.61594	0.61689	33641	0	1
2024.03.12	0.61709	0.61838	0.61338	0.61498	45466	0	1
2024.03.13	0.61459	0.61690	0.61341	0.61558	32986	0	2
2024.03.14	0.61566	0.61743	0.61208	0.61295	41170	0	3
2024.03.15	0.61287	0.61324	0.60801	0.60828	34314	0	3
2024.03.18	0.60843	0.60995	0.60768	0.60844	25753	0	2
2024.03.19	0.60852	0.60860	0.60334	0.60508	34871	0	2
2024.03.20	0.60518	0.60845	0.60238	0.60798	39705	0	4
2024.03.21	0.60799	0.61060	0.60375	0.60428	42041	0	1
2024.03.22	0.60435	0.60512	0.59885	0.59910	36054	0	3
2024.03.25	0.59992	0.60121	0.59850	0.60024	28759	0	2
2024.03.26	0.60002	0.60300	0.59955	0.60032	26661	0	2
2024.03.27	0.60045	0.60098	0.59871	0.60030	27867	0	2
2024.03.28	0.60045	0.60047	0.59557	0.59714	30874	0	2
2024.03.29	0.59697	0.59871	0.59566	0.59765	8543	0	2
2024.04.01	0.59800	0.59923	0.59387	0.59523	23502	0	2
2024.04.02	0.59540	0.59725	0.59426	0.59702	28799	0	1
2024.04.03	0.59704	0.60103	0.59491	0.60083	36112	0	1
2024.04.04	0.60073	0.60458	0.59750	0.60240	26475	0	2
2024.04.05	0.60250	0.60303	0.59848	0.60106	36312	0	3
2024.04.08	0.60100	0.60379	0.59917	0.60308	27775	0	2
2024.04.09	0.60286	0.60760	0.60261	0.60587	24589	0	1
2024.04.10	0.60555	0.60819	0.59651	0.59733	45919	0	3
2024.04.11	0.59745	0.60139	0.59659	0.59960	43353	0	1
2024.04.12	0.59938	0.60094	0.59328	0.59346	43912	0	1
2024.04.15	0.59410	0.59528	0.58976	0.59024	44500	0	2
2024.04.16	0.59008	0.59065	0.58676	0.58796	51905	0	3
2024.04.17	0.58784	0.59242	0.58590	0.59157	44915	0	3
2024.04.18	0.59156	0.59321	0.58981	0.59009	37192	0	1
2024.04.19	0.59013	0.59055	0.58512	0.58866	56308	0	2
2024.04.22	0.58804	0.59278	0.58763	0.59181	31332	0	2
2024.04.23	0.59177	0.59472	0.59016	0.59307	32068	0	3
2024.04.24	0.59316	0.59513	0.59197	0.59352	31892	0	3
2024.04.25	0.59289	0.59676	0.59192	0.59472	42637	0	4
2024.04.26	0.59413	0.59688	0.59282	0.59384	39492	0	3
2024.04.29	0.59520	0.59837	0.59387	0.59764	46007	0	3
2024.04.30	0.59650	0.59794	0.58850	0.58866	46419	0	2
2024.05.01	0.58901	0.59393	0.58727	0.59285	51030	0	3
2024.05.02	0.59276	0.59670	0.59133	0.59611	56836	0	4
2024.05.03	0.59519	0.60465	0.59462	0.60093	56373	0	3
2024.05.06	0.60130	0.60311	0.59948	0.60087	30373	0	2
2024.05.07	0.60007	0.60242	0.59945	0.60010	34888	0	3
2024.05.08	0.59968	0.60039	0.59803	0.60028	27781	0	2
2024.05.09	0.59973	0.60349	0.59918	0.60335	31740	0	2
2024.05.10	0.60251	0.60398	0.60080	0.60187	31092	0	3
2024.05.13	0.60123	0.60302	0.59996	0.60155	30904	0	2
2024.05.14	0.60096	0.60421	0.59933	0.60399	33508	0	1
2024.05.15	0.60268	0.61237	0.60268	0.61210	36944	0	2
2024.05.16	0.61077	0.61397	0.60946	0.61207	32621	0	2
2024.05.17	0.61099	0.61393	0.61003	0.61329	26462	0	2
2024.05.20	0.61310	0.61371	0.60956	0.61042	29780	0	2
