<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.60715	0.60950	0.60650	0.60939	4511	0	5
2024.03.01	04:00:00	0.60939	0.60964	0.60889	0.60896	3304	0	4
2024.03.01	08:00:00	0.60900	0.60954	0.60806	0.60906	7020	0	2
2024.03.01	12:00:00	0.60906	0.60988	0.60817	0.60856	8760	0	2
2024.03.01	16:00:00	0.60857	0.61112	0.60778	0.61044	13667	0	6
2024.03.01	20:00:00	0.61045	0.61076	0.60979	0.61053	4249	0	3
2024.03.04	00:00:00	0.61074	0.61109	0.60940	0.60961	4389	0	6
2024.03.04	04:00:00	0.60960	0.61023	0.60930	0.60957	3289	0	1
2024.03.04	08:00:00	0.60957	0.61071	0.60898	0.61046	5647	0	6
2024.03.04	12:00:00	0.61046	0.61056	0.60874	0.60947	5311	0	6
2024.03.04	16:00:00	0.60946	0.61049	0.60911	0.60949	7163	0	2
2024.03.04	20:00:00	0.60946	0.60970	0.60889	0.60923	2738	0	1
2024.03.05	00:00:00	0.60988	0.60988	0.60797	0.60923	4430	0	5
2024.03.05	04:00:00	0.60923	0.60939	0.60810	0.60814	4143	0	2
2024.03.05	08:00:00	0.60815	0.60835	0.60701	0.60740	6375	0	6
2024.03.05	12:00:00	0.60742	0.60858	0.60732	0.60834	6320	0	1
2024.03.05	16:00:00	0.60835	0.61091	0.60817	0.60902	11683	0	6
2024.03.05	20:00:00	0.60901	0.60918	0.60806	0.60853	4411	0	3
2024.03.06	00:00:00	0.60869	0.60905	0.60680	0.60765	4910	0	5
2024.03.06	04:00:00	0.60764	0.60967	0.60759	0.60931	3679	0	1
2024.03.06	08:00:00	0.60931	0.61027	0.60908	0.61026	6432	0	2
2024.03.06	12:00:00	0.61018	0.61154	0.60959	0.61139	7346	0	2
2024.03.06	16:00:00	0.61139	0.61432	0.61120	0.61320	13076	0	6
2024.03.06	20:00:00	0.61320	0.61385	0.61254	0.61285	6235	0	3
2024.03.07	00:00:00	0.61225	0.61366	0.61172	0.61314	5707	0	9
2024.03.07	04:00:00	0.61313	0.61495	0.61262	0.61407	5138	0	4
2024.03.07	08:00:00	0.61407	0.61568	0.61386	0.61544	7493	0	6
2024.03.07	12:00:00	0.61546	0.61725	0.61535	0.61649	9298	0	6
2024.03.07	16:00:00	0.61649	0.61754	0.61555	0.61702	11500	0	8
2024.03.07	20:00:00	0.61702	0.61745	0.61695	0.61731	3245	0	1
2024.03.08	00:00:00	0.61733	0.61832	0.61605	0.61665	4322	0	4
2024.03.08	04:00:00	0.61665	0.61762	0.61632	0.61755	5021	0	1
2024.03.08	08:00:00	0.61754	0.61879	0.61701	0.61840	8762	0	6
2024.03.08	12:00:00	0.61837	0.62161	0.61716	0.61966	10835	0	2
2024.03.08	16:00:00	0.61966	0.62068	0.61728	0.61752	17575	0	15
2024.03.08	20:00:00	0.61753	0.61782	0.61681	0.61755	6193	0	3
2024.03.11	00:00:00	0.61702	0.61807	0.61667	0.61754	3974	0	6
2024.03.11	04:00:00	0.61753	0.61816	0.61672	0.61721	5022	0	1
2024.03.11	08:00:00	0.61721	0.61784	0.61659	0.61683	6427	0	6
2024.03.11	12:00:00	0.61683	0.61808	0.61673	0.61673	6249	0	1
2024.03.11	16:00:00	0.61672	0.61729	0.61594	0.61697	8443	0	2
2024.03.11	20:00:00	0.61700	0.61719	0.61619	0.61689	3526	0	1
2024.03.12	00:00:00	0.61709	0.61720	0.61608	0.61660	3934	0	1
2024.03.12	04:00:00	0.61661	0.61751	0.61635	0.61702	5753	0	5
2024.03.12	08:00:00	0.61701	0.61741	0.61603	0.61623	6991	0	6
2024.03.12	12:00:00	0.61621	0.61838	0.61362	0.61614	10270	0	6
2024.03.12	16:00:00	0.61615	0.61615	0.61347	0.61450	14305	0	11
2024.03.12	20:00:00	0.61450	0.61525	0.61338	0.61498	4213	0	2
2024.03.13	00:00:00	0.61459	0.61507	0.61341	0.61464	3423	0	4
2024.03.13	04:00:00	0.61464	0.61641	0.61444	0.61609	4728	0	2
2024.03.13	08:00:00	0.61608	0.61690	0.61561	0.61599	6259	0	11
2024.03.13	12:00:00	0.61598	0.61602	0.61482	0.61534	5565	0	7
2024.03.13	16:00:00	0.61535	0.61630	0.61528	0.61593	7685	0	10
2024.03.13	20:00:00	0.61592	0.61675	0.61532	0.61558	5326	0	2
2024.03.14	00:00:00	0.61566	0.61675	0.61468	0.61657	4308	0	4
2024.03.14	04:00:00	0.61657	0.61743	0.61531	0.61590	3639	0	3
2024.03.14	08:00:00	0.61589	0.61637	0.61551	0.61589	5546	0	10
2024.03.14	12:00:00	0.61589	0.61726	0.61531	0.61580	9510	0	10
2024.03.14	16:00:00	0.61579	0.61612	0.61218	0.61343	13493	0	10
2024.03.14	20:00:00	0.61343	0.61356	0.61208	0.61295	4674	0	3
2024.03.15	00:00:00	0.61287	0.61324	0.61050	0.61057	3665	0	4
2024.03.15	04:00:00	0.61055	0.61089	0.60948	0.61015	4777	0	3
2024.03.15	08:00:00	0.61016	0.61060	0.60895	0.60909	6176	0	8
2024.03.15	12:00:00	0.60910	0.61029	0.60894	0.60956	6166	0	8
2024.03.15	16:00:00	0.60957	0.61030	0.60821	0.60826	9456	0	11
2024.03.15	20:00:00	0.60826	0.60893	0.60801	0.60828	4074	0	3
2024.03.18	00:00:00	0.60843	0.60884	0.60798	0.60840	3099	0	5
2024.03.18	04:00:00	0.60839	0.60986	0.60796	0.60926	4577	0	4
2024.03.18	08:00:00	0.60924	0.60991	0.60860	0.60981	4059	0	9
2024.03.18	12:00:00	0.60981	0.60995	0.60881	0.60899	4604	0	6
2024.03.18	16:00:00	0.60900	0.60939	0.60791	0.60797	6463	0	11
2024.03.18	20:00:00	0.60798	0.60847	0.60768	0.60844	2951	0	2
2024.03.19	00:00:00	0.60852	0.60860	0.60703	0.60736	2959	0	4
2024.03.19	04:00:00	0.60733	0.60819	0.60608	0.60614	8197	0	4
2024.03.19	08:00:00	0.60613	0.60618	0.60408	0.60470	8201	0	10
2024.03.19	12:00:00	0.60470	0.60528	0.60334	0.60511	6869	0	9
2024.03.19	16:00:00	0.60511	0.60559	0.60427	0.60518	5637	0	9
2024.03.19	20:00:00	0.60519	0.60561	0.60487	0.60508	3008	0	2
2024.03.20	00:00:00	0.60518	0.60548	0.60361	0.60458	4397	0	4
2024.03.20	04:00:00	0.60460	0.60550	0.60389	0.60392	4007	0	4
2024.03.20	08:00:00	0.60392	0.60493	0.60327	0.60359	4815	0	10
2024.03.20	12:00:00	0.60357	0.60363	0.60238	0.60297	4837	0	10
2024.03.20	16:00:00	0.60297	0.60384	0.60261	0.60381	5133	0	10
2024.03.20	20:00:00	0.60381	0.60845	0.60312	0.60798	16516	0	4
2024.03.21	00:00:00	0.60799	0.60918	0.60498	0.60877	7037	0	4
2024.03.21	04:00:00	0.60880	0.61003	0.60859	0.60934	5770	0	5
2024.03.21	08:00:00	0.60934	0.61060	0.60821	0.60850	7504	0	10
2024.03.21	12:00:00	0.60852	0.60934	0.60714	0.60731	8595	0	12
2024.03.21	16:00:00	0.60730	0.60732	0.60423	0.60433	10064	0	9
2024.03.21	20:00:00	0.60433	0.60446	0.60375	0.60428	3071	0	1
2024.03.22	00:00:00	0.60435	0.60512	0.60396	0.60487	3782	0	5
2024.03.22	04:00:00	0.60486	0.60500	0.60098	0.60111	7397	0	3
2024.03.22	08:00:00	0.60111	0.60176	0.60025	0.60079	7289	0	9
2024.03.22	12:00:00	0.60080	0.60142	0.59980	0.60097	6191	0	11
2024.03.22	16:00:00	0.60097	0.60158	0.59915	0.59947	8266	0	10
2024.03.22	20:00:00	0.59946	0.59977	0.59885	0.59910	3129	0	4
2024.03.25	00:00:00	0.59992	0.59992	0.59850	0.59922	3852	0	4
2024.03.25	04:00:00	0.59922	0.60121	0.59903	0.59968	7070	0	4
2024.03.25	08:00:00	0.59968	0.60050	0.59880	0.60023	5976	0	9
2024.03.25	12:00:00	0.60023	0.60081	0.59981	0.60016	4584	0	9
2024.03.25	16:00:00	0.60015	0.60113	0.60000	0.60017	5195	0	9
2024.03.25	20:00:00	0.60018	0.60044	0.59993	0.60024	2082	0	2
2024.03.26	00:00:00	0.60002	0.60064	0.59955	0.60059	2818	0	2
2024.03.26	04:00:00	0.60058	0.60133	0.60007	0.60045	5029	0	3
2024.03.26	08:00:00	0.60045	0.60170	0.60026	0.60163	4895	0	9
2024.03.26	12:00:00	0.60163	0.60300	0.60143	0.60173	5342	0	9
2024.03.26	16:00:00	0.60173	0.60199	0.60058	0.60071	5695	0	8
2024.03.26	20:00:00	0.60071	0.60115	0.59994	0.60032	2882	0	4
2024.03.27	00:00:00	0.60045	0.60071	0.59960	0.59984	3465	0	4
2024.03.27	04:00:00	0.59984	0.60002	0.59871	0.59986	5220	0	3
2024.03.27	08:00:00	0.59984	0.60061	0.59954	0.59974	5031	0	8
2024.03.27	12:00:00	0.59972	0.60098	0.59937	0.59944	6422	0	8
2024.03.27	16:00:00	0.59944	0.60079	0.59926	0.59983	5248	0	9
2024.03.27	20:00:00	0.59983	0.60044	0.59952	0.60030	2481	0	2
2024.03.28	00:00:00	0.60045	0.60047	0.59795	0.59898	4065	0	4
2024.03.28	04:00:00	0.59897	0.60035	0.59844	0.59910	4835	0	4
2024.03.28	08:00:00	0.59910	0.59964	0.59628	0.59633	5472	0	9
2024.03.28	12:00:00	0.59630	0.59729	0.59557	0.59724	6257	0	8
2024.03.28	16:00:00	0.59724	0.59868	0.59698	0.59807	7678	0	10
2024.03.28	20:00:00	0.59807	0.59836	0.59701	0.59714	2567	0	2
2024.03.29	00:00:00	0.59697	0.59776	0.59667	0.59743	1572	0	3
2024.03.29	04:00:00	0.59738	0.59757	0.59665	0.59706	1174	0	2
2024.03.29	08:00:00	0.59708	0.59726	0.59658	0.59702	1493	0	2
2024.03.29	12:00:00	0.59714	0.59870	0.59566	0.59817	1505	0	7
2024.03.29	16:00:00	0.59817	0.59871	0.59788	0.59795	1403	0	9
2024.03.29	20:00:00	0.59796	0.59840	0.59672	0.59765	1396	0	11
2024.04.01	00:00:00	0.59800	0.59917	0.59707	0.59890	4457	0	4
2024.04.01	04:00:00	0.59890	0.59923	0.59766	0.59799	3461	0	4
2024.04.01	08:00:00	0.59799	0.59842	0.59728	0.59820	2965	0	9
2024.04.01	12:00:00	0.59820	0.59835	0.59636	0.59694	3768	0	8
2024.04.01	16:00:00	0.59694	0.59709	0.59387	0.59421	6574	0	10
2024.04.01	20:00:00	0.59421	0.59525	0.59416	0.59523	2277	0	2
2024.04.02	00:00:00	0.59540	0.59541	0.59465	0.59489	2956	0	2
2024.04.02	04:00:00	0.59495	0.59540	0.59432	0.59456	4429	0	4
2024.04.02	08:00:00	0.59455	0.59569	0.59426	0.59549	6310	0	9
2024.04.02	12:00:00	0.59547	0.59598	0.59511	0.59547	4904	0	8
2024.04.02	16:00:00	0.59546	0.59725	0.59498	0.59612	7795	0	10
2024.04.02	20:00:00	0.59613	0.59722	0.59594	0.59702	2405	0	1
2024.04.03	00:00:00	0.59704	0.59743	0.59491	0.59589	2899	0	2
2024.04.03	04:00:00	0.59589	0.59767	0.59518	0.59715	3983	0	2
2024.04.03	08:00:00	0.59715	0.59755	0.59593	0.59647	4279	0	8
2024.04.03	12:00:00	0.59647	0.59729	0.59611	0.59660	6496	0	8
2024.04.03	16:00:00	0.59661	0.60070	0.59621	0.60031	14341	0	15
2024.04.03	20:00:00	0.60032	0.60103	0.59993	0.60083	4114	0	1
2024.04.04	00:00:00	0.60073	0.60233	0.59750	0.60226	2957	0	3
2024.04.04	04:00:00	0.60226	0.60290	0.60176	0.60267	3185	0	2
