<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	1.35592	1.36011	1.35445	1.35583	48346	0	5
2024.03.04	1.35474	1.35834	1.35450	1.35727	52508	0	5
2024.03.05	1.35703	1.36046	1.35550	1.35916	54725	0	6
2024.03.06	1.35875	1.35994	1.34983	1.35127	60576	0	2
2024.03.07	1.35131	1.35251	1.34536	1.34578	57389	0	3
2024.03.08	1.34554	1.34974	1.34194	1.34825	66455	0	5
2024.03.11	1.34765	1.35092	1.34689	1.34814	51356	0	4
2024.03.12	1.34824	1.35250	1.34660	1.34900	59150	0	6
2024.03.13	1.34895	1.34979	1.34584	1.34702	55275	0	1
2024.03.14	1.34609	1.35407	1.34590	1.35317	53759	0	1
2024.03.15	1.35364	1.35512	1.35095	1.35386	54805	0	2
2024.03.18	1.35302	1.35511	1.35202	1.35331	40736	0	1
2024.03.19	1.35280	1.36128	1.35270	1.35658	48520	0	1
2024.03.20	1.35623	1.36043	1.34814	1.34912	52070	0	3
2024.03.21	1.34894	1.35411	1.34555	1.35287	57944	0	3
2024.03.22	1.35279	1.36135	1.35189	1.36065	43772	0	1
2024.03.25	1.35964	1.36135	1.35700	1.35854	41827	0	1
2024.03.26	1.35824	1.35902	1.35521	1.35831	42591	0	3
2024.03.27	1.35812	1.36074	1.35648	1.35670	45738	0	2
2024.03.28	1.35640	1.36132	1.35244	1.35391	49634	0	1
2024.03.29	1.35393	1.35609	1.35235	1.35364	22797	0	4
2024.04.01	1.35297	1.35861	1.35143	1.35692	40754	0	2
2024.04.02	1.35685	1.35837	1.35558	1.35654	47047	0	3
2024.04.03	1.35609	1.35884	1.35110	1.35258	55092	0	2
2024.04.04	1.35202	1.35585	1.34773	1.35411	41810	0	1
2024.04.05	1.35415	1.36467	1.35319	1.35886	56222	0	1
2024.04.08	1.35911	1.36161	1.35688	1.35711	53110	0	1
2024.04.09	1.35765	1.35980	1.35465	1.35699	56241	0	3
2024.04.10	1.35658	1.37020	1.35546	1.36804	68467	0	2
2024.04.11	1.36775	1.37251	1.36604	1.36879	65952	0	3
2024.04.12	1.36859	1.37866	1.36814	1.37719	68129	0	2
2024.04.15	1.37771	1.37929	1.37246	1.37867	74782	0	3
2024.04.16	1.37861	1.38453	1.37737	1.38274	84700	0	2
2024.04.17	1.38188	1.38371	1.37590	1.37720	73580	0	1
2024.04.18	1.37688	1.37811	1.37414	1.37661	69417	0	4
2024.04.19	1.37663	1.38038	1.37228	1.37488	90008	0	3
2024.04.22	1.37395	1.37522	1.36863	1.36993	58536	0	2
2024.04.23	1.36919	1.37137	1.36555	1.36620	60867	0	2
2024.04.24	1.36615	1.37283	1.36493	1.37015	55829	0	1
2024.04.25	1.36902	1.37305	1.36495	1.36558	60180	0	2
2024.04.26	1.36461	1.36951	1.36316	1.36684	52166	0	3
2024.04.29	1.36653	1.36763	1.36313	1.36593	49386	0	2
2024.04.30	1.36594	1.37839	1.36517	1.37767	67782	0	1
2024.05.01	1.37693	1.37825	1.37028	1.37378	72482	0	3
2024.05.02	1.37379	1.37403	1.36689	1.36725	76884	0	3
2024.05.03	1.36695	1.36911	1.36088	1.36853	76650	0	4
2024.05.06	1.36781	1.36966	1.36474	1.36645	38759	0	2
2024.05.07	1.36555	1.37408	1.36529	1.37244	49320	0	3
2024.05.08	1.37235	1.37621	1.37050	1.37192	42711	0	2
2024.05.09	1.37204	1.37376	1.36740	1.36760	45642	0	1
2024.05.10	1.36735	1.36898	1.36297	1.36717	43010	0	1
2024.05.13	1.36709	1.36891	1.36578	1.36656	37491	0	2
2024.05.14	1.36667	1.36902	1.36321	1.36496	42092	0	2
2024.05.15	1.36430	1.36603	1.35892	1.36009	47449	0	1
2024.05.16	1.35975	1.36406	1.35894	1.36164	46553	0	1
2024.05.17	1.36107	1.36432	1.36007	1.36110	40032	0	1
2024.05.20	1.36161	1.36348	1.35956	1.36241	41267	0	1
2024.05.21	1.36212	1.36749	1.36142	1.36538	47706	0	1
2024.05.22	1.36522	1.36978	1.36232	1.36926	55880	0	1
2024.05.23	1.36937	1.37428	1.36561	1.37283	62402	0	1
2024.05.24	1.37238	1.37385	1.36473	1.36636	51565	0	1
2024.05.27	1.36681	1.36704	1.36291	1.36320	24170	0	1
2024.05.28	1.36241	1.36533	1.36143	1.36447	50363	0	1
2024.05.29	1.36410	1.37188	1.36362	1.37170	57773	0	1
2024.05.30	1.37098	1.37343	1.36596	1.36786	58506	0	1
2024.05.31	1.36786	1.36892	1.36184	1.36265	66922	0	1
2024.06.03	1.36279	1.36681	1.36022	1.36265	65996	0	1
2024.06.04	1.36204	1.36984	1.36201	1.36743	73470	0	1
2024.06.05	1.36737	1.37408	1.36650	1.36931	57760	0	1
2024.06.06	1.36875	1.37095	1.36637	1.36656	54574	0	1
2024.06.07	1.36582	1.37670	1.36582	1.37655	68438	0	1
2024.06.10	1.37566	1.37812	1.37532	1.37573	57088	0	1
2024.06.11	1.37549	1.37912	1.37476	1.37571	60253	0	1
