<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	1.35592	1.35814	1.35576	1.35656	4014	0	7
2024.03.01	04:00:00	1.35656	1.35720	1.35607	1.35703	2831	0	7
2024.03.01	08:00:00	1.35702	1.35915	1.35647	1.35763	7105	0	6
2024.03.01	12:00:00	1.35763	1.35856	1.35685	1.35849	9842	0	6
2024.03.01	16:00:00	1.35848	1.36011	1.35445	1.35531	17753	0	13
2024.03.01	20:00:00	1.35531	1.35617	1.35517	1.35583	6801	0	5
2024.03.04	00:00:00	1.35474	1.35631	1.35450	1.35610	4227	0	5
2024.03.04	04:00:00	1.35610	1.35656	1.35559	1.35637	3480	0	6
2024.03.04	08:00:00	1.35637	1.35720	1.35557	1.35618	8738	0	6
2024.03.04	12:00:00	1.35618	1.35834	1.35576	1.35663	10458	0	6
2024.03.04	16:00:00	1.35662	1.35765	1.35561	1.35707	16226	0	6
2024.03.04	20:00:00	1.35707	1.35811	1.35677	1.35727	9379	0	7
2024.03.05	00:00:00	1.35703	1.35790	1.35638	1.35723	4115	0	8
2024.03.05	04:00:00	1.35724	1.35856	1.35708	1.35849	4168	0	8
2024.03.05	08:00:00	1.35848	1.36046	1.35819	1.35880	7670	0	6
2024.03.05	12:00:00	1.35877	1.35975	1.35787	1.35880	9753	0	6
2024.03.05	16:00:00	1.35880	1.35900	1.35550	1.35758	16975	0	7
2024.03.05	20:00:00	1.35759	1.35993	1.35741	1.35916	12044	0	6
2024.03.06	00:00:00	1.35875	1.35994	1.35825	1.35861	3539	0	7
2024.03.06	04:00:00	1.35860	1.35889	1.35796	1.35825	3707	0	2
2024.03.06	08:00:00	1.35825	1.35939	1.35795	1.35807	9217	0	6
2024.03.06	12:00:00	1.35805	1.35889	1.35645	1.35653	10546	0	6
2024.03.06	16:00:00	1.35653	1.35680	1.35033	1.35047	21223	0	13
2024.03.06	20:00:00	1.35048	1.35229	1.34983	1.35127	12344	0	5
2024.03.07	00:00:00	1.35131	1.35223	1.34966	1.35154	4255	0	8
2024.03.07	04:00:00	1.35149	1.35251	1.35027	1.35109	5183	0	8
2024.03.07	08:00:00	1.35109	1.35156	1.35033	1.35064	8896	0	6
2024.03.07	12:00:00	1.35064	1.35083	1.34815	1.34855	11834	0	6
2024.03.07	16:00:00	1.34855	1.34960	1.34603	1.34699	18130	0	6
2024.03.07	20:00:00	1.34699	1.34701	1.34536	1.34578	9091	0	3
2024.03.08	00:00:00	1.34554	1.34594	1.34464	1.34500	3734	0	8
2024.03.08	04:00:00	1.34500	1.34563	1.34445	1.34451	3365	0	5
2024.03.08	08:00:00	1.34450	1.34493	1.34317	1.34366	10074	0	7
2024.03.08	12:00:00	1.34364	1.34688	1.34194	1.34469	12688	0	6
2024.03.08	16:00:00	1.34468	1.34848	1.34354	1.34818	24715	0	13
2024.03.08	20:00:00	1.34819	1.34974	1.34809	1.34825	11879	0	7
2024.03.11	00:00:00	1.34765	1.34908	1.34751	1.34788	3161	0	8
2024.03.11	04:00:00	1.34788	1.34879	1.34736	1.34858	5242	0	8
2024.03.11	08:00:00	1.34858	1.34922	1.34713	1.34796	7389	0	6
2024.03.11	12:00:00	1.34797	1.35081	1.34689	1.35078	10616	0	6
2024.03.11	16:00:00	1.35079	1.35092	1.34783	1.34799	17298	0	6
2024.03.11	20:00:00	1.34798	1.34912	1.34770	1.34814	7650	0	4
2024.03.12	00:00:00	1.34824	1.34842	1.34757	1.34798	2904	0	7
2024.03.12	04:00:00	1.34798	1.34817	1.34714	1.34745	4003	0	6
2024.03.12	08:00:00	1.34745	1.34790	1.34697	1.34734	6128	0	6
2024.03.12	12:00:00	1.34734	1.35111	1.34660	1.34934	14860	0	6
2024.03.12	16:00:00	1.34933	1.35250	1.34903	1.35006	22540	0	13
2024.03.12	20:00:00	1.35005	1.35095	1.34895	1.34900	8715	0	6
2024.03.13	00:00:00	1.34895	1.34939	1.34875	1.34923	3431	0	8
2024.03.13	04:00:00	1.34923	1.34968	1.34897	1.34942	7830	0	9
2024.03.13	08:00:00	1.34942	1.34979	1.34849	1.34874	8282	0	3
2024.03.13	12:00:00	1.34873	1.34966	1.34809	1.34910	11360	0	1
2024.03.13	16:00:00	1.34907	1.34925	1.34584	1.34677	16731	0	13
2024.03.13	20:00:00	1.34676	1.34729	1.34599	1.34702	7641	0	4
2024.03.14	00:00:00	1.34609	1.34723	1.34590	1.34675	2895	0	7
2024.03.14	04:00:00	1.34676	1.34782	1.34634	1.34750	3873	0	7
2024.03.14	08:00:00	1.34753	1.34807	1.34669	1.34710	6859	0	1
2024.03.14	12:00:00	1.34708	1.34793	1.34591	1.34775	11745	0	3
2024.03.14	16:00:00	1.34776	1.35338	1.34709	1.35230	18584	0	13
2024.03.14	20:00:00	1.35230	1.35407	1.35228	1.35317	9803	0	3
2024.03.15	00:00:00	1.35364	1.35415	1.35229	1.35402	6198	0	7
2024.03.15	04:00:00	1.35404	1.35427	1.35334	1.35372	5969	0	6
2024.03.15	08:00:00	1.35372	1.35493	1.35314	1.35479	9797	0	3
