<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	0.88438	0.88921	0.88288	0.88298	58126	0	9
2024.03.04	0.88311	0.88634	0.88049	0.88484	47591	0	4
2024.03.05	0.88484	0.88657	0.88248	0.88336	53373	0	8
2024.03.06	0.88249	0.88551	0.88037	0.88198	56574	0	7
2024.03.07	0.88199	0.88228	0.87721	0.87760	59222	0	7
2024.03.08	0.87728	0.87813	0.87290	0.87576	64601	0	8
2024.03.11	0.87535	0.87943	0.87516	0.87698	49213	0	5
2024.03.12	0.87689	0.87942	0.87464	0.87723	54631	0	8
2024.03.13	0.87724	0.87891	0.87646	0.87877	39692	0	6
2024.03.14	0.87874	0.88406	0.87812	0.88365	52972	0	9
2024.03.15	0.88364	0.88519	0.88187	0.88355	42070	0	7
2024.03.18	0.88264	0.88839	0.88180	0.88771	49747	0	4
2024.03.19	0.88716	0.88980	0.88538	0.88800	56484	0	8
2024.03.20	0.88774	0.89182	0.88585	0.88678	55278	0	7
2024.03.21	0.88603	0.89935	0.88388	0.89744	73571	0	11
2024.03.22	0.89754	0.90197	0.89648	0.89710	48017	0	11
2024.03.25	0.89648	0.89950	0.89648	0.89932	40566	0	5
2024.03.26	0.89908	0.90428	0.89857	0.90392	42472	0	5
2024.03.27	0.90369	0.90710	0.90250	0.90367	38984	0	3
2024.03.28	0.90357	0.90640	0.89990	0.90154	51387	0	6
2024.03.29	0.90136	0.90268	0.89986	0.90065	63955	0	10
2024.04.01	0.90161	0.90563	0.90006	0.90418	37467	0	2
2024.04.02	0.90403	0.90903	0.90356	0.90790	45378	0	3
2024.04.03	0.90775	0.90950	0.90271	0.90283	45376	0	4
2024.04.04	0.90283	0.90744	0.90084	0.90129	43792	0	4
2024.04.05	0.90129	0.90701	0.89972	0.90146	50752	0	3
2024.04.08	0.90143	0.90650	0.89907	0.90531	48403	0	7
2024.04.09	0.90531	0.90557	0.90121	0.90345	39655	0	4
2024.04.10	0.90337	0.91469	0.90213	0.91280	59770	0	4
2024.04.11	0.91272	0.91460	0.90739	0.90992	60439	0	3
2024.04.12	0.90992	0.91448	0.90883	0.91252	60221	0	4
2024.04.15	0.91336	0.91514	0.90954	0.91153	61375	0	5
2024.04.16	0.91152	0.91414	0.91016	0.91290	60130	0	2
2024.04.17	0.91262	0.91319	0.90930	0.91065	51253	0	3
2024.04.18	0.91060	0.91249	0.90806	0.91225	43548	0	3
2024.04.19	0.91194	0.91307	0.90099	0.90936	77183	0	7
2024.04.22	0.90977	0.91232	0.90855	0.91194	42507	0	3
2024.04.23	0.91147	0.91294	0.90862	0.91190	46894	0	2
2024.04.24	0.91164	0.91525	0.91086	0.91503	40112	0	3
2024.04.25	0.91372	0.91562	0.91166	0.91216	46863	0	3
2024.04.26	0.91189	0.91497	0.90954	0.91349	50584	0	6
2024.04.29	0.91424	0.91518	0.90875	0.91034	57027	0	6
2024.04.30	0.91035	0.91946	0.90909	0.91938	49911	0	4
2024.05.01	0.91938	0.92238	0.91448	0.91564	51308	0	3
2024.05.02	0.91501	0.91730	0.90963	0.91058	55580	0	3
2024.05.03	0.91047	0.91047	0.90050	0.90454	59054	0	4
2024.05.06	0.90454	0.90658	0.90286	0.90622	32025	0	6
2024.05.07	0.90512	0.90931	0.90431	0.90830	32545	0	4
2024.05.08	0.90823	0.90953	0.90728	0.90793	30000	0	1
2024.05.09	0.90789	0.90981	0.90554	0.90585	32999	0	3
