<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	0.88438	0.88481	0.88389	0.88416	5058	0	9
2024.03.01	04:00:00	0.88417	0.88483	0.88388	0.88481	4902	0	11
2024.03.01	08:00:00	0.88481	0.88699	0.88450	0.88507	12465	0	11
2024.03.01	12:00:00	0.88507	0.88784	0.88471	0.88776	11200	0	11
2024.03.01	16:00:00	0.88777	0.88921	0.88369	0.88392	16798	0	11
2024.03.01	20:00:00	0.88392	0.88472	0.88288	0.88298	7703	0	11
2024.03.04	00:00:00	0.88311	0.88376	0.88216	0.88346	5774	0	11
2024.03.04	04:00:00	0.88346	0.88366	0.88243	0.88305	5183	0	4
2024.03.04	08:00:00	0.88304	0.88335	0.88049	0.88245	9994	0	11
2024.03.04	12:00:00	0.88245	0.88634	0.88245	0.88438	10538	0	11
2024.03.04	16:00:00	0.88438	0.88608	0.88387	0.88427	10945	0	11
2024.03.04	20:00:00	0.88428	0.88512	0.88382	0.88484	5157	0	11
2024.03.05	00:00:00	0.88484	0.88567	0.88355	0.88546	4221	0	8
2024.03.05	04:00:00	0.88546	0.88565	0.88484	0.88552	3975	0	11
2024.03.05	08:00:00	0.88552	0.88648	0.88499	0.88573	10009	0	11
2024.03.05	12:00:00	0.88575	0.88657	0.88501	0.88527	10505	0	11
2024.03.05	16:00:00	0.88528	0.88542	0.88248	0.88360	15435	0	11
2024.03.05	20:00:00	0.88359	0.88400	0.88295	0.88336	9228	0	11
2024.03.06	00:00:00	0.88249	0.88519	0.88248	0.88485	3275	0	7
2024.03.06	04:00:00	0.88485	0.88491	0.88402	0.88435	5343	0	11
2024.03.06	08:00:00	0.88435	0.88551	0.88368	0.88441	10354	0	11
2024.03.06	12:00:00	0.88442	0.88549	0.88350	0.88355	12344	0	11
2024.03.06	16:00:00	0.88355	0.88379	0.88037	0.88185	16506	0	11
2024.03.06	20:00:00	0.88185	0.88255	0.88135	0.88198	8752	0	7
2024.03.07	00:00:00	0.88199	0.88228	0.88114	0.88168	6146	0	11
2024.03.07	04:00:00	0.88168	0.88216	0.88085	0.88170	5493	0	11
2024.03.07	08:00:00	0.88170	0.88192	0.88063	0.88074	11820	0	11
2024.03.07	12:00:00	0.88076	0.88128	0.87843	0.87928	12154	0	11
2024.03.07	16:00:00	0.87928	0.88033	0.87742	0.87860	17315	0	11
2024.03.07	20:00:00	0.87861	0.87861	0.87721	0.87760	6294	0	7
2024.03.08	00:00:00	0.87728	0.87766	0.87656	0.87726	4492	0	11
2024.03.08	04:00:00	0.87726	0.87768	0.87699	0.87720	6263	0	11
2024.03.08	08:00:00	0.87720	0.87758	0.87571	0.87641	10430	0	11
2024.03.08	12:00:00	0.87643	0.87813	0.87290	0.87505	13410	0	11
2024.03.08	16:00:00	0.87505	0.87697	0.87421	0.87668	21850	0	11
2024.03.08	20:00:00	0.87668	0.87783	0.87543	0.87576	8156	0	8
2024.03.11	00:00:00	0.87535	0.87806	0.87516	0.87723	5208	0	5
2024.03.11	04:00:00	0.87724	0.87791	0.87672	0.87767	5066	0	11
2024.03.11	08:00:00	0.87767	0.87789	0.87544	0.87588	8856	0	7
2024.03.11	12:00:00	0.87588	0.87770	0.87546	0.87769	11227	0	11
2024.03.11	16:00:00	0.87769	0.87943	0.87743	0.87828	12655	0	11
2024.03.11	20:00:00	0.87828	0.87877	0.87698	0.87698	6201	0	12
2024.03.12	00:00:00	0.87689	0.87762	0.87689	0.87732	4719	0	9
2024.03.12	04:00:00	0.87732	0.87754	0.87688	0.87701	7159	0	11
2024.03.12	08:00:00	0.87701	0.87729	0.87605	0.87645	9136	0	11
2024.03.12	12:00:00	0.87645	0.87913	0.87464	0.87722	11499	0	11
2024.03.12	16:00:00	0.87722	0.87942	0.87717	0.87801	16517	0	11
2024.03.12	20:00:00	0.87801	0.87861	0.87710	0.87723	5601	0	8
2024.03.13	00:00:00	0.87724	0.87761	0.87646	0.87735	1932	0	11
2024.03.13	04:00:00	0.87735	0.87790	0.87723	0.87775	3318	0	12
2024.03.13	08:00:00	0.87775	0.87851	0.87740	0.87844	6546	0	6
2024.03.13	12:00:00	0.87844	0.87881	0.87702	0.87739	8990	0	11
2024.03.13	16:00:00	0.87739	0.87829	0.87654	0.87772	11421	0	11
2024.03.13	20:00:00	0.87772	0.87891	0.87681	0.87877	7485	0	6
2024.03.14	00:00:00	0.87874	0.87886	0.87812	0.87841	4396	0	9
2024.03.14	04:00:00	0.87841	0.87964	0.87813	0.87927	5608	0	10
2024.03.14	08:00:00	0.87927	0.88019	0.87919	0.87988	7189	0	11
2024.03.14	12:00:00	0.87988	0.87995	0.87814	0.87961	12383	0	11
2024.03.14	16:00:00	0.87961	0.88377	0.87944	0.88310	16879	0	11
2024.03.14	20:00:00	0.88310	0.88406	0.88289	0.88365	6517	0	9
2024.03.15	00:00:00	0.88364	0.88484	0.88310	0.88476	2621	0	9
