<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	149.956	150.708	149.904	150.063	113577	0	4
2024.03.04	149.976	150.560	149.831	150.507	86139	0	5
2024.03.05	150.510	150.539	149.696	150.030	100481	0	3
2024.03.06	150.019	150.077	149.084	149.335	98296	0	4
2024.03.07	149.335	149.388	147.574	148.029	128896	0	4
2024.03.08	147.976	148.109	146.470	147.019	102089	0	2
2024.03.11	146.987	147.139	146.475	146.923	77522	0	4
2024.03.12	146.917	148.159	146.609	147.636	100173	0	2
2024.03.13	147.636	148.037	147.223	147.746	94396	0	2
2024.03.14	147.726	148.350	147.425	148.309	90521	0	3
2024.03.15	148.317	149.156	148.023	149.014	77404	0	3
2024.03.18	148.941	149.321	148.900	149.143	68682	0	2
2024.03.19	149.091	150.954	148.986	150.840	87831	0	1
2024.03.20	150.848	151.809	150.709	151.243	83898	0	2
2024.03.21	151.243	151.746	150.255	151.608	94834	0	2
2024.03.22	151.592	151.854	150.995	151.413	82365	0	3
2024.03.25	151.407	151.536	151.043	151.399	65061	0	1
2024.03.26	151.398	151.592	151.199	151.549	58034	0	2
2024.03.27	151.519	151.964	151.017	151.305	71530	0	3
2024.03.28	151.293	151.537	151.141	151.365	65938	0	2
2024.03.29	151.357	151.489	151.162	151.285	36978	0	8
2024.04.01	151.257	151.765	151.199	151.635	51443	0	2
2024.04.02	151.600	151.792	151.455	151.546	63854	0	2
2024.04.03	151.536	151.946	151.431	151.681	55821	0	2
2024.04.04	151.673	151.766	151.111	151.330	58219	0	2
2024.04.05	151.321	151.744	150.801	151.582	75112	0	2
2024.04.08	151.614	151.937	151.523	151.798	53759	0	3
2024.04.09	151.755	151.929	151.563	151.736	50170	0	1
2024.04.10	151.703	153.231	151.651	153.137	70401	0	1
2024.04.11	153.137	153.310	152.749	153.253	75575	0	3
2024.04.12	153.253	153.378	152.581	153.173	72075	0	1
2024.04.15	153.042	154.436	152.949	154.262	76509	0	3
2024.04.16	154.265	154.777	153.893	154.687	72185	0	4
2024.04.17	154.619	154.724	154.150	154.370	62267	0	2
2024.04.18	154.362	154.671	153.946	154.627	60661	0	1
2024.04.19	154.619	154.662	153.580	154.600	79524	0	4
2024.04.22	154.557	154.842	154.378	154.833	48770	0	2
2024.04.23	154.821	154.867	154.541	154.820	51831	0	1
2024.04.24	154.716	155.367	154.704	155.333	48387	0	1
2024.04.25	155.333	155.739	155.188	155.639	60700	0	3
2024.04.26	155.639	158.429	154.955	158.272	77254	0	2
2024.04.29	157.801	160.185	154.499	156.331	118396	0	1
2024.04.30	156.310	157.838	156.053	157.787	70020	0	3
2024.05.01	157.782	157.979	152.992	154.590	70127	0	1
2024.05.02	154.573	156.278	153.048	153.599	105626	0	5
2024.05.03	153.599	153.754	151.851	152.979	84890	0	3
2024.05.06	152.848	153.998	152.767	153.863	60549	0	2
2024.05.07	153.875	154.740	153.841	154.679	60375	0	3
2024.05.08	154.679	155.674	154.475	155.476	58786	0	2
2024.05.09	155.457	155.946	155.147	155.422	58380	0	3
2024.05.10	155.447	155.895	155.258	155.746	62897	0	2
2024.05.13	155.648	156.244	155.499	156.178	55975	0	1
2024.05.14	156.149	156.772	156.107	156.408	53376	0	2
2024.05.15	156.390	156.551	154.685	154.860	73371	0	2
2024.05.16	154.860	155.526	153.589	155.344	83378	0	1
2024.05.17	155.356	155.973	155.241	155.585	57018	0	1
2024.05.20	155.593	156.295	155.489	156.222	52931	0	1
2024.05.21	156.220	156.540	155.836	156.110	61034	0	1
2024.05.22	156.112	156.832	156.092	156.757	56703	0	1
2024.05.23	156.738	157.189	156.522	156.884	66041	0	1
2024.05.24	156.883	157.138	156.815	156.884	50862	0	1
2024.05.27	156.855	156.975	156.655	156.819	35150	0	1
2024.05.28	156.819	157.191	156.572	157.154	54250	0	1
2024.05.29	157.102	157.700	156.887	157.609	58487	0	1
2024.05.30	157.582	157.664	156.365	156.760	75996	0	1
2024.05.31	156.769	157.357	156.553	157.274	79945	0	1
2024.06.03	157.100	157.463	155.941	156.013	76519	0	1
2024.06.04	155.993	156.478	154.533	154.837	98319	0	1
2024.06.05	154.801	156.477	154.764	156.011	89402	0	1
2024.06.06	156.058	156.437	155.344	155.587	88588	0	2
2024.06.07	155.528	157.067	155.112	156.755	93247	0	1
2024.06.10	156.642	157.186	156.540	156.981	79233	0	1
2024.06.11	156.968	157.395	156.798	157.080	83204	0	1
2024.06.12	157.081	157.362	155.711	156.700	95199	0	1
2024.06.13	156.700	157.304	156.562	157.014	90036	0	1
2024.06.14	156.958	158.248	156.795	157.365	110351	0	2
2024.06.17	157.214	157.954	157.150	157.713	77736	0	1
2024.06.18	157.698	158.222	157.509	157.841	73486	0	1
2024.06.19	157.798	158.125	157.595	158.060	41139	0	1
2024.06.20	158.062	158.940	157.787	158.846	60615	0	1
2024.06.21	158.880	159.822	158.661	159.787	66657	0	1
2024.06.24	159.733	159.918	158.739	159.605	77637	0	1
2024.06.25	159.590	159.750	159.182	159.637	73548	0	1
2024.06.26	159.629	160.859	159.607	160.786	80082	0	1
2024.06.27	160.696	160.825	160.280	160.729	96329	0	2
2024.06.28	160.721	161.283	160.261	160.830	153339	0	3
2024.07.01	160.695	161.730	160.695	161.438	120085	0	3
2024.07.02	161.427	161.745	161.268	161.406	92219	0	3
2024.07.03	161.407	161.952	160.771	161.658	122195	0	3
2024.07.04	161.645	161.673	160.943	161.215	80782	0	3
2024.07.05	161.175	161.395	160.323	160.745	152959	0	3
2024.07.08	160.733	161.116	160.263	160.807	115960	0	3
2024.07.09	160.774	161.520	160.730	161.280	104773	0	3
2024.07.10	161.264	161.806	161.206	161.674	89212	0	3
2024.07.11	161.627	161.759	157.427	158.779	180417	0	3
2024.07.12	158.769	159.449	157.368	157.879	237091	0	3
2024.07.15	158.078	158.422	157.152	158.004	137513	0	3
2024.07.16	158.003	158.857	157.911	158.324	127424	0	3
2024.07.17	158.329	158.620	156.058	156.163	218342	0	3
2024.07.18	156.159	157.402	155.364	157.358	220849	0	3
2024.07.19	157.346	157.863	156.956	157.386	180446	0	3
2024.07.22	157.348	157.614	156.284	156.998	190753	0	3
2024.07.23	157.015	157.101	155.533	155.546	201027	0	3
2024.07.24	155.552	155.992	153.106	153.852	260211	0	3
2024.07.25	153.834	154.322	151.938	153.939	325751	0	3
2024.07.26	153.921	154.741	153.092	153.731	253509	0	3
2024.07.29	153.640	154.351	153.013	154.003	261468	0	3
2024.07.30	153.943	155.217	152.641	152.659	256166	0	3
2024.07.31	152.685	153.904	149.607	149.975	437169	0	3
2024.08.01	149.956	150.893	148.509	149.339	391535	0	3
2024.08.02	149.316	149.779	146.414	146.475	404691	0	3
2024.08.05	146.433	146.567	141.688	144.171	516409	0	3
2024.08.06	144.138	146.372	143.623	144.274	438307	0	3
2024.08.07	144.269	147.906	144.160	146.660	396933	0	3
