<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	00:00:00	149.956	150.362	149.904	150.348	13348	0	10
2024.03.01	04:00:00	150.347	150.472	150.292	150.439	16974	0	10
2024.03.01	08:00:00	150.438	150.680	150.319	150.617	18146	0	4
2024.03.01	12:00:00	150.616	150.649	150.298	150.635	21645	0	4
2024.03.01	16:00:00	150.635	150.708	150.066	150.143	29351	0	10
2024.03.01	20:00:00	150.145	150.235	150.027	150.063	14113	0	10
2024.03.04	00:00:00	149.976	150.200	149.831	150.121	10517	0	10
2024.03.04	04:00:00	150.120	150.314	150.091	150.293	9468	0	10
2024.03.04	08:00:00	150.291	150.393	150.164	150.239	17392	0	8
2024.03.04	12:00:00	150.239	150.560	150.239	150.452	19893	0	5
2024.03.04	16:00:00	150.451	150.545	150.304	150.517	19827	0	5
2024.03.04	20:00:00	150.517	150.557	150.475	150.507	9042	0	5
2024.03.05	00:00:00	150.510	150.535	150.343	150.458	10590	0	10
2024.03.05	04:00:00	150.457	150.539	150.433	150.489	13898	0	10
2024.03.05	08:00:00	150.489	150.538	150.336	150.406	16413	0	4
2024.03.05	12:00:00	150.401	150.432	150.054	150.080	15845	0	4
2024.03.05	16:00:00	150.080	150.218	149.696	150.085	28304	0	12
2024.03.05	20:00:00	150.086	150.105	149.831	150.030	15431	0	3
2024.03.06	00:00:00	150.019	150.077	149.806	150.024	9560	0	10
2024.03.06	04:00:00	150.023	150.025	149.798	149.904	9302	0	10
2024.03.06	08:00:00	149.906	149.929	149.317	149.638	19222	0	16
2024.03.06	12:00:00	149.639	149.802	149.326	149.359	20226	0	4
2024.03.06	16:00:00	149.360	149.637	149.084	149.316	26664	0	6
2024.03.06	20:00:00	149.315	149.463	149.192	149.335	13322	0	4
2024.03.07	00:00:00	149.335	149.388	148.551	148.609	17237	0	10
2024.03.07	04:00:00	148.608	148.786	148.393	148.629	21841	0	10
2024.03.07	08:00:00	148.628	148.670	147.803	147.979	22509	0	4
2024.03.07	12:00:00	147.978	147.985	147.574	147.761	21997	0	15
2024.03.07	16:00:00	147.761	148.292	147.723	148.099	30432	0	16
2024.03.07	20:00:00	148.101	148.125	147.988	148.029	14880	0	4
2024.03.08	00:00:00	147.976	148.109	147.512	147.967	11318	0	10
2024.03.08	04:00:00	147.967	148.080	147.765	147.793	12355	0	10
2024.03.08	08:00:00	147.792	148.038	146.867	147.125	17592	0	4
2024.03.08	12:00:00	147.127	147.490	146.470	146.953	18586	0	2
2024.03.08	16:00:00	146.954	147.249	146.682	147.018	28359	0	16
2024.03.08	20:00:00	147.018	147.153	146.981	147.019	13879	0	9
2024.03.11	00:00:00	146.987	147.121	146.661	146.753	9342	0	7
2024.03.11	04:00:00	146.752	147.080	146.525	146.893	11636	0	10
2024.03.11	08:00:00	146.891	147.072	146.624	146.709	13534	0	8
2024.03.11	12:00:00	146.709	146.890	146.475	146.817	15008	0	4
2024.03.11	16:00:00	146.820	147.139	146.752	146.862	16517	0	5
2024.03.11	20:00:00	146.862	147.047	146.734	146.923	11485	0	5
2024.03.12	00:00:00	146.917	146.966	146.609	146.859	7903	0	8
2024.03.12	04:00:00	146.859	147.430	146.844	147.376	13785	0	10
2024.03.12	08:00:00	147.377	147.586	147.193	147.320	15672	0	4
2024.03.12	12:00:00	147.319	148.159	147.058	147.640	19862	0	2
2024.03.12	16:00:00	147.640	147.975	147.633	147.694	26453	0	12
2024.03.12	20:00:00	147.692	147.789	147.624	147.636	16498	0	4
2024.03.13	00:00:00	147.636	147.662	147.356	147.363	10346	0	9
2024.03.13	04:00:00	147.358	147.576	147.223	147.564	15863	0	13
2024.03.13	08:00:00	147.563	147.881	147.490	147.867	19510	0	8
2024.03.13	12:00:00	147.867	148.037	147.700	147.935	17919	0	4
2024.03.13	16:00:00	147.933	147.961	147.666	147.702	18533	0	4
2024.03.13	20:00:00	147.703	147.847	147.449	147.746	12225	0	2
2024.03.14	00:00:00	147.726	147.735	147.532	147.585	7810	0	9
2024.03.14	04:00:00	147.580	147.963	147.517	147.908	10653	0	5
2024.03.14	08:00:00	147.909	147.965	147.760	147.854	13986	0	5
2024.03.14	12:00:00	147.853	147.979	147.557	147.841	16256	0	5
2024.03.14	16:00:00	147.843	148.310	147.425	148.182	30087	0	15
2024.03.14	20:00:00	148.181	148.350	148.123	148.309	11729	0	3
2024.03.15	00:00:00	148.317	148.527	148.211	148.436	7603	0	3
2024.03.15	04:00:00	148.437	148.648	148.241	148.301	10172	0	3
2024.03.15	08:00:00	148.305	148.824	148.023	148.704	17754	0	5
2024.03.15	12:00:00	148.704	148.861	148.576	148.794	14588	0	3
2024.03.15	16:00:00	148.794	149.156	148.724	149.087	18123	0	16
2024.03.15	20:00:00	149.089	149.114	148.958	149.014	9164	0	3
2024.03.18	00:00:00	148.941	149.281	148.924	149.268	7079	0	4
2024.03.18	04:00:00	149.274	149.321	148.900	149.105	11975	0	3
2024.03.18	08:00:00	149.105	149.301	149.046	149.115	13268	0	2
2024.03.18	12:00:00	149.116	149.237	149.001	149.169	12643	0	3
2024.03.18	16:00:00	149.169	149.293	149.089	149.134	15207	0	6
2024.03.18	20:00:00	149.132	149.184	148.910	149.143	8510	0	3
2024.03.19	00:00:00	149.091	149.211	149.021	149.199	5659	0	6
2024.03.19	04:00:00	149.199	150.068	148.986	149.957	18465	0	7
2024.03.19	08:00:00	149.958	150.501	149.930	150.326	22427	0	14
2024.03.19	12:00:00	150.326	150.693	150.299	150.485	16997	0	4
2024.03.19	16:00:00	150.484	150.938	150.396	150.932	16803	0	1
2024.03.19	20:00:00	150.929	150.954	150.834	150.840	7480	0	2
2024.03.20	00:00:00	150.848	151.333	150.752	151.148	7836	0	9
2024.03.20	04:00:00	151.149	151.530	151.126	151.478	9918	0	5
2024.03.20	08:00:00	151.477	151.578	151.329	151.442	13474	0	5
2024.03.20	12:00:00	151.442	151.777	151.442	151.751	13721	0	5
2024.03.20	16:00:00	151.752	151.809	151.523	151.605	13438	0	2
2024.03.20	20:00:00	151.604	151.700	150.709	151.243	25511	0	3
2024.03.21	00:00:00	151.243	151.259	150.535	150.613	13862	0	9
2024.03.21	04:00:00	150.614	150.784	150.255	150.760	14383	0	4
2024.03.21	08:00:00	150.760	151.450	150.742	151.160	18404	0	16
2024.03.21	12:00:00	151.159	151.313	150.863	151.157	19354	0	14
2024.03.21	16:00:00	151.158	151.746	151.153	151.686	21331	0	12
2024.03.21	20:00:00	151.687	151.733	151.597	151.608	7500	0	2
2024.03.22	00:00:00	151.592	151.689	151.437	151.524	6739	0	7
2024.03.22	04:00:00	151.524	151.854	151.414	151.578	15393	0	7
2024.03.22	08:00:00	151.577	151.591	151.248	151.472	16422	0	5
2024.03.22	12:00:00	151.471	151.642	150.995	151.205	15621	0	3
2024.03.22	16:00:00	151.205	151.427	151.051	151.381	19319	0	5
2024.03.22	20:00:00	151.382	151.477	151.335	151.413	8871	0	3
