,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,00:00:00,0.99652,0.99803,0.99548,0.99765,9574,0,9
1,2013.06.03,04:00:00,0.9976,0.99882,0.99704,0.99778,9246,0,9
2,2013.06.03,08:00:00,0.9978,1.00039,0.99752,1.00005,9931,0,9
3,2013.06.03,12:00:00,1.00008,1.00644,0.99809,1.00522,17920,0,9
4,2013.06.03,16:00:00,1.00522,1.00611,1.00198,1.00306,12154,0,9
5,2013.06.03,20:00:00,1.00305,1.00454,1.00225,1.00269,7025,0,9
6,2013.06.04,00:00:00,1.00269,1.00337,0.99927,0.99989,9020,0,9
7,2013.06.04,04:00:00,0.99992,1.00205,0.99764,0.9987,12267,0,9
8,2013.06.04,08:00:00,0.99875,0.99908,0.99627,0.99827,11660,0,9
9,2013.06.04,12:00:00,0.99828,0.99879,0.99605,0.9974,17261,0,9
10,2013.06.04,16:00:00,0.9974,0.99794,0.9957,0.99776,11038,0,9
11,2013.06.04,20:00:00,0.99777,0.99861,0.99721,0.99767,4989,0,9
12,2013.06.05,00:00:00,0.99768,0.9983,0.9953,0.99714,9930,0,9
13,2013.06.05,04:00:00,0.99714,0.99791,0.98915,0.99127,13375,0,9
14,2013.06.05,08:00:00,0.99127,0.99187,0.98846,0.98992,10924,0,9
15,2013.06.05,12:00:00,0.98998,0.99295,0.9855,0.98606,19346,0,9
16,2013.06.05,16:00:00,0.98606,0.98698,0.98439,0.98666,12055,0,9
17,2013.06.05,20:00:00,0.98666,0.98731,0.98479,0.9848,6510,0,9
18,2013.06.06,00:00:00,0.98479,0.98524,0.97883,0.97956,8952,0,74
19,2013.06.06,04:00:00,0.97953,0.98033,0.9772,0.97927,10014,0,39
20,2013.06.06,08:00:00,0.97926,0.98178,0.97906,0.9811,9125,0,39
21,2013.06.06,12:00:00,0.98112,0.98356,0.97932,0.9831,13957,0,39
22,2013.06.06,16:00:00,0.98309,0.98657,0.98029,0.98602,17314,0,39
23,2013.06.06,20:00:00,0.98604,0.98691,0.98031,0.98084,7799,0,74
24,2013.06.07,00:00:00,0.97987,0.98264,0.97337,0.97808,10791,0,74
25,2013.06.07,04:00:00,0.97805,0.97805,0.97371,0.9758,13373,0,39
26,2013.06.07,08:00:00,0.97579,0.97769,0.97319,0.97373,10940,0,39
27,2013.06.07,12:00:00,0.97372,0.97656,0.96343,0.968,17812,0,39
28,2013.06.07,16:00:00,0.96802,0.97086,0.96718,0.96944,9840,0,39
29,2013.06.07,20:00:00,0.96941,0.96998,0.96701,0.9678,3383,0,74
30,2013.06.10,00:00:00,0.96184,0.9631,0.96013,0.96071,6475,0,74
31,2013.06.10,04:00:00,0.96068,0.96246,0.9597,0.96092,6413,0,39
32,2013.06.10,08:00:00,0.96087,0.96279,0.95957,0.96196,8659,0,39
33,2013.06.10,12:00:00,0.96198,0.96307,0.96022,0.9618,12264,0,39
34,2013.06.10,16:00:00,0.96179,0.96556,0.96147,0.96547,10774,0,39
35,2013.06.10,20:00:00,0.96542,0.96542,0.96353,0.96385,5335,4000000,25
36,2013.06.11,00:00:00,0.96386,0.96387,0.95719,0.96066,8687,0,74
37,2013.06.11,04:00:00,0.9606,0.96082,0.95796,0.95857,9639,0,39
38,2013.06.11,08:00:00,0.95854,0.95861,0.95453,0.95565,13736,0,39
39,2013.06.11,12:00:00,0.95566,0.95792,0.95539,0.95763,14384,0,39
40,2013.06.11,16:00:00,0.95764,0.96258,0.95728,0.96219,11576,0,39
41,2013.06.11,20:00:00,0.96216,0.9645,0.95994,0.96315,7886,0,74
42,2013.06.12,00:00:00,0.96314,0.96665,0.96195,0.96411,7253,0,74
43,2013.06.12,04:00:00,0.96413,0.96652,0.96158,0.96479,8105,0,39
44,2013.06.12,08:00:00,0.96478,0.97295,0.96464,0.9709,11695,0,39
45,2013.06.12,12:00:00,0.97091,0.97257,0.96557,0.96775,13194,0,39
46,2013.06.12,16:00:00,0.96773,0.97201,0.96691,0.9687,11166,0,39
47,2013.06.12,20:00:00,0.96868,0.96875,0.9654,0.96727,7284,0,74
48,2013.06.13,00:00:00,0.96726,0.97099,0.96358,0.96614,10149,0,74
49,2013.06.13,04:00:00,0.96613,0.96941,0.96291,0.96735,10792,0,39
50,2013.06.13,08:00:00,0.96731,0.97312,0.9649,0.9728,11252,0,39
51,2013.06.13,12:00:00,0.97279,0.97691,0.97068,0.97488,13737,0,39
52,2013.06.13,16:00:00,0.97487,0.97836,0.97466,0.97782,10167,0,39
53,2013.06.13,20:00:00,0.97781,0.9807,0.9769,0.97717,9868,0,11
54,2013.06.14,00:00:00,0.97713,0.9781,0.97405,0.97509,9953,0,9
55,2013.06.14,04:00:00,0.97507,0.9786,0.97392,0.9759,10743,0,9
56,2013.06.14,08:00:00,0.97602,0.97897,0.97486,0.97803,11610,0,9
57,2013.06.14,12:00:00,0.97799,0.97986,0.97452,0.97555,18164,0,9
58,2013.06.14,16:00:00,0.97551,0.97658,0.97408,0.97531,9817,0,9
59,2013.06.14,20:00:00,0.97531,0.97558,0.97215,0.97215,3479,1505500000,14
60,2013.06.17,00:00:00,0.97179,0.97711,0.97174,0.9769,7157,0,9
61,2013.06.17,04:00:00,0.97686,0.97854,0.97577,0.97594,8390,0,9
62,2013.06.17,08:00:00,0.97594,0.97717,0.97538,0.97622,7682,0,9
63,2013.06.17,12:00:00,0.97623,0.97701,0.96988,0.97061,12872,0,9
64,2013.06.17,16:00:00,0.97065,0.97499,0.97016,0.97357,10856,0,9
65,2013.06.17,20:00:00,0.97353,0.97445,0.97128,0.97341,6949,0,9
66,2013.06.18,00:00:00,0.97343,0.97489,0.96789,0.96909,9602,0,9
67,2013.06.18,04:00:00,0.96909,0.96939,0.96489,0.96623,10356,0,9
68,2013.06.18,08:00:00,0.96618,0.96674,0.96395,0.96497,11218,0,9
69,2013.06.18,12:00:00,0.96498,0.96949,0.96406,0.9692,14626,0,9
70,2013.06.18,16:00:00,0.96912,0.97015,0.96738,0.9676,8013,0,9
71,2013.06.18,20:00:00,0.9676,0.96956,0.96724,0.96747,5945,0,9
72,2013.06.19,00:00:00,0.96747,0.9696,0.96541,0.96913,7921,0,9
73,2013.06.19,04:00:00,0.96916,0.97118,0.96837,0.97054,9212,0,9
74,2013.06.19,08:00:00,0.97056,0.97159,0.96847,0.96884,9553,0,9
75,2013.06.19,12:00:00,0.96893,0.9727,0.96838,0.97131,11892,0,9
76,2013.06.19,16:00:00,0.97128,0.97306,0.95589,0.95656,17941,0,9
77,2013.06.19,20:00:00,0.95656,0.95659,0.95126,0.95404,10659,0,9
78,2013.06.20,00:00:00,0.95402,0.95681,0.95072,0.95175,11773,0,9
79,2013.06.20,04:00:00,0.95173,0.95309,0.94899,0.9498,13083,0,9
80,2013.06.20,08:00:00,0.9498,0.95413,0.94827,0.95319,17783,0,9
81,2013.06.20,12:00:00,0.95321,0.95441,0.94818,0.95394,20296,0,9
82,2013.06.20,16:00:00,0.95389,0.95604,0.95207,0.95396,16029,0,9
83,2013.06.20,20:00:00,0.9539,0.95581,0.9529,0.95445,9621,0,9
84,2013.06.21,00:00:00,0.95442,0.95899,0.95437,0.95712,9779,0,11
85,2013.06.21,04:00:00,0.95711,0.95974,0.95579,0.95805,12191,0,9
86,2013.06.21,08:00:00,0.958,0.95936,0.95636,0.959,12171,0,9
87,2013.06.21,12:00:00,0.95904,0.96572,0.95775,0.96197,21401,0,9
88,2013.06.21,16:00:00,0.96193,0.96723,0.96168,0.96544,14943,0,9
89,2013.06.21,20:00:00,0.96545,0.96615,0.96249,0.96249,5323,1924200000,9
90,2013.06.24,00:00:00,0.96858,0.96931,0.9649,0.96692,11047,0,9
91,2013.06.24,04:00:00,0.96683,0.96798,0.9633,0.96358,13238,0,9
92,2013.06.24,08:00:00,0.96352,0.96877,0.96327,0.96836,15335,0,9
93,2013.06.24,12:00:00,0.96841,0.97582,0.96741,0.97258,22118,0,9
94,2013.06.24,16:00:00,0.97258,0.9749,0.97124,0.97139,17065,0,9
95,2013.06.24,20:00:00,0.97137,0.97385,0.97069,0.97382,8056,0,9
96,2013.06.25,00:00:00,0.97382,0.97389,0.96829,0.96835,11034,0,9
97,2013.06.25,04:00:00,0.96835,0.9726,0.96771,0.97194,14996,0,9
98,2013.06.25,08:00:00,0.97201,0.97291,0.9689,0.97158,13941,0,9
99,2013.06.25,12:00:00,0.97159,0.97414,0.97116,0.972,19903,0,9
100,2013.06.25,16:00:00,0.97198,0.9751,0.97143,0.97377,12555,0,9
101,2013.06.25,20:00:00,0.97377,0.97483,0.97134,0.97317,6395,0,9
102,2013.06.26,00:00:00,0.97311,0.97489,0.97059,0.97125,11417,0,9
103,2013.06.26,04:00:00,0.97125,0.97508,0.97034,0.9739,13461,0,9
104,2013.06.26,08:00:00,0.9739,0.97507,0.97109,0.97163,14417,0,9
105,2013.06.26,12:00:00,0.97163,0.97835,0.97106,0.97254,19330,0,9
106,2013.06.26,16:00:00,0.97252,0.97352,0.97021,0.97201,12547,0,9
107,2013.06.26,20:00:00,0.97201,0.97252,0.97078,0.9719,5201,0,9
108,2013.06.27,00:00:00,0.97191,0.97361,0.97069,0.9723,7496,0,74
109,2013.06.27,04:00:00,0.97225,0.97342,0.97043,0.97168,7743,0,39
110,2013.06.27,08:00:00,0.97169,0.97285,0.96982,0.97222,10437,0,39
111,2013.06.27,12:00:00,0.97221,0.9756,0.97137,0.97308,14331,0,39
112,2013.06.27,16:00:00,0.97307,0.97389,0.97104,0.97209,10004,0,39
113,2013.06.27,20:00:00,0.97206,0.9727,0.97118,0.9723,5724,0,74
114,2013.06.28,00:00:00,0.97229,0.97247,0.96744,0.96935,9555,0,74
115,2013.06.28,04:00:00,0.96936,0.97095,0.96843,0.96991,8428,0,39
116,2013.06.28,08:00:00,0.96992,0.97012,0.96748,0.96779,9336,0,39
117,2013.06.28,12:00:00,0.96776,0.96892,0.96103,0.96534,15644,0,39
