,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,00:00:00,0.92366,0.92379,0.92218,0.9229,3540,0,9
1,2013.06.03,04:00:00,0.92284,0.92332,0.92164,0.92309,7163,0,1
2,2013.06.03,08:00:00,0.92316,0.92629,0.92106,0.92543,9271,0,1
3,2013.06.03,12:00:00,0.92543,0.92964,0.91419,0.91757,17836,0,1
4,2013.06.03,16:00:00,0.91755,0.92202,0.91722,0.9216,10844,0,1
5,2013.06.03,20:00:00,0.92159,0.92178,0.92079,0.92139,3636,0,6
6,2013.06.04,00:00:00,0.92142,0.92207,0.92064,0.92177,3610,0,1
7,2013.06.04,04:00:00,0.92176,0.92264,0.9195,0.91961,8101,0,1
8,2013.06.04,08:00:00,0.91964,0.92003,0.91636,0.917,9932,0,1
9,2013.06.04,12:00:00,0.91706,0.92117,0.91502,0.91647,16563,0,1
10,2013.06.04,16:00:00,0.91649,0.91708,0.91464,0.91543,8077,0,1
11,2013.06.04,20:00:00,0.91543,0.91652,0.91455,0.91619,3160,0,3
12,2013.06.05,00:00:00,0.91618,0.9168,0.91516,0.91619,4524,0,2
13,2013.06.05,04:00:00,0.91616,0.91685,0.91437,0.91547,8780,0,1
14,2013.06.05,08:00:00,0.91547,0.91747,0.91438,0.91538,9722,0,1
15,2013.06.05,12:00:00,0.91539,0.91676,0.90781,0.91072,18853,0,1
16,2013.06.05,16:00:00,0.91074,0.91179,0.9078,0.91071,8976,0,1
17,2013.06.05,20:00:00,0.91067,0.91118,0.91001,0.91009,3803,0,6
18,2013.06.06,00:00:00,0.91008,0.91115,0.90913,0.90926,6057,0,74
19,2013.06.06,04:00:00,0.90925,0.91076,0.90711,0.91071,8611,0,34
20,2013.06.06,08:00:00,0.9107,0.91281,0.9079,0.91187,10564,0,34
21,2013.06.06,12:00:00,0.91187,0.9134,0.905,0.90593,16805,0,34
22,2013.06.06,16:00:00,0.90591,0.91046,0.9026,0.90558,18669,0,34
23,2013.06.06,20:00:00,0.90556,0.90612,0.90413,0.90481,6622,0,74
24,2013.06.07,00:00:00,0.90485,0.90493,0.90003,0.90251,8116,0,74
25,2013.06.07,04:00:00,0.90249,0.90497,0.90068,0.90455,10349,0,34
26,2013.06.07,08:00:00,0.90457,0.90559,0.90224,0.90361,12245,0,34
27,2013.06.07,12:00:00,0.90362,0.91697,0.90217,0.91581,19706,0,34
28,2013.06.07,16:00:00,0.91582,0.91689,0.91365,0.91506,10232,0,34
29,2013.06.07,20:00:00,0.91509,0.91821,0.91492,0.91686,3255,0,74
30,2013.06.10,00:00:00,0.91704,0.91821,0.91675,0.91706,5558,0,74
31,2013.06.10,04:00:00,0.9171,0.9194,0.91678,0.91919,6347,0,34
32,2013.06.10,08:00:00,0.9192,0.92126,0.91804,0.9186,10900,0,34
33,2013.06.10,12:00:00,0.91861,0.92333,0.91861,0.92175,14354,0,34
34,2013.06.10,16:00:00,0.92174,0.92184,0.91444,0.91489,11647,0,34
35,2013.06.10,20:00:00,0.91487,0.91618,0.91473,0.9155,4235,0,74
36,2013.06.11,00:00:00,0.91554,0.91623,0.91451,0.91474,5604,0,74
37,2013.06.11,04:00:00,0.91473,0.91607,0.91344,0.91477,7341,0,34
38,2013.06.11,08:00:00,0.91457,0.91471,0.90483,0.90651,14335,0,34
39,2013.06.11,12:00:00,0.9065,0.91032,0.90338,0.91008,16883,0,34
40,2013.06.11,16:00:00,0.91003,0.91195,0.90542,0.90674,12239,0,34
41,2013.06.11,20:00:00,0.9067,0.90815,0.90619,0.90719,5203,0,74
42,2013.06.12,00:00:00,0.90715,0.90842,0.90603,0.90604,4029,0,74
43,2013.06.12,04:00:00,0.90602,0.90869,0.90413,0.9081,5675,0,34
44,2013.06.12,08:00:00,0.90812,0.91196,0.906,0.91083,12018,0,34
