,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,00:00:00,96.955,97.125,96.803,97.023,10137,0,74
1,2013.06.03,04:00:00,97.024,97.08,96.774,96.978,11494,0,28
2,2013.06.03,08:00:00,96.977,97.044,96.533,96.958,15007,0,28
3,2013.06.03,12:00:00,96.957,97.034,96.213,96.229,17177,0,28
4,2013.06.03,16:00:00,96.228,96.745,96.026,96.72,16056,0,28
5,2013.06.03,20:00:00,96.717,96.847,96.563,96.758,7599,0,74
6,2013.06.04,00:00:00,96.76,97.039,96.609,96.713,10380,0,74
7,2013.06.04,04:00:00,96.703,97.312,96.628,97.158,13048,0,28
8,2013.06.04,08:00:00,97.161,97.345,96.859,96.943,14049,0,28
9,2013.06.04,12:00:00,96.947,97.278,96.778,96.79,16945,0,28
10,2013.06.04,16:00:00,96.789,96.85,96.501,96.66,12653,0,28
11,2013.06.04,20:00:00,96.657,96.86,96.57,96.829,6208,0,74
12,2013.06.05,00:00:00,96.83,96.91,96.604,96.763,9988,0,74
13,2013.06.05,04:00:00,96.764,97.033,96.107,96.296,16975,0,28
14,2013.06.05,08:00:00,96.294,96.615,96.122,96.206,13283,0,28
15,2013.06.05,12:00:00,96.205,96.433,95.666,95.74,18513,0,28
16,2013.06.05,16:00:00,95.742,96.054,95.589,95.811,13556,0,28
17,2013.06.05,20:00:00,95.814,95.931,95.68,95.791,7910,0,74
18,2013.06.06,00:00:00,95.792,95.981,95.545,95.637,12315,0,74
19,2013.06.06,04:00:00,95.638,96.032,95.563,95.986,14066,0,28
20,2013.06.06,08:00:00,95.985,96.127,95.864,95.915,12358,0,28
21,2013.06.06,12:00:00,95.91,96.098,95.284,95.322,20003,0,28
22,2013.06.06,16:00:00,95.32,95.744,93.955,94.699,23174,0,28
23,2013.06.06,20:00:00,94.692,94.847,94.381,94.668,10952,0,74
24,2013.06.07,00:00:00,94.667,94.813,93.62,93.955,16561,0,74
25,2013.06.07,04:00:00,93.954,94.668,93.021,94.286,22407,0,28
26,2013.06.07,08:00:00,94.287,94.398,93.034,93.261,19038,0,28
27,2013.06.07,12:00:00,93.263,95.691,92.92,95.363,25393,0,28
28,2013.06.07,16:00:00,95.366,95.611,94.876,95.346,15605,0,28
29,2013.06.07,20:00:00,95.347,95.698,95.222,95.599,4860,0,74
30,2013.06.10,00:00:00,96.162,96.355,95.917,95.958,12700,0,74
31,2013.06.10,04:00:00,95.96,96.538,95.954,96.348,11466,0,28
32,2013.06.10,08:00:00,96.347,96.962,96.235,96.798,12121,0,28
33,2013.06.10,12:00:00,96.797,97.395,96.656,97.297,18422,0,28
34,2013.06.10,16:00:00,97.296,97.326,96.648,96.817,15068,0,28
35,2013.06.10,20:00:00,96.82,97.127,96.703,96.921,7081,0,74
36,2013.06.11,00:00:00,96.922,96.97,96.111,96.357,11762,0,74
37,2013.06.11,04:00:00,96.349,96.59,96.012,96.458,16785,0,28
38,2013.06.11,08:00:00,96.456,96.456,94.258,94.751,21013,0,28
39,2013.06.11,12:00:00,94.75,95.164,94.456,95.05,20931,0,28
40,2013.06.11,16:00:00,95.048,95.339,93.687,94.296,19122,0,28
41,2013.06.11,20:00:00,94.293,94.458,93.891,94.327,10381,0,74
42,2013.06.12,00:00:00,94.324,94.706,94.262,94.485,10810,0,74
43,2013.06.12,04:00:00,94.486,94.846,94.229,94.72,12347,0,28
44,2013.06.12,08:00:00,94.72,95.332,94.592,94.917,15713,0,28
45,2013.06.12,12:00:00,94.917,95.258,93.811,93.946,18927,0,28
46,2013.06.12,16:00:00,93.947,94.347,93.279,93.642,20136,0,28
47,2013.06.12,20:00:00,93.645,94.122,93.477,93.947,9160,0,74
48,2013.06.13,00:00:00,93.946,93.946,92.447,92.789,15579,0,74
49,2013.06.13,04:00:00,92.783,92.905,91.787,92.153,17840,0,28
50,2013.06.13,08:00:00,92.146,92.952,92.019,92.918,17566,0,28
51,2013.06.13,12:00:00,92.917,93.236,92.35,92.652,22030,0,28
52,2013.06.13,16:00:00,92.653,93.28,92.468,93.114,17999,0,28
53,2013.06.13,20:00:00,93.115,94.286,93.11,93.965,12935,0,74
54,2013.06.14,00:00:00,93.964,94.095,92.776,93.364,17032,0,74
55,2013.06.14,04:00:00,93.37,93.672,93.055,93.159,17454,0,28
56,2013.06.14,08:00:00,93.158,93.6,93.011,93.433,17591,0,28
57,2013.06.14,12:00:00,93.432,93.913,92.875,92.989,20583,0,28
58,2013.06.14,16:00:00,92.985,93.185,92.319,92.651,18978,0,28
59,2013.06.14,20:00:00,92.653,92.888,92.426,92.463,4465,0,74
60,2013.06.17,00:00:00,92.671,93.278,92.605,93.026,8674,0,74
61,2013.06.17,04:00:00,93.028,93.656,93.028,93.616,7902,0,28
62,2013.06.17,08:00:00,93.617,93.675,93.183,93.38,9100,0,28
63,2013.06.17,12:00:00,93.381,93.497,93.105,93.188,13600,0,28
64,2013.06.17,16:00:00,93.186,93.364,92.947,92.974,11925,0,28
65,2013.06.17,20:00:00,92.978,93.078,92.59,92.895,10094,0,74
66,2013.06.18,00:00:00,92.894,93.155,92.65,92.995,10392,0,74
67,2013.06.18,04:00:00,92.994,93.207,92.973,93.181,9300,0,28
68,2013.06.18,08:00:00,93.18,93.546,92.969,93.419,13157,0,28
69,2013.06.18,12:00:00,93.413,93.806,93.227,93.59,15835,0,28
70,2013.06.18,16:00:00,93.591,93.598,93.091,93.367,11140,0,28
71,2013.06.18,20:00:00,93.373,93.507,93.226,93.436,6423,0,74
72,2013.06.19,00:00:00,93.435,93.54,93.055,93.09,8583,0,74
73,2013.06.19,04:00:00,93.091,93.314,92.989,93.121,10907,0,28
74,2013.06.19,08:00:00,93.122,93.253,92.849,93.224,12168,0,28
75,2013.06.19,12:00:00,93.223,93.362,93.042,93.225,12321,0,28
76,2013.06.19,16:00:00,93.22,94.529,93.206,93.711,15922,0,28
77,2013.06.19,20:00:00,93.707,94.408,93.484,93.976,14052,0,74
78,2013.06.20,00:00:00,93.977,94.107,93.581,94.015,14029,0,74
79,2013.06.20,04:00:00,94.016,94.585,93.883,94.582,16028,0,28
80,2013.06.20,08:00:00,94.58,95.105,94.352,94.536,21941,0,28
81,2013.06.20,12:00:00,94.535,94.881,94.268,94.674,21398,0,28
82,2013.06.20,16:00:00,94.672,94.741,93.523,93.529,16893,0,28
83,2013.06.20,20:00:00,93.518,94.0,93.436,93.616,10756,0,74
84,2013.06.21,00:00:00,93.615,93.796,93.352,93.661,13267,0,74
85,2013.06.21,04:00:00,93.662,94.316,93.6,94.236,14683,0,28
86,2013.06.21,08:00:00,94.235,94.558,93.816,94.119,15257,0,28
87,2013.06.21,12:00:00,94.123,94.24,92.911,93.088,19395,0,28
88,2013.06.21,16:00:00,93.086,93.728,92.931,93.471,17550,0,28
89,2013.06.21,20:00:00,93.472,93.577,93.349,93.573,4543,0,74
90,2013.06.24,00:00:00,93.87,93.936,93.543,93.924,11307,0,74
91,2013.06.24,04:00:00,93.927,93.978,93.516,93.534,12707,0,28
92,2013.06.24,08:00:00,93.535,93.684,92.857,93.2,16629,0,28
93,2013.06.24,12:00:00,93.201,93.379,92.162,92.654,22978,0,28
94,2013.06.24,16:00:00,92.653,93.263,92.52,93.088,17659,0,28
95,2013.06.24,20:00:00,93.085,93.22,92.832,92.843,8015,0,74
96,2013.06.25,00:00:00,92.84,93.302,92.803,92.873,10519,0,74
97,2013.06.25,04:00:00,92.874,93.048,92.463,92.912,15761,0,28
98,2013.06.25,08:00:00,92.91,93.143,92.631,93.044,16323,0,28
99,2013.06.25,12:00:00,93.044,93.075,92.748,92.97,19225,0,28
100,2013.06.25,16:00:00,92.969,93.161,92.847,92.918,12434,0,28
101,2013.06.25,20:00:00,92.919,93.348,92.88,93.319,6575,0,74
102,2013.06.26,00:00:00,93.32,93.363,92.91,92.961,10469,0,74
103,2013.06.26,04:00:00,92.962,93.201,92.826,92.992,12331,0,28
104,2013.06.26,08:00:00,92.993,93.226,92.792,93.12,16036,0,28
105,2013.06.26,12:00:00,93.12,93.371,92.806,93.016,16797,0,28
