,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,00:00:00,1.35079,1.35426,1.34983,1.35179,12274,0,5
1,2013.06.03,04:00:00,1.3518,1.35277,1.34965,1.35228,13748,0,5
2,2013.06.03,08:00:00,1.35228,1.35307,1.34499,1.34541,15048,0,5
3,2013.06.03,12:00:00,1.3454,1.34711,1.33894,1.34053,22440,0,5
4,2013.06.03,16:00:00,1.34053,1.34101,1.33697,1.33911,14156,0,5
5,2013.06.03,20:00:00,1.33911,1.34073,1.33741,1.34054,8700,0,5
6,2013.06.04,00:00:00,1.34054,1.34575,1.33948,1.34443,12873,0,5
7,2013.06.04,04:00:00,1.34442,1.35193,1.34142,1.3509,16813,0,5
8,2013.06.04,08:00:00,1.35084,1.35511,1.35015,1.35295,16780,0,5
9,2013.06.04,12:00:00,1.35294,1.35697,1.35081,1.35634,22497,0,5
10,2013.06.04,16:00:00,1.35635,1.3591,1.35562,1.35602,13599,0,5
11,2013.06.04,20:00:00,1.356,1.35679,1.35454,1.35598,6618,0,5
12,2013.06.05,00:00:00,1.356,1.36066,1.35511,1.35702,14114,0,5
13,2013.06.05,04:00:00,1.35703,1.36762,1.35569,1.36483,19491,0,5
14,2013.06.05,08:00:00,1.36481,1.36744,1.36305,1.36489,16213,0,5
15,2013.06.05,12:00:00,1.36486,1.37519,1.3628,1.373,23924,0,5
16,2013.06.05,16:00:00,1.37301,1.37628,1.37161,1.37245,14497,0,5
17,2013.06.05,20:00:00,1.37246,1.37441,1.37102,1.37439,7629,0,5
18,2013.06.06,00:00:00,1.3744,1.38486,1.37338,1.38431,11194,0,84
19,2013.06.06,04:00:00,1.3843,1.38874,1.38294,1.38436,14556,0,34
20,2013.06.06,08:00:00,1.38435,1.38455,1.37812,1.3796,15117,0,34
21,2013.06.06,12:00:00,1.37961,1.38969,1.37663,1.38399,22255,0,34
22,2013.06.06,16:00:00,1.38401,1.3859,1.37435,1.3778,21472,0,34
23,2013.06.06,20:00:00,1.37784,1.3875,1.37625,1.3875,8337,0,84
24,2013.06.07,00:00:00,1.38765,1.39909,1.3838,1.391,12951,0,84
25,2013.06.07,04:00:00,1.39108,1.39797,1.39096,1.39467,18050,0,34
26,2013.06.07,08:00:00,1.39466,1.3965,1.38961,1.39473,18330,0,34
27,2013.06.07,12:00:00,1.39477,1.40123,1.38697,1.39377,24656,0,34
28,2013.06.07,16:00:00,1.39378,1.3964,1.38998,1.3923,15169,0,34
29,2013.06.07,20:00:00,1.39234,1.39275,1.38988,1.39088,3999,0,84
30,2013.06.10,00:00:00,1.40178,1.40235,1.39734,1.40163,8499,0,84
31,2013.06.10,04:00:00,1.40164,1.40296,1.39789,1.40064,10253,0,34
32,2013.06.10,08:00:00,1.40065,1.40269,1.39896,1.40146,15079,0,34
33,2013.06.10,12:00:00,1.40145,1.40158,1.39617,1.39705,19000,0,34
34,2013.06.10,16:00:00,1.39705,1.40123,1.39587,1.39895,15957,0,34
35,2013.06.10,20:00:00,1.39898,1.40167,1.3986,1.40135,6772,0,84
36,2013.06.11,00:00:00,1.40134,1.41176,1.40133,1.40679,11093,0,84
37,2013.06.11,04:00:00,1.40685,1.41144,1.40656,1.41075,14689,0,34
38,2013.06.11,08:00:00,1.4108,1.42357,1.4108,1.42146,21555,0,34
39,2013.06.11,12:00:00,1.42147,1.4228,1.41149,1.41177,22782,0,34
40,2013.06.11,16:00:00,1.41178,1.41258,1.4059,1.4086,17306,0,34
41,2013.06.11,20:00:00,1.40866,1.41242,1.40481,1.40716,9676,0,84
42,2013.06.12,00:00:00,1.40717,1.40903,1.40152,1.4079,9923,0,84
43,2013.06.12,04:00:00,1.40789,1.41193,1.40478,1.40683,12334,0,34
44,2013.06.12,08:00:00,1.40687,1.40787,1.38986,1.3927,18196,0,34
