,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,00:00:00,1.6289,1.63654,1.62864,1.6324,9065,0,11
1,2013.06.03,04:00:00,1.63247,1.63573,1.63135,1.63534,12061,0,11
2,2013.06.03,08:00:00,1.63534,1.6367,1.62684,1.62734,13753,0,11
3,2013.06.03,12:00:00,1.62734,1.62862,1.61424,1.61715,19926,0,11
4,2013.06.03,16:00:00,1.61724,1.61843,1.61235,1.61664,11108,0,11
5,2013.06.03,20:00:00,1.61668,1.61824,1.61233,1.61614,7804,0,11
6,2013.06.04,00:00:00,1.61614,1.62432,1.61524,1.62292,9281,0,11
7,2013.06.04,04:00:00,1.62291,1.63053,1.61974,1.62923,14243,0,11
8,2013.06.04,08:00:00,1.62924,1.63372,1.62663,1.62819,14723,0,11
9,2013.06.04,12:00:00,1.62816,1.63664,1.62683,1.636,19117,0,11
10,2013.06.04,16:00:00,1.63596,1.6393,1.63275,1.63334,10600,0,11
11,2013.06.04,20:00:00,1.63334,1.63424,1.62764,1.63109,5560,0,11
12,2013.06.05,00:00:00,1.63114,1.63263,1.62563,1.62612,11525,0,11
13,2013.06.05,04:00:00,1.62614,1.63687,1.62401,1.63316,15948,0,11
14,2013.06.05,08:00:00,1.63312,1.63843,1.63128,1.63232,13735,0,11
15,2013.06.05,12:00:00,1.63231,1.64887,1.63152,1.64751,21498,0,11
16,2013.06.05,16:00:00,1.64752,1.65148,1.64534,1.64563,10560,0,11
17,2013.06.05,20:00:00,1.64564,1.64623,1.63893,1.64387,8963,0,11
18,2013.06.06,00:00:00,1.6439,1.65065,1.64291,1.65051,10085,0,188
19,2013.06.06,04:00:00,1.65054,1.65704,1.65052,1.65107,12479,0,48
20,2013.06.06,08:00:00,1.65107,1.6524,1.64578,1.64746,13601,0,48
21,2013.06.06,12:00:00,1.64749,1.66132,1.64508,1.655,20689,0,48
22,2013.06.06,16:00:00,1.65502,1.65661,1.64055,1.64816,24371,0,48
23,2013.06.06,20:00:00,1.64815,1.6584,1.6467,1.65669,12881,0,188
24,2013.06.07,00:00:00,1.65688,1.66564,1.65316,1.65946,14108,0,188
25,2013.06.07,04:00:00,1.6595,1.66553,1.65928,1.66221,18195,0,48
26,2013.06.07,08:00:00,1.66226,1.66785,1.656,1.66531,17637,0,48
27,2013.06.07,12:00:00,1.66535,1.67774,1.65565,1.67216,24412,0,48
28,2013.06.07,16:00:00,1.67227,1.6807,1.6712,1.67646,14523,0,48
29,2013.06.07,20:00:00,1.67649,1.67724,1.67243,1.67243,4808,0,188
30,2013.06.10,00:00:00,1.68421,1.6843,1.67756,1.68304,8819,0,188
31,2013.06.10,04:00:00,1.68305,1.68443,1.67804,1.68032,10476,0,48
32,2013.06.10,08:00:00,1.68026,1.68088,1.67454,1.67671,14919,0,48
33,2013.06.10,12:00:00,1.6767,1.67884,1.66971,1.6705,18671,0,48
34,2013.06.10,16:00:00,1.67047,1.6794,1.66909,1.67587,16141,0,48
35,2013.06.10,20:00:00,1.67591,1.67857,1.67486,1.67756,8979,0,188
36,2013.06.11,00:00:00,1.67759,1.68532,1.67733,1.6811,11847,0,188
37,2013.06.11,04:00:00,1.68112,1.68617,1.67936,1.68597,14765,0,48
