,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,1.29944,1.31074,1.29555,1.30707,57466,0,1
1,2013.06.04,1.30705,1.31012,1.30426,1.30717,56119,0,1
2,2013.06.05,1.30717,1.31157,1.30532,1.30915,62273,0,1
3,2013.06.06,1.30916,1.33045,1.30749,1.32404,66442,0,3
4,2013.06.07,1.32398,1.32844,1.31915,1.32168,68493,0,3
5,2013.06.10,1.32051,1.32687,1.31772,1.32556,55288,0,3
6,2013.06.11,1.32558,1.33171,1.32322,1.33139,67591,0,3
7,2013.06.12,1.3314,1.33589,1.32656,1.33385,60746,0,3
8,2013.06.13,1.33386,1.33898,1.32786,1.33584,65434,0,1
9,2013.06.14,1.33585,1.33732,1.32947,1.33445,54649,0,1
10,2013.06.17,1.33542,1.33803,1.33184,1.3362,45374,0,1
11,2013.06.18,1.33616,1.34156,1.33258,1.33929,54772,0,1
12,2013.06.19,1.33928,1.34158,1.32621,1.32816,54751,0,1
13,2013.06.20,1.32816,1.33004,1.31612,1.32276,79844,0,1
14,2013.06.21,1.32275,1.32541,1.30988,1.31209,62568,0,1
15,2013.06.24,1.31064,1.31438,1.30592,1.31348,65905,0,1
16,2013.06.25,1.31349,1.31508,1.30651,1.30752,62187,0,1
17,2013.06.26,1.30752,1.3087,1.29848,1.30132,61631,0,1
18,2013.06.27,1.30129,1.30545,1.29999,1.30333,48418,0,5
19,2013.06.28,1.30334,1.31022,1.29911,1.30078,49664,0,5
20,2013.07.01,1.30076,1.30709,1.30072,1.30677,46428,0,1
21,2013.07.02,1.30677,1.3078,1.29636,1.29746,53645,0,1
22,2013.07.03,1.29746,1.30314,1.2923,1.30208,56354,0,1
23,2013.07.04,1.30206,1.30206,1.28831,1.28922,51153,0,1
24,2013.07.05,1.28922,1.29054,1.28061,1.28291,52420,0,1
25,2013.07.08,1.28127,1.28819,1.28117,1.28605,45491,0,1
26,2013.07.09,1.28606,1.28981,1.27553,1.27764,55899,0,1
27,2013.07.10,1.27766,1.32066,1.27647,1.31165,72855,0,1
28,2013.07.11,1.31164,1.31468,1.3006,1.30866,78795,0,1
29,2013.07.12,1.30867,1.31001,1.29992,1.30651,49524,0,1
30,2013.07.15,1.30604,1.30788,1.29934,1.30581,46978,0,1
31,2013.07.16,1.30581,1.31742,1.30524,1.31477,53560,0,1
32,2013.07.17,1.31477,1.31781,1.30831,1.31162,53049,0,1
33,2013.07.18,1.31162,1.31255,1.30668,1.31083,46367,0,1
34,2013.07.19,1.31085,1.31539,1.30891,1.31408,41895,0,1
35,2013.07.22,1.3158,1.32179,1.3144,1.31907,40616,0,1
