,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,1.57494,1.58421,1.57343,1.57497,48493,0,62
1,2013.06.04,1.575,1.58443,1.57422,1.58303,46132,0,62
2,2013.06.05,1.58304,1.59693,1.58238,1.59341,52659,0,62
3,2013.06.06,1.59339,1.60311,1.59209,1.60201,61347,0,62
4,2013.06.07,1.60207,1.60543,1.5794,1.58519,60433,0,62
5,2013.06.10,1.58613,1.58825,1.57851,1.58732,48268,0,62
6,2013.06.11,1.58731,1.59475,1.58587,1.59301,60244,0,62
7,2013.06.12,1.593,1.60139,1.58923,1.60026,50464,0,62
8,2013.06.13,1.60027,1.60392,1.58915,1.59571,55847,0,62
9,2013.06.14,1.59568,1.59972,1.5876,1.59654,48213,0,62
10,2013.06.17,1.59797,1.60173,1.59262,1.601,37936,0,62
11,2013.06.18,1.60103,1.60155,1.58743,1.59708,43059,0,62
12,2013.06.19,1.59709,1.60029,1.58767,1.59067,48705,0,62
13,2013.06.20,1.59064,1.61083,1.58782,1.60914,68314,0,62
14,2013.06.21,1.60913,1.61849,1.6022,1.61114,56525,0,62
15,2013.06.24,1.61241,1.6268,1.61186,1.62151,59193,0,62
16,2013.06.25,1.62152,1.62562,1.61404,1.62055,56857,0,62
17,2013.06.26,1.62054,1.62187,1.60248,1.60397,54162,0,62
18,2013.06.27,1.60399,1.60417,1.59248,1.59832,48196,0,62
19,2013.06.28,1.59831,1.60164,1.59479,1.59847,51437,0,62
20,2013.07.01,1.5983,1.60337,1.59575,1.59678,43395,0,62
21,2013.07.02,1.59675,1.60405,1.59525,1.59806,47360,0,62
22,2013.07.03,1.59807,1.61135,1.59576,1.60388,50075,0,62
23,2013.07.04,1.60387,1.60691,1.57944,1.58212,50601,0,62
24,2013.07.05,1.58218,1.58538,1.56952,1.57432,51516,0,62
25,2013.07.08,1.57294,1.58103,1.57146,1.57838,39475,0,62
26,2013.07.09,1.57834,1.5787,1.56065,1.56449,48134,0,62
27,2013.07.10,1.56451,1.57915,1.56295,1.57567,58713,0,62
28,2013.07.11,1.57568,1.57895,1.56233,1.57414,66418,0,62
29,2013.07.12,1.5741,1.57509,1.5655,1.56944,32068,0,62
30,2013.07.15,1.56952,1.5753,1.56541,1.57521,44754,0,62
31,2013.07.16,1.57529,1.57856,1.56695,1.57069,48190,0,62
32,2013.07.17,1.57071,1.58639,1.5684,1.5828,49806,0,62
33,2013.07.18,1.58281,1.58697,1.57859,1.57961,48141,0,62
34,2013.07.19,1.57962,1.58511,1.57804,1.58121,44790,0,62
35,2013.07.22,1.58178,1.59191,1.58079,1.58763,43126,0,62
36,2013.07.23,1.58762,1.58798,1.58046,1.58166,47359,0,62
37,2013.07.24,1.58163,1.58498,1.57428,1.57905,52713,0,62
38,2013.07.25,1.57904,1.58495,1.57233,1.58188,53180,0,62
39,2013.07.26,1.58195,1.58407,1.57932,1.58001,44099,0,62
40,2013.07.29,1.58048,1.58241,1.57364,1.57459,43376,0,62
41,2013.07.30,1.5746,1.57874,1.56763,1.56994,46572,0,62
42,2013.07.31,1.56992,1.57008,1.55788,1.56177,58251,0,62
43,2013.08.01,1.5618,1.56986,1.55729,1.56387,53507,0,62
44,2013.08.02,1.56388,1.5904,1.56282,1.58762,50908,0,62
45,2013.08.05,1.5873,1.59674,1.58622,1.58953,44913,0,62
46,2013.08.06,1.58955,1.59623,1.58833,1.59182,45094,0,62
47,2013.08.07,1.59183,1.61796,1.58504,1.61445,55847,0,62
48,2013.08.08,1.6144,1.61628,1.60267,1.60451,48015,0,62
49,2013.08.09,1.60452,1.60556,1.59345,1.59421,41456,0,62
50,2013.08.12,1.59407,1.59711,1.59211,1.59322,39397,0,62
51,2013.08.13,1.5932,1.60373,1.59201,1.59761,46633,0,62
52,2013.08.14,1.59759,1.60489,1.59658,1.60289,47781,0,62
53,2013.08.15,1.6029,1.61393,1.60044,1.61106,58059,0,62
54,2013.08.16,1.61105,1.61875,1.60921,1.61443,45356,0,62
55,2013.08.19,1.61408,1.61976,1.6123,1.61838,44585,0,62
56,2013.08.20,1.61836,1.63125,1.61811,1.62782,50729,0,62
57,2013.08.21,1.62781,1.64313,1.62741,1.63776,56481,0,62
58,2013.08.22,1.63795,1.64138,1.63176,1.6387,53139,0,62
59,2013.08.23,1.63869,1.65095,1.63333,1.63333,49970,0,62
60,2013.08.26,1.6358,1.64041,1.63431,1.63555,32988,0,62
61,2013.08.27,1.63556,1.63925,1.62737,1.6287,48227,0,62
62,2013.08.28,1.62871,1.63088,1.6172,1.62905,50971,0,62
63,2013.08.29,1.62906,1.63379,1.6261,1.63331,47141,0,62
64,2013.08.30,1.6333,1.63473,1.6262,1.63146,44543,0,62
65,2013.09.02,1.63439,1.64317,1.63325,1.64032,39617,0,62
